NAME	TITLE	SCORE	
H4C3	H4 clustered histone 3 [Source:HGNC Symbol;Acc:HGNC:4787]	4.9972095	
HSPA6	heat shock protein family A (Hsp70) member 6 [Source:HGNC Symbol;Acc:HGNC:5239]	4.996191	
GPR50	G protein-coupled receptor 50 [Source:HGNC Symbol;Acc:HGNC:4506]	4.9935946	
NEFM	neurofilament medium chain [Source:HGNC Symbol;Acc:HGNC:7734]	4.990143	
FLNC	filamin C [Source:HGNC Symbol;Acc:HGNC:3756]	4.987614	
IGFN1	immunoglobulin like and fibronectin type III domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24607]	4.986979	
H2AC4	H2A clustered histone 4 [Source:HGNC Symbol;Acc:HGNC:4734]	4.9865713	
FTCD-AS1	FTCD antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40243]	4.981281	
ARC	activity regulated cytoskeleton associated protein [Source:HGNC Symbol;Acc:HGNC:648]	4.9801216	
CXCL8	C-X-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:6025]	4.9792237	
ENSG00000205890	novel transcript, antisense to CCDC64B	4.9740753	
ABCB1	ATP binding cassette subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:40]	4.9706364	
MMP25	matrix metallopeptidase 25 [Source:HGNC Symbol;Acc:HGNC:14246]	4.9702625	
MMP19	matrix metallopeptidase 19 [Source:HGNC Symbol;Acc:HGNC:7165]	4.969415	
LINC02533	long intergenic non-protein coding RNA 2533 [Source:HGNC Symbol;Acc:HGNC:53566]	4.968639	
CYP4F11	cytochrome P450 family 4 subfamily F member 11 [Source:HGNC Symbol;Acc:HGNC:13265]	4.96762	
GPD1	glycerol-3-phosphate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:4455]	4.963619	
LINC00452	long intergenic non-protein coding RNA 452 [Source:HGNC Symbol;Acc:HGNC:42800]	4.963074	
IL1RL1	interleukin 1 receptor like 1 [Source:HGNC Symbol;Acc:HGNC:5998]	4.9624143	
H2BC8	H2B clustered histone 8 [Source:HGNC Symbol;Acc:HGNC:4746]	4.9609365	
H4C2	H4 clustered histone 2 [Source:HGNC Symbol;Acc:HGNC:4789]	4.9601374	
CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	4.960033	
H3C3	H3 clustered histone 3 [Source:HGNC Symbol;Acc:HGNC:4768]	4.9588447	
