NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	199	0.6219746	1.941925	0.0	0.0	0.0	4817	tags=51%, list=18%, signal=62%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	157	0.5211031	1.6090715	0.0	0.0074584116	0.026	2454	tags=34%, list=9%, signal=38%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	54	0.50168645	1.3456006	0.042857144	0.16970488	0.599	3556	tags=37%, list=14%, signal=43%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	200	0.42480296	1.3279955	0.011862396	0.15862396	0.673	3619	tags=28%, list=14%, signal=32%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	144	0.41283822	1.2659402	0.048346058	0.25126678	0.905	3922	tags=34%, list=15%, signal=40%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	200	0.38887087	1.2165192	0.06823529	0.34635928	0.981	5543	tags=34%, list=21%, signal=42%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	159	0.39186797	1.2120868	0.08663366	0.31028748	0.982	2296	tags=24%, list=9%, signal=26%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	200	0.37605706	1.1719847	0.11915888	0.39837936	0.995	5470	tags=33%, list=21%, signal=41%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	87	0.4073331	1.1658874	0.17082785	0.37529022	0.996	2280	tags=18%, list=9%, signal=20%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	36	0.439817	1.1284529	0.25487256	0.46504617	1.0	4937	tags=31%, list=19%, signal=38%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	200	0.34223107	1.080479	0.2720848	0.60006475	1.0	6782	tags=36%, list=26%, signal=48%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	199	0.34349537	1.0783643	0.2789598	0.55746496	1.0	5106	tags=34%, list=19%, signal=42%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	200	0.34384787	1.0731758	0.28537735	0.533113	1.0	4858	tags=24%, list=19%, signal=29%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	199	0.33889103	1.062907	0.32520324	0.52797407	1.0	2945	tags=19%, list=11%, signal=21%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	113	0.3499383	1.0407219	0.37997434	0.5658234	1.0	4417	tags=30%, list=17%, signal=36%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	42	0.37461445	0.9849161	0.48637015	0.72100484	1.0	5634	tags=40%, list=21%, signal=51%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	200	0.30831334	0.96529764	0.5692308	0.7433918	1.0	3936	tags=26%, list=15%, signal=30%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	199	0.30013308	0.9434892	0.6200717	0.7733538	1.0	3627	tags=26%, list=14%, signal=30%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	200	0.29872403	0.9387971	0.63368666	0.74726444	1.0	4321	tags=25%, list=16%, signal=30%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	135	0.27570796	0.8318052	0.8608696	0.99512833	1.0	6297	tags=30%, list=24%, signal=40%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		198	0.26134753	0.82318527	0.8990148	0.96637505	1.0	3387	tags=19%, list=13%, signal=22%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		100	0.27633643	0.8117247	0.88196284	0.943984	1.0	4941	tags=34%, list=19%, signal=42%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		105	0.26012525	0.76670605	0.95806026	0.96136457	1.0	5608	tags=31%, list=21%, signal=40%	
