NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	200	-0.6464923	-2.343288	0.0	0.0	0.0	4579	tags=67%, list=17%, signal=80%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	200	-0.4796314	-1.7441009	0.0	0.0063375	0.005	4613	tags=49%, list=18%, signal=58%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	112	-0.49569726	-1.7034782	0.0	0.005043182	0.006	3906	tags=36%, list=15%, signal=42%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	200	-0.45520735	-1.65622	0.0	0.005228815	0.008	5146	tags=55%, list=20%, signal=68%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	200	-0.4534146	-1.654312	0.0	0.004183052	0.008	4920	tags=46%, list=19%, signal=56%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	103	-0.47230512	-1.5932148	0.0	0.0081922505	0.019	4146	tags=41%, list=16%, signal=48%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	158	-0.44700447	-1.581905	0.0	0.009116085	0.024	4031	tags=45%, list=15%, signal=53%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	200	-0.42249122	-1.5412236	0.0	0.01272182	0.037	5200	tags=52%, list=20%, signal=64%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	200	-0.39101392	-1.4222898	0.0	0.033922557	0.107	3779	tags=36%, list=14%, signal=42%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	97	-0.4154449	-1.3785081	0.010050251	0.04537062	0.153	4021	tags=42%, list=15%, signal=50%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	96	-0.4089632	-1.3564845	0.012345679	0.050558448	0.186	5197	tags=42%, list=20%, signal=52%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	150	-0.38127482	-1.3436588	0.01183432	0.051727228	0.202	4923	tags=47%, list=19%, signal=57%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	44	-0.4426234	-1.2821258	0.08417509	0.077189974	0.307	4247	tags=36%, list=16%, signal=43%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	200	-0.35898805	-1.2794532	0.0	0.073644534	0.313	3580	tags=38%, list=14%, signal=44%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	200	-0.35563776	-1.27848	0.0062111802	0.06936703	0.315	3070	tags=37%, list=12%, signal=42%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	48	-0.42639047	-1.2714328	0.07491857	0.06954876	0.337	4473	tags=46%, list=17%, signal=55%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	199	-0.35264048	-1.2637527	0.006849315	0.07016565	0.354	4608	tags=38%, list=18%, signal=45%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	200	-0.3382042	-1.2353802	0.031446543	0.08509794	0.424	2932	tags=20%, list=11%, signal=22%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	200	-0.33709303	-1.2138695	0.042682927	0.097182915	0.487	5715	tags=46%, list=22%, signal=58%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	40	-0.41606843	-1.1806254	0.14420062	0.12186779	0.582	4351	tags=20%, list=17%, signal=24%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		199	-0.32750535	-1.1754867	0.047945205	0.12179915	0.6	4609	tags=35%, list=18%, signal=42%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		138	-0.3190734	-1.1085408	0.15656565	0.21626136	0.836	2790	tags=20%, list=11%, signal=23%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		58	-0.34346485	-1.0557971	0.33699635	0.32646826	0.939	5798	tags=55%, list=22%, signal=71%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		74	-0.32411444	-1.034396	0.312	0.37010846	0.957	2936	tags=31%, list=11%, signal=35%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION		200	-0.26640388	-0.9544153	0.6	0.63960916	0.998	4557	tags=33%, list=17%, signal=39%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		36	-0.32415447	-0.9072513	0.652819	0.7977497	1.0	3030	tags=25%, list=12%, signal=28%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		32	-0.32364503	-0.8918108	0.6227545	0.8175688	1.0	5735	tags=44%, list=22%, signal=56%	
