Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
etoposide MCF7 DOWN	8/48	7.585499452276774E-19	4.847134150004859E-16	0	0	797.88	33289.85014509513	CCNA2;CDC20;CCNB1;UBE2C;BUB1B;KIF11;BUB1;AURKA
0173570-0000 PC3 DOWN	7/43	2.1577260734699072E-16	6.893934804736354E-14	0	0	646.5601851851852	23322.917212397642	CCNA2;CDC20;CCNB2;CCNB1;KIF11;BUB1;AURKA
resveratrol MCF7 DOWN	8/104	5.114773879388591E-16	1.0894468363097698E-13	0	0	331.51666666666665	11672.446000871249	CCNA2;CDC20;CCNB1;UBE2C;BUB1B;KIF11;BUB1;AURKA
methotrexate MCF7 DOWN	7/52	8.937456356867846E-16	1.3094620499418937E-13	0	0	517.0148148148148	17915.13745917848	CCNA2;CDC20;CCNB1;UBE2C;KIF11;BUB1;AURKA
LUCANTHONE CTD 00006227	9/213	1.0246181924427963E-15	1.3094620499418937E-13	0	0	218.19485294117646	7530.876726954675	CCNA2;CDC20;CCNB2;CCNB1;RRM2;BUB1B;KIF11;BUB1;AURKA
trifluridine MCF7 DOWN	6/33	2.12148248454042E-14	2.2593788460355472E-12	0	0	633.6507936507936	19949.90985404011	CDC20;CCNB1;UBE2C;BUB1B;BUB1;AURKA
genistein CTD 00007324	12/1231	3.4466139995306244E-14	3.146266208142956E-12	0	0	184.75471698113208	5727.174336410453	CCNA2;CDC20;CCNB2;CCNB1;RRM2;CTBP2;UBE2C;TXNRD1;BUB1B;KIF11;BUB1;AURKA
thalidomide CTD 00006858	7/141	1.2334365141748776E-12	9.852074156971835E-11	0	0	172.84950248756218	4739.743703660864	CCNA2;CDC20;CCNB1;RRM2;UBE2C;BUB1B;AURKA
ciclopirox MCF7 DOWN	6/67	1.8923266195686113E-12	1.3258199791145355E-10	0	0	279.9906323185012	7557.8470640897585	CDC20;CCNB1;UBE2C;BUB1B;BUB1;AURKA
5109870 MCF7 DOWN	6/68	2.074835648066566E-12	1.3258199791145355E-10	0	0	275.46082949308754	7410.210110389528	CDC20;CCNB1;UBE2C;BUB1B;BUB1;AURKA
5-Fluorouracil CTD 00005987	11/1202	2.466343600883431E-12	1.4098208349096998E-10	0	0	86.79932829554996	2319.997131160695	CCNA2;CDC20;CCNB2;CCNB1;RRM2;CTBP2;UBE2C;TXNRD1;BUB1B;BUB1;AURKA
dmnq CTD 00002569	7/157	2.6475508636801877E-12	1.4098208349096998E-10	0	0	154.2877777777778	4112.908863605503	CCNA2;CDC20;CCNB2;UBE2C;TXNRD1;BUB1B;AURKA
Fulvestrant CTD 00002740	8/310	3.662701141322862E-12	1.8003584840810068E-10	0	0	104.29139072847683	2746.2864429598367	CCNA2;CDC20;CCNB2;CCNB1;TXNRD1;BUB1B;BUB1;AURKA
irinotecan MCF7 DOWN	11/1272	4.5773708555912446E-12	2.0892428405162897E-10	0	0	81.67565424266455	2132.5428650939625	CCNA2;CDC20;CCNB2;CCNB1;RRM2;CTBP2;TXNRD1;BUB1B;KIF11;BUB1;AURKA
calcitriol CTD 00005558	12/1958	8.893451691428136E-12	3.788610420548386E-10	0	0	111.2497430626927	2830.828240643317	CCNA2;CDC20;CCNB2;CCNB1;RRM2;UBE2C;TXNRD1;BUB1B;KIF11;HSPG2;BUB1;AURKA
troglitazone CTD 00002415	9/651	2.4709919570103838E-11	9.86852412831022E-10	0	0	67.79789719626169	1655.8833900977872	CCNA2;CDC20;CCNB2;CCNB1;RRM2;UBE2C;BUB1B;KIF11;BUB1
Methaneseleninic acid CTD 00000412	8/402	2.929745828448094E-11	1.101239755516666E-9	0	0	79.56548223350254	1929.743042638168	CCNA2;CDC20;CCNB1;RRM2;TXNRD1;BUB1B;KIF11;AURKA
testosterone CTD 00006844	10/1247	2.0629583025429947E-10	7.323501974027631E-9	0	0	50.52546483427648	1126.8042597061726	CCNA2;CDC20;CCNB2;CCNB1;RRM2;UBE2C;BUB1B;KIF11;BUB1;AURKA
piroxicam CTD 00006571	8/549	3.49407476515449E-10	1.17511251312301E-8	0	0	57.511275415896485	1252.295503144097	CCNA2;CCNB2;CCNB1;RRM2;BUB1B;KIF11;BUB1;AURKA
monobenzone MCF7 DOWN	4/21	6.380274222588929E-10	2.038497614117163E-8	0	0	522.0915032679738	11054.055368435327	CDC20;CCNB1;BUB1;AURKA
5-azacytidine CTD 00005455	7/352	7.722802906387455E-10	2.3499385986578966E-8	0	0	66.42222222222222	1393.649383864357	CCNA2;CDC20;CCNB1;RRM2;UBE2C;BUB1B;AURKA
Cryptolepine CTD 00001119	4/24	1.1315675979262213E-9	3.286689523067525E-8	0	0	443.7111111111111	9140.298874940614	CCNA2;CCNB1;BUB1B;BUB1
monobenzone PC3 DOWN	6/204	1.6913377634948466E-9	4.6989775255356826E-8	0	0	85.66666666666667	1730.2735778644276	CCNA2;CDC20;CCNB1;UBE2C;BUB1;AURKA
8-azaguanine PC3 DOWN	6/207	1.8465003533378283E-9	4.916307190761968E-8	0	0	84.37526652452026	1696.7843899185077	CCNA2;CCNB1;BUB1B;KIF11;BUB1;AURKA
clindamycin HL60 DOWN	10/1626	2.7972878619905605E-9	7.149867775247872E-8	0	0	37.89397689768977	746.3073051409992	CCNA2;CDC20;CCNB2;CCNB1;CTBP2;UBE2C;BUB1B;KIF11;BUB1;AURKA
COPPER CTD 00005706	10/1688	4.034009054851637E-9	9.914353023269985E-8	0	0	36.37067938021454	702.9908638107091	CCNA2;CCNB2;CCNB1;RRM2;UBE2C;TXNRD1;BUB1B;KIF11;HSPG2;AURKA
Bisphenol A CTD 00000312	9/1262	8.751516975388915E-9	2.071192350842043E-7	0	0	33.64046288906624	624.1664531213906	CCNA2;CDC20;CCNB2;CCNB1;RRM2;UBE2C;BUB1B;KIF11;AURKA
nocodazole BOSS	4/48	2.0543522521665508E-8	4.688325318337236E-7	0	0	201.44444444444446	3565.7117371754907	CCNB1;BUB1B;KIF11;BUB1
etoposide HL60 DOWN	4/49	2.236158107087948E-8	4.927258725617927E-7	0	0	196.95802469135802	3469.5970980887846	CDC20;CCNB1;UBE2C;BUB1
thioguanosine MCF7 DOWN	5/150	2.7210827590264662E-8	5.795906276726373E-7	0	0	85.52586206896552	1489.8306575700494	CCNA2;BUB1B;KIF11;BUB1;AURKA
irinotecan PC3 DOWN	8/999	3.8766979263808824E-8	7.990999919217368E-7	0	0	30.66962663975782	523.398555415982	CCNA2;CCNB2;CTBP2;TXNRD1;BUB1B;KIF11;BUB1;AURKA
bicalutamide CTD 00002279	5/170	5.094419880965427E-8	1.0172919699802837E-6	0	0	75.08333333333333	1260.8394987284041	CCNA2;CDC20;CCNB1;RRM2;BUB1B
