Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
rapamycin CTD 00007350	5/247	5.04311546922317E-7	6.934283770181858E-6	0	0	45.32598714416896	657.2300594385464	CCNA2;CDC20;CCNB2;BUB1B;BUB1
paclitaxel CTD 00007144	6/493	5.524283039707138E-7	7.4408710330749205E-6	0	0	30.029260780287473	432.68988224757396	CDC20;CCNB2;CCNB1;RRM2;BUB1B;AURKA
benzo[a]pyrene CTD 00005488	12/4424	7.827612367116493E-7	1.033244832459377E-5	0	0	21.179510426110607	297.7931957881803	CCNA2;CDC20;CCNB2;CCNB1;RRM2;CTBP2;UBE2C;TXNRD1;BUB1B;KIF11;BUB1;AURKA
Irinotecan hydrochloride CTD 00002224	6/565	1.2253259755316619E-6	1.5857159683350917E-5	0	0	26.06484794275492	354.80262470684147	CCNA2;CDC20;CCNB2;CTBP2;UBE2C;BUB1
67526-95-8 CTD 00007263	7/953	1.3948413637396433E-6	1.7703755770541625E-5	0	0	20.126849894291755	271.36488019651455	CCNA2;CDC20;CCNB1;RRM2;UBE2C;BUB1B;KIF11
Copper sulfate CTD 00007279	13/6016	1.6510568555721683E-6	2.0560330654294926E-5	0	0	30.28135932033983	403.168893404949	SMAD4;CTBP2;UBE2C;TXNRD1;BUB1B;KIF11;HSPG2;AURKA;CCNA2;CDC20;CCNB2;CCNB1;BUB1
amsacrine CTD 00005396	3/35	1.7634578298829221E-6	2.1553373476346825E-5	0	0	170.0625	2253.027794675384	CCNA2;CCNB1;UBE2C
lobeline HL60 DOWN	8/1510	2.060327430483149E-6	2.472392916579779E-5	0	0	16.408344429649357	214.82863917216997	CCNA2;CDC20;CCNB2;SMAD4;CCNB1;CTBP2;KIF11;BUB1
quercetin CTD 00006679	10/3158	5.142750789445229E-6	6.061099144703306E-5	0	0	13.371982210927573	162.84296234883374	CCNA2;CDC20;CCNB2;CCNB1;RRM2;TXNRD1;BUB1B;KIF11;BUB1;AURKA
PhIP CTD 00002156	4/179	5.7902061418241844E-6	6.704449216849056E-5	0	0	45.28228571428571	546.0746000347666	CCNA2;CCNB1;BUB1B;BUB1
NICKEL CTD 00006389	4/189	7.180665274812016E-6	8.17110186444126E-5	0	0	42.81297297297297	507.0819261940844	CDC20;CCNB2;BUB1B;AURKA
COUMESTROL CTD 00005717	8/1812	8.150363194300814E-6	9.117355437692437E-5	0	0	13.438285291943828	157.4624100311392	CCNA2;CCNB2;CCNB1;RRM2;BUB1B;KIF11;BUB1;AURKA
vincristine CTD 00006988	7/1245	8.293268184334019E-6	9.12259500276742E-5	0	0	15.1437802907916	177.18323546990098	CCNA2;CCNB2;SMAD4;CCNB1;RRM2;UBE2C;AURKA
estradiol CTD 00005920	11/4336	9.245444916871928E-6	1.000326827071389E-4	0	0	13.277148362235067	153.9004662625622	CCNA2;CDC20;CCNB2;CCNB1;RRM2;UBE2C;TXNRD1;BUB1B;KIF11;BUB1;AURKA
1h-pyrazolo[3,4-d]pyrimidine CTD 00000742	3/61	9.593649724815996E-6	1.0050490187902472E-4	0	0	93.70532915360502	1082.709714016227	CCNA2;CCNB2;CCNB1
ciclopirox HL60 DOWN	3/61	9.593649724815996E-6	1.0050490187902472E-4	0	0	93.70532915360502	1082.709714016227	CDC20;CCNB1;BUB1
Arsenenous acid CTD 00000922	7/1283	1.0116417273982644E-5	1.0432555313794602E-4	0	0	14.663009404388715	168.64441759899145	CCNA2;CDC20;SMAD4;CCNB1;RRM2;UBE2C;TXNRD1
