Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
parthenolide MCF7 DOWN	2/162	0.0055662628224102725	0.02173806782716438	0	0	20.652083333333334	107.20561301190271	CCNA2;BUB1B
trichostatin A HL60 DOWN	3/543	0.005794158079955527	0.022494966663356753	0	0	9.82121212121212	50.58813157012017	CCNA2;RRM2;CTBP2
COBALT CTD 00005696	2/173	0.006322522312669346	0.024340352197435047	0	0	19.31286549707602	97.79334127916395	RRM2;TXNRD1
aspirin CTD 00005447	3/561	0.006343243299937618	0.024340352197435047	0	0	9.495601173020528	48.051208587961305	CCNB1;TXNRD1;AURKA
vorinostat HL60 DOWN	3/569	0.006597050405162532	0.02516793796189174	0	0	9.35753292643752	46.98541398951505	CCNA2;RRM2;CTBP2
parthenolide HL60 DOWN	2/181	0.006900493753845327	0.026174286652516757	0	0	18.442271880819366	91.77173827012457	RRM2;CTBP2
4-Hydroxytamoxifen CTD 00000850	3/586	0.00715659960543215	0.02699060422620125	0	0	9.076719164197723	44.83645415114186	CCNA2;TXNRD1;AURKA
17-Hydroxyandrostan-3-one CTD 00006776	2/187	0.00734926123931398	0.027559729647427426	0	0	17.838738738738737	87.64449703453049	CCNA2;SMAD4
azacitidine PC3 DOWN	3/595	0.007464062174447329	0.027832096243701903	0	0	8.934582309582309	43.758506059730195	CCNA2;UBE2C;BUB1B
Pyruvic acid CTD 00007265	1/11	0.007674930787541144	0.02814141288765086	0	0	153.66153846153847	748.3003458854362	CTBP2
flavin adenine dinucleotide TTD 00008045	1/11	0.007674930787541144	0.02814141288765086	0	0	153.66153846153847	748.3003458854362	TXNRD1
CHEMBL380598 TTD 00005159	1/11	0.007674930787541144	0.02814141288765086	0	0	153.66153846153847	748.3003458854362	CCNB1
valproic acid HL60 DOWN	2/195	0.007967810629056353	0.029053895111476203	0	0	17.092400690846286	82.59638599702767	RRM2;CTBP2
MANGANESE CHLORIDE CTD 00001187	2/196	0.008046741440048239	0.02918049093643867	0	0	17.00343642611684	81.9988691363917	CCNB2;BUB1
AR-A014418 CTD 00004251	1/12	0.008369935820942226	0.03002259587946668	0	0	139.6853146853147	668.1300945358273	CCNB1
metolachlor CTD 00002221	1/12	0.008369935820942226	0.03002259587946668	0	0	139.6853146853147	668.1300945358273	CCNA2
HG-14-10-04 LINCS	2/204	0.008690990362893284	0.031005695348700364	0	0	16.323432343234323	77.46233204422032	BUB1;AURKA
Capsaicin CTD 00005570	2/206	0.008855591875529655	0.031322318106858565	0	0	16.16176470588235	76.39191293969893	CCNA2;CCNB1
38966-21-1 CTD 00007124	1/13	0.009064489027893918	0.031322318106858565	0	0	128.03846153846155	602.2149225510485	CCNA2
1H-Pyrrole-2,5-dione, 3,4-diphenyl- TTD 00000418	1/13	0.009064489027893918	0.031322318106858565	0	0	128.03846153846155	602.2149225510485	CCNB1
1H-Pyrrole-2,5-dione, 3,4-bis(4-methoxyphenyl)- TTD 00000417	1/13	0.009064489027893918	0.031322318106858565	0	0	128.03846153846155	602.2149225510485	CCNB1
AGN-PC-00BUNE TTD 00001660	1/13	0.009064489027893918	0.031322318106858565	0	0	128.03846153846155	602.2149225510485	CCNB1
GOLD CTD 00006047	1/13	0.009064489027893918	0.031322318106858565	0	0	128.03846153846155	602.2149225510485	TXNRD1
MANGANESE CTD 00006240	2/213	0.00944276372106067	0.032459500291146054	0	0	15.620063191153239	72.82864732459328	CCNB2;BUB1
L-cysteine CTD 00005741	1/14	0.009758590659951067	0.03286056038554951	0	0	118.18343195266272	547.1428779573204	TXNRD1
benzyl isothiocyanate CTD 00001509	1/14	0.009758590659951067	0.03286056038554951	0	0	118.18343195266272	547.1428779573204	TXNRD1
7-ACA CTD 00001461	1/14	0.009758590659951067	0.03286056038554951	0	0	118.18343195266272	547.1428779573204	TXNRD1
ALLYL ISOTHIOCYANATE CTD 00000143	1/14	0.009758590659951067	0.03286056038554951	0	0	118.18343195266272	547.1428779573204	TXNRD1
[6-[6-(butanoylamino)purin-9-yl]-2-hydroxy-2-oxo-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-7-yl] butanoate CTD 00005796	2/224	0.010399940839849207	0.03466572382321179	0	0	14.837837837837839	67.74890225860914	CCNB1;CTBP2
Cinobufagin CTD 00000078	1/15	0.0104522409709381	0.03466572382321179	0	0	109.73626373626374	500.5003914455875	CCNA2
Homocastasterone CTD 00002741	1/15	0.0104522409709381	0.03466572382321179	0	0	109.73626373626374	500.5003914455875	CCNB1
arsenite CTD 00000779	4/1300	0.010506113067892153	0.0346701731240441	0	0	5.768518518518518	26.280205096676614	CDC20;CCNB1;TXNRD1;BUB1
PHENCYCLIDINE CTD 00005881	2/226	0.010578461043696417	0.03473524521810764	0	0	14.703869047619047	66.88694928283637	CCNA2;CCNB1
FENRETINIDE CTD 00007166	2/228	0.010758353100571874	0.03515105468503681	0	0	14.572271386430678	66.04259469038799	CCNA2;UBE2C
LITHIUM CHLORIDE CTD 00007226	2/231	0.011030755508728517	0.03553618620519809	0	0	14.379184861717613	64.80796326983385	CCNA2;CCNB2
N-Methyl-N-nitrosourea CTD 00006319	1/16	0.011145440218903038	0.03553618620519809	0	0	102.41538461538461	460.53380130419424	CCNA2
CHLOROBENZENE CTD 00001495	1/16	0.011145440218903038	0.03553618620519809	0	0	102.41538461538461	460.53380130419424	TXNRD1
Brassinolide CTD 00001097	1/16	0.011145440218903038	0.03553618620519809	0	0	102.41538461538461	460.53380130419424	CCNB1
Rimonabant hydrochloride CTD 00003133	1/16	0.011145440218903038	0.03553618620519809	0	0	102.41538461538461	460.53380130419424	CCNB1
OTSSP167 LINCS	2/237	0.011584747300440434	0.03675929431870522	0	0	14.007801418439715	62.44770231359389	BUB1;AURKA
TERT-BUTYL HYDROPEROXIDE CTD 00007349	4/1341	0.01169761196691325	0.036939827263936575	0	0	5.579356768885565	24.819046413432687	CCNA2;UBE2C;TXNRD1;BUB1
EDTA CTD 00005888	1/17	0.01183818865932929	0.03720573578646348	0	0	96.00961538461539	425.93942395331476	TXNRD1
1-chloro-2,4-dinitrobenzene CTD 00005848	2/242	0.012055706621754286	0.03770979322444468	0	0	13.7125	60.584802704747645	TXNRD1;BUB1
Isopentenyladenine CTD 00000045	1/18	0.01253048655713669	0.038299095974238646	0	0	90.35746606334841	395.7287161899813	TXNRD1
alvespimycin CTD 00004027	1/18	0.01253048655713669	0.038299095974238646	0	0	90.35746606334841	395.7287161899813	BUB1B
CHLOROPICRIN CTD 00003338	1/18	0.01253048655713669	0.038299095974238646	0	0	90.35746606334841	395.7287161899813	TXNRD1
EPICHLOROHYDRIN CTD 00005906	1/18	0.01253048655713669	0.038299095974238646	0	0	90.35746606334841	395.7287161899813	TXNRD1
harmine MCF7 DOWN	2/247	0.012535060423851201	0.038299095974238646	0	0	13.429251700680272	58.80972454160896	RRM2;KIF11
Disodium selenite CTD 00007229	4/1370	0.012592278524863311	0.038299095974238646	0	0	5.452415812591508	23.852527888978443	CCNA2;CCNB1;UBE2C;TXNRD1
puromycin PC3 DOWN	3/722	0.012661986454849781	0.03833445440459108	0	0	7.308256416740423	31.930875587426794	CCNA2;BUB1;AURKA
Methoxycamptothecin CTD 00001213	1/19	0.013222334171232074	0.039667002513696224	0	0	85.33333333333333	369.13902050225767	CCNB1
purvalanol A TTD 00010395	1/19	0.013222334171232074	0.039667002513696224	0	0	85.33333333333333	369.13902050225767	CCNA2
HYPOCHLOROUS ACID CTD 00006135	1/20	0.013913731760820029	0.0409958167952733	0	0	80.83805668016194	345.57291333057793	TXNRD1
Kinome 511 Roche	1/20	0.013913731760820029	0.0409958167952733	0	0	80.83805668016194	345.57291333057793	AURKA
Teriflunomide CTD 00002799	1/20	0.013913731760820029	0.0409958167952733	0	0	80.83805668016194	345.57291333057793	CCNA2
myricetin HL60 UP	1/20	0.013913731760820029	0.0409958167952733	0	0	80.83805668016194	345.57291333057793	TXNRD1
digoxin HL60 UP	2/267	0.014535311440347969	0.04154779539668904	0	0	12.40314465408805	52.47986712624367	BUB1;AURKA
medrysone HL60 DOWN	3/760	0.014539798484617728	0.04154779539668904	0	0	6.9277050558424405	29.310189467381136	CCNA2;CCNB1;BUB1
securinine MCF7 UP	1/21	0.014604679593987663	0.04154779539668904	0	0	76.79230769230769	324.5560291468294	TXNRD1
POTASSIUM BROMATE CTD 00000989	1/21	0.014604679593987663	0.04154779539668904	0	0	76.79230769230769	324.5560291468294	CCNB1
IKK-2 Inhibitor IV (TPCA-1) MRC	1/21	0.014604679593987663	0.04154779539668904	0	0	76.79230769230769	324.5560291468294	AURKA
CHEMBL1967116 Roche	1/21	0.014604679593987663	0.04154779539668904	0	0	76.79230769230769	324.5560291468294	AURKA
Cdk9 Inhibitor II TTD 00002745	1/21	0.014604679593987663	0.04154779539668904	0	0	76.79230769230769	324.5560291468294	CCNA2
TDZD-8 CTD 00004374	1/21	0.014604679593987663	0.04154779539668904	0	0	76.79230769230769	324.5560291468294	CCNA2
2-Nonenal, 4-hydroxy-, (2E,4R)- CTD 00001295	2/274	0.015266267624516364	0.042594166385494917	0	0	12.079656862745098	50.51844911163328	CCNA2;CDC20
Baicalin CTD 00001780	1/22	0.01529517792933681	0.042594166385494917	0	0	73.13186813186813	305.7071272789262	CCNA2
AZD-1152HQPA Kinome Scan	1/22	0.01529517792933681	0.042594166385494917	0	0	73.13186813186813	305.7071272789262	AURKA
Tozasertib TTD 00011505	1/22	0.01529517792933681	0.042594166385494917	0	0	73.13186813186813	305.7071272789262	AURKA
oxyphenbutazone MCF7 UP	1/22	0.01529517792933681	0.042594166385494917	0	0	73.13186813186813	305.7071272789262	TXNRD1
formaldehyde CTD 00006001	6/3192	0.01550293511733523	0.04299133267832459	0	0	3.9548022598870056	16.478577047471788	CCNA2;CDC20;CCNB1;BUB1B;BUB1;AURKA
ampyrone HL60 DOWN	3/781	0.01564311375930722	0.04319855682486513	0	0	6.733348913297499	27.995409570218243	CCNB1;CTBP2;KIF11
quercetin MCF7 DOWN	1/23	0.015985227036696047	0.04359607373644376	0	0	69.8041958041958	288.7164567086745	BUB1B
MLN-8054 Kinome Scan	1/23	0.015985227036696047	0.04359607373644376	0	0	69.8041958041958	288.7164567086745	AURKA
carmustine MCF7 UP	1/23	0.015985227036696047	0.04359607373644376	0	0	69.8041958041958	288.7164567086745	TXNRD1
Everolimus CTD 00003479	1/24	0.016674827177981324	0.04455621837031447	0	0	66.76588628762542	273.32986083800455	CCNA2
SU-6656 MRC	1/24	0.016674827177981324	0.04455621837031447	0	0	66.76588628762542	273.32986083800455	AURKA
Tozasertib CTD 00004298	1/24	0.016674827177981324	0.04455621837031447	0	0	66.76588628762542	273.32986083800455	AURKA
ethotoin HL60 DOWN	1/24	0.016674827177981324	0.04455621837031447	0	0	66.76588628762542	273.32986083800455	BUB1
HEXANE CTD 00001239	1/24	0.016674827177981324	0.04455621837031447	0	0	66.76588628762542	273.32986083800455	TXNRD1
5194442 MCF7 UP	1/25	0.017363978615388416	0.04602500355886086	0	0	63.98076923076923	259.3369252570107	TXNRD1
latamoxef PC3 DOWN	1/25	0.017363978615388416	0.04602500355886086	0	0	63.98076923076923	259.3369252570107	SMAD4
Wogonin CTD 00003053	1/26	0.01805268161758667	0.04654206979534063	0	0	61.418461538461536	246.562020931719	CCNA2
BX-912 MRC	1/26	0.01805268161758667	0.04654206979534063	0	0	61.418461538461536	246.562020931719	AURKA
Bis-gma CTD 00007186	1/26	0.01805268161758667	0.04654206979534063	0	0	61.418461538461536	246.562020931719	CCNB1
XMD-12 LINCS	1/26	0.01805268161758667	0.04654206979534063	0	0	61.418461538461536	246.562020931719	AURKA
ILORASERTIB Roche	1/26	0.01805268161758667	0.04654206979534063	0	0	61.418461538461536	246.562020931719	AURKA
ebselen MCF7 UP	1/26	0.01805268161758667	0.04654206979534063	0	0	61.418461538461536	246.562020931719	TXNRD1
harmaline MCF7 DOWN	1/26	0.01805268161758667	0.04654206979534063	0	0	61.418461538461536	246.562020931719	BUB1
simvastatin CTD 00007319	2/304	0.018575648000498636	0.04757314637115251	0	0	10.863134657836644	43.29940974909417	CCNA2;AURKA
benzoic acid CTD 00007316	1/27	0.018740936449241897	0.04757314637115251	0	0	59.053254437869825	234.8574522333829	TXNRD1
bisindolylmaleimide i TTD 00002466	1/27	0.018740936449241897	0.04757314637115251	0	0	59.053254437869825	234.8574522333829	CCNB1
lactic acid CTD 00007283	1/27	0.018740936449241897	0.04757314637115251	0	0	59.053254437869825	234.8574522333829	TXNRD1
NSC321521 CTD 00005452	1/28	0.01942874337764288	0.048571858444107205	0	0	56.863247863247864	224.09815604285276	TXNRD1
MANEB CTD 00006239	1/28	0.01942874337764288	0.048571858444107205	0	0	56.863247863247864	224.09815604285276	TXNRD1
juglone CTD 00000198	1/28	0.01942874337764288	0.048571858444107205	0	0	56.863247863247864	224.09815604285276	TXNRD1
isotretinoin MCF7 UP	1/28	0.01942874337764288	0.048571858444107205	0	0	56.863247863247864	224.09815604285276	TXNRD1
Kinome 635 Roche	1/29	0.02011610266484507	0.04917269540295462	0	0	54.82967032967033	214.17755847607222	AURKA
BI-D-1870 MRC	1/29	0.02011610266484507	0.04917269540295462	0	0	54.82967032967033	214.17755847607222	AURKA
kenpaullone TTD 00008780	1/29	0.02011610266484507	0.04917269540295462	0	0	54.82967032967033	214.17755847607222	CCNB1
2-methoxy-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol CTD 00001063	1/29	0.02011610266484507	0.04917269540295462	0	0	54.82967032967033	214.17755847607222	CCNB1
bisindolylmaleimide iv TTD 00002467	1/29	0.02011610266484507	0.04917269540295462	0	0	54.82967032967033	214.17755847607222	CCNB1
naloxone PC3 DOWN	1/29	0.02011610266484507	0.04917269540295462	0	0	54.82967032967033	214.17755847607222	SMAD4
Indirubin Derivative E804 RBC	1/30	0.02080301457834001	0.05065377283738335	0	0	52.93633952254642	205.00430545239047	AURKA
cycloheximide CTD 00005731	2/324	0.020937043450660685	0.05065377283738335	0	0	10.178053830227743	39.35075074903283	CCNA2;TXNRD1
dexverapamil MCF7 DOWN	2/326	0.021179848448401407	0.05065377283738335	0	0	10.114197530864198	38.9872487464242	RRM2;CTBP2
Plumbagin CTD 00000768	1/31	0.02148947938555657	0.05065377283738335	0	0	51.16923076923077	196.4996601316088	TXNRD1
AG1478 LINCS	1/31	0.02148947938555657	0.05065377283738335	0	0	51.16923076923077	196.4996601316088	BUB1
TAE684 MRC	1/31	0.02148947938555657	0.05065377283738335	0	0	51.16923076923077	196.4996601316088	AURKA
amlodipine CTD 00007164	1/31	0.02148947938555657	0.05065377283738335	0	0	51.16923076923077	196.4996601316088	SMAD4
SB 216763 TTD 00010836	1/31	0.02148947938555657	0.05065377283738335	0	0	51.16923076923077	196.4996601316088	CCNA2
methyl salicylate CTD 00001586	1/31	0.02148947938555657	0.05065377283738335	0	0	51.16923076923077	196.4996601316088	TXNRD1
nifuroxazide MCF7 UP	1/31	0.02148947938555657	0.05065377283738335	0	0	51.16923076923077	196.4996601316088	TXNRD1
1,6-Diisocyanatohexane CTD 00000793	1/32	0.022175497351954617	0.051353783341368586	0	0	49.516129032258064	188.59541419671353	TXNRD1
succinylsulfathiazole HL60 DOWN	1/32	0.022175497351954617	0.051353783341368586	0	0	49.516129032258064	188.59541419671353	BUB1
INDIRUBIN-3'-MONOXIME TTD 00008590	1/32	0.022175497351954617	0.051353783341368586	0	0	49.516129032258064	188.59541419671353	AURKA
etacrynic acid HL60 UP	1/32	0.022175497351954617	0.051353783341368586	0	0	49.516129032258064	188.59541419671353	TXNRD1
141-05-9 CTD 00000755	1/32	0.022175497351954617	0.051353783341368586	0	0	49.516129032258064	188.59541419671353	TXNRD1
alpha-Hexylcinnamaldehyde CTD 00002937	1/33	0.022861068741375043	0.052028639204508724	0	0	47.96634615384615	181.23219876999113	TXNRD1
IPA-3 MRC	1/33	0.022861068741375043	0.052028639204508724	0	0	47.96634615384615	181.23219876999113	AURKA
isopropanol CTD 00007325	1/33	0.022861068741375043	0.052028639204508724	0	0	47.96634615384615	181.23219876999113	TXNRD1
Methyl 4-methoxycinnamate CTD 00002989	1/33	0.022861068741375043	0.052028639204508724	0	0	47.96634615384615	181.23219876999113	CDC20
Riboflavine CTD 00006698	1/33	0.022861068741375043	0.052028639204508724	0	0	47.96634615384615	181.23219876999113	CCNB1
clopamide HL60 DOWN	2/345	0.023545807526618244	0.05340286243150529	0	0	9.544703595724004	35.78125641266547	CDC20;CTBP2
Entinostat CTD 00003662	1/35	0.02423087286505986	0.05421144437606613	0	0	45.14027149321267	167.92757529985917	CCNA2
oxozinc CTD 00007012	1/35	0.02423087286505986	0.05421144437606613	0	0	45.14027149321267	167.92757529985917	TXNRD1
indirubin deriv. 7a TTD 00008589	1/35	0.02423087286505986	0.05421144437606613	0	0	45.14027149321267	167.92757529985917	AURKA
Go 6976 CTD 00002962	1/35	0.02423087286505986	0.05421144437606613	0	0	45.14027149321267	167.92757529985917	CCNB1
2-Methylcholine CTD 00002006	4/1666	0.024377513972629744	0.054355267641674435	0	0	4.410108303249097	16.379557362105103	UBE2C;TXNRD1;BUB1;AURKA
vorinostat PC3 DOWN	2/355	0.024833542630822682	0.05445023193311522	0	0	9.269593956562796	34.256340773867926	CCNB2;AURKA
ciprofloxacin CTD 00005674	1/36	0.024915106126970902	0.05445023193311522	0	0	43.848351648351645	161.9004351330391	CCNB1
R-406 MRC	1/36	0.024915106126970902	0.05445023193311522	0	0	43.848351648351645	161.9004351330391	AURKA
SYK Inhibitor I MRC	1/36	0.024915106126970902	0.05445023193311522	0	0	43.848351648351645	161.9004351330391	AURKA
TAXIFOLIN CTD 00000115	1/36	0.024915106126970902	0.05445023193311522	0	0	43.848351648351645	161.9004351330391	TXNRD1
cinnamyl alcohol CTD 00001006	1/36	0.024915106126970902	0.05445023193311522	0	0	43.848351648351645	161.9004351330391	TXNRD1
semustine MCF7 UP	1/37	0.025598893875467085	0.055394327730518944	0	0	42.62820512820513	156.2411590204543	TXNRD1
IKK Inhibitor VII MRC	1/37	0.025598893875467085	0.055394327730518944	0	0	42.62820512820513	156.2411590204543	AURKA
Kinome 1194 Roche	1/37	0.025598893875467085	0.055394327730518944	0	0	42.62820512820513	156.2411590204543	AURKA
Ephedrone CTD 00002112	1/38	0.026282236384327425	0.05650252773177883	0	0	41.474012474012476	150.91820759135345	CCNA2
TTNPB CTD 00001809	1/38	0.026282236384327425	0.05650252773177883	0	0	41.474012474012476	150.91820759135345	CCNA2
tubocurarine CTD 00006958	1/39	0.026965133912219295	0.056678306949250745	0	0	40.38056680161943	145.90349135778567	UBE2C
Barasertib LINCS	1/39	0.026965133912219295	0.056678306949250745	0	0	40.38056680161943	145.90349135778567	AURKA
Calycosin CTD 00003727	1/39	0.026965133912219295	0.056678306949250745	0	0	40.38056680161943	145.90349135778567	CCNB1
AC1L1I3Y CTD 00006365	1/39	0.026965133912219295	0.056678306949250745	0	0	40.38056680161943	145.90349135778567	TXNRD1
Axitinib FDA	1/39	0.026965133912219295	0.056678306949250745	0	0	40.38056680161943	145.90349135778567	AURKA
AG-013736 Kinome Scan	1/39	0.026965133912219295	0.056678306949250745	0	0	40.38056680161943	145.90349135778567	AURKA
Ammonium hexachloroplatinate(IV) CTD 00000945	1/39	0.026965133912219295	0.056678306949250745	0	0	40.38056680161943	145.90349135778567	TXNRD1
3'-Azido-3'-deoxythymidine CTD 00007047	2/374	0.02735918677451797	0.057324010384704326	0	0	8.78763440860215	31.62408551669826	CCNA2;CCNB1
Bandrowski's base CTD 00002216	1/40	0.027647586728505463	0.05738178377614341	0	0	39.34319526627219	141.17191556098328	TXNRD1
cilostazol CTD 00002032	1/40	0.027647586728505463	0.05738178377614341	0	0	39.34319526627219	141.17191556098328	CCNA2
Glycitein CTD 00003084	1/40	0.027647586728505463	0.05738178377614341	0	0	39.34319526627219	141.17191556098328	CCNA2
TETRACHLOROETHYLENE CTD 00006849	1/41	0.02832959509733448	0.05824776562068771	0	0	38.35769230769231	136.70099489654157	CCNB2
MLN8054 LINCS	1/41	0.02832959509733448	0.05824776562068771	0	0	38.35769230769231	136.70099489654157	AURKA
hycanthone MCF7 DOWN	1/41	0.02832959509733448	0.05824776562068771	0	0	38.35769230769231	136.70099489654157	CCNA2
resveratrol PC3 DOWN	1/42	0.02901115928584133	0.059096805952639754	0	0	37.4202626641651	132.4705258751648	AURKA
DIALLYL DISULFIDE CTD 00001321	1/42	0.02901115928584133	0.059096805952639754	0	0	37.4202626641651	132.4705258751648	CCNB1
tert-Butylhydroquinone CTD 00000961	1/42	0.02901115928584133	0.059096805952639754	0	0	37.4202626641651	132.4705258751648	TXNRD1
piperlongumine HL60 DOWN	2/389	0.02942469127727455	0.05975475767077293	0	0	8.440568475452196	29.76077863334572	RRM2;CTBP2
5182598 MCF7 UP	1/43	0.029692279563515972	0.05992937159608728	0	0	36.527472527472526	128.46230708138887	TXNRD1
Andrographolide CTD 00001445	1/43	0.029692279563515972	0.05992937159608728	0	0	36.527472527472526	128.46230708138887	CCNA2
securinine HL60 UP	1/44	0.030372956185516903	0.06093055040255671	0	0	35.67620751341681	124.65989939397582	TXNRD1
ZM-447439 LINCS	1/44	0.030372956185516903	0.06093055040255671	0	0	35.67620751341681	124.65989939397582	AURKA
doxorubicin MCF7 DOWN	3/1006	0.030468519403847278	0.060937038807694556	0	0	5.161696727997825	18.01979958155304	CCNA2;SMAD4;AURKA
ellipticine PC3 DOWN	2/399	0.030836054355945816	0.06136258988036326	0	0	8.223761544920235	28.611047650864926	CCNA2;SMAD4
dorsomorphin CTD 00004649	1/45	0.03105318942430504	0.06136258988036326	0	0	34.86363636363637	121.04841961551217	CCNB1
flurbiprofen CTD 00005993	1/45	0.03105318942430504	0.06136258988036326	0	0	34.86363636363637	121.04841961551217	CCNB1
Diquat dication CTD 00005858	1/45	0.03105318942430504	0.06136258988036326	0	0	34.86363636363637	121.04841961551217	TXNRD1
Decitabine CTD 00000750	4/1800	0.03142485456529644	0.06191165377043477	0	0	4.051224944320713	14.017870916294447	CCNB1;BUB1B;KIF11;BUB1
flupentixol HL60 DOWN	1/46	0.03173297954882987	0.06218644098752236	0	0	34.08717948717949	117.61436233167083	BUB1
MG-262 MCF7 DOWN	2/407	0.03198462631293356	0.06218644098752236	0	0	8.058024691358025	27.739749350084935	CCNA2;BUB1
phenoxybenzamine MCF7 DOWN	1/47	0.03241232681773892	0.06218644098752236	0	0	33.34448160535117	114.34544554475478	CCNA2
AMILORIDE CTD 00005369	1/47	0.03241232681773892	0.06218644098752236	0	0	33.34448160535117	114.34544554475478	CCNB1
1,4-chrysenequinone HL60 UP	1/47	0.03241232681773892	0.06218644098752236	0	0	33.34448160535117	114.34544554475478	TXNRD1
2-Mercaptobenzothiazole CTD 00000240	1/47	0.03241232681773892	0.06218644098752236	0	0	33.34448160535117	114.34544554475478	TXNRD1
Cardidigin CTD 00005822	1/47	0.03241232681773892	0.06218644098752236	0	0	33.34448160535117	114.34544554475478	CCNB1
carbamazepine BOSS	1/47	0.03241232681773892	0.06218644098752236	0	0	33.34448160535117	114.34544554475478	HSPG2
mitotane CTD 00006344	1/47	0.03241232681773892	0.06218644098752236	0	0	33.34448160535117	114.34544554475478	CCNB1
rosiglitazone CTD 00003139	2/411	0.032565337807555626	0.06229890711010642	0	0	7.97758761206194	27.319303134439533	CCNA2;CCNB1
anisomycin HL60 DOWN	3/1034	0.03270289724909447	0.06238124908786807	0	0	5.014108103341857	17.149711847980214	CDC20;CTBP2;BUB1B
BUTHIONINE SULFOXIMINE CTD 00007280	1/48	0.03309123150218267	0.06294009449982871	0	0	32.633387888707034	111.23047645903023	TXNRD1
Staurosporine, N-benzoyl- RBC	1/49	0.03376969386509401	0.06386245831221216	0	0	31.951923076923077	108.25923449477123	AURKA
domperidone MCF7 DOWN	1/49	0.03376969386509401	0.06386245831221216	0	0	31.951923076923077	108.25923449477123	BUB1
proscillaridin MCF7 DOWN	2/423	0.034332878548646625	0.06422455184213266	0	0	7.745447347585115	26.1149516900718	CCNA2;KIF11
Elesclomol CTD 00004602	1/50	0.034447714169871156	0.06422455184213266	0	0	31.298273155416013	105.4223689491126	TXNRD1
Leptomycin B CTD 00001805	1/50	0.034447714169871156	0.06422455184213266	0	0	31.298273155416013	105.4223689491126	CCNB2
PNU-0293363 MCF7 DOWN	1/50	0.034447714169871156	0.06422455184213266	0	0	31.298273155416013	105.4223689491126	CDC20
disopyramide MCF7 DOWN	1/50	0.034447714169871156	0.06422455184213266	0	0	31.298273155416013	105.4223689491126	BUB1
Vorinostat CTD 00003560	2/425	0.03463114157936849	0.06438465758417804	0	0	7.708037825059102	25.922146283136698	CCNA2;CCNB1
clofibrate CTD 00005684	1/51	0.035125292681812	0.06475612617317296	0	0	30.67076923076923	102.71130924814014	CCNA2
choline CTD 00005662	1/51	0.035125292681812	0.06475612617317296	0	0	30.67076923076923	102.71130924814014	BUB1B
5155877 MCF7 UP	1/51	0.035125292681812	0.06475612617317296	0	0	30.67076923076923	102.71130924814014	TXNRD1
sanguinarine HL60 DOWN	2/431	0.03553216612420274	0.06532375944839501	0	0	7.5979020979020975	25.356607111926145	RRM2;CTBP2
securinine PC3 UP	1/52	0.03580242966944604	0.06563778772731774	0	0	30.06787330316742	100.11818602041404	TXNRD1
thioridazine PC3 DOWN	1/53	0.036479125395076716	0.0666931378414145	0	0	29.488165680473372	97.63576151436209	BUB1
CHEBI:18224 CTD 00001728	1/54	0.03715538012271022	0.06681893973021456	0	0	28.93033381712627	95.25736807729457	TXNRD1
hyoscyamine CTD 00005451	1/54	0.03715538012271022	0.06681893973021456	0	0	28.93033381712627	95.25736807729457	CDC20
3,3',4,4'-Tetrachlorobiphenyl CTD 00001342	1/54	0.03715538012271022	0.06681893973021456	0	0	28.93033381712627	95.25736807729457	CCNB2
dl-Thioctic acid CTD 00006215	1/54	0.03715538012271022	0.06681893973021456	0	0	28.93033381712627	95.25736807729457	TXNRD1
Picrotoxinum BOSS	1/54	0.03715538012271022	0.06681893973021456	0	0	28.93033381712627	95.25736807729457	CCNB1
etacrynic acid MCF7 UP	1/54	0.03715538012271022	0.06681893973021456	0	0	28.93033381712627	95.25736807729457	TXNRD1
METHYL METHANESULFONATE CTD 00006307	6/3864	0.037552939478584645	0.06735038058659203	0	0	3.135303265940902	10.2900766752498	CCNA2;CDC20;CCNB1;RRM2;BUB1;AURKA
verapamil MCF7 DOWN	1/55	0.037831194118660955	0.06766555045614155	0	0	28.39316239316239	92.97685364985718	CTBP2
Fisetin CTD 00000919	1/56	0.03850656764938555	0.0686873909421472	0	0	27.875524475524475	90.78853336057627	CCNB1
BX-795 MRC	1/57	0.03918150096867877	0.06970293972864687	0	0	27.376373626373628	88.68714644738452	AURKA
alpha-Tocopherol CTD 00007387	1/58	0.039855994355866974	0.07052267097820966	0	0	26.894736842105264	86.66781779581883	SMAD4
TACROLIMUS MONOHYDRATE CTD 00007118	1/58	0.039855994355866974	0.07052267097820966	0	0	26.894736842105264	86.66781779581883	CCNB2
tyrphostin AG-825 MCF7 DOWN	2/462	0.04033365270731674	0.07117703418938248	0	0	7.0746376811594205	22.713613159155276	KIF11;AURKA
Caffeic acid phenethyl ester CTD 00002352	1/59	0.04053004806447805	0.07133288459348136	0	0	26.42970822281167	84.7260236205579	CCNB1
STOCK1N-35215 MCF7 UP	1/60	0.0412036623612398	0.07213373251569831	0	0	25.980443285528033	82.85756066816143	TXNRD1
chlorophyll a BOSS	1/60	0.0412036623612398	0.07213373251569831	0	0	25.980443285528033	82.85756066816143	SMAD4
