Term,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
L-cysteine CTD 00005741,0.009064489,0.030011443,0,0,128.0384615,602.2149226,TXNRD1
benzyl isothiocyanate CTD 00001509,0.009064489,0.030011443,0,0,128.0384615,602.2149226,TXNRD1
7-ACA CTD 00001461,0.009064489,0.030011443,0,0,128.0384615,602.2149226,TXNRD1
ALLYL ISOTHIOCYANATE CTD 00000143,0.009064489,0.030011443,0,0,128.0384615,602.2149226,TXNRD1
PHENCYCLIDINE CTD 00005881,0.009134776,0.030088259,0,0,16.0413961,75.3250472,CCNA2;CCNB1
FENRETINIDE CTD 00007166,0.009290729,0.030445005,0,0,15.89782784,74.38177508,CCNA2;UBE2C
Disodium selenite CTD 00007229,0.009502146,0.030902011,0,0,6.058565154,28.21011903,CCNA2;CCNB1;UBE2C;TXNRD1
LITHIUM CHLORIDE CTD 00007226,0.009526911,0.030902011,0,0,15.68717745,73.00239399,CCNA2;CCNB2
Cinobufagin CTD 00000078,0.009709044,0.031176278,0,0,118.8869048,551.0048325,CCNA2
Homocastasterone CTD 00002741,0.009709044,0.031176278,0,0,118.8869048,551.0048325,CCNB1
OTSSP167 LINCS,0.01000735,0.031973483,0,0,15.28201161,70.36503615,BUB1;AURKA
puromycin PC3 DOWN,0.010219144,0.032115062,0,0,8.039499305,36.84898417,CCNA2;BUB1;AURKA
formaldehyde CTD 00006001,0.010220044,0.032115062,0,0,4.520043045,20.71718499,CCNA2;CDC20;CCNB1;BUB1B;BUB1;AURKA
N-Methyl-N-nitrosourea CTD 00006319,0.010353213,0.032115062,0,0,110.9555556,507.117753,CCNA2
CHLOROBENZENE CTD 00001495,0.010353213,0.032115062,0,0,110.9555556,507.117753,TXNRD1
Brassinolide CTD 00001097,0.010353213,0.032115062,0,0,110.9555556,507.117753,CCNB1
Rimonabant hydrochloride CTD 00003133,0.010353213,0.032115062,0,0,110.9555556,507.117753,CCNB1
"1-chloro-2,4-dinitrobenzene CTD 00005848",0.010415894,0.032153412,0,0,14.95984848,68.28306683,TXNRD1;BUB1
harmine MCF7 DOWN,0.010831826,0.033276618,0,0,14.65083488,66.29893456,RRM2;KIF11
EDTA CTD 00005888,0.010996994,0.033622389,0,0,104.015625,469.1243344,TXNRD1
Isopentenyladenine CTD 00000045,0.011640389,0.034921168,0,0,97.89215686,435.9406355,TXNRD1
alvespimycin CTD 00004027,0.011640389,0.034921168,0,0,97.89215686,435.9406355,BUB1B
CHLOROPICRIN CTD 00003338,0.011640389,0.034921168,0,0,97.89215686,435.9406355,TXNRD1
EPICHLOROHYDRIN CTD 00005906,0.011640389,0.034921168,0,0,97.89215686,435.9406355,TXNRD1
medrysone HL60 DOWN,0.011751195,0.035088849,0,0,7.620871863,33.86563301,CCNA2;CCNB1;BUB1
Methoxycamptothecin CTD 00001213,0.012283398,0.036338386,0,0,92.44907407,406.7303182,CCNB1
purvalanol A TTD 00010395,0.012283398,0.036338386,0,0,92.44907407,406.7303182,CCNA2
digoxin HL60 UP,0.012568536,0.037010575,0,0,13.53138937,59.22091986,BUB1;AURKA
ampyrone HL60 DOWN,0.01265273,0.037087589,0,0,7.407069409,32.3680214,CCNB1;CTBP2;KIF11
HYPOCHLOROUS ACID CTD 00006135,0.012926021,0.037205979,0,0,87.57894737,380.8381799,TXNRD1
Kinome 511 Roche,0.012926021,0.037205979,0,0,87.57894737,380.8381799,AURKA
Teriflunomide CTD 00002799,0.012926021,0.037205979,0,0,87.57894737,380.8381799,CCNA2
myricetin HL60 UP,0.012926021,0.037205979,0,0,87.57894737,380.8381799,TXNRD1
"2-Nonenal, 4-hydroxy-, (2E,4R)- CTD 00001295",0.013203618,0.037834582,0,0,13.17847594,57.02674992,CCNA2;CDC20
securinine MCF7 UP,0.013568258,0.037860772,0,0,83.19583333,357.7439297,TXNRD1
POTASSIUM BROMATE CTD 00000989,0.013568258,0.037860772,0,0,83.19583333,357.7439297,CCNB1
IKK-2 Inhibitor IV (TPCA-1) MRC,0.013568258,0.037860772,0,0,83.19583333,357.7439297,AURKA
CHEMBL1967116 Roche,0.013568258,0.037860772,0,0,83.19583333,357.7439297,AURKA
Cdk9 Inhibitor II TTD 00002745,0.013568258,0.037860772,0,0,83.19583333,357.7439297,CCNA2
TDZD-8 CTD 00004374,0.013568258,0.037860772,0,0,83.19583333,357.7439297,CCNA2
Baicalin CTD 00001780,0.014210109,0.038971072,0,0,79.23015873,337.0293803,CCNA2
AZD-1152HQPA Kinome Scan,0.014210109,0.038971072,0,0,79.23015873,337.0293803,AURKA
Tozasertib TTD 00011505,0.014210109,0.038971072,0,0,79.23015873,337.0293803,AURKA
oxyphenbutazone MCF7 UP,0.014210109,0.038971072,0,0,79.23015873,337.0293803,TXNRD1
quercetin MCF7 DOWN,0.014851575,0.040212527,0,0,75.625,318.3547328,BUB1B
MLN-8054 Kinome Scan,0.014851575,0.040212527,0,0,75.625,318.3547328,AURKA
carmustine MCF7 UP,0.014851575,0.040212527,0,0,75.625,318.3547328,TXNRD1
Everolimus CTD 00003479,0.015492656,0.040908293,0,0,72.33333333,301.4411523,CCNA2
SU-6656 MRC,0.015492656,0.040908293,0,0,72.33333333,301.4411523,AURKA
Tozasertib CTD 00004298,0.015492656,0.040908293,0,0,72.33333333,301.4411523,AURKA
doxazosin CTD 00007158,0.015492656,0.040908293,0,0,72.33333333,301.4411523,CCNA2
ethotoin HL60 DOWN,0.015492656,0.040908293,0,0,72.33333333,301.4411523,BUB1
HEXANE CTD 00001239,0.015492656,0.040908293,0,0,72.33333333,301.4411523,TXNRD1
simvastatin CTD 00007319,0.016081659,0.042250866,0,0,11.8512944,48.94674512,CCNA2;AURKA
5194442 MCF7 UP,0.016133351,0.042250866,0,0,69.31597222,286.0577742,TXNRD1
Wogonin CTD 00003053,0.016773662,0.042702669,0,0,66.54,272.011885,CCNA2
BX-912 MRC,0.016773662,0.042702669,0,0,66.54,272.011885,AURKA
Bis-gma CTD 00007186,0.016773662,0.042702669,0,0,66.54,272.011885,CCNB1
XMD-12 LINCS,0.016773662,0.042702669,0,0,66.54,272.011885,AURKA
ILORASERTIB Roche,0.016773662,0.042702669,0,0,66.54,272.011885,AURKA
ebselen MCF7 UP,0.016773662,0.042702669,0,0,66.54,272.011885,TXNRD1
harmaline MCF7 DOWN,0.016773662,0.042702669,0,0,66.54,272.011885,BUB1
Demecolcine CTD 00005762,0.017229735,0.043636403,0,0,6.56838488,26.67499016,CCNB1;RRM2;UBE2C
benzoic acid CTD 00007316,0.017413588,0.043636403,0,0,63.9775641,259.1414089,TXNRD1
bisindolylmaleimide i TTD 00002466,0.017413588,0.043636403,0,0,63.9775641,259.1414089,CCNB1
lactic acid CTD 00007283,0.017413588,0.043636403,0,0,63.9775641,259.1414089,TXNRD1
NSC321521 CTD 00005452,0.01805313,0.044540347,0,0,61.60493827,247.3090958,TXNRD1
MANEB CTD 00006239,0.01805313,0.044540347,0,0,61.60493827,247.3090958,TXNRD1
juglone CTD 00000198,0.01805313,0.044540347,0,0,61.60493827,247.3090958,TXNRD1
isotretinoin MCF7 UP,0.01805313,0.044540347,0,0,61.60493827,247.3090958,TXNRD1
cycloheximide CTD 00005731,0.018137869,0.044577302,0,0,11.1038961,44.52388409,CCNA2;TXNRD1
dexverapamil MCF7 DOWN,0.018349412,0.044735474,0,0,11.0342312,44.11659719,RRM2;CTBP2
2-Methylcholine CTD 00002006,0.018615677,0.044735474,0,0,4.900387752,19.5219256,UBE2C;TXNRD1;BUB1;AURKA
Kinome 635 Roche,0.018692287,0.044735474,0,0,59.40178571,236.3979777,AURKA
BI-D-1870 MRC,0.018692287,0.044735474,0,0,59.40178571,236.3979777,AURKA
kenpaullone TTD 00008780,0.018692287,0.044735474,0,0,59.40178571,236.3979777,CCNB1
"2-methoxy-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol CTD 00001063",0.018692287,0.044735474,0,0,59.40178571,236.3979777,CCNB1
bisindolylmaleimide iv TTD 00002467,0.018692287,0.044735474,0,0,59.40178571,236.3979777,CCNB1
Indirubin Derivative E804 RBC,0.019331061,0.046091596,0,0,57.35057471,226.3077835,AURKA
Plumbagin CTD 00000768,0.01996945,0.04657109,0,0,55.43611111,216.9520847,TXNRD1
AG1478 LINCS,0.01996945,0.04657109,0,0,55.43611111,216.9520847,BUB1
TAE684 MRC,0.01996945,0.04657109,0,0,55.43611111,216.9520847,AURKA
SB 216763 TTD 00010836,0.01996945,0.04657109,0,0,55.43611111,216.9520847,CCNA2
methyl salicylate CTD 00001586,0.01996945,0.04657109,0,0,55.43611111,216.9520847,TXNRD1
nifuroxazide MCF7 UP,0.01996945,0.04657109,0,0,55.43611111,216.9520847,TXNRD1
clopamide HL60 DOWN,0.020411848,0.047029159,0,0,10.412934,40.52338778,CDC20;CTBP2
"1,6-Diisocyanatohexane CTD 00000793",0.020607456,0.047029159,0,0,53.64516129,208.2560045,TXNRD1
succinylsulfathiazole HL60 DOWN,0.020607456,0.047029159,0,0,53.64516129,208.2560045,BUB1
INDIRUBIN-3'-MONOXIME TTD 00008590,0.020607456,0.047029159,0,0,53.64516129,208.2560045,AURKA
etacrynic acid HL60 UP,0.020607456,0.047029159,0,0,53.64516129,208.2560045,TXNRD1
141-05-9 CTD 00000755,0.020607456,0.047029159,0,0,53.64516129,208.2560045,TXNRD1
alpha-Hexylcinnamaldehyde CTD 00002937,0.021245079,0.047633704,0,0,51.96614583,200.1543653,TXNRD1
IPA-3 MRC,0.021245079,0.047633704,0,0,51.96614583,200.1543653,AURKA
isopropanol CTD 00007325,0.021245079,0.047633704,0,0,51.96614583,200.1543653,TXNRD1
Methyl 4-methoxycinnamate CTD 00002989,0.021245079,0.047633704,0,0,51.96614583,200.1543653,CDC20
Riboflavine CTD 00006698,0.021245079,0.047633704,0,0,51.96614583,200.1543653,CCNB1
vorinostat PC3 DOWN,0.021535209,0.04811538,0,0,10.11279938,38.81359185,CCNB2;AURKA
Entinostat CTD 00003662,0.022519175,0.049619838,0,0,48.90441176,185.5134133,CCNA2
oxozinc CTD 00007012,0.022519175,0.049619838,0,0,48.90441176,185.5134133,TXNRD1
indirubin deriv. 7a TTD 00008589,0.022519175,0.049619838,0,0,48.90441176,185.5134133,AURKA
Go 6976 CTD 00002962,0.022519175,0.049619838,0,0,48.90441176,185.5134133,CCNB1
ciprofloxacin CTD 00005674,0.023155649,0.050157491,0,0,47.5047619,178.8799647,CCNB1
R-406 MRC,0.023155649,0.050157491,0,0,47.5047619,178.8799647,AURKA
SYK Inhibitor I MRC,0.023155649,0.050157491,0,0,47.5047619,178.8799647,AURKA
TAXIFOLIN CTD 00000115,0.023155649,0.050157491,0,0,47.5047619,178.8799647,TXNRD1
cinnamyl alcohol CTD 00001006,0.023155649,0.050157491,0,0,47.5047619,178.8799647,TXNRD1
3'-Azido-3'-deoxythymidine CTD 00007047,0.023740099,0.050845894,0,0,9.586999022,35.86103018,CCNA2;CCNB1
semustine MCF7 UP,0.023791741,0.050845894,0,0,46.18287037,172.650818,TXNRD1
IKK Inhibitor VII MRC,0.023791741,0.050845894,0,0,46.18287037,172.650818,AURKA
Kinome 1194 Roche,0.023791741,0.050845894,0,0,46.18287037,172.650818,AURKA
Decitabine CTD 00000750,0.024126892,0.05139028,0,0,4.501608513,16.76591777,CCNB1;BUB1B;KIF11;BUB1
Ephedrone CTD 00002112,0.02442745,0.051685895,0,0,44.93243243,166.7913366,CCNA2
TTNPB CTD 00001809,0.02442745,0.051685895,0,0,44.93243243,166.7913366,CCNA2
tubocurarine CTD 00006958,0.025062777,0.051828849,0,0,43.74780702,161.2706706,UBE2C
Barasertib LINCS,0.025062777,0.051828849,0,0,43.74780702,161.2706706,AURKA
Calycosin CTD 00003727,0.025062777,0.051828849,0,0,43.74780702,161.2706706,CCNB1
AC1L1I3Y CTD 00006365,0.025062777,0.051828849,0,0,43.74780702,161.2706706,TXNRD1
Axitinib FDA,0.025062777,0.051828849,0,0,43.74780702,161.2706706,AURKA
AG-013736 Kinome Scan,0.025062777,0.051828849,0,0,43.74780702,161.2706706,AURKA
Ammonium hexachloroplatinate(IV) CTD 00000945,0.025062777,0.051828849,0,0,43.74780702,161.2706706,TXNRD1
piperlongumine HL60 DOWN,0.025544846,0.052295682,0,0,9.208362697,33.77000983,RRM2;CTBP2
METHYL METHANESULFONATE CTD 00006307,0.025550152,0.052295682,0,0,3.583425905,13.14082423,CCNA2;CDC20;CCNB1;RRM2;BUB1;AURKA
Bandrowski's base CTD 00002216,0.025697722,0.052295682,0,0,42.62393162,156.0612575,TXNRD1
cilostazol CTD 00002032,0.025697722,0.052295682,0,0,42.62393162,156.0612575,CCNA2
Glycitein CTD 00003084,0.025697722,0.052295682,0,0,42.62393162,156.0612575,CCNA2
doxorubicin PC3 DOWN,0.025963579,0.052668975,0,0,5.578529412,20.36754853,CCNA2;KIF11;AURKA
TETRACHLOROETHYLENE CTD 00006849,0.026332285,0.052912988,0,0,41.55625,151.1383993,CCNB2
MLN8054 LINCS,0.026332285,0.052912988,0,0,41.55625,151.1383993,AURKA
hycanthone MCF7 DOWN,0.026332285,0.052912988,0,0,41.55625,151.1383993,CCNA2
anisomycin HL60 DOWN,0.026699138,0.053481973,0,0,5.515809893,19.98446311,CDC20;CTBP2;BUB1B
resveratrol PC3 DOWN,0.026966467,0.0535142,0,0,40.54065041,146.4799032,AURKA
DIALLYL DISULFIDE CTD 00001321,0.026966467,0.0535142,0,0,40.54065041,146.4799032,CCNB1
tert-Butylhydroquinone CTD 00000961,0.026966467,0.0535142,0,0,40.54065041,146.4799032,TXNRD1
5182598 MCF7 UP,0.027600267,0.054433861,0,0,39.5734127,142.0657742,TXNRD1
Andrographolide CTD 00001445,0.027600267,0.054433861,0,0,39.5734127,142.0657742,CCNA2
MG-262 MCF7 DOWN,0.027783492,0.054626619,0,0,8.791021324,31.50098329,CCNA2;BUB1
securinine HL60 UP,0.028233687,0.055116874,0,0,38.65116279,137.8779524,TXNRD1
ZM-447439 LINCS,0.028233687,0.055116874,0,0,38.65116279,137.8779524,AURKA
rosiglitazone CTD 00003139,0.028291604,0.055116874,0,0,8.703267393,31.02880366,CCNA2;CCNB1
dorsomorphin CTD 00004649,0.028866726,0.055727606,0,0,37.77083333,133.9000861,CCNB1
flurbiprofen CTD 00005993,0.028866726,0.055727606,0,0,37.77083333,133.9000861,CCNB1
Diquat dication CTD 00005858,0.028866726,0.055727606,0,0,37.77083333,133.9000861,TXNRD1
flupentixol HL60 DOWN,0.029499384,0.056463729,0,0,36.92962963,130.1173368,BUB1
proscillaridin MCF7 DOWN,0.029838804,0.056463729,0,0,8.450010797,29.67597813,CCNA2;KIF11
Vorinostat CTD 00003560,0.030099979,0.056463729,0,0,8.409198367,29.45936282,CCNA2;CCNB1
phenoxybenzamine MCF7 DOWN,0.030131661,0.056463729,0,0,36.125,126.516209,CCNA2
AMILORIDE CTD 00005369,0.030131661,0.056463729,0,0,36.125,126.516209,CCNB1
"1,4-chrysenequinone HL60 UP",0.030131661,0.056463729,0,0,36.125,126.516209,TXNRD1
2-Mercaptobenzothiazole CTD 00000240,0.030131661,0.056463729,0,0,36.125,126.516209,TXNRD1
Cardidigin CTD 00005822,0.030131661,0.056463729,0,0,36.125,126.516209,CCNB1
carbamazepine BOSS,0.030131661,0.056463729,0,0,36.125,126.516209,HSPG2
mitotane CTD 00006344,0.030131661,0.056463729,0,0,36.125,126.516209,CCNB1
diclofenac CTD 00005804,0.030362092,0.056729172,0,0,8.368770053,29.24517255,CTBP2;TXNRD1
BUTHIONINE SULFOXIMINE CTD 00007280,0.030763558,0.057311702,0,0,35.35460993,123.0844037,TXNRD1
sanguinarine HL60 DOWN,0.030889125,0.057378346,0,0,8.289044289,28.82391726,RRM2;CTBP2
"Staurosporine, N-benzoyl- RBC",0.031395076,0.057981079,0,0,34.61631944,119.8106894,AURKA
domperidone MCF7 DOWN,0.031395076,0.057981079,0,0,34.61631944,119.8106894,BUB1
carbamazepine CTD 00005574,0.031553152,0.058105083,0,0,8.191453708,28.31033409,CTBP2;TXNRD1
Elesclomol CTD 00004602,0.032026213,0.058304132,0,0,33.90816327,116.68479,TXNRD1
Leptomycin B CTD 00001805,0.032026213,0.058304132,0,0,33.90816327,116.68479,CCNB2
PNU-0293363 MCF7 DOWN,0.032026213,0.058304132,0,0,33.90816327,116.68479,CDC20
disopyramide MCF7 DOWN,0.032026213,0.058304132,0,0,33.90816327,116.68479,BUB1
clofibrate CTD 00005684,0.032656971,0.0589486,0,0,33.22833333,113.6972863,CCNA2
choline CTD 00005662,0.032656971,0.0589486,0,0,33.22833333,113.6972863,BUB1B
5155877 MCF7 UP,0.032656971,0.0589486,0,0,33.22833333,113.6972863,TXNRD1
securinine PC3 UP,0.03328735,0.059917229,0,0,32.5751634,110.8395293,TXNRD1
thioridazine PC3 DOWN,0.033917349,0.060814086,0,0,31.94711538,108.1035636,BUB1
CADMIUM CTD 00005555,0.034531597,0.060814086,0,0,4.964354697,16.70942476,CCNB1;TXNRD1;BUB1
CHEBI:18224 CTD 00001728,0.034546969,0.060814086,0,0,31.3427673,105.4820603,TXNRD1
hyoscyamine CTD 00005451,0.034546969,0.060814086,0,0,31.3427673,105.4820603,CDC20
"3,3',4,4'-Tetrachlorobiphenyl CTD 00001342",0.034546969,0.060814086,0,0,31.3427673,105.4820603,CCNB2
dl-Thioctic acid CTD 00006215,0.034546969,0.060814086,0,0,31.3427673,105.4820603,TXNRD1
Picrotoxinum BOSS,0.034546969,0.060814086,0,0,31.3427673,105.4820603,CCNB1
etacrynic acid MCF7 UP,0.034546969,0.060814086,0,0,31.3427673,105.4820603,TXNRD1
acetaminophen CTD 00005295,0.034910814,0.061285743,0,0,3.291976611,11.04444536,CCNB1;UBE2C;TXNRD1;BUB1B;KIF11;BUB1
tyrphostin AG-825 MCF7 DOWN,0.03509843,0.061414204,0,0,7.718181818,25.85281316,KIF11;AURKA
verapamil MCF7 DOWN,0.035176211,0.061414204,0,0,30.76080247,102.9682566,CTBP2
Fisetin CTD 00000919,0.035805074,0.062341804,0,0,30.2,100.5559033,CCNB1
BX-795 MRC,0.036433558,0.063263706,0,0,29.65922619,98.23921674,AURKA
TACROLIMUS MONOHYDRATE CTD 00007118,0.037061665,0.064179956,0,0,29.1374269,96.01283727,CCNB2
Caffeic acid phenethyl ester CTD 00002352,0.037689393,0.065090601,0,0,28.63362069,93.87179112,CCNB1
azacitidine MCF7 DOWN,0.037928606,0.065327167,0,0,7.389015152,24.17722467,CCNA2;KIF11
STOCK1N-35215 MCF7 UP,0.038316744,0.06571711,0,0,28.14689266,91.81145674,TXNRD1
cicloheximide HL60 UP,0.038360692,0.06571711,0,0,7.341991342,23.94019267,KIF11;AURKA
ouabain MCF7 DOWN,0.038505154,0.065788217,0,0,7.326446281,23.86196578,CCNA2;KIF11
F0447-0125 MCF7 UP,0.038943717,0.066360094,0,0,27.67638889,89.82753445,TXNRD1
ajmaline HL60 DOWN,0.039961621,0.0679135,0,0,7.174457122,23.10057359,CDC20;KIF11
etacrynic acid HL60 DOWN,0.040196532,0.068131523,0,0,26.78091398,86.07317596,RRM2
JWE-035 LINCS,0.040822374,0.068827169,0,0,26.35449735,84.29551763,AURKA
QUINOLINE CTD 00001749,0.040822374,0.068827169,0,0,26.35449735,84.29551763,CCNB1
Mangiferin CTD 00000713,0.041447839,0.06951488,0,0,25.94140625,82.57978498,CCNB1
15-delta prostaglandin J2 PC3 UP,0.041447839,0.06951488,0,0,25.94140625,82.57978498,TXNRD1
colchicine BOSS,0.042072928,0.070194781,0,0,25.54102564,80.92292853,BUB1B
Melatonin CTD 00006260,0.042072928,0.070194781,0,0,25.54102564,80.92292853,CCNB1
UNII-9XX54M675G CTD 00004634,0.042697641,0.070866993,0,0,25.15277778,79.32209211,TXNRD1
pentetrazol HL60 DOWN,0.042697641,0.070866993,0,0,25.15277778,79.32209211,CTBP2
Mehp CTD 00000849,0.043321977,0.071531637,0,0,24.7761194,77.77459795,TXNRD1
lomustine MCF7 UP,0.043321977,0.071531637,0,0,24.7761194,77.77459795,TXNRD1
disulfiram MCF7 UP,0.043945938,0.072374882,0,0,24.41053922,76.27793309,TXNRD1
quercetin HL60 UP,0.044569523,0.072838683,0,0,24.05555556,74.82973705,TXNRD1
tonzonium bromide PC3 DOWN,0.044569523,0.072838683,0,0,24.05555556,74.82973705,CCNA2
Fludarabine CTD 00001135,0.044569523,0.072838683,0,0,24.05555556,74.82973705,CCNA2
fluoxetine CTD 00005988,0.045192732,0.073668765,0,0,23.71071429,73.42779054,CCNA2
GDC-0941 CTD 00004868,0.045533778,0.074035838,0,0,6.661872967,20.58052978,CCNB1;RRM2
Sodium dodecyl sulfate CTD 00006753,0.045815566,0.074116827,0,0,23.37558685,72.07000517,TXNRD1
baicalein CTD 00000302,0.045815566,0.074116827,0,0,23.37558685,72.07000517,CCNA2
Benzo[b]fluoranthene CTD 00000306,0.046438025,0.074934086,0,0,23.04976852,70.75441406,CCNA2
lamivudine CTD 00007258,0.04706011,0.075556307,0,0,22.73287671,69.47916318,CCNA2
ns-398 CTD 00002958,0.04706011,0.075556307,0,0,22.73287671,69.47916318,CCNB1
thiram CTD 00006883,0.048303155,0.07697186,0,0,22.12444444,67.04278374,TXNRD1
withaferin A MCF7 UP,0.048303155,0.07697186,0,0,22.12444444,67.04278374,TXNRD1
AC1L1FUW CTD 00002630,0.048303155,0.07697186,0,0,22.12444444,67.04278374,BUB1
STOCK1N-35215 PC3 UP,0.048924116,0.077767438,0,0,21.83223684,65.87844366,TXNRD1
anisomycin PC3 DOWN,0.049456737,0.078364023,0,0,6.354153041,19.10475861,CCNA2;BUB1
primidone PC3 DOWN,0.049544703,0.078364023,0,0,21.54761905,64.74800798,BUB1
lanatoside C HL60 DOWN,0.050256146,0.07929303,0,0,6.295900178,18.82866029,RRM2;CTBP2
Kinome 3629 Roche,0.050784756,0.079733314,0,0,21,62.58334007,AURKA
hesperadin TTD 00008420,0.050784756,0.079733314,0,0,21,62.58334007,AURKA
hyoscyamine HL60 DOWN,0.051404222,0.080508083,0,0,20.73645833,61.54653341,CTBP2
KIN001-220 LINCS,0.052023315,0.08127848,0,0,20.47942387,60.53847309,AURKA
NICKEL SULFATE CTD 00001417,0.052357258,0.081448573,0,0,6.149192271,18.13805543,TXNRD1;BUB1
DL-Selenomethionine CTD 00006732,0.052642035,0.081448573,0,0,20.22865854,59.55803219,TXNRD1
Staurosporine MRC,0.052642035,0.081448573,0,0,20.22865854,59.55803219,AURKA
Vorinostat BOSS,0.052642035,0.081448573,0,0,20.22865854,59.55803219,CCNB1
trichostatin A MCF7 DOWN,0.054325372,0.083708939,0,0,6.019547006,17.53351923,CCNA2;CTBP2
GSK1059615 LINCS,0.05449596,0.083708939,0,0,19.51176471,56.7719907,BUB1
Spectrum 001666 CTD 00000796,0.05449596,0.083708939,0,0,19.51176471,56.7719907,RRM2
VX-680/MK-0457 Kinome Scan,0.05511319,0.084454026,0,0,19.28391473,55.89184666,AURKA
cytarabine CTD 00005743,0.055319583,0.084567496,0,0,5.956695332,17.24241896,RRM2;UBE2C
"Octa-2,4,6-trienoic acid CTD 00002551",0.056346535,0.085727229,0,0,18.84375,54.19904429,CCNA2
Dichloromercury CTD 00006273,0.056346535,0.085727229,0,0,18.84375,54.19904429,TXNRD1
chrysin CTD 00001976,0.056962651,0.08645875,0,0,18.63108614,53.38475929,CCNB1
Bexarotene CTD 00003225,0.057578394,0.087186242,0,0,18.42314815,52.59086389,CCNB1
Pirinixic acid CTD 00000280,0.057897479,0.08729065,0,0,3.985989993,11.35641008,CCNB1;TXNRD1;BUB1B
Diallyl trisulfide CTD 00001934,0.058193767,0.08729065,0,0,18.21978022,51.81663639,CCNB1
PKR Inhibitor MRC,0.058193767,0.08729065,0,0,18.21978022,51.81663639,AURKA
ellipticine CTD 00001632,0.058193767,0.08729065,0,0,18.21978022,51.81663639,CCNB1
KIN001-111/A770041 LINCS,0.058808769,0.088006565,0,0,18.02083333,51.06138806,AURKA
proscillaridin HL60 DOWN,0.059704408,0.088805706,0,0,5.698440718,16.06019711,RRM2;CTBP2
Gefitinib CTD 00003879,0.06003766,0.088805706,0,0,17.6356383,49.60522791,AURKA
Cdk1/2 Inhibitor III RBC,0.06003766,0.088805706,0,0,17.6356383,49.60522791,AURKA
UNII-768N7QO4KH BOSS,0.06003766,0.088805706,0,0,17.6356383,49.60522791,CCNB1
chlortetracycline PC3 DOWN,0.06003766,0.088805706,0,0,17.6356383,49.60522791,BUB1
tretinoin MCF7 UP,0.06065155,0.08950656,0,0,17.44912281,48.9030875,TXNRD1
Gefitinib BOSS,0.06126507,0.090203641,0,0,17.26649306,48.21746597,CCNB1
Erlotinib BOSS,0.061878221,0.090896972,0,0,17.08762887,47.5478141,CCNB1
0297417-0002B MCF7 DOWN,0.062491001,0.091168378,0,0,16.91241497,46.89360627,RRM2
okadaic acid CTD 00007275,0.062491001,0.091168378,0,0,16.91241497,46.89360627,CCNB2
33258 Hoechst BOSS,0.062491001,0.091168378,0,0,16.91241497,46.89360627,CCNB1
myricetin CTD 00001847,0.063103412,0.091492528,0,0,16.74074074,46.25433916,CCNB1
hesperidin PC3 DOWN,0.063103412,0.091492528,0,0,16.74074074,46.25433916,BUB1
K252a MRC,0.063715454,0.091492528,0,0,16.5725,45.62953065,AURKA
PHA-767491 LINCS,0.063715454,0.091492528,0,0,16.5725,45.62953065,BUB1
Crizotinib Kinome Scan,0.063715454,0.091492528,0,0,16.5725,45.62953065,AURKA
Phenethyl isothiocyanate CTD 00002443,0.063715454,0.091492528,0,0,16.5725,45.62953065,TXNRD1
"1,2,4-BENZENETRIOL CTD 00000682",0.063715454,0.091492528,0,0,16.5725,45.62953065,TXNRD1
lanatoside C MCF7 DOWN,0.065443386,0.093080099,0,0,5.400363078,14.72446711,CCNA2;KIF11
phenoxybenzamine PC3 DOWN,0.065549365,0.093080099,0,0,16.08737864,43.83733061,CCNA2
Decabromodiphenyl oxide CTD 00000574,0.065549365,0.093080099,0,0,16.08737864,43.83733061,UBE2C
"3,3'-Diindolylmethane CTD 00000841",0.065549365,0.093080099,0,0,16.08737864,43.83733061,CCNB1
AG-028671 MCF7 UP,0.065549365,0.093080099,0,0,16.08737864,43.83733061,BUB1
picrotoxinin HL60 DOWN,0.066159932,0.093324937,0,0,15.93189103,43.26592192,BUB1
Imatinib CTD 00003267,0.066159932,0.093324937,0,0,15.93189103,43.26592192,CCNA2
Axitinib,0.066159932,0.093324937,0,0,15.93189103,43.26592192,AURKA
kaempferol CTD 00000297,0.06677013,0.093978223,0,0,15.77936508,42.70684291,CCNB1
digoxigenin HL60 DOWN,0.067041153,0.094152301,0,0,5.324242424,14.3884916,RRM2;CTBP2
OTSSP167 MRC,0.067989423,0.095274652,0,0,15.48286604,41.62418554,AURKA
scriptaid MCF7 DOWN,0.068472826,0.095708412,0,0,5.258301579,14.09918033,CCNA2;CTBP2
lomustine PC3 DOWN,0.068598518,0.095708412,0,0,15.33873457,41.09989925,CCNA2
apigenin CTD 00007429,0.070423598,0.098040695,0,0,14.92192192,39.59124421,CCNB1
chlorpromazine CTD 00005648,0.071031224,0.098671636,0,0,14.78794643,39.10873134,CCNB2
Glycidamide CTD 00002776,0.071638484,0.09929933,0,0,14.65634218,38.63591875,TXNRD1
LITHOCHOLIC ACID CTD 00006221,0.072245377,0.099923801,0,0,14.52704678,38.17253112,TXNRD1
scriptaid PC3 DOWN,0.072464336,0.100010174,0,0,5.084848485,13.34600227,CCNB2;AURKA
Sorafenib,0.072851904,0.100112616,0,0,14.4,37.71830323,AURKA
