Term,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
clindamycin HL60 DOWN,2.80E-09,7.15E-08,0,0,37.8939769,746.3073051,CCNA2;CDC20;CCNB2;CCNB1;CTBP2;UBE2C;BUB1B;KIF11;BUB1;AURKA
COPPER CTD 00005706,4.03E-09,9.91E-08,0,0,36.37067938,702.9908638,CCNA2;CCNB2;CCNB1;RRM2;UBE2C;TXNRD1;BUB1B;KIF11;HSPG2;AURKA
Bisphenol A CTD 00000312,8.75E-09,2.07E-07,0,0,33.64046289,624.1664531,CCNA2;CDC20;CCNB2;CCNB1;RRM2;UBE2C;BUB1B;KIF11;AURKA
nocodazole BOSS,2.05E-08,4.69E-07,0,0,201.4444444,3565.711737,CCNB1;BUB1B;KIF11;BUB1
etoposide HL60 DOWN,2.24E-08,4.93E-07,0,0,196.9580247,3469.597098,CDC20;CCNB1;UBE2C;BUB1
thioguanosine MCF7 DOWN,2.72E-08,5.80E-07,0,0,85.52586207,1489.830658,CCNA2;BUB1B;KIF11;BUB1;AURKA
irinotecan PC3 DOWN,3.88E-08,7.99E-07,0,0,30.66962664,523.3985554,CCNA2;CCNB2;CTBP2;TXNRD1;BUB1B;KIF11;BUB1;AURKA
bicalutamide CTD 00002279,5.09E-08,1.02E-06,0,0,75.08333333,1260.839499,CCNA2;CDC20;CCNB1;RRM2;BUB1B
Trabectedin CTD 00003298,6.11E-08,1.18E-06,0,0,599.31,9954.81048,CCNA2;CCNB2;CCNB1
resveratrol CTD 00002483,7.02E-08,1.29E-06,0,0,25.99795854,428.2292263,CCNA2;CCNB2;CCNB1;RRM2;TXNRD1;BUB1B;KIF11;BUB1;AURKA
daunorubicin PC3 DOWN,7.04E-08,1.29E-06,0,0,44.82742857,738.247916,CCNA2;CCNB1;CTBP2;BUB1B;KIF11;BUB1
CUPRIC OXIDE CTD 00001471,8.46E-08,1.50E-06,0,0,43.41085271,706.947513,CCNA2;CDC20;CCNB2;CCNB1;RRM2;AURKA
benzo[a]pyrene CTD 00005488,1.40E-07,2.42E-06,0,0,42.36174071,668.421839,CCNA2;CDC20;CCNB2;CCNB1;RRM2;CTBP2;UBE2C;TXNRD1;BUB1B;KIF11;BUB1;AURKA
0175029-0000 PC3 DOWN,1.49E-07,2.50E-06,0,0,27.66093514,434.8403574,CCNA2;CDC20;CCNB2;CCNB1;CTBP2;UBE2C;TXNRD1;BUB1B;KIF11;BUB1;AURKA
SILVER NITRATE CTD 00006743,1.65E-07,2.70E-06,0,0,116.4385965,1818.409179,CCNA2;CCNB1;BUB1B;BUB1
mechlorethamine CTD 00006251,1.74E-07,2.78E-06,0,0,399.44,6216.840321,CCNA2;CCNB1;TXNRD1
