#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCC3	SH2D3A	9606.ENSP00000285238	9606.ENSP00000245908	0	0	0	0	0.075	0.065	0	0.396	0.433
ABCD1	PLXNB3	9606.ENSP00000218104	9606.ENSP00000442736	0	0.001	0	0	0.137	0	0	0.676	0.708
ABHD17A	KRAS	9606.ENSP00000250974	9606.ENSP00000256078	0	0	0	0	0.057	0.042	0.5	0.134	0.556
ACADS	AGPAT2	9606.ENSP00000242592	9606.ENSP00000360761	0.042	0	0	0	0.196	0.045	0.183	0.19	0.425
ACE	SERPINE1	9606.ENSP00000290866	9606.ENSP00000223095	0	0	0	0	0	0.046	0	0.708	0.71
ACE	PKD1	9606.ENSP00000290866	9606.ENSP00000262304	0	0	0	0	0	0	0	0.458	0.457
ACE	CASP3	9606.ENSP00000290866	9606.ENSP00000311032	0	0	0	0	0	0	0	0.463	0.463
ACE	ADM	9606.ENSP00000290866	9606.ENSP00000436607	0	0	0	0	0	0	0	0.507	0.507
ADCY3	ADCY4	9606.ENSP00000384484	9606.ENSP00000312126	0	0	0.077	0.819	0.055	0	0.5	0.192	0.6
ADCY3	PDE8A	9606.ENSP00000384484	9606.ENSP00000378056	0	0	0	0	0.049	0	0.65	0.232	0.722
ADCY4	PDE8A	9606.ENSP00000312126	9606.ENSP00000378056	0	0	0	0	0	0	0.65	0.278	0.736
ADM	SERPINE1	9606.ENSP00000436607	9606.ENSP00000223095	0	0	0	0	0.173	0	0	0.414	0.494
ADM	BHLHE40	9606.ENSP00000436607	9606.ENSP00000256495	0	0	0	0	0.105	0	0	0.391	0.431
AGO4	DGCR8	9606.ENSP00000362306	9606.ENSP00000263209	0	0	0	0	0.062	0	0.72	0.659	0.902
AGO4	P4HA1	9606.ENSP00000362306	9606.ENSP00000263556	0	0	0	0	0.042	0	0	0.623	0.623
AGO4	LIMD1	9606.ENSP00000362306	9606.ENSP00000273317	0	0	0	0	0.06	0.292	0.72	0.126	0.815
AGO4	SCMH1	9606.ENSP00000362306	9606.ENSP00000318094	0	0	0	0	0.044	0	0.5	0.07	0.516
AGO4	CBFB	9606.ENSP00000362306	9606.ENSP00000415151	0	0	0	0	0	0	0.5	0	0.499
AGO4	TNRC6A	9606.ENSP00000362306	9606.ENSP00000379144	0	0	0	0	0	0.746	0.72	0.881	0.99
AGPAT2	DGKQ	9606.ENSP00000360761	9606.ENSP00000273814	0	0	0	0	0.086	0	0.65	0.315	0.761
AGPAT2	LPCAT1	9606.ENSP00000360761	9606.ENSP00000283415	0	0	0	0	0.067	0	0	0.44	0.455
AGPAT2	GPAT4	9606.ENSP00000360761	9606.ENSP00000380184	0	0	0	0	0.074	0	0.65	0.723	0.902
AGPAT2	CDS2	9606.ENSP00000360761	9606.ENSP00000419879	0	0	0	0	0	0	0.955	0.263	0.966
AIFM2	GSR	9606.ENSP00000478931	9606.ENSP00000221130	0.057	0	0	0	0.075	0.046	0.265	0.488	0.63
AIFM2	FTH1	9606.ENSP00000478931	9606.ENSP00000273550	0	0	0	0	0	0	0	0.537	0.537
AIFM2	PPP1R26	9606.ENSP00000478931	9606.ENSP00000349274	0	0	0	0	0.114	0.297	0	0.126	0.408
