#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
GAN	KLHL9	9606.ENSP00000476795	9606.ENSP00000351933	0	0	0	0.689	0	0	0.9	0.608	0.918
GAN	KLHL42	9606.ENSP00000476795	9606.ENSP00000370671	0	0	0	0.578	0.062	0.092	0.9	0.455	0.924
GARS	GSR	9606.ENSP00000373918	9606.ENSP00000221130	0.071	0	0	0	0.072	0	0	0.411	0.447
GARS	GFPT1	9606.ENSP00000373918	9606.ENSP00000349860	0	0	0	0	0.11	0.476	0	0.066	0.526
GARS	SLC6A9	9606.ENSP00000373918	9606.ENSP00000353791	0	0	0	0	0	0	0	0.556	0.556
GARS	MTHFD2	9606.ENSP00000373918	9606.ENSP00000377617	0	0	0	0	0.305	0	0	0.335	0.518
GARS	PLEKHA8	9606.ENSP00000373918	9606.ENSP00000397947	0	0	0	0	0.054	0	0	0.574	0.579
GFPT1	XBP1	9606.ENSP00000349860	9606.ENSP00000216037	0	0	0	0	0.077	0	0.9	0.382	0.938
GFPT1	LRP1	9606.ENSP00000349860	9606.ENSP00000243077	0	0	0	0	0.109	0.485	0	0	0.521
GFPT1	P4HA1	9606.ENSP00000349860	9606.ENSP00000263556	0	0	0	0	0.062	0	0	0.658	0.665
GFPT1	SLC2A1	9606.ENSP00000349860	9606.ENSP00000416293	0.044	0	0	0	0.062	0	0	0.492	0.505
GOLT1A	PPFIA4	9606.ENSP00000308535	9606.ENSP00000272198	0	0	0	0	0	0	0	0.598	0.598
GOLT1A	KLF12	9606.ENSP00000308535	9606.ENSP00000366897	0	0	0	0	0.049	0	0	0.434	0.439
GSR	TXNRD1	9606.ENSP00000221130	9606.ENSP00000434516	0.07	0	0.428	0.809	0.203	0.15	0	0.916	0.478
HELZ2	TRIB3	9606.ENSP00000417401	9606.ENSP00000217233	0	0	0	0	0.062	0.389	0.9	0.046	0.938
HELZ2	MED30	9606.ENSP00000417401	9606.ENSP00000297347	0	0	0	0	0	0	0.6	0.334	0.722
HELZ2	SGK494	9606.ENSP00000417401	9606.ENSP00000301037	0	0	0	0	0.068	0.61	0	0.303	0.724
HELZ2	TDRD7	9606.ENSP00000417401	9606.ENSP00000347444	0.074	0	0	0	0.085	0.192	0	0.232	0.404
HELZ2	MED22	9606.ENSP00000417401	9606.ENSP00000482438	0	0	0	0	0	0	0.6	0	0.6
HELZ2	TXNRD1	9606.ENSP00000417401	9606.ENSP00000434516	0.304	0	0	0	0.062	0	0.9	0	0.929
HSPG2	LRP1	9606.ENSP00000363827	9606.ENSP00000243077	0	0	0	0.538	0.118	0	0.9	0.355	0.922
HSPG2	LAMA5	9606.ENSP00000363827	9606.ENSP00000252999	0	0	0	0.546	0.173	0.11	0.6	0.694	0.778
HSPG2	LTBP3	9606.ENSP00000363827	9606.ENSP00000301873	0	0	0	0	0.112	0.066	0	0.339	0.404
HSPG2	SDC3	9606.ENSP00000363827	9606.ENSP00000344468	0	0	0	0	0.065	0	0.3	0.629	0.736
HSPG2	SDC4	9606.ENSP00000363827	9606.ENSP00000361818	0	0	0	0	0.07	0	0.3	0.667	0.764
HSPG2	PLXNB3	9606.ENSP00000363827	9606.ENSP00000442736	0	0	0	0	0.099	0.121	0	0.414	0.495
HSPG2	VEGFA	9606.ENSP00000363827	9606.ENSP00000478570	0	0	0	0	0.077	0	0.8	0.789	0.957
HUS1	MUS81	9606.ENSP00000258774	9606.ENSP00000307853	0	0	0	0	0.063	0	0	0.546	0.556
HUS1	NEIL1	9606.ENSP00000258774	9606.ENSP00000347170	0	0	0	0	0	0.297	0	0.718	0.793
IFNE	IL27RA	9606.ENSP00000418018	9606.ENSP00000263379	0	0	0	0	0	0	0.6	0.072	0.612
IFNE	KLHL9	9606.ENSP00000418018	9606.ENSP00000351933	0	0	0	0	0	0	0	0.636	0.636
INF2	VASP	9606.ENSP00000376410	9606.ENSP00000245932	0	0	0	0	0.107	0.213	0	0.221	0.404
INF2	MIEF2	9606.ENSP00000376410	9606.ENSP00000379057	0	0	0	0	0	0	0	0.522	0.522
INF2	SYNPO	9606.ENSP00000376410	9606.ENSP00000377789	0	0	0	0	0.096	0.165	0	0.561	0.64
INF2	SPIRE1	9606.ENSP00000376410	9606.ENSP00000387266	0	0	0	0	0	0.151	0	0.699	0.734
IQSEC1	TANC2	9606.ENSP00000480301	9606.ENSP00000387593	0	0	0	0	0.062	0.094	0	0.379	0.427
IRF5	PXK	9606.ENSP00000349770	9606.ENSP00000348472	0	0	0	0	0.052	0	0	0.595	0.599
ITCH	TRAF2	9606.ENSP00000480499	9606.ENSP00000247668	0	0	0	0	0.062	0.373	0	0.147	0.454
ITCH	SMAD4	9606.ENSP00000480499	9606.ENSP00000341551	0	0	0	0	0.062	0.174	0	0.499	0.578
ITCH	SPG20	9606.ENSP00000480499	9606.ENSP00000414147	0	0	0	0	0	0.764	0	0.545	0.888
ITPRIPL2	MIEF2	9606.ENSP00000370849	9606.ENSP00000379057	0	0	0	0	0	0	0	0.649	0.649
KCTD11	KDM4B	9606.ENSP00000328352	9606.ENSP00000159111	0	0	0	0	0	0	0	0.649	0.649
KCTD11	KCTD9	9606.ENSP00000328352	9606.ENSP00000221200	0	0	0	0	0	0	0	0.606	0.606
KCTD15	TACC1	9606.ENSP00000394390	9606.ENSP00000321703	0	0	0	0	0	0	0	0.429	0.429
KCTD9	MTHFD2	9606.ENSP00000221200	9606.ENSP00000377617	0.132	0	0	0	0	0	0	0.605	0.642
KDM3A	KDM4B	9606.ENSP00000386660	9606.ENSP00000159111	0	0	0	0	0.094	0	0	0.765	0.778
KDM3A	KDM7A	9606.ENSP00000386660	9606.ENSP00000380692	0	0	0	0	0.086	0	0.3	0.668	0.769
KDM4B	KDM7A	9606.ENSP00000159111	9606.ENSP00000380692	0	0	0	0	0.166	0.158	0	0.669	0.747
KDM7A	SMARCA1	9606.ENSP00000380692	9606.ENSP00000360162	0	0	0	0	0.095	0.376	0	0.095	0.444
KIF12	KIFC2	9606.ENSP00000363232	9606.ENSP00000301332	0	0	0	0.622	0.071	0	0.3	0.439	0.428
KLF12	TANC2	9606.ENSP00000366897	9606.ENSP00000387593	0	0	0	0	0.049	0.078	0	0.434	0.46
KLHL42	LZTR1	9606.ENSP00000370671	9606.ENSP00000215739	0	0	0	0	0	0	0.9	0.066	0.902
KLHL42	KLHL9	9606.ENSP00000370671	9606.ENSP00000351933	0	0	0	0.643	0.062	0.092	0.9	0.812	0.934
KLHL9	LZTR1	9606.ENSP00000351933	9606.ENSP00000215739	0	0	0	0.548	0.051	0	0.9	0.154	0.906
KRAS	SLC2A3	9606.ENSP00000256078	9606.ENSP00000075120	0	0	0	0	0.054	0.3	0	0.27	0.474
KRAS	TNS1	9606.ENSP00000256078	9606.ENSP00000171887	0	0	0	0	0	0.126	0	0.465	0.513
KRAS	LZTR1	9606.ENSP00000256078	9606.ENSP00000215739	0	0	0	0	0	0.856	0	0.293	0.893
KRAS	SPRY4	9606.ENSP00000256078	9606.ENSP00000344967	0	0	0	0	0	0.209	0	0.328	0.446
KRAS	SPRY2	9606.ENSP00000256078	9606.ENSP00000366306	0	0	0	0	0	0.139	0	0.412	0.472
KRAS	SLC2A1	9606.ENSP00000256078	9606.ENSP00000416293	0	0	0	0	0.054	0.056	0	0.504	0.518
KRAS	VEGFA	9606.ENSP00000256078	9606.ENSP00000478570	0	0	0	0	0	0	0	0.712	0.712
KRAS	SMAD4	9606.ENSP00000256078	9606.ENSP00000341551	0	0	0	0	0.064	0.062	0	0.864	0.871
KRAS	RALB	9606.ENSP00000256078	9606.ENSP00000272519	0	0	0.441	0.931	0	0.122	0.9	0.533	0.914
KRAS	MAP3K11	9606.ENSP00000256078	9606.ENSP00000309597	0	0	0	0	0	0.143	0.9	0.194	0.924
KRAS	RASSF1	9606.ENSP00000256078	9606.ENSP00000349547	0	0	0	0	0	0.078	0.8	0.863	0.972
KRT8	PKD1	9606.ENSP00000449404	9606.ENSP00000262304	0	0	0	0	0	0.213	0	0.325	0.446
L3MBTL1	RCOR1	9606.ENSP00000398516	9606.ENSP00000262241	0	0	0	0	0.066	0.319	0	0.188	0.439
L3MBTL1	ZDBF2	9606.ENSP00000398516	9606.ENSP00000363545	0	0	0	0	0	0	0	0.452	0.452
LAMA5	LRP1	9606.ENSP00000252999	9606.ENSP00000243077	0	0	0	0	0.076	0.251	0	0.251	0.437
LHFPL2	SLC37A1	9606.ENSP00000369702	9606.ENSP00000344648	0	0	0	0	0.049	0	0	0.601	0.604
LIMD1	VASP	9606.ENSP00000273317	9606.ENSP00000245932	0	0	0	0	0	0.16	0	0.399	0.473
LIMD1	WTIP	9606.ENSP00000273317	9606.ENSP00000466953	0	0	0	0.926	0	0	0.8	0.744	0.81
LIMD1	TNRC6A	9606.ENSP00000273317	9606.ENSP00000379144	0	0	0	0	0	0.27	0.9	0.701	0.976
LIMD2	RPA4	9606.ENSP00000259006	9606.ENSP00000362131	0	0	0	0	0.063	0	0	0.449	0.462
LIMD2	PDLIM2	9606.ENSP00000259006	9606.ENSP00000312634	0	0	0	0	0.062	0.149	0	0.687	0.729
LPCAT1	PAFAH1B2	9606.ENSP00000283415	9606.ENSP00000435289	0	0	0	0	0.062	0	0.8	0.067	0.809
LRP1	SERPINE1	9606.ENSP00000243077	9606.ENSP00000223095	0	0	0	0	0.07	0.283	0.9	0.988	0.999
LRP1	SMAD4	9606.ENSP00000243077	9606.ENSP00000341551	0	0	0	0	0	0	0	0.437	0.438
LRP1	SDC4	9606.ENSP00000243077	9606.ENSP00000361818	0	0	0	0	0	0	0.9	0.145	0.91
LRP1	SDC3	9606.ENSP00000243077	9606.ENSP00000344468	0	0	0	0	0.146	0	0.9	0.111	0.917
LRRFIP1	RAB17	9606.ENSP00000375857	9606.ENSP00000264601	0	0	0	0	0	0	0	0.503	0.503
LTBP3	MAP3K11	9606.ENSP00000301873	9606.ENSP00000309597	0	0	0	0	0.06	0.08	0	0.37	0.407
LTBP3	SLC4A2	9606.ENSP00000301873	9606.ENSP00000419412	0	0	0	0	0.054	0	0	0.553	0.559
MAN1A1	MAN2A2	9606.ENSP00000357453	9606.ENSP00000452948	0	0	0	0	0.062	0	0.9	0.606	0.959
MAP3K11	TRAF2	9606.ENSP00000309597	9606.ENSP00000247668	0	0	0	0	0.062	0.314	0	0.198	0.439
MAP3K11	SMAD4	9606.ENSP00000309597	9606.ENSP00000341551	0	0	0	0	0	0.107	0	0.442	0.481
MED22	MED30	9606.ENSP00000482438	9606.ENSP00000297347	0	0	0	0	0.188	0.619	0.9	0.805	0.993
MED22	VAV2	9606.ENSP00000482438	9606.ENSP00000360916	0	0	0	0	0	0	0	0.605	0.605
MLLT6	TNRC18	9606.ENSP00000479910	9606.ENSP00000395538	0	0	0	0	0.108	0	0	0.362	0.407
MOAP1	RASSF1	9606.ENSP00000451594	9606.ENSP00000349547	0	0	0	0	0	0.213	0	0.981	0.985
MOB3C	SGK494	9606.ENSP00000271139	9606.ENSP00000301037	0	0	0	0	0.062	0.262	0	0.206	0.402
MTHFD1L	MTHFD2	9606.ENSP00000478253	9606.ENSP00000377617	0.167	0	0	0.591	0.226	0	0.9	0.925	0.956
MTHFD2	TRIB3	9606.ENSP00000377617	9606.ENSP00000217233	0	0	0	0	0.178	0	0	0.417	0.5
MTHFD2	SLC7A5	9606.ENSP00000377617	9606.ENSP00000261622	0	0	0	0	0.274	0	0	0.32	0.485
MTHFD2	TXNRD1	9606.ENSP00000377617	9606.ENSP00000434516	0.324	0	0	0	0.127	0	0	0.227	0.504
MUS81	SMARCA1	9606.ENSP00000307853	9606.ENSP00000360162	0	0	0	0	0.083	0.225	0	0.351	0.498
MUS81	PLK3	9606.ENSP00000307853	9606.ENSP00000361275	0	0	0	0	0.081	0.242	0	0.379	0.529
MUS81	SIPA1	9606.ENSP00000307853	9606.ENSP00000377771	0	0	0	0	0.069	0	0	0.614	0.626
MUS81	SMC5	9606.ENSP00000307853	9606.ENSP00000354957	0	0	0	0	0.063	0.181	0	0.847	0.872
NACC2	TRIM27	9606.ENSP00000277554	9606.ENSP00000366404	0	0	0	0	0.056	0.062	0	0.388	0.41
NACC2	PPP1R26	9606.ENSP00000277554	9606.ENSP00000349274	0	0	0	0	0.087	0	0	0.535	0.557
NEIL1	NINL	9606.ENSP00000347170	9606.ENSP00000278886	0	0	0	0	0	0	0	0.4	0.4
NOL4L	ZNF284	9606.ENSP00000483523	9606.ENSP00000411032	0	0	0	0	0	0	0	0.45	0.45
P4HA1	SLC2A1	9606.ENSP00000263556	9606.ENSP00000416293	0	0	0	0	0.082	0	0	0.432	0.457
P4HA1	PLOD2	9606.ENSP00000263556	9606.ENSP00000282903	0	0	0	0	0.191	0	0	0.755	0.793
P4HA1	PYCR2	9606.ENSP00000263556	9606.ENSP00000342502	0	0	0	0	0	0	0.9	0.062	0.902
PAFAH1B2	VLDLR	9606.ENSP00000435289	9606.ENSP00000371532	0	0	0	0	0	0.182	0.9	0.309	0.938
PCK2	SLC2A1	9606.ENSP00000216780	9606.ENSP00000416293	0	0	0	0	0.082	0	0	0.407	0.432
PCNXL3	SIPA1	9606.ENSP00000347931	9606.ENSP00000377771	0	0.178	0	0	0.063	0	0	0.337	0.445
PDK1	SLC2A3	9606.ENSP00000376352	9606.ENSP00000075120	0	0	0	0	0.064	0.056	0	0.614	0.629
PDK1	VEGFA	9606.ENSP00000376352	9606.ENSP00000478570	0	0	0	0	0	0	0	0.459	0.459
PDK1	SLC2A1	9606.ENSP00000376352	9606.ENSP00000416293	0	0	0	0	0.064	0.056	0	0.703	0.715
PDLIM2	PDLIM7	9606.ENSP00000312634	9606.ENSP00000348099	0	0	0	0.582	0	0	0.54	0.609	0.654
PEAR1	ZMIZ2	9606.ENSP00000344465	9606.ENSP00000311778	0	0	0	0	0	0	0	0.588	0.588
PITPNM1	PLEKHA8	9606.ENSP00000348772	9606.ENSP00000397947	0	0	0	0	0.062	0	0	0.466	0.477
PITPNM1	PPP1R26	9606.ENSP00000348772	9606.ENSP00000349274	0	0	0	0	0.062	0	0	0.605	0.614
PKD1	RAB11FIP3	9606.ENSP00000262304	9606.ENSP00000262305	0	0	0	0	0.098	0	0.6	0.124	0.656
PKN1	UCHL1	9606.ENSP00000343325	9606.ENSP00000284440	0	0	0	0	0	0	0	0.45	0.45
PLK3	SNCA	9606.ENSP00000361275	9606.ENSP00000338345	0	0	0	0	0	0.27	0	0.228	0.413
PLK3	PTPDC1	9606.ENSP00000361275	9606.ENSP00000477817	0	0	0	0	0.064	0.347	0	0.196	0.465
PLOD2	SLC2A3	9606.ENSP00000282903	9606.ENSP00000075120	0	0	0	0	0	0	0	0.423	0.423
PLOD2	SEC24D	9606.ENSP00000282903	9606.ENSP00000280551	0	0	0	0	0.062	0	0	0.547	0.557
PLOD2	SLC2A1	9606.ENSP00000282903	9606.ENSP00000416293	0	0	0	0	0.062	0	0	0.423	0.435
PLXNB3	VEGFA	9606.ENSP00000442736	9606.ENSP00000478570	0	0	0	0	0.065	0	0	0.406	0.421
PLXNB3	SEMA3B	9606.ENSP00000442736	9606.ENSP00000484146	0	0	0	0	0.163	0.213	0	0.878	0.912
PPP1R26	TRIM27	9606.ENSP00000349274	9606.ENSP00000366404	0	0	0	0	0	0	0	0.594	0.594
PTPDC1	SGK494	9606.ENSP00000477817	9606.ENSP00000301037	0	0	0	0	0.051	0.344	0	0.19	0.451
PTPN9	RAB11FIP2	9606.ENSP00000482732	9606.ENSP00000347839	0	0	0	0	0	0	0	0.556	0.556
RAB11FIP2	RAB11FIP3	9606.ENSP00000347839	9606.ENSP00000262305	0	0	0	0	0.062	0	0	0.806	0.81
RAB11FIP3	WDR44	9606.ENSP00000262305	9606.ENSP00000254029	0	0	0	0	0	0	0	0.456	0.456
RASGEF1A	TTC9	9606.ENSP00000363583	9606.ENSP00000256367	0	0	0	0	0.088	0	0	0.474	0.5
RASGEF1A	VAV2	9606.ENSP00000363583	9606.ENSP00000360916	0	0	0	0	0	0	0	0.47	0.47
RASSF3	ZMIZ2	9606.ENSP00000443021	9606.ENSP00000311778	0	0	0	0	0	0	0	0.451	0.451
RCOR1	SCMH1	9606.ENSP00000262241	9606.ENSP00000318094	0	0	0	0	0.066	0.159	0.65	0.143	0.732
RCOR1	SAP30	9606.ENSP00000262241	9606.ENSP00000296504	0	0	0	0	0.082	0	0.6	0.395	0.758
RGS19	SLC2A1	9606.ENSP00000378483	9606.ENSP00000416293	0	0	0	0	0	0.062	0	0.443	0.455
RHPN2	TANC2	9606.ENSP00000254260	9606.ENSP00000387593	0	0	0	0	0.062	0	0	0.611	0.619
SAP30	SPHK2	9606.ENSP00000296504	9606.ENSP00000245222	0	0	0	0	0	0	0	0.437	0.437
SAP30	TNRC18	9606.ENSP00000296504	9606.ENSP00000395538	0	0	0	0	0	0.492	0	0	0.491
SAP30	SMAD4	9606.ENSP00000296504	9606.ENSP00000341551	0	0	0	0	0.069	0	0.9	0.06	0.904
SAP30	TGIF1	9606.ENSP00000296504	9606.ENSP00000327959	0	0	0	0	0.082	0	0.9	0.149	0.915
SDC3	SDC4	9606.ENSP00000344468	9606.ENSP00000361818	0	0	0	0.724	0.062	0.407	0.9	0.855	0.953
SDC4	VEGFA	9606.ENSP00000361818	9606.ENSP00000478570	0	0	0	0	0.069	0	0	0.565	0.578
SEMA3B	VEGFA	9606.ENSP00000484146	9606.ENSP00000478570	0	0	0	0	0.089	0	0	0.688	0.704
SERPINE1	VEGFA	9606.ENSP00000223095	9606.ENSP00000478570	0	0	0	0	0.076	0	0	0.71	0.72
SERPINE1	TGIF1	9606.ENSP00000223095	9606.ENSP00000327959	0	0	0	0	0.066	0	0.9	0.144	0.913
SERPINE1	SMAD4	9606.ENSP00000223095	9606.ENSP00000341551	0	0	0	0	0	0.058	0.9	0.627	0.961
SERPINE1	VLDLR	9606.ENSP00000223095	9606.ENSP00000371532	0	0	0	0	0	0.059	0.9	0.917	0.991
SLC1A4	SLC2A1	9606.ENSP00000234256	9606.ENSP00000416293	0	0	0	0	0.062	0	0	0.497	0.508
SLC1A4	SLC6A9	9606.ENSP00000234256	9606.ENSP00000353791	0.047	0	0	0	0.062	0	0	0.575	0.587
SLC1A4	SLC38A1	9606.ENSP00000234256	9606.ENSP00000449756	0	0	0	0	0.096	0.066	0	0.658	0.686
SLC1A4	SLC7A5	9606.ENSP00000234256	9606.ENSP00000261622	0	0	0	0	0.063	0.061	0	0.774	0.784
SLC2A1	SLC7A5	9606.ENSP00000416293	9606.ENSP00000261622	0	0	0	0	0.131	0.058	0	0.643	0.682
SLC2A1	SLC38A1	9606.ENSP00000416293	9606.ENSP00000449756	0	0	0	0	0.085	0	0	0.481	0.505
SLC2A1	VEGFA	9606.ENSP00000416293	9606.ENSP00000478570	0	0	0	0	0.062	0	0	0.765	0.77
SLC2A3	SLC7A5	9606.ENSP00000075120	9606.ENSP00000261622	0	0	0	0	0.062	0.058	0	0.429	0.452
SLC2A3	VEGFA	9606.ENSP00000075120	9606.ENSP00000478570	0	0	0	0	0	0	0	0.468	0.468
SLC2A3	SLC38A1	9606.ENSP00000075120	9606.ENSP00000449756	0	0	0	0	0.062	0	0	0.522	0.532
SLC38A1	SLC7A5	9606.ENSP00000449756	9606.ENSP00000261622	0	0	0	0	0.062	0.26	0	0.692	0.768
SLC6A9	SLC7A5	9606.ENSP00000353791	9606.ENSP00000261622	0.041	0	0	0	0.098	0.161	0	0.476	0.569
SLC7A5	TRIB3	9606.ENSP00000261622	9606.ENSP00000217233	0	0	0	0	0.136	0.058	0	0.602	0.647
SMAD4	TGIF1	9606.ENSP00000341551	9606.ENSP00000327959	0	0	0	0	0.062	0.076	0.9	0.338	0.935
SMAD4	VEGFA	9606.ENSP00000341551	9606.ENSP00000478570	0	0	0	0	0	0	0	0.566	0.566
SMC5	TXNRD1	9606.ENSP00000354957	9606.ENSP00000434516	0.051	0	0	0	0.066	0.078	0	0.426	0.468
SNCA	UCHL1	9606.ENSP00000338345	9606.ENSP00000284440	0	0	0	0	0.092	0	0.9	0.839	0.984
SPATA20	TES	9606.ENSP00000006658	9606.ENSP00000350937	0	0	0	0	0.049	0	0	0.462	0.467
SPATA2L	VPS9D1	9606.ENSP00000289805	9606.ENSP00000374037	0	0	0	0	0.138	0	0	0.504	0.554
SPEG	TNS1	9606.ENSP00000311684	9606.ENSP00000171887	0	0	0	0	0.087	0.056	0	0.434	0.469
SPG20	SPRY4	9606.ENSP00000414147	9606.ENSP00000344967	0	0	0	0	0	0	0	0.64	0.64
SPG20	SPRY2	9606.ENSP00000414147	9606.ENSP00000366306	0	0	0	0	0	0	0	0.549	0.549
SPHK2	TRAF2	9606.ENSP00000245222	9606.ENSP00000247668	0	0	0	0	0.062	0	0	0.452	0.464
SPRY2	SPRY4	9606.ENSP00000366306	9606.ENSP00000344967	0	0	0	0.883	0.141	0.345	0.9	0.814	0.944
TACC1	TDRD7	9606.ENSP00000321703	9606.ENSP00000347444	0	0	0	0	0	0.27	0.9	0.243	0.939
TES	VASP	9606.ENSP00000350937	9606.ENSP00000245932	0	0	0	0	0.078	0.717	0	0.508	0.861
TMCO3	TXNRD1	9606.ENSP00000389399	9606.ENSP00000434516	0.309	0	0	0	0	0	0	0.188	0.414
TMED5	WNT7B	9606.ENSP00000359305	9606.ENSP00000341032	0	0	0	0	0	0.102	0.9	0.094	0.911
TNFRSF18	TRAF2	9606.ENSP00000328207	9606.ENSP00000247668	0	0	0	0	0.062	0.486	0	0.243	0.603
TNS1	VEGFA	9606.ENSP00000171887	9606.ENSP00000478570	0	0	0	0	0	0	0	0.468	0.468
TRAF2	XBP1	9606.ENSP00000247668	9606.ENSP00000216037	0	0	0	0	0	0	0	0.586	0.586
TRAF2	TRAF5	9606.ENSP00000247668	9606.ENSP00000261464	0	0	0	0.84	0.049	0.683	0.9	0.941	0.972
TRIB3	XBP1	9606.ENSP00000217233	9606.ENSP00000216037	0	0	0	0	0.069	0	0	0.527	0.541
TRIM11	TRIM56	9606.ENSP00000284551	9606.ENSP00000305161	0	0	0	0	0	0	0	0.418	0.418
TRIM27	TRIM56	9606.ENSP00000366404	9606.ENSP00000305161	0	0	0	0	0.049	0	0	0.547	0.551
TXNRD1	VIMP	9606.ENSP00000434516	9606.ENSP00000381282	0	0	0	0	0.06	0	0	0.716	0.721
UCHL1	USP35	9606.ENSP00000284440	9606.ENSP00000431876	0	0	0	0	0	0	0	0.401	0.401
VAV2	VEGFA	9606.ENSP00000360916	9606.ENSP00000478570	0	0	0	0	0.068	0	0.9	0.31	0.93
VIMP	VLDLR	9606.ENSP00000381282	9606.ENSP00000371532	0	0	0	0	0	0	0.54	0	0.54
ZDBF2	ZNF251	9606.ENSP00000363545	9606.ENSP00000292562	0	0	0	0	0	0	0	0.628	0.628
