#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ANO1	CLCC1	9606.ENSP00000347454	9606.ENSP00000349456	0	0	0	0	0	0	0.54	0.061	0.549
APH1B	SDC3	9606.ENSP00000261879	9606.ENSP00000344468	0	0	0	0	0	0	0.9	0.097	0.905
ARFGAP3	CTBP1	9606.ENSP00000263245	9606.ENSP00000290921	0	0	0	0	0.062	0.063	0	0.381	0.408
ARFGAP3	SNCA	9606.ENSP00000263245	9606.ENSP00000338345	0	0	0	0	0	0	0	0.488	0.488
ARFGAP3	CTBP2	9606.ENSP00000263245	9606.ENSP00000311825	0	0	0	0	0.062	0.063	0	0.822	0.83
ARHGEF16	DOCK11	9606.ENSP00000367629	9606.ENSP00000276202	0	0	0	0	0.064	0.076	0	0.735	0.751
ARHGEF16	DOCK9	9606.ENSP00000367629	9606.ENSP00000365643	0	0	0	0	0.064	0.076	0	0.388	0.424
ATP2B1	KRAS	9606.ENSP00000392043	9606.ENSP00000256078	0	0	0	0	0.065	0.442	0	0	0.456
ATP2B1	SH2B3	9606.ENSP00000392043	9606.ENSP00000345492	0	0	0	0	0	0	0	0.478	0.478
ATP8B2	ATP9A	9606.ENSP00000357475	9606.ENSP00000342481	0	0	0	0.764	0.089	0.257	0	0.717	0.411
ATP8B2	FAM169A	9606.ENSP00000357475	9606.ENSP00000373808	0	0	0	0	0	0	0	0.436	0.436
ATP8B2	MEX3D	9606.ENSP00000357475	9606.ENSP00000384398	0	0	0	0	0.062	0	0	0.558	0.567
ATP9A	KLF13	9606.ENSP00000342481	9606.ENSP00000302456	0	0	0	0	0	0.057	0	0.391	0.401
BCOR	KRAS	9606.ENSP00000367705	9606.ENSP00000256078	0	0	0	0	0	0	0	0.419	0.418
BCOR	CTBP1	9606.ENSP00000367705	9606.ENSP00000290921	0	0	0	0	0	0.232	0	0.434	0.546
BCOR	ZC3H7B	9606.ENSP00000367705	9606.ENSP00000345793	0	0	0	0	0	0	0	0.811	0.812
BCOR	TRIM27	9606.ENSP00000367705	9606.ENSP00000366404	0	0	0	0	0	0.397	0	0.094	0.43
BCOR	CHD7	9606.ENSP00000367705	9606.ENSP00000392028	0	0	0	0	0.062	0	0	0.407	0.42
BCOR	BCORL1	9606.ENSP00000367705	9606.ENSP00000437775	0	0	0	0.606	0.138	0	0	0.846	0.423
BCORL1	DOCK11	9606.ENSP00000437775	9606.ENSP00000276202	0	0	0	0	0.139	0	0	0.663	0.698
BCORL1	CTBP1	9606.ENSP00000437775	9606.ENSP00000290921	0	0	0	0	0	0.494	0	0.819	0.905
BCORL1	SCMH1	9606.ENSP00000437775	9606.ENSP00000318094	0	0	0	0	0	0	0	0.485	0.485
BCORL1	ZC3H7B	9606.ENSP00000437775	9606.ENSP00000345793	0	0	0	0	0	0	0	0.521	0.521
BHLHE40	CTBP2	9606.ENSP00000256495	9606.ENSP00000311825	0	0	0	0	0	0.212	0	0.299	0.423
BIK	CASP3	9606.ENSP00000216115	9606.ENSP00000311032	0	0	0	0	0	0	0	0.479	0.479
BIK	BNIP3	9606.ENSP00000216115	9606.ENSP00000357625	0	0	0	0	0	0.094	0	0.477	0.506
BMP1	SEC24D	9606.ENSP00000305714	9606.ENSP00000280551	0	0	0	0	0.062	0	0	0.39	0.403
BMP1	PLOD2	9606.ENSP00000305714	9606.ENSP00000282903	0	0	0	0	0.079	0	0	0.601	0.617
BMP1	HSPG2	9606.ENSP00000305714	9606.ENSP00000363827	0	0	0	0	0.154	0.213	0.9	0.471	0.96
BNIP3	SLC2A3	9606.ENSP00000357625	9606.ENSP00000075120	0	0	0	0	0.051	0.056	0	0.418	0.433
BNIP3	P4HA1	9606.ENSP00000357625	9606.ENSP00000263556	0	0	0	0	0.136	0	0	0.444	0.499
BNIP3	DDIT4	9606.ENSP00000357625	9606.ENSP00000307305	0	0	0	0	0.062	0	0	0.614	0.622
