Category,Term,Count,PValue,Genes,Fold Enrichment,FDR
GOTERM_CC_DIRECT,GO:0005737~cytoplasm,132,3.52E-04,"SCARB1, FAM89B, GMNN, MT1M, CTNND1, BUB1B, MT1X, ABCA12, AQP3, IPO4, RGS2, MT2A, SESN3, RASSF5, STMN1, CHP1, TGM5, RPS10, TGM3, FST, SLC30A1, DNAAF5, LMO7, JMJD8, INPP4B, OLFM2, PSME1, MT1F, GEMIN4, PSME2, MT1H, SPATA18, MT1E, CEMIP, DLX5, CDCA5, NOLC1, NCAPG, HMMR, DDX60, MTMR4, HIF1A, C12ORF57, CCNB2, CCNB1, PDZD2, EIF4EBP3, SAC3D1, SPRR2D, MFAP3L, FANCI, BTF3, RPL41, TPRG1, PLK2, IFI44, ISG15, CNFN, MT4, EEF2, MRPL21, NDC80, IL1F10, TPX2, DIAPH3, NACA, KIF4A, ID4, CALM3, COPS8, GSDME, CITED2, ZFAS1, HSPB8, QPRT, ZBTB8OS, YBX1, KIF11, SIPA1L2, OASL, ROBO1, MMP28, GET3, DLGAP5, CEP55, ZNF365, EDN1, SERPINB2, MIOS, ARG1, GAB1, COMMD1, TENT5B, REXO2, CCNA2, ASPM, ARL4A, TUBB2A, PSMA2, BIRC5, NAA38, KIF2C, PABPC1, SGK1, PFDN5, CRYAB, HDAC5, KRT80, OAT, ACSS2, TUFT1, TYMS, PHYHIP, AURKA, PSMB6, PPP1R7, GBP2, FILIP1L, RPL18, FNIP2, KLK13, NAP1L1, SHCBP1, CENPF, WEE1, PSMC5, KITLG, NLRP10, PRC1, CDK2AP2, PFKM, CDKN3",1.302492109,0.013398493
GOTERM_CC_DIRECT,"GO:0000775~chromosome, centromeric region",7,9.17E-04,"CENPF, CDCA5, HJURP, BIRC5, KIF2C, SMC1A, NDC80",6.179162903,0.032025394
GOTERM_CC_DIRECT,GO:0005654~nucleoplasm,96,0.001344838,"EHF, MCM7, CITED2, COX4I1, HSPB8, NCAPG2, GMNN, HJURP, ZBTB8OS, MCM10, YBX1, FOXM1, AQP3, IPO4, OASL, CDC20, CDC23, EXO1, CTSK, MYBL2, GET3, RPS10, ZNF385A, ZHX3, MIOS, C17ORF49, LMO7, COMMD1, NAV2, SMC1A, CCNA2, MYCL, SCNN1G, ARL4A, OLFM2, LTB4R2, SAPCD2, PSMA2, NCL, RBP1, HAT1, GEMIN4, PSME1, BIRC5, PSME2, MCM5, NAA38, KIF20A, SNRPF, SGK1, CRYAB, PPARD, HDAC5, OAT, ATF6B, PSMD13, CDCA5, NOLC1, RPS4Y1, HIF1A, AURKA, PSMB6, NT5E, CCNB1, COMMD9, NTHL1, POLR2F, GBP2, BUB1, POLR2K, MFAP3L, FANCI, CDT1, TFAP2C, CBX4, UBE2C, WDR18, XRCC1, ISG15, SSRP1, GRHL1, NDC80, TPX2, CENPF, WEE1, PSMC5, POLA2, TBL3, NLRP10, PRC1, KIF4A, ID4, CALM3, GPR107, HPSE, COPS8",1.344107943,0.043345148
GOTERM_CC_DIRECT,GO:0042788~polysomal ribosome,5,0.002183195,"BTF3, RPL41, EIF3H, RPL18, RPL39",8.969752601,0.065339895
GOTERM_CC_DIRECT,GO:0015630~microtubule cytoskeleton,11,0.002826097,"CCNB2, TPX2, TUBB2A, CKAP2L, PRC1, BIRC5, CHP1, KIF2C, HMMR, SKA1, AURKA",3.137113474,0.078942319
GOTERM_CC_DIRECT,GO:0000502~proteasome complex,6,0.003796934,"PSMB6, PSMC5, PSMA2, PSMD13, PSME1, PSME2",5.753013737,0.09943221
GOTERM_CC_DIRECT,GO:0072686~mitotic spindle,9,0.004330651,"TPX2, TUBB2A, CKAP2L, WDR62, KIF11, SKA3, SKA1, DLGAP5, AURKA",3.500085281,0.106737809
GOTERM_CC_DIRECT,GO:0005680~anaphase-promoting complex,4,0.007762408,"CDC20, CDC23, UBE2C, BUB1B",9.671733239,0.180691615
GOTERM_CC_DIRECT,GO:0005743~mitochondrial inner membrane,18,0.008436187,"COX7B, NDUFA11, ATP5PB, NDUFB11, COX4I1, TMEM160, SDHD, TYMS, COX6A1, MRPL21, MRPL11, HADHB, COQ3, COQ2, MRPS9, CYP24A1, MPC1, NDUFS3",2.022271495,0.186040133
GOTERM_CC_DIRECT,GO:0016020~membrane,122,0.009486712,"SLC35B2, SCARB1, NCF2, CD81, ABCA12, AQP3, IPO4, AADACL2, SCAMP4, STMN1, B2M, RPS10, SLC15A1, SLC30A1, LMO7, HLA-A, KRT9, HLA-E, SCAMP2, BSCL2, TOM1L2, INPP4B, MYL6, CCDC80, LTB4R2, DAAM1, NCL, SCNN1B, GEMIN4, PSME2, PHLDB2, COL17A1, PMEL, SMIM5, PSMD13, NCAPG, HMMR, RPS4Y1, MTMR4, ADIPOR1, HSP90B1, DPP4, XKRX, HCAR3, CCNB2, CCNB1, SYNGR1, TSPAN9, EIF4EBP3, MPDU1, MFAP3L, FANCI, FIS1, TMEM50B, EEF2, SYT8, NDC80, COQ2, TMEM237, KIF4A, CHMP2A, RAET1L, TNFSF9, GPR107, HPSE, GSDME, PIGS, SLC44A5, NRP2, SLC44A3, ABCD3, MCM7, SLC44A2, COX4I1, TECR, NCAPG2, KIF11, NAT14, SPPL3, NKPD1, OASL, TMEM101, GLIPR1, CTSK, CEP55, ATP6AP1, PDCD1LG2, ADGRF2, BACE2, MCM5, KIF2C, PABPC1, ERGIC3, NBAS, ATP2C2, ADD3, TM9SF4, LMAN1, NT5E, VPS51, TMEM205, VPS52, LY6G6C, EMC7, FILIP1L, RPL18, GPR155, BUB1, SEC11C, SEMA4A, SLC35A4, ATP5PB, PRAF2, NAP1L1, ASPRV1, SORL1, PSMC5, KITLG, NUCB1, EIF3H, CD68, PFKM",1.212640012,0.195906228
GOTERM_CC_DIRECT,GO:0005751~mitochondrial respiratory chain complex IV,4,0.009818689,"COX7B, COX4I1, COX7A2, COX6A1",8.89799458,0.195906228
GOTERM_CC_DIRECT,GO:0042612~MHC class I protein complex,3,0.010622703,"HLA-A, B2M, HLA-E",18.53748871,0.202314198
GOTERM_CC_DIRECT,GO:0005576~extracellular region,54,0.012579752,"NRP2, YBX1, AADACL2, CTSK, LIPN, COTL1, TIMP3, CTSH, B2M, RPTN, EPHB3, EDN1, SERPINB2, ARG1, RNASET2, FST, OVCH2, PDCD1LG2, DKK1, TMPRSS11F, CES4A, IL1A, OLFM2, CCDC80, PSG4, PSMA2, CFD, COL17A1, CEMIP, SEMA3C, PSMD13, TUFT1, FBLN1, LTBP2, THBS2, LYPD5, THBS1, HSP90B1, PSORS1C2, DPP4, COMMD9, PDZD2, LY6G6C, CLCA4, CDSN, KLK13, ISG15, EEF2, IL1F10, KITLG, TCN1, RAET1L, CALM3, HPSE",1.382630373,0.22917026
GOTERM_CC_DIRECT,GO:0045111~intermediate filament cytoskeleton,5,0.01400619,"KRT80, KRT4, DDX60, PFDN5, PHLDB2",5.347352512,0.237675095
GOTERM_CC_DIRECT,GO:0005813~centrosome,21,0.014181092,"CKAP2L, PLK2, DCTN3, BUB1B, WDR62, HMMR, SKA3, NDC80, AURKA, CCNA2, CDC20, ASPM, CCNB2, CENPF, CCNB1, RASSF10, CALM3, KIF2C, SAC3D1, CEP55, ZNF365",1.79395052,0.237675095
GOTERM_CC_DIRECT,GO:0033116~endoplasmic reticulum-Golgi intermediate compartment membrane,6,0.016771398,"LMAN1, ATP6AP1, RAB1B, ERGIC3, SPPL3, ROBO1",4.020178274,0.26216465
GOTERM_CC_DIRECT,GO:0055038~recycling endosome membrane,7,0.016893665,"SCAMP4, RAB13, HLA-A, B2M, SORL1, SCAMP2, HLA-E",3.414800552,0.26216465
GOTERM_CC_DIRECT,GO:0034774~secretory granule lumen,7,0.018251909,"CFD, COMMD9, PSMA2, PSMD13, COTL1, CTSH, EEF2",3.35592468,0.27312678
GOTERM_CC_DIRECT,GO:1904813~ficolin-1-rich granule lumen,7,0.02528947,"CFD, COMMD9, PSMA2, PSMD13, COTL1, CTSH, EEF2",3.114298103,0.365389239
GOTERM_CC_DIRECT,GO:0005765~lysosomal membrane,14,0.02712403,"SCARB1, MIOS, ATP6AP1, SLC44A2, AP1B1, HLA-A, VASN, DPP4, CHMP2A, HPSE, CD68, FNIP2, GPR155, B2M",1.966097287,0.378832287
GOTERM_CC_DIRECT,GO:0045171~intercellular bridge,6,0.035387459,"TPX2, TUBB2A, PRC1, KIF20A, SKA1, CEP55",3.303710859,0.465578751
GOTERM_CC_DIRECT,GO:0000794~condensed nuclear chromosome,4,0.03691956,"NCAPG2, NCAPG, SMC1A, ADD3",5.425606451,0.465578751
GOTERM_CC_DIRECT,GO:0005739~mitochondrion,36,0.037236988,"COX7B, ABCD3, OAT, NDUFA11, SLC44A2, NDUFB11, MAOA, COX4I1, TYMS, COX6A1, MRPL11, PSMB6, CHCHD2, RGS2, MPC1, NTHL1, IDH3B, CKB, FIS1, MGME1, TFAP2C, ATP5PB, SDHD, REXO2, MRPL21, VASN, HADHB, NUDT9, COQ3, MRPS9, HAT1, NDUFS3, ACO2, SGK1, SPATA18, CRYAB",1.402977422,0.465578751
GOTERM_CC_DIRECT,GO:0005840~ribosome,8,0.03777966,"MRPS9, RPL41, RPS4Y1, EEF2, RPL18, RPS10, MRPL21, MRPL11",2.556894994,0.465578751
GOTERM_CC_DIRECT,GO:0005694~chromosome,10,0.042899481,"MYCL, MCM7, PRC1, NCL, PPP1R7, KIF4A, CDCA5, TRIP13, SSRP1, SMC1A",2.163909188,0.49965488
GOTERM_CC_DIRECT,GO:0000139~Golgi membrane,20,0.042929775,"SLC35B2, SLC35A4, GALNT5, ATF6B, ATP6AP1, TMEM50B, RAB1B, AP1B1, HLA-A, ATP2C2, ABCA12, RND3, SORL1, COPZ1, HLA-E, LMAN1, CHP1, GBP2, ERGIC3, B2M",1.614295098,0.49965488
GOTERM_CC_DIRECT,GO:0005925~focal adhesion,14,0.046079823,"CD81, LMO7, REXO2, RND3, RHOB, HSP90B1, DPP4, TSPAN9, CHP1, PABPC1, RPL18, B2M, PHLDB2, RPS10",1.819099359,0.521822862
GOTERM_CC_DIRECT,GO:0032588~trans-Golgi network membrane,6,0.048134081,"SCAMP4, VPS51, VPS52, AP1B1, ATP2C2, SCAMP2",3.033407243,0.530741581
GOTERM_CC_DIRECT,GO:0005911~cell-cell junction,8,0.05185125,"COL17A1, CLDN4, CDSN, PDZD2, CTNND1, GAB1, ADD3, AQP3",2.379142936,0.553520811
GOTERM_CC_DIRECT,GO:0008537~proteasome activator complex,2,0.052842082,"PSME1, PSME2",37.07497742,0.553520811
GOTERM_CC_DIRECT,GO:0005794~Golgi apparatus,28,0.059195658,"SLC35B2, PMEL, HDAC5, SPRR3, EHF, ATF6B, RAB1B, SPPL3, TM9SF4, COMMD9, VPS51, VPS52, GBP2, B4GALNT3, B2M, GALNT5, SLC35A4, AP1B1, SLC30A1, HLA-A, SORL1, SCAMP2, BACE2, NUCB1, GPR107, KIF20A, CRELD2, ERGIC3",1.422053928,0.604950752
GOTERM_CC_DIRECT,GO:1990351~transporter complex,2,0.069829806,"CHP1, ERGIC3",27.80623306,0.65532908
GOTERM_CC_DIRECT,GO:0033597~mitotic checkpoint complex,2,0.069829806,"CDC20, BUB1B",27.80623306,0.65532908
GOTERM_CC_DIRECT,GO:1990904~ribonucleoprotein complex,10,0.069871378,"MRPS9, RPL41, NSA2, NCL, YBX1, PABPC1, RPS4Y1, EEF2, RPL18, MRPL11",1.96510481,0.65532908
GOTERM_CC_DIRECT,GO:0005874~microtubule,11,0.070381405,"TPX2, TUBB2A, RASSF5, KIF4A, STMN1, CDK2AP2, BIRC5, KIF2C, KIF20A, KIF11, AURKA",1.876494256,0.65532908
GOTERM_CC_DIRECT,GO:0032154~cleavage furrow,4,0.072659658,"DIAPH3, DCTN3, CEP55, RHOB",4.119441935,0.661834709
GOTERM_CC_DIRECT,GO:0005604~basement membrane,5,0.078564885,"COL17A1, CCDC80, TIMP3, FBLN1, THBS2",3.089581451,0.697100451
GOTERM_CC_DIRECT,GO:0012507~ER to Golgi transport vesicle membrane,4,0.082490313,"LMAN1, HLA-A, B2M, HLA-E",3.902629202,0.697100451
GOTERM_CC_DIRECT,GO:0000938~GARP complex,2,0.08651366,"VPS51, VPS52",22.24498645,0.697100451
GOTERM_CC_DIRECT,GO:1990745~EARP complex,2,0.08651366,"VPS51, VPS52",22.24498645,0.697100451
GOTERM_CC_DIRECT,GO:0045120~pronucleus,2,0.08651366,"CENPF, AURKA",22.24498645,0.697100451
GOTERM_CC_DIRECT,GO:0005854~nascent polypeptide-associated complex,2,0.08651366,"BTF3, NACA",22.24498645,0.697100451
GOTERM_CC_DIRECT,GO:0098553~lumenal side of endoplasmic reticulum membrane,3,0.094872355,"HLA-A, SPPL3, HLA-E",5.753013737,0.750028621
GOTERM_CC_DIRECT,GO:0043231~intracellular membrane-bounded organelle,23,0.098028296,"SCARB1, ABCD3, ZHX3, CITED2, AP1B1, CLTB, YBX1, ABCA12, GRHL1, SPPL3, RUNDC3A, WDR54, SCAMP2, PDZD2, VPS51, DHRS9, CTSK, RAET1L, CTSH, HPSE, B4GALNT3, SPATA18, BUB1",1.402507369,0.752319136
GOTERM_MF_DIRECT,GO:0005515~protein binding,293,4.41E-09,"SLC35B2, MT1M, MT1X, ABCA12, AQP3, CDC20, SCAMP4, MT2A, CDC23, RASSF5, GJA5, STMN1, B2M, RPS10, EPHB3, WDR83OS, KRT4, C17ORF49, AP1B1, HLA-A, OVOL1, JMJD8, DKK1, HLA-E, SCAMP2, LCE2B, DHX40, INPP4B, MYL6, CLDN4, DAAM1, RBP1, PSME1, MT1F, PSME2, MT1H, KIF20A, SPATA18, MT1E, FLG, SMIM5, MAOA, CDCA5, NOLC1, NCAPG, WDR62, LYPD5, MTMR4, SKA3, HIF1A, SKA1, MRPL11, C12ORF57, SYNGR1, COMMD9, NTHL1, BTF3, CDT1, FIS1, RPL41, BCL11B, TPRG1, PLK2, TMEM50B, IFI44, XRCC1, CGN, CNFN, VASN, IL1F10, TPX2, POLA2, TBL3, TCN1, ID4, RAET1L, CALM3, GSDME, SLC44A5, PIGS, NRP2, COX7B, SLC44A3, CITED2, NCAPG2, TECR, QPRT, KRT24, CLTB, ZBTB8OS, KRT23, KIF11, SPPL3, ROBO1, MCEE, GLIPR1, CTSK, MMP28, PBK, TIMP3, CTSH, DLGAP5, CEP55, ZNF365, EDN1, ZHX3, MIOS, ARG1, KIAA1143, GAB1, COMMD1, PDCD1LG2, RHOB, HADHB, BACE2, MN1, IL1A, MRPS9, TUBB2A, PSMA2, UFC1, PELI1, KIF2C, PABPC1, SGK1, CRELD2, ERGIC3, CRYAB, PPARD, SPRR3, NBAS, OAT, STX19, TMEM160, TM9SF4, PSMB6, LMAN1, NT5E, OS9, RASSF10, PPP1R7, CKB, LY6G6C, EMC7, RPL18, XDH, ATP5PB, WDR18, KLK13, GRHL1, NUDT9, CENPF, PSMC5, KITLG, KRT15, NUCB1, TRIP13, CD68, CDKN3, SCARB1, NDUFA11, NCF2, CD81, GMNN, CTNND1, HJURP, BUB1B, COX6A1, C1ORF74, IPO4, RGS2, CHCHD2, SESN3, MPC1, COTL1, CHP1, MAP3K8, TGM5, PPFIA3, MSX2, FST, SLC30A1, SDHD, RUNDC3A, BSCL2, SCNN1G, TOM1L2, OLFM2, NCL, SCNN1B, HAT1, GEMIN4, SNRPF, PHLDB2, COL17A1, PMEL, CEMIP, NDUFB11, USP54, FBLN1, COX7A2, LTBP2, HMMR, DDX60, ADIPOR1, GLIS1, HSP90B1, PSORS1C2, DPP4, CCNB2, CCNB1, EIF4EBP3, SAC3D1, MFAP3L, MPDU1, FANCI, TFAP2C, CBX4, UBE2C, ISG15, EEF2, NDC80, COQ3, MAFB, TMEM237, KIF4A, CHMP2A, HPSE, COPS8, ABCD3, MCM7, HSPB8, COX4I1, MCM10, YBX1, FOXM1, RND3, OASL, TMEM101, EXO1, MYBL2, GET3, ATP6AP1, NAV2, SMC1A, TENT5B, CCNA2, ARL4A, SAPCD2, NDUFS3, BIRC5, MCM5, NAA38, CDH16, PFDN5, HDAC5, KRT80, ACSS2, ATF6B, TUFT1, RAB1B, DCTN3, ATP2C2, THBS2, THBS1, AURKA, MIEN1, VPS51, TMEM205, VPS52, TNNI2, GBP2, BUB1, FNIP2, POLR2K, SEC11C, SEMA4A, MGME1, SLC35A4, RRM2, PRAF2, NAP1L1, SSRP1, SHCBP1, SORL1, WEE1, PRC1, RAB13, CDK2AP2, EIF3H, PFKM, SSBP3, VPS35L",1.202782257,2.36E-06
