"","RowNames","Y_Data"
"148","COX7B",-0.948614799
"149","GJA9",NA
"150","COQ3",NA
"151","PDZD2",NA
"152","CCNB1",-0.736312751
"153","EMC7",NA
"154","GRHL1",NA
"155","FST",NA
"156","TCN1",NA
"157","OASL",NA
"158","NT5E",NA
"159","EHF",0.97123144
"160","OS9",NA
"161","MRPS9",-0.683472064
"162","LMO7",NA
"163","GALNT5",NA
"164","IL1F10",NA
"165","DCTN3",NA
"166","TUBB2A",-0.58934906
"167","DDX60",NA
"168","SORL1",NA
"169","THBS1",NA
"170","IFI44",NA
"171","SLC44A5",NA
"172","HADHB",-0.742329819
"173","KIF11",NA
"174","CEP55",NA
"175","ZNF365",NA
"176","B4GALNT3",-0.85301229
"177","GLIPR1",NA
"178","SNRPF",NA
"179","C12orf10",NA
"180","DIAPH3",NA
"181","SERF2",NA
"182","SCAMP2",NA
"183","FANCI",NA
"184","CBX4",NA
"185","MIEN1",NA
"186","TMEM50B",NA
"187","PSMB6",-0.722838154
"188","KIF2C",NA
"189","SLC44A3",NA
"190","UFC1",NA
"191","TUFT1",NA
"192","CGN",NA
"193","CTSK",NA
"194","RAB13",-0.595963609
"195","FLG",NA
"196","RHOB",0.60266435
"197","DQX1",NA
"198","FAHD2B",NA
"199","ABCA12",NA
"200","PHLDB2",NA
"201","CCNA2",NA
"202","PLK2",-0.487573284
"203","BTF3",NA
"204","CDCA5",NA
"205","NCAPG2",NA
"206","NDUFB11",-0.91966911
"207","POLR2K",-0.968750356
"208","EIF3H",-0.744529482
"209","GPR107",-0.91971322
"210","ADD3",NA
"211","SYT8",NA
"212","SSRP1",-0.743728173
"213","SESN3",NA
"214","VPS51",-0.93873434
"215","BTBD11",NA
"216","NBAS",NA
"217","HSPB8",NA
"218","PFKM",-0.884287941
"219","SKA1",NA
"220","TMEM237",NA
"221","RAET1L",-0.758589884
"222","PSD3",NA
"223","BUB1B",NA
"224","SSBP3",NA
"225","CCNB2",NA
"226","SLC35B2",NA
"227","SPPL3",NA
"228","XDH",NA
"229","TENT5B",-0.321570328
"230","ADIPOR1",-0.969153233
"231","LCE2B",NA
"232","LYPD5",NA
"233","CALM3",-0.791828331
"234","ZNF385A",NA
"235","JMJD8",NA
"236","GBP2",NA
"237","C1orf74",-0.841532268
"238","SPATA18",NA
"239","SPRR3",NA
"240","SPRR2D",-0.80316308
"241","GPR155",NA
"242","KIAA1143",NA
"243","NSA2",-0.929359221
"244","ADGRF2",NA
"245","CITED2",-0.686919358
"246","MIOS",NA
"247","DNAAF5",NA
"248","AQP3",-0.582629026
"249","SKA3",NA
"250","SERPINA12",NA
"251","CKB",NA
"252","NOLC1",NA
"253","USP54",NA
"254","WEE1",NA
"255","MCM7",1.390974599
"256","SEC11C",NA
"257","CDH16",NA
"258","HSP90B1",-0.684541941
"259","B2M",NA
"260","SCNN1G",NA
"261","NAV2",NA
"262","CDT1",NA
"263","EEF2",0.188868403
"264","NXN",NA
"265","KLK13",NA
"266","KRT80",-0.831845263
"267","CDK2AP2",-0.918370054
"268","KRT24",NA
"269","BSCL2",NA
"270","SAC3D1",NA
"271","PBK",NA
"272","VASN",NA
"273","FILIP1L",NA
"274","SCNN1B",NA
"275","PHYHIP",NA
"276","MN1",NA
"277","CKAP2L",NA
"278","BUB1",NA
"279","MT1E",-0.969678409
"280","PCDH7",NA
"281","ROBO1",NA
"282","SLC30A1",-0.6376264
"283","KRT4",NA
"284","NUDT9",NA
"285","SHCBP1",NA
"286","KRT15",NA
"287","KRT9",NA
"288","RRM2",NA
"289","ID4",NA
"290","OVOL1",-0.99068473
"291","CES4A",NA
"292","HPSE",NA
"293","COQ2",NA
"294","COMMD1",NA
"295","NWD2",NA
"296","ZHX3",NA
"297","GLIS1",NA
"298","EXO1",NA
"299","MRPL11",-0.99110367
"300","NDUFA11",-0.95348984
"301","RAB1B",-0.7202393
"302","UBE2C",0.99293917
"303","CLTB",-0.931506323
"304","TOM1L2",NA
"305","SLC35A4",NA
"306","ZBTB8OS",-0.972995831
"307","TYMS",NA
"308","FAM89B",NA
"309","PPFIA3",NA
"310","ZFAS1",-0.666356141
"311","STX19",NA
"312","GEMIN4",NA
"313","NKPD1",NA
"314","BACE2",NA
"315","NLRP10",NA
"316","XKRX",NA
"317","EPHB3",-0.968569837
"318","NAA38",NA
"319","OVCH2",NA
"320","TBL3",NA
"321","CRELD2",NA
"322","ZBTB7C",NA
"323","UBALD2",NA
"324","PSMD13",NA
"325","PMEL",NA
"326","IFIT1",NA
"327","LAMP1",NA
"328","SAPCD2",NA
"329","THBS2",-0.792443411
"330","FAM183A",NA
"331","NAP1L1",NA
"332","MT1X",NA
"333","CHP1",NA
"334","ISG15",NA
"335","TPRG1",NA
"336","CLDN4",-0.544536287
"337","MAOA",NA
"338","ALG1L",NA
"339","RASSF10",NA
"340","SEMA4A",NA
"341","IPO4",-0.987884173
"342","NACA",-0.855487418
"343","PELI1",NA
"344","MRPL21",NA
"345","HHLA3",NA
"346","SERPINB2",-0.561223691
"347","DPP4",NA
"348","PDCD1LG2",NA
"349","CFD",NA
"350","AADACL2",NA
"351","TMPRSS11F",NA
"352","GET3",NA
"353","MT1F",NA
"354","CTNND1",-0.844221457
"355","COPS8",-0.928211724
"356","PRC1",NA
"357","RPL39",NA
"358","MFAP3L",NA
"359","LOR",NA
"360","LIPN",NA
"361","MAFB",0.821876895
"362","SMIM5",NA
"363","SDHD",NA
"364","LY6G6C",NA
"365","PSORS1C2",NA
"366","CDSN",NA
"367","HLA-E",0.529062066
"368","MT1H",NA
"369","MT1M",NA
"370","HLA-A",1.487366498
"371","ERV3-1",NA
"372","NDUFS3",NA
"373","ATF6B",-0.851180392
"374","LTB4R2",NA
"375","FIS1",-0.785845883
"376","RPTN",NA
"377","VPS52",NA
"378","TINCR",NA
"379","SCAMP4",NA
"380","RPL41",NA
"381","LNCAROD",NA
"382","AL159166.1",NA
"383","LINC01819",NA
"384","UQCRHL",NA
"385","ZSCAN31",NA
"386","WAKMAR2",NA
"387","EIF4EBP3",NA
"388","PSG4",NA
"389","PRAF2",NA
"390","ASPRV1",NA
"391","H2AFJ",-0.719984907
"392","AC093866.1",NA
"393","LINC02159",NA
"394","SLC22A18AS",NA
"395","SNHG9",NA
"396","CARD17",NA
"397","HCAR3",NA
"398","AL732437.1",NA
"399","C17orf49",NA
"400","LINC00520",NA
"401","GJA5",NA
"402","RASSF5",NA
"403","LIVAR",NA
"404","SNHG25",NA
"405","AC115522.1",NA
"406","MMP28",NA
"407","AC103718.1",NA
