"","RowNames","Y_Data"
"252","NOLC1",-0.552677058
"253","USP54",NA
"254","WEE1",NA
"255","MCM7",1.383679195
"256","SEC11C",NA
"257","CDH16",NA
"258","HSP90B1",NA
"259","B2M",0.784385774
"260","SCNN1G",NA
"261","NAV2",NA
"262","CDT1",NA
"263","EEF2",0.280058115
"264","NXN",-0.744604296
"265","KLK13",NA
"266","KRT80",NA
"267","CDK2AP2",NA
"268","KRT24",NA
"269","BSCL2",-0.966152446
"270","SAC3D1",NA
"271","PBK",NA
"272","VASN",NA
"273","FILIP1L",NA
"274","SCNN1B",NA
"275","PHYHIP",NA
"276","MN1",NA
"277","CKAP2L",NA
"278","BUB1",NA
"279","MT1E",NA
"280","PCDH7",NA
"281","ROBO1",NA
"282","SLC30A1",NA
"283","KRT4",NA
"284","NUDT9",-0.886714219
"285","SHCBP1",NA
"286","KRT15",NA
"287","KRT9",NA
"288","RRM2",NA
"289","ID4",NA
"290","OVOL1",-0.622977642
"291","CES4A",NA
"292","HPSE",NA
"293","COQ2",NA
"294","COMMD1",NA
"295","NWD2",NA
"296","ZHX3",NA
"297","GLIS1",NA
"298","EXO1",NA
"299","MRPL11",NA
"300","NDUFA11",NA
"301","RAB1B",-0.599301996
"302","UBE2C",NA
"303","CLTB",-0.844736176
"304","TOM1L2",NA
"305","SLC35A4",-0.604576051
"306","ZBTB8OS",NA
"307","TYMS",NA
"308","FAM89B",NA
"309","PPFIA3",NA
"310","ZFAS1",NA
"311","STX19",NA
"312","GEMIN4",NA
"313","NKPD1",NA
"314","BACE2",NA
"315","NLRP10",NA
"316","XKRX",NA
"317","EPHB3",NA
"318","NAA38",NA
"319","OVCH2",NA
"320","TBL3",NA
"321","CRELD2",NA
"322","ZBTB7C",NA
"323","UBALD2",NA
"324","PSMD13",NA
"325","PMEL",NA
"326","IFIT1",NA
"327","LAMP1",0.540021944
"328","SAPCD2",NA
"329","THBS2",NA
"330","FAM183A",NA
"331","NAP1L1",NA
"332","MT1X",1.374668197
"333","CHP1",-0.564193315
"334","ISG15",-0.971228752
"335","TPRG1",NA
"336","CLDN4",NA
"337","MAOA",-0.790765095
"338","ALG1L",NA
"339","RASSF10",NA
"340","SEMA4A",NA
"341","IPO4",NA
"342","NACA",NA
"343","PELI1",NA
"344","MRPL21",NA
"345","HHLA3",NA
"346","SERPINB2",NA
"347","DPP4",NA
"348","PDCD1LG2",NA
"349","CFD",NA
"350","AADACL2",NA
"351","TMPRSS11F",NA
"352","GET3",-0.456389489
"353","MT1F",NA
"354","CTNND1",-0.543990876
"355","COPS8",-0.880358164
"356","PRC1",NA
"357","RPL39",NA
"358","MFAP3L",NA
"359","LOR",NA
"360","LIPN",NA
"361","MAFB",NA
"362","SMIM5",NA
"363","SDHD",NA
"364","LY6G6C",-0.533118945
"365","PSORS1C2",NA
"366","CDSN",0.591563666
"367","HLA-E",0.509780483
"368","MT1H",NA
"369","MT1M",NA
"370","HLA-A",1.164365295
