Gene_ID,Clade IIb,Clade I,Clade IIa,Zaire,,,,,,,,,,
DDX60,-2.117877531,NA,NA,NA,,,,,,,,,,
SORL1,-1.518726004,NA,NA,NA,,,,,,,,,,
THBS1,-2.628866139,NA,NA,NA,,,,,,,,,,
IFI44,-1.889240071,NA,NA,NA,,,,,,,,,,
SLC44A5,-1.858769027,NA,NA,NA,,,,,,,,,,
HADHB,-1.751065051,-0.649374518,-0.742329819,-0.64525,,,,,,,,,,
KIF11,-2.72901755,NA,NA,NA,,,,,,,,,,
CEP55,-5.160597801,NA,NA,NA,,,,,,,,,,
ZNF365,-1.332327732,NA,NA,-0.374375,,,,,,,,,,
B4GALNT3,-1.067461541,NA,-0.85301229,NA,,,,,,,,,,
GLIPR1,-2.445720505,NA,NA,NA,,,,,,,,,,
SNRPF,-1.013021811,-0.841536849,NA,NA,,,,,,,,,,
C12orf10,-1.354737675,NA,NA,NA,,,,,,,,,,
DIAPH3,-1.641180252,NA,NA,NA,,,,,,,,,,
SERF2,-1.491131941,-0.541155015,NA,NA,,,,,,,,,,
SCAMP2,-1.113366368,NA,NA,NA,,,,,,,,,,
FANCI,-1.54434662,NA,NA,NA,,,,,,,,,,
CBX4,-1.274258813,-0.731936604,NA,NA,,,,,,,,,,
MIEN1,-1.055515865,NA,NA,NA,,,,,,,,,,
TMEM50B,-1.281697466,NA,NA,NA,,,,,,,,,,
PSMB6,-1.149097968,-0.896309838,-0.722838154,NA,,,,,,,,,,
KIF2C,-1.573249981,NA,NA,NA,,,,,,,,,,
SLC44A3,-2.149740043,NA,NA,NA,,,,,,,,,,
UFC1,-1.331222109,NA,NA,NA,,,,,,,,,,
TUFT1,-1.486962552,NA,NA,NA,,,,,,,,,,
CGN,-1.904031781,NA,NA,NA,,,,,,,,,,
CTSK,-1.027247036,0.882563281,NA,NA,,,,,,,,,,
RAB13,-1.394619098,-0.662177421,-0.595963609,NA,,,,,,,,,,
FLG,-1.861645474,NA,NA,NA,,,,,,,,,,
RHOB,-1.290393131,NA,0.60266435,NA,,,,,,,,,,
DQX1,-1.810863888,NA,NA,NA,,,,,,,,,,
FAHD2B,-2.391153053,NA,NA,NA,,,,,,,,,,
ABCA12,-1.40790804,-0.583236332,NA,NA,,,,,,,,,,
PHLDB2,-1.286264995,NA,NA,NA,,,,,,,,,,
CCNA2,-2.514501424,NA,NA,NA,,,,,,,,,,
PLK2,-1.969957039,-0.514693382,-0.487573284,NA,,,,,,,,,,
BTF3,-1.086859698,NA,NA,NA,,,,,,,,,,
CDCA5,-2.598041784,NA,NA,NA,,,,,,,,,,
NCAPG2,-1.982152002,NA,NA,NA,,,,,,,,,,
