Category,Term,,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_MF_DIRECT,GO:0000978,RNA polymerase II core promoter proximal region sequence-specific DNA binding,33,9.065934066,0.011851052,"ZNF397, ZNF275, ZNF251, CHD7, MNT, ZNF805, NACC2, ZKSCAN2, LRRFIP1, ZNF224, ZNF664, ZNF587, TGIF1, XBP1, KLF12, SMAD4, KLF13, ZNF284, ZNF160, OVOL2, KLF8, CREB3, ZNF37A, ZNF319, BHLHE40, ZNF416, ZNF514, HOXB2, IRF5, RBAK, JDP2, ZFP28, ZNF354B",327,1222,18967,1.566367363,0.998419024,0.582856266,0.579624161
GOTERM_MF_DIRECT,GO:0000981,"RNA polymerase II transcription factor activity, sequence-specific DNA binding",34,9.340659341,0.013963779,"ZNF397, ZNF275, ZNF251, MNT, ZNF805, DEAF1, NACC2, ZKSCAN2, LRRFIP1, ZNF664, ZNF587, TGIF1, XBP1, KLF12, SMAD4, KLF13, ZNF284, ZNF282, ZNF160, OVOL2, KLF8, CREB3, ZNF37A, BHLHE40, ZNF416, ZNF778, ZNF514, HOXB2, IRF5, ZNF337, RBAK, JDP2, ZFP28, ZNF354B",327,1286,18967,1.533517866,0.99950336,0.608449171,0.605075146
GOTERM_MF_DIRECT,GO:0031434,mitogen-activated protein kinase kinase binding,3,0.824175824,0.014620775,"ACE, TRIB3, MAP3K11",327,11,18967,15.81901585,0.99965371,0.608449171,0.605075146
GOTERM_MF_DIRECT,GO:0030374,ligand-dependent nuclear receptor transcription coactivator activity,5,1.373626374,0.019662212,"HELZ2, MED30, ZMIZ2, TACC1, PKN1",327,60,18967,4.833588175,0.999978409,0.752367083,0.748194992
GOTERM_MF_DIRECT,GO:0031625,ubiquitin protein ligase binding,12,3.296703297,0.020860455,"SPART, MOAP1, MFHAS1, UCHL1, XBP1, RNF34, RALB, PDLIM2, CBS, TRAF5, TRIB3, TRAF2",327,315,18967,2.209640309,0.999988859,0.752367083,0.748194992
GOTERM_MF_DIRECT,GO:0032454,histone demethylase activity (H3-K9 specific),3,0.824175824,0.023385007,"KDM4B, KDM3A, KDM7A",327,14,18967,12.42922674,0.999997244,0.760219965,0.756004328
GOTERM_MF_DIRECT,GO:0005524,ATP binding,38,10.43956044,0.023888613,"PXK, CHD7, ADCY4, ADCY3, KIF12, SMC5, RSKR, HELZ2, NRBP2, MTHFD1L, UBE2Q2, FPGS, SPEG, ABCD1, ATP9A, PDK1, ABCC3, CDKL2, PLK3, SRMS, ATP8B2, SPHK2, CDC42BPG, TNK1, EIF2AK2, CDC42BPB, ATP2B1, SMARCA1, RENBP, KATNAL1, KIFC2, DGKQ, ULK2, KRAS, TRIB3, PKN1, CAMK1, MAP3K11",327,1539,18967,1.432174274,0.999997915,0.760219965,0.756004328
GOTERM_MF_DIRECT,GO:0015175,neutral amino acid transmembrane transporter activity,3,0.824175824,0.033790001,"SLC7A5, SLC38A1, SLC1A4",327,17,18967,10.23583378,0.999999992,0.921890138,0.916777993
GOTERM_MF_DIRECT,GO:0030145,manganese ion binding,5,1.373626374,0.033888564,"NPEPL1, GALNT4, IMPA1, PPM1M, PCK2",327,71,18967,4.084722402,0.999999992,0.921890138,0.916777993
GOTERM_MF_DIRECT,GO:0004727,prenylated protein tyrosine phosphatase activity,2,0.549450549,0.034080966,"PTP4A2, PTP4A3",327,2,18967,58.0030581,0.999999993,0.921890138,0.916777993
