Category	Term		Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005819~spindle	spindle	12	4.858299595	1.51E-06	"CDC20, ASPM, TPX2, CENPF, DCTN3, BIRC5, BUB1B, KIF2C, KIF20A, KIF11, HMMR, AURKA"	243	149	20660	6.847294722	5.60E-04	1.87E-04	1.78E-04
GOTERM_CC_DIRECT	GO:0030496~midbody		9	3.643724696	0.001785384	"ASPM, CENPF, KIF4A, DCTN3, CHMP2A, BIRC5, KIF20A, CEP55, AURKA"	243	189	20660	4.048598863	0.483759471	0.050814775	0.048480042
GOTERM_CC_DIRECT	GO:0015630~microtubule cytoskeleton		9	3.643724696	0.002384975	"CCNB2, TPX2, TUBB2A, BIRC5, KIF2C, HMMR, CRYAB, SKA1, AURKA"	243	198	20660	3.864571642	0.586664185	0.063031495	0.060135453
GOTERM_CC_DIRECT	GO:0005694~chromosome		9	3.643724696	0.011836136	"MYCL, NCL, PPP1R7, KIF4A, CDCA5, MCM5, TRIP13, SSRP1, SMC1A"	243	260	20660	2.943019943	0.987789928	0.187987561	0.179350294
GOTERM_CC_DIRECT	GO:0005874~microtubule		9	3.643724696	0.043002697	"TPX2, TUBB2A, KIF4A, STMN1, BIRC5, KIF2C, KIF20A, KIF11, AURKA"	243	333	20660	2.297853409	0.999999914	0.530366599	0.505998404
GOTERM_CC_DIRECT	GO:0034451~centriolar satellite		8	3.238866397	9.04E-04	"MIEN1, PDZD2, WDR62, FNIP2, SKA1, DLGAP5, CEP55, ZNF365"	243	131	20660	5.192096252	0.284499691	0.030420168	0.029022484
GOTERM_CC_DIRECT	GO:0000922~spindle pole		8	3.238866397	0.001225667	"CDC20, TPX2, CENPF, CCNB1, PLK2, CALM3, WDR62, KIF11"	243	138	20660	4.928729051	0.364774305	0.037791398	0.036055036
GOTERM_CC_DIRECT	"GO:0000775~chromosome, centromeric region"		7	2.834008097	1.23E-04	"CENPF, CDCA5, HJURP, BIRC5, KIF2C, SMC1A, NDC80"	243	66	20660	9.017333832	0.044352968	0.006480552	0.006182797
GOTERM_CC_DIRECT	GO:0072686~mitotic spindle		7	2.834008097	0.007313256	"TPX2, TUBB2A, WDR62, KIF11, SKA1, DLGAP5, AURKA"	243	145	20660	4.104441606	0.933851145	0.139602969	0.133188779
GOTERM_CC_DIRECT	GO:0005876~spindle microtubule		6	2.429149798	1.76E-04	"KIF4A, BIRC5, CALM3, KIF11, SKA1, AURKA"	243	45	20660	11.33607682	0.063181976	0.007405221	0.007064981
