term,p-value,q-value
etoposide MCF7 DOWN,1.7668604217346905e-18,1.1661278783448957e-15
0173570-0000 PC3 DOWN,4.3087534674500525e-16,1.4218886442585173e-13
resveratrol MCF7 DOWN,1.1883865059966364e-15,2.6144503131926e-13
methotrexate MCF7 DOWN,1.7840108857944013e-15,2.943617961560762e-13
LUCANTHONE CTD 00006227,2.8426810058537432e-15,3.752338927726941e-13
trifluridine MCF7 DOWN,3.708357969598914e-14,4.0791937665588055e-12
5-Fluorouracil CTD 00005987,1.713079707138747e-13,1.6151894381593902e-11
genistein CTD 00007324,2.2769736929533384e-13,1.878503296686504e-11
thalidomide CTD 00006858,2.4524534999396797e-12,1.798465899955765e-10
ciclopirox MCF7 DOWN,3.3029589418931135e-12,2.1728179841398592e-10
5109870 MCF7 DOWN,3.6213633068997652e-12,2.1728179841398592e-10
dmnq CTD 00002569,5.260443225236973e-12,2.893243773880335e-10
Fulvestrant CTD 00002740,8.431791025181011e-12,4.280755443553436e-10
irinotecan MCF7 DOWN,2.012746615374828e-11,9.488662615338476e-10
calcitriol CTD 00005558,5.666486284960833e-11,2.4932539653827667e-09
Methaneseleninic acid CTD 00000412,6.716551257416936e-11,2.608615626825362e-09
troglitazone CTD 00002415,6.719161463035024e-11,2.608615626825362e-09
testosterone CTD 00006844,6.814890857678266e-10,2.4987933144820307e-08
piroxicam CTD 00006571,7.957124492072476e-10,2.7640537709304388e-08
monobenzone MCF7 DOWN,8.926367809791719e-10,2.945701377231267e-08
5-azacytidine CTD 00005455,1.5212873690467084e-09,4.74881175335453e-08
Cryptolepine CTD 00001119,1.5829372511181766e-09,4.74881175335453e-08
daunorubicin PC3 DOWN,2.6361689383738645e-09,7.564658692725002e-08
monobenzone PC3 DOWN,2.934771461856973e-09,8.070621520106676e-08
8-azaguanine PC3 DOWN,3.203591299841574e-09,8.457481031581754e-08
resveratrol CTD 00002483,7.804993308237877e-09,1.9812675320911535e-07
clindamycin HL60 DOWN,9.072525702259339e-09,2.217728504996727e-07
COPPER CTD 00005706,1.3043968162165706e-08,3.074649638224774e-07
Bisphenol A CTD 00000312,2.3125468045372098e-08,5.263037555153649e-07
nocodazole BOSS,2.871047638829251e-08,6.116083525381207e-07
0175029-0000 PC3 DOWN,2.8727058982851125e-08,6.116083525381207e-07
etoposide HL60 DOWN,3.125004100409107e-08,6.445320957093783e-07
thioguanosine MCF7 DOWN,4.2072725895612554e-08,8.414545179122511e-07
Trabectedin CTD 00003298,7.775817298202148e-08,1.4841097696286383e-06
bicalutamide CTD 00002279,7.870279081363991e-08,1.4841097696286383e-06
irinotecan PC3 DOWN,8.648244003390559e-08,1.5855114006216025e-06
cyclosporin A CTD 00007121,1.0067557712872583e-07,1.7958346190529473e-06
CUPRIC OXIDE CTD 00001471,1.456426142805077e-07,2.5295822480298705e-06
mechlorethamine CTD 00006251,2.2140163717738839e-07,3.7088389864033793e-06
trichostatin A PC3 DOWN,2.2880016889632617e-07,3.7088389864033793e-06
SILVER NITRATE CTD 00006743,2.3039757339778569e-07,3.7088389864033793e-06
doxorubicin CTD 00005874,2.764594536577282e-07,4.344362843192871e-06
deferoxamine MCF7 DOWN,3.0905737718556846e-07,4.743671370755237e-06
vinblastine CTD 00006986,3.3193631907338464e-07,4.9790447861007695e-06
pyrvinium MCF7 DOWN,4.0508953191858e-07,5.94131313480584e-06
danazol HL60 DOWN,4.385500332429093e-07,6.292239607398264e-06
Phorbol 12-myristate 13-acetate CTD 00006852,4.899109087122574e-07,6.8795999946827635e-06
rapamycin CTD 00007350,5.04311546922317e-07,6.934283770181858e-06
paclitaxel CTD 00007144,5.524283039707138e-07,7.4408710330749205e-06
benzo[a]pyrene CTD 00005488,7.827612367116493e-07,1.033244832459377e-05
Irinotecan hydrochloride CTD 00002224,1.2253259755316619e-06,1.5857159683350917e-05
67526-95-8 CTD 00007263,1.3948413637396433e-06,1.7703755770541625e-05
Copper sulfate CTD 00007279,1.6510568555721683e-06,2.0560330654294926e-05
amsacrine CTD 00005396,1.7634578298829221e-06,2.1553373476346825e-05
lobeline HL60 DOWN,2.060327430483149e-06,2.472392916579779e-05
quercetin CTD 00006679,5.142750789445229e-06,6.061099144703306e-05
PhIP CTD 00002156,5.7902061418241844e-06,6.704449216849056e-05
NICKEL CTD 00006389,7.180665274812016e-06,8.17110186444126e-05
COUMESTROL CTD 00005717,8.150363194300814e-06,9.117355437692437e-05
vincristine CTD 00006988,8.293268184334019e-06,9.12259500276742e-05
estradiol CTD 00005920,9.245444916871928e-06,0.0001000326827071389
"1h-pyrazolo[3,4-d]pyrimidine CTD 00000742",9.593649724815996e-06,0.00010050490187902472
ciclopirox HL60 DOWN,9.593649724815996e-06,0.00010050490187902472
Arsenenous acid CTD 00000922,1.0116417273982644e-05,0.00010432555313794602
GW-8510 MCF7 DOWN,1.0486397381373928e-05,0.00010647726571856604
etoposide CTD 00005948,1.0732845857878821e-05,0.00010732845857878821
Belinostat CTD 00004313,1.1092402840183206e-05,0.00010926844588837188
GW-8510 PC3 DOWN,1.1723862337139778e-05,0.00011379042856635666
glibenclamide HL60 DOWN,1.301694039098432e-05,0.00012450986460941523
EINECS 250-892-2 CTD 00001193,1.3795199440408478e-05,0.00013006902329527995
Dasatinib CTD 00004330,1.620773063519425e-05,0.0001506634115384254
8-azaguanine HL60 DOWN,1.7628912801108003e-05,0.00016159836734349
curcumin CTD 00000663,2.0677449024771462e-05,0.0001866167086460885
ANTIMONY CTD 00005424,2.0923691575470528e-05,0.0001866167086460885
fisetin PC3 DOWN,2.324655904367017e-05,0.00020456971958429752
Tetradioxin CTD 00006848,2.64448165808062e-05,0.000229543151392041
0175029-0000 MCF7 DOWN,2.678003432907145e-05,0.000229543151392041
Enterolactone CTD 00001393,2.7665425184071003e-05,0.00023353153664008798
ANTIMONY POTASSIUM TARTRATE CTD 00005425,2.795301726449538e-05,0.00023353153664008798
DENSPM CTD 00002486,3.533413970382075e-05,0.000287907804994095
roscovitine TTD 00010683,3.533413970382075e-05,0.000287907804994095
hydroxyurea CTD 00006132,3.75406132297874e-05,0.0003021561552641425
7646-79-9 CTD 00000928,4.775459651664808e-05,0.00037973534579503293
ZINC CTD 00007011,5.0811188424743465e-05,0.0003992307661944129
Calpain inhibitor I CTD 00002578,6.15100567126949e-05,0.00047760749918092507
caffeine CTD 00005556,6.436543887790155e-05,0.000493967321621105
menadione CTD 00007386,6.837314815873373e-05,0.0005186928481007386
Tylophorine CTD 00000134,6.917121064943945e-05,0.0005187840798707958
Chromium(VI) CTD 00002830,9.268809925594699e-05,0.0006856601294487354
MERCURY CTD 00006274,9.34991085611912e-05,0.0006856601294487354
Nobiletin CTD 00000424,9.482727286527288e-05,0.000687758242759122
sodium azide CTD 00007311,0.00010426836797847276,0.0007480122050629568
IN1541 CTD 00001481,0.00011415310511857051,0.0008101188105188874
"2H-1-Benzopyran-2-one, 7-[(3,7-dimethyl-2,6-octadienyl)oxy]- CTD 00003446",0.000124480947880634,0.0008648150063286153
doxazosin CTD 00007158,0.000124480947880634,0.0008648150063286153
chlorzoxazone HL60 DOWN,0.0001339113867671195,0.0009146005934831366
apicidin CTD 00003381,0.00013525136020906006,0.0009146005934831366
daunorubicin MCF7 DOWN,0.00013623888575687603,0.0009146005934831366
