,adj.P.Val,log2FC
CEP164,0.610611967,-0.042625
PITPNM1,0.121419061,-0.4225
CAPRIN2,NA,NA
SH2B3,NA,NA
SLC38A1,NA,NA
MAN1A1,0.031604799,-0.521125
UST,0.948788422,0.02475
FBXO9,0.085922068,-0.28725
ARFGEF3,NA,NA
VEGFA,0.896828895,-0.100125
DBN1,0.039663528,-0.356625
CCDC88A,NA,NA
KDM3A,NA,NA
SLC1A4,0.078621156,-0.559125
LRRC42,NA,NA
SLC2A1,0.162390423,-0.473125
FAAH,0.05530087,-0.394875
TMED5,NA,NA
USP35,NA,NA
STBD1,NA,NA
KLF12,0.943806359,0.0395
DCAF4,NA,NA
MTHFD1L,0.003489817,-0.706375
CYSTM1,NA,NA
PPP3CC,0.213550224,-0.33775
PDLIM2,NA,NA
CLCC1,0.07608175,-0.3885
SHLD2,NA,NA
ZMIZ2,NA,NA
CHST3,0.168097539,-0.55675
P4HA1,0.493687018,-0.248125
ACADS,0.042599297,-0.364
PKN1,0.862271254,-0.13175
LRP1,0.212508074,-0.288125
SDC4,0.02986972,-0.399
LRRFIP1,0.675810308,-0.104
RAB17,NA,NA
SRMS,0.061073972,-0.473
SH2D3A,0.507101411,-0.35125
VASP,0.161164138,-0.297625
OVOL2,NA,NA
WDR60,NA,NA
TRAF2,NA,NA
KDM4B,0.973768311,-0.030625
DGCR8,NA,NA
IRF5,NA,NA
ADCY4,NA,NA
ABHD17A,NA,NA
HELZ2,NA,NA
ZNF337,NA,NA
LAMA5,0.02273574,-0.443125
ARHGEF16,0.150595288,0.22975
C12ORF65,NA,NA
ANO1,NA,NA
WDR44,NA,NA
SELENOS,NA,NA
RHPN2,NA,NA
C19ORF12,NA,NA
TRIM47,NA,NA
SPART,0.026124629,-0.583375
KRAS,0.087488807,-0.39525
IMPA1,0.986265458,0.007125
TTC9,0.06235153,0.232375
CAMK1,0.010617184,-0.798
BHLHE40,0.679267417,-0.0605
SPIRE1,NA,NA
CDC73,NA,NA
ECHDC3,NA,NA
AGO4,NA,NA
TES,NA,NA
ANKRD36,NA,NA
ALDH1L2,NA,NA
SPRY2,0.263494248,-0.293875
HUS1,0.08374294,-0.554
LIMD2,NA,NA
FPGS,0.412298819,-0.12975
KIF12,NA,NA
FRS3,0.525182944,-0.486375
ADCY3,0.022577036,-0.395375
APH1B,NA,NA
LARP1B,NA,NA
CDKL2,NA,NA
CERS5,NA,NA
ANKRD52,NA,NA
JDP2,NA,NA
UBE2Q2,NA,NA
NEIL1,NA,NA
TLNRD1,NA,NA
SMAD4,0.016646322,-0.437625
WTIP,NA,NA
HSPG2,0.763988107,0.19075
MOB3C,NA,NA
CERS2,NA,NA
ATP8B2,NA,NA
PYCR2,0.032702464,-0.300875
PPFIA4,NA,NA
ZNF514,NA,NA
RALB,0.85018811,-0.0605
LYG1,NA,NA
IQSEC1,0.054058248,-0.6345
LIMD1,NA,NA
TM4SF19,NA,NA
DGKQ,0.014522866,-0.388375
SNCA,0.037945075,-0.650375
LHFPL2,0.150257451,-0.82025
TPBG,NA,NA
RBAK,NA,NA
DOCK11,NA,NA
MFHAS1,0.032809792,-0.5055
TACC1,0.025891763,-0.59475
VLDLR,0.002542077,-0.716125
MED22,0.509294546,-0.147
NACC2,NA,NA
ADM,0.148692724,-0.342
TMCO3,NA,NA
SEC24D,NA,NA
TMEM263,NA,NA
PDK1,0.029494599,-0.519875
PLOD2,NA,NA
RASSF3,NA,NA
LPCAT1,NA,NA
KCTD15,NA,NA
UCHL1,NA,NA
TRIM11,NA,NA
RAB6B,NA,NA
ZKSCAN2,NA,NA
WHAMM,NA,NA
PTPDC1,NA,NA
DZIP1L,NA,NA
GDPD5,NA,NA
GPAT4,NA,NA
SPATA2L,NA,NA
CDC42SE2,NA,NA
ACE,0.026591279,-0.56275
CTBP1,0.02033693,-0.259
SLC37A1,NA,NA
CBS,NA,NA
CBS.1,NA,NA
VAV2,0.847160945,-0.170625
LEMD2,NA,NA
SDC3,0.009094687,-0.49175
SYNC,NA,NA
FLVCR1,0.357655947,-0.272
TFB2M,NA,NA
EIF5A2,NA,NA
ATXN7,0.010287238,0.2855
PPM1M,NA,NA
SAP30,NA,NA
CASP3,NA,NA
MED30,NA,NA
OSGIN2,0.332021401,-0.19675
SLC4A2,0.525084781,-0.390875
FAM219A,NA,NA
CFL2,0.023625557,-0.42075
EML5,NA,NA
MOAP1,NA,NA
ZNF319,NA,NA
RSKR,NA,NA
TP53I13,NA,NA
KIFC2,NA,NA
FTH1,0.459733814,-0.129375
LTBP3,0.227226627,-0.401
PAFAH1B2,NA,NA
DDIT4,NA,NA
PXK,NA,NA
BMP1,0.072557946,-0.440875
PTPN9,0.414940161,-0.27725
PLEKHA2,NA,NA
AGPAT2,0.214782862,-0.55975
CSGALNACT2,NA,NA
TRIM56,NA,NA
KLF13,NA,NA
ZNF778,NA,NA
ZNF282,NA,NA
KRT8,0.543644375,-0.303625
RNF34,NA,NA
TANC2,0.012234955,-0.284
ZNF160,NA,NA
CDC42BPG,NA,NA
FAM241B,NA,NA
CHD7,NA,NA
DLK2,NA,NA
ENC1,0.968081223,0.057625
RGS19,0.468022081,-0.1345
SYNPO,NA,NA
MUS81,NA,NA
MAP3K11,0.630484923,0.132
PLK3,0.061657439,-0.248
HOXB2,0.038089581,-0.696375
TNK1,0.366350909,-0.33825
GOLT1A,NA,NA
DENND6A,NA,NA
CTBP2,0.604673653,-0.229
CCDC57,NA,NA
BNIP3,0.02518695,-0.47975
EID2B,NA,NA
FUT2,NA,NA
DEAF1,0.206724924,-0.524875
PHETA2,NA,NA
TGIF1,0.149148557,-0.570125
MIEF2,NA,NA
ERICH5,NA,NA
ZNF354B,NA,NA
ZNF664,NA,NA
CUEDC1,NA,NA
FKRP,NA,NA
TLCD5,NA,NA
MEX3D,NA,NA
CLDN7,0.004053647,-0.498625
CCDC149,NA,NA
TNRC18,NA,NA
CRIP2,0.324416377,-0.227875
PRR36,NA,NA
BCOR,NA,NA
CMTM4,NA,NA
AC138969.1,NA,NA
PTP4A2,NA,NA
AP001062.1,NA,NA
PTP4A3,0.558703759,-0.317125
IFNE,NA,NA
NRBP2,NA,NA
L3MBTL1,0.180656867,0.355125
ZNF284,NA,NA
ZNF397,NA,NA
TNFRSF18,0.020967636,-0.612875
SHTN1,NA,NA
EPOR,0.305575016,-0.438
SPRY4,NA,NA
PEAR1,NA,NA
WNT7B,0.463469099,-0.183375
NOXA1,0.012420146,0.360125
PAX8-AS1,NA,NA
TDRD7,0.02149293,0.471875
PPP1R26,NA,NA
SLC6A9,0.330333456,-0.22
MAN2A2,0.018238102,-0.599
HRH1,0.031138543,-0.472875
ZFP28,NA,NA
PDLIM7,0.039909032,0.32075
FUT11,NA,NA
PCNX3,NA,NA
NOL4L,NA,NA
ZNF251,NA,NA
CARD11,NA,NA
GFPT1,NA,NA
TXNRD1,0.469077081,-0.002625
ZNF587,NA,NA
NBR2,0.237388387,-0.540375
KLHL9,NA,NA
ANKRD13B,NA,NA
CDC42BPB,0.219776146,-0.397625
PLXNB3,NA,NA
FAM169A,0.052396596,1.941125
SMC5,NA,NA
RASGEF1A,NA,NA
INF2,NA,NA
RPA4,0.426377519,-0.272375
ZDBF2,NA,NA
SPANXN5,NA,NA
MICA,NA,NA
ZNF805,NA,NA
TRIM27,0.989660221,0.01125
SLFN12L,NA,NA
ITPRIPL2,NA,NA
SIPA1,0.072772483,-0.58775
KCTD11,NA,NA
MYL5,0.583943556,-0.19175
NPEPL1,NA,NA
NPEPL1.1,NA,NA
LINC00571,NA,NA
AL391427.1,NA,NA
AL590617.2,NA,NA
SLC16A1-AS1,NA,NA
HSBP1L1,NA,NA
SLC25A25-AS1,NA,NA
AL021392.1,NA,NA
AL109615.3,NA,NA
AL357079.1,NA,NA
SNHG3,0.84829212,-0.06475
ARFGAP3,NA,NA
DBNDD2,NA,NA
MIR210HG,NA,NA
NOP14-AS1,NA,NA
HOXC-AS2,NA,NA
LINC02381,NA,NA
SHLD3,NA,NA
TMEM200B,NA,NA
C1ORF210,NA,NA
AP001453.2,NA,NA
GALNT4,0.007213067,-0.635
AC009120.2,NA,NA
ERVK13-1,NA,NA
AC008870.2,NA,NA
EPPK1,NA,NA
GAN,0.420474193,-0.09575
AC006504.1,NA,NA
AC020978.5,NA,NA
CORO7,NA,NA
AC104564.3,NA,NA
AC127024.5,NA,NA
AC010327.4,NA,NA
ZNF224,0.018099674,-0.299
AC132192.2,NA,NA
MIR4453HG,NA,NA
ZNF528-AS1,NA,NA
AC004918.4,NA,NA
Z83843.1,NA,NA
AC005041.3,NA,NA
AL139246.5,NA,NA
AC093673.2,NA,NA
AC104506.1,NA,NA
PAXIP1-AS1,NA,NA
AC103691.1,NA,NA
AC080038.1,NA,NA
MLLT6,NA,NA
AP003419.3,NA,NA
AC005363.2,NA,NA
AC015871.4,NA,NA
EBLN3P,NA,NA
AC004706.3,NA,NA
