ID,MetaColumn,MetaRow,Column,Row,CLONE_ID,SPOT_ID,Reporter.Species,Reporter.BioSequence.Database.Entry..preferredName.,Repoter.Biosequence.Type,Repoter.BioSequence.PolymerType,CompositeSequence.Identifier,GeneId,CompositeSequence.Biosequence.Type,Plate.Identifier,Plate.Row,Plate.Column,LUID,Failed,Contaminated,Mpox.F.Mock.F,Mpox.F.Killed.F,Killed.F.Mock.F,AveExpr,F,P.Value,adj.P.Val,log2FC
923,2,1,23,1,IMAGE:202577,,Homo sapiens,cDNA_clone,DNA,Experimental,Histamine N-methyltransferase,gene,DNA,O,1,500469,0,U,U,-0.269,-0.2355,-0.0335,-1.270833333,1.023908412,0.374584287,0.485634517,-0.269
21108,4,6,18,14,IMAGE:1307167,,Homo sapiens,cDNA_clone,DNA,Experimental,,,,M,18,20529,0,U,U,-0.101625,0.22875,-0.330375,0.628125,1.023771194,0.37463159,0.48567688,-0.101625
31931,4,9,11,15,IMAGE:123087,,Homo sapiens,cDNA_clone,DNA,Experimental,"Pregnancy-associated plasma protein A, pappalysin 1",gene,DNA,M,9,502765,0,U,U,-0.522125,-0.25725,-0.264875,3.307916667,1.023556395,0.374705649,0.485738845,-0.522125
34410,3,10,30,7,IMAGE:80146,,Homo sapiens,cDNA_clone,DNA,Experimental,Chemokine (C-C motif) ligand 13,gene,DNA,B,22,4235,0,U,U,-0.14225,0.0535,-0.19575,0.251708333,1.023547711,0.374708644,0.485738845,-0.14225
31336,3,9,16,25,IMAGE:231675,,Homo sapiens,cDNA_clone,DNA,Experimental,EVI2A,gene,DNA,N,21,502291,0,U,U,-0.189375,0.074125,-0.2635,-0.960833333,1.023457061,0.374739904,0.485760404,-0.189375
2003,3,1,23,7,IMAGE:814610,,Homo sapiens,cDNA_clone,DNA,Experimental,23479,gene,DNA,F,1,2617,0,U,U,-0.293625,-0.241375,-0.05225,0.269958333,1.023364023,0.374771991,0.485774419,-0.293625
12908,3,4,8,11,IMAGE:322641,,Homo sapiens,cDNA_clone,DNA,Experimental,Hs.594635,gene,DNA,F,16,507904,0,U,U,-0.31125,-0.413375,0.102125,2.515916667,1.023340873,0.374779975,0.485774419,-0.31125
28215,4,8,15,11,IMAGE:427808,,Homo sapiens,cDNA_clone,DNA,Experimental,RGS3,gene,DNA,E,8,29116,0,U,U,-0.91475,-0.720875,-0.193875,3.341458333,1.023274834,0.374802752,0.485782967,-0.91475
28407,4,8,27,17,IMAGE:52120,,Homo sapiens,cDNA_clone,DNA,Experimental,Deltex homolog 1 (Drosophila),gene,DNA,E,8,521148,0,U,U,-0.252375,-0.275375,0.023,-1.511708333,1.023236921,0.37481583,0.485782967,-0.252375
32090,4,9,20,20,,1292523,Homo sapiens,cDNA_clone,DNA,Experimental,114884,gene,DNA,I,21,522715,0,U,U,-0.188,-0.059375,-0.128625,-0.324541667,1.023112106,0.374858885,0.485819807,-0.188
39680,1,12,20,3,IMAGE:701291,,Homo sapiens,cDNA_clone,DNA,Experimental,Hs.191482,gene,DNA,P,24,2016,0,U,U,-0.272625,-0.304125,0.0315,0.0905,1.022979451,0.374904651,0.485860157,-0.272625
23861,3,7,11,16,IMAGE:898001,,Homo sapiens,cDNA_clone,DNA,Experimental,22933,gene,DNA,J,7,528276,0,U,U,0.501125,0.45525,0.045875,0.147333333,1.022839854,0.374952819,0.485903616,0.501125
959,2,1,29,2,IMAGE:2109009,,Homo sapiens,cDNA_clone,DNA,Experimental,Hs.248153,gene,DNA,G,1,531717,0,U,U,-0.02425,-0.1485,0.12425,0.230708333,1.02256329,0.375048267,0.485996975,-0.02425
9179,3,3,29,6,IMAGE:1670857,,Homo sapiens,cDNA_clone,DNA,Experimental,,,,F,3,20090,0,U,U,-0.237,0.01475,-0.25175,-0.288291667,1.022511208,0.375066244,0.485996975,-0.237
16738,3,5,28,18,IMAGE:592125,,Homo sapiens,cDNA_clone,DNA,Experimental,Receptor (TNFRSF)-interacting serine-threonine kinase 1,gene,DNA,B,17,28905,0,U,U,-0.418875,-0.229375,-0.1895,0.999458333,1.022441825,0.375090195,0.485996975,-0.418875
24732,4,7,12,15,IMAGE:194468,,Homo sapiens,cDNA_clone,DNA,Experimental,64902,gene,DNA,M,19,502770,0,U,U,-0.037375,-0.177625,0.14025,-0.248333333,1.022399335,0.375104863,0.485996975,-0.037375
15377,2,5,17,3,IMAGE:2129270,,Homo sapiens,cDNA_clone,DNA,Experimental,Hs.146591,gene,DNA,K,5,23391,0,U,U,0.168,0.3405,-0.1725,-0.691125,1.022390603,0.375107878,0.485996975,0.168
19809,3,6,9,1,IMAGE:1670683,,Homo sapiens,cDNA_clone,DNA,Experimental,Hs.370931,gene,DNA,B,6,19971,0,U,U,-0.15475,-0.160375,0.005625,-0.556333333,1.022365947,0.37511639,0.485996975,-0.15475
8393,2,3,23,10,IMAGE:2118505,,Homo sapiens,cDNA_clone,DNA,Experimental,Transcribed locus,gene,DNA,K,3,531742,0,U,U,-0.20775,-0.1095,-0.09825,-0.066375,1.022334303,0.375127314,0.485996975,-0.20775
11178,1,4,18,13,IMAGE:1350625,,Homo sapiens,cDNA_clone,DNA,Experimental,,,,D,16,14132,0,U,U,0.109,0.177125,-0.068125,-0.693375,1.022075838,0.37521656,0.486093631,0.109
