"initial_alias","converted_alias","name","description","namespace"
"WDR54","84058","WDR54","WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSPAN9","10867","TSPAN9","tetraspanin 9 [Source:HGNC Symbol;Acc:HGNC:21640]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"POLA2","23649","POLA2","DNA polymerase alpha 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:30073]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CLCA4","22802","CLCA4","chloride channel accessory 4 [Source:HGNC Symbol;Acc:HGNC:2018]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CYP24A1","1591","CYP24A1","cytochrome P450 family 24 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2602]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RNASET2","8635","RNASET2","ribonuclease T2 [Source:HGNC Symbol;Acc:HGNC:21686]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KITLG","4254","KITLG","KIT ligand [Source:HGNC Symbol;Acc:HGNC:6343]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FNIP2","57600","FNIP2","folliculin interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:29280]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MPC1","51660","MPC1","mitochondrial pyruvate carrier 1 [Source:HGNC Symbol;Acc:HGNC:21606]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPL18","6141","RPL18","ribosomal protein L18 [Source:HGNC Symbol;Acc:HGNC:10310]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATP2C2","9914","ATP2C2","ATPase secretory pathway Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:29103]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NTHL1","4913","NTHL1","nth like DNA glycosylase 1 [Source:HGNC Symbol;Acc:HGNC:8028]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OAT","4942","OAT","ornithine aminotransferase [Source:HGNC Symbol;Acc:HGNC:8091]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"WDR18","57418","WDR18","WD repeat domain 18 [Source:HGNC Symbol;Acc:HGNC:17956]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MCM10","55388","MCM10","minichromosome maintenance 10 replication initiation factor [Source:HGNC Symbol;Acc:HGNC:18043]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
