ID,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000187583,25.64033251,-1.426332452,0.44405486,0.000439562,0.001528177
ENSG00000187605,74.14722609,2.465745678,0.296260205,1.67E-17,2.34E-16
ENSG00000187607,9.292733038,1.369852658,0.705560737,0.016645255,0.037760191
ENSG00000187630,7.077488007,-2.184604979,0.995668808,0.003588364,0.009955836
ENSG00000187713,27.89625304,-1.255823757,0.465107295,0.002687974,0.007717997
ENSG00000187720,4.228834373,-1.666501246,1.055688294,0.021868148,0.047767504
ENSG00000187735,16.96515393,-1.37754316,0.525608888,0.002995043,0.008475321
ENSG00000187775,2.387514107,3.156231192,2.725246605,0.008373204,0.020817994
ENSG00000187778,55.47948496,0.926159524,0.294807507,0.00101525,0.003237352
ENSG00000187796,2.306658976,3.710389379,2.731563154,0.004770734,0.012740729
ENSG00000187837,234.2920886,1.382369719,0.191879662,2.28E-13,2.43E-12
ENSG00000187838,53.83016193,-1.259805621,0.298040863,1.02E-05,4.81E-05
ENSG00000187840,75.06487301,-2.037895328,0.304100949,4.43E-12,4.28E-11
ENSG00000187912,4.354335348,5.636789104,2.554149932,0.000117069,0.000461018
ENSG00000187922,2.755683891,3.314247812,2.742907174,0.007172012,0.018222623
ENSG00000187954,42.54490525,1.482134725,0.353946956,9.78E-06,4.63E-05
ENSG00000188010,11.78017439,-2.410746651,0.746379268,0.000182946,0.000690037
ENSG00000188042,21.96884748,-1.054213902,0.450296479,0.009313094,0.022798936
ENSG00000188070,25.05505997,3.7505124,0.686243208,1.27E-08,8.84E-08
ENSG00000188076,6.94397105,5.796991376,2.667361019,0.000144299,0.000558078
ENSG00000188089,40.19811483,-3.129288763,0.392881827,2.39E-16,3.07E-15
ENSG00000188100,262.2804486,-1.436925512,0.296655894,4.36E-07,2.51E-06
ENSG00000188112,42.02991174,-1.623312448,0.328535807,2.35E-07,1.40E-06
ENSG00000188157,130.7972937,1.034990122,0.229960649,3.78E-06,1.91E-05
ENSG00000188158,15.11655849,1.76387901,0.638579779,0.001459879,0.004485264
ENSG00000188186,59.51930995,-2.014054109,0.348918119,1.60E-09,1.23E-08
ENSG00000188211,14.77295817,1.364729688,0.602727495,0.008067357,0.02016491
ENSG00000188215,45.3355072,1.31244241,0.331415161,3.17E-05,0.000138552
ENSG00000188229,1893.263677,1.204085991,0.086314487,1.53E-44,6.12E-43
ENSG00000188243,29.09095478,-1.465500578,0.422569772,0.000171076,0.000650007
ENSG00000188290,210.3174765,2.642902725,0.240177443,6.71E-29,1.64E-27
ENSG00000188293,1178.927789,-5.230113015,0.152907261,1.78E-257,6.30E-255
ENSG00000188295,16.94642197,1.442089039,0.619440105,0.006112086,0.015829548
ENSG00000188313,7.408633915,-2.333230609,0.898617943,0.001371051,0.004242054
ENSG00000188342,52.76403163,-1.019929092,0.289523857,0.000234373,0.000862882
ENSG00000188352,7.118666155,-2.528100759,0.913588647,0.000804207,0.002633999
ENSG00000188368,5.190697266,4.402435611,1.597568753,0.000366569,0.001298414
ENSG00000188372,4.203921492,-2.287515612,1.236004964,0.0088193,0.021758981
ENSG00000188373,103.4710951,-5.520777734,0.891974386,3.53E-11,3.19E-10
ENSG00000188393,5.206884008,-6.581831276,2.905197628,6.30E-05,0.000261193
ENSG00000188428,13.60536078,-1.395571361,0.610386874,0.007043833,0.017959975
ENSG00000188486,203.2188926,2.274026737,0.179851882,2.63E-37,8.86E-36
ENSG00000188493,11.12220951,1.908648087,0.711710622,0.00156544,0.004779162
ENSG00000188505,121.851012,-1.111490124,0.205092315,3.02E-08,2.01E-07
ENSG00000188508,4038.969866,-1.936903099,0.102904773,1.09E-79,8.27E-78
ENSG00000188522,248.1641111,1.346959581,0.137702943,5.33E-23,1.01E-21
