"","ID","MetaColumn","MetaRow","Column","Row","CLONE_ID","SPOT_ID","Reporter.Species","Reporter.BioSequence.Database.Entry..preferredName.","Repoter.Biosequence.Type","Repoter.BioSequence.PolymerType","CompositeSequence.Identifier","GeneId","CompositeSequence.Biosequence.Type","Plate.Identifier","Plate.Row","Plate.Column","LUID","Failed","Contaminated","logFC","AveExpr","t","P.Value","adj.P.Val","B","log2FC"
"39487",39487,4,11,7,27,"","C17L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","E",11,30153,0,"U","U",9.3885,-1.04035714285714,18.7627925967893,8.71866484611518e-12,9.79346130884472e-08,17.2483779929258,9.3885
"39527",39527,4,11,17,28,"","C17L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","E",11,30153,0,"U","U",9.564,-1.35364285714286,18.300037730106,1.24713162228224e-11,9.79346130884472e-08,16.9186429887519,9.564
"14326",14326,4,4,16,28,"","N4R","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","A",16,30064,0,"U","U",8.17416666666667,0.0457142857142856,17.9672710192927,1.62165079105253e-11,9.79346130884472e-08,16.6754505660725,8.17416666666667
"21537",21537,4,6,27,28,"VACWR048","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","I",6,30616,0,"U","U",7.429625,-2.9935,17.4596909012838,2.44173428769336e-11,9.79346130884472e-08,16.2943102972801,7.429625
"14286",14286,4,4,6,27,"","N4R","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","A",16,30064,0,"U","U",8.05158333333334,0.103928571428571,17.4582686773464,2.44457309503023e-11,9.79346130884472e-08,16.2932246084012,8.05158333333334
"35927",35927,4,10,17,28,"","A39R","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","E",10,30152,0,"U","U",8.92095833333333,-0.803357142857143,17.2882421388501,2.81062383368421e-11,9.79346130884472e-08,16.1627010741734,8.92095833333333
"31387",31387,3,9,7,27,"","A39R","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","F",9,30174,0,"U","U",7.79008333333333,-0.0121428571428571,17.0799453116059,3.34030821537151e-11,9.79346130884472e-08,16.0008027048823,7.79008333333333
"17897",17897,4,5,17,27,"VACWR071","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","I",5,30615,0,"U","U",7.02516666666667,-0.600714285714286,16.9432348158085,3.74501360662719e-11,9.79346130884472e-08,15.8933306085308,7.02516666666667
"12517",12517,2,4,7,28,"","C15L_648_s","Variola virus","ss_oligo","DNA","Experimental","","","","C",4,31298,0,"U","U",9.54091666666666,-1.64928571428571,16.8522081213087,4.04320183787067e-11,9.79346130884472e-08,15.8212309076556,9.54091666666666
"11607",11607,1,4,27,27,"VACWR172","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","P",4,30861,0,"U","U",9.86691666666667,-1.98357142857143,16.7490119472789,4.41207807091577e-11,9.79346130884472e-08,15.738963565215,9.86691666666667
"26036",26036,1,8,26,28,"VACWR021","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","H",20,30606,0,"U","U",7.616625,-2.42735714285714,16.711313890715,4.55562007273616e-11,9.79346130884472e-08,15.7087698144441,7.616625
"10730",10730,4,3,20,28,"","I3L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","I",15,30249,0,"U","U",9.9005,-1.30692857142857,16.7023245499529,4.59057681952327e-11,9.79346130884472e-08,15.7015587209105,9.9005
"23336",23336,2,7,26,28,"VACWR021","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","G",19,30581,0,"U","U",7.06583333333333,-2.34128571428571,16.6388762710614,4.84556875017974e-11,9.79346130884472e-08,15.6505385039278,7.06583333333333
"8057",8057,1,3,17,29,"","C15L_648_s","Variola virus","ss_oligo","DNA","Experimental","","","","D",3,31321,0,"U","U",8.6145,-1.80907142857143,16.5421810558823,5.26357224691607e-11,9.79346130884472e-08,15.5723666441535,8.6145
"27830",27830,3,8,20,28,"","D11L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","J",20,30277,0,"U","U",8.7475,-0.405071428571429,16.526551539129,5.33466250749604e-11,9.79346130884472e-08,15.5596836409455,8.7475
"18837",18837,1,6,27,28,"VACWR079","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","L",6,30688,0,"U","U",10.649,-1.41914285714286,16.522946986625,5.3512021572623e-11,9.79346130884472e-08,15.5567567426494,10.649
"3493",3493,4,1,13,27,"VACWR012","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","A",1,30419,0,"U","U",8.84545833333333,-1.62371428571429,16.5216840722034,5.35700999162164e-11,9.79346130884472e-08,15.5557310883501,8.84545833333333
"27790",27790,3,8,10,27,"","D11L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","J",20,30277,0,"U","U",8.3515,-0.273785714285714,16.5209259722114,5.36049952782173e-11,9.79346130884472e-08,15.5551153687543,8.3515
"11647",11647,1,4,7,29,"VACWR172","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","P",4,30861,0,"U","U",9.64725,-1.95671428571429,16.515626842779,5.38495904958681e-11,9.79346130884472e-08,15.5508106068183,9.64725
"43093",43093,4,12,13,27,"VACWR171","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","A",12,30430,0,"U","U",7.02833333333333,-2.32035714285714,16.4851670609134,5.52787588341079e-11,9.79346130884472e-08,15.5260368477388,7.02833333333333
"3533",3533,4,1,23,28,"VACWR012","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","A",1,30419,0,"U","U",9.486125,-2.11564285714286,16.3991509775324,5.95368116569339e-11,9.95255916687806e-08,15.4558036374226,9.486125
"43133",43133,4,12,23,28,"VACWR171","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","A",12,30430,0,"U","U",7.17583333333333,-2.35164285714286,16.2924137091046,6.53113823809135e-11,9.95255916687806e-08,15.3680845547941,7.17583333333333
"34126",34126,2,10,16,28,"","F4L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","C",22,30118,2,"U","U",9.926125,-1.45757142857143,16.219495063758,6.95970317283080e-11,9.95255916687806e-08,15.3077943875218,9.926125
"17935",17935,4,5,25,28,"VACWR046","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","E",5,30519,0,"U","U",7.99625,-1.30928571428571,16.1281963915897,7.53889483933432e-11,9.95255916687806e-08,15.2318871126562,7.99625
"18830",18830,1,6,20,28,"","B10R","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","L",18,30321,0,"U","U",8.558125,-0.261857142857143,16.1177597169124,7.60829852275156e-11,9.95255916687806e-08,15.2231799529227,8.558125
"10690",10690,4,3,10,27,"","I3L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","I",15,30249,0,"U","U",9.78704166666666,-1.23592857142857,16.1173420993255,7.6110897713467e-11,9.95255916687806e-08,15.2228314126876,9.78704166666666
"25130",25130,4,7,20,28,"","D11L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","I",19,30253,0,"U","U",8.61358333333333,-0.409214285714286,16.0777605741409,7.88064998658319e-11,9.95255916687806e-08,15.1897521432,8.61358333333333
"13390",13390,3,4,10,27,"","I3L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","J",16,30273,0,"U","U",9.55933333333333,-1.17064285714286,16.0655983381035,7.96550293915252e-11,9.95255916687806e-08,15.1795700004316,9.55933333333333
"17940",17940,4,5,30,28,"VACWR023","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","M",17,30723,0,"U","U",6.60066666666667,-0.670642857142857,16.0402301742154,8.14563304940207e-11,9.95255916687806e-08,15.1583048579422,6.60066666666667
"25132",25132,4,7,22,28,"","B16R","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","M",19,30345,0,"U","U",9.89041666666667,-1.3665,15.842774773674,9.70488717149063e-11,1.00321868496516e-07,14.9915243676504,9.89041666666667
"27792",27792,3,8,12,27,"","B16R","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","N",20,30369,0,"U","U",9.86170833333333,-1.26292857142857,15.8232667121227,9.87532917523375e-11,1.00321868496516e-07,14.9749245993797,9.86170833333333
"17892",17892,4,5,12,27,"","A33R","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","M",17,30343,0,"U","U",8.92204166666667,-0.716142857142857,15.813455416651,9.96225085029071e-11,1.00321868496516e-07,14.9665676132829,8.92204166666667
"17932",17932,4,5,22,28,"","A33R","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","M",17,30343,0,"U","U",8.57716666666667,-0.603571428571429,15.8072216126345,1.00179006559847e-10,1.00321868496516e-07,14.961254918748,8.57716666666667
"5332",5332,2,2,22,28,"","D1L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","O",14,30386,0,"U","U",8.34079166666667,0.3215,15.7660410538268,1.03939291833396e-10,1.00321868496516e-07,14.9261022000585,8.34079166666667
"17937",17937,4,5,27,28,"VACWR071","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","I",5,30615,0,"U","U",7.563125,-1.01578571428571,15.7289062355202,1.07458964513331e-10,1.00321868496516e-07,14.8943178629871,7.563125
"32327",32327,4,9,17,28,"","B13R","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","E",9,30151,0,"U","U",8.77383333333333,-1.23178571428571,15.7245491980822,1.07880160980947e-10,1.00321868496516e-07,14.8905832906624,8.77383333333333
"8907",8907,2,3,27,27,"VACWR172","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","O",3,30858,0,"U","U",8.98058333333333,-1.58342857142857,15.7243624620791,1.07898252004194e-10,1.00321868496516e-07,14.8904232076202,8.98058333333333
"21497",21497,4,6,17,27,"VACWR048","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","I",6,30616,0,"U","U",7.44766666666667,-2.84064285714286,15.6928053185083,1.11002342778631e-10,1.00321868496516e-07,14.8633407480773,7.44766666666667
"8947",8947,2,3,7,29,"VACWR172","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","O",3,30858,0,"U","U",9.584125,-1.87964285714286,15.6564584009203,1.14695641000124e-10,1.00321868496516e-07,14.8320748670981,9.584125
"25996",25996,1,8,16,27,"VACWR021","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","H",20,30606,0,"U","U",7.14275,-2.16157142857143,15.6456455338943,1.15819412316447e-10,1.00321868496516e-07,14.8227584764687,7.14275
"39529",39529,4,11,19,28,"","A51R","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","I",11,30245,0,"U","U",9.130625,-1.2525,15.6248435332837,1.18014401881679e-10,1.00321868496516e-07,14.8048159279637,9.130625
"25089",25089,4,7,9,27,"","C10L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","I",7,30241,0,"U","U",9.651875,-1.22735714285714,15.6164264084489,1.18915092621389e-10,1.00321868496516e-07,14.7975485235506,9.651875
"17037",17037,3,5,27,28,"VACWR048","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","J",5,30639,0,"U","U",7.68533333333333,-2.63128571428571,15.5340470035161,1.28126147148884e-10,1.01114270997789e-07,14.72619869464,7.68533333333333
"7086",7086,4,2,6,27,"","I2L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","A",14,30062,0,"U","U",8.51833333333333,-0.444285714285714,15.5239387637209,1.29307583688043e-10,1.01114270997789e-07,14.7174158718928,8.51833333333333
"18797",18797,1,6,17,27,"VACWR079","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","L",6,30688,0,"U","U",9.96225,-1.12171428571429,15.5039361201403,1.31679735594297e-10,1.01114270997789e-07,14.7000179494337,9.96225
"25092",25092,4,7,12,27,"","B16R","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","M",19,30345,0,"U","U",10.08925,-1.48078571428571,15.4546569820973,1.37723466622386e-10,1.01114270997789e-07,14.6570531579241,10.08925
"39489",39489,4,11,9,27,"","A51R","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","I",11,30245,0,"U","U",9.19833333333333,-1.20835714285714,15.4411199113573,1.39434836407659e-10,1.01114270997789e-07,14.6452249937401,9.19833333333333
"17895",17895,4,5,15,27,"VACWR046","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","E",5,30519,0,"U","U",8.14875,-1.29342857142857,15.4329387665313,1.40480053477788e-10,1.01114270997789e-07,14.6380712550826,8.14875
"25090",25090,4,7,10,27,"","D11L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","I",19,30253,0,"U","U",8.671625,-0.401214285714286,15.4199398680041,1.42157951327668e-10,1.01114270997789e-07,14.6266964508122,8.671625
"3515",3515,4,1,5,28,"","B20R_776_a","Variola virus","ss_oligo","DNA","Experimental","","","","M",1,31151,0,"U","U",8.69441666666667,-1.74607142857143,15.4158999265496,1.42683756664393e-10,1.01114270997789e-07,14.6231591773734,8.69441666666667
"25129",25129,4,7,19,28,"","C10L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","I",7,30241,0,"U","U",9.556375,-1.22878571428571,15.376193501485,1.47963024498835e-10,1.02799487197396e-07,14.5883404703976,9.556375
"34086",34086,2,10,6,27,"","F4L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","C",22,30118,2,"U","U",9.86833333333333,-1.50071428571429,15.3130127800162,1.56795988815745e-10,1.04452019104346e-07,14.5327390013795,9.86833333333333
"7126",7126,4,2,16,28,"","I2L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","A",14,30062,0,"U","U",8.21404166666667,-0.368071428571429,15.3025170873384,1.58316841947224e-10,1.04452019104346e-07,14.52347873626,8.21404166666667
"16090",16090,2,5,10,27,"","B10R","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","K",17,30297,0,"U","U",8.43391666666667,-0.363214285714286,15.2890870445319,1.60285798222098e-10,1.04452019104346e-07,14.5116196611511,8.43391666666667
"5292",5292,2,2,12,27,"","D1L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","O",14,30386,0,"U","U",8.34475,0.435571428571429,15.2766455067403,1.62133069475886e-10,1.04452019104346e-07,14.5006235758504,8.34475
"13430",13430,3,4,20,28,"","I3L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","J",16,30273,0,"U","U",9.33045833333333,-1.04885714285714,15.25467339659,1.65450902939886e-10,1.04686104354803e-07,14.4811809160048,9.33045833333333
"27832",27832,3,8,22,28,"","B16R","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","N",20,30369,0,"U","U",9.96108333333333,-1.22471428571429,15.1299829945631,1.85698514707647e-10,1.15436060905895e-07,14.3702794275209,9.96108333333333
"26032",26032,1,8,22,28,"","C5L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","P",20,30415,0,"U","U",8.55725,-0.538357142857143,15.054766837035,1.99173162782343e-10,1.21677632359772e-07,14.3029125598044,8.55725
"18790",18790,1,6,10,27,"","B10R","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","L",18,30321,0,"U","U",8.4075,-0.152785714285714,14.9980581064838,2.10018025778484e-10,1.2244327578203e-07,14.2518866184671,8.4075
"32287",32287,4,9,7,27,"","B13R","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","E",9,30151,0,"U","U",9.168625,-1.29371428571429,14.9775870979691,2.14085583735167e-10,1.2244327578203e-07,14.2334170992309,9.168625
"19727",19727,2,6,17,28,"","D10L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","G",6,30194,0,"U","U",9.30595833333333,-0.680857142857143,14.9606903778091,2.17506012136927e-10,1.2244327578203e-07,14.2181523930351,9.30595833333333
"15197",15197,1,5,17,27,"VACWR169","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","L",5,30687,0,"U","U",8.0325,-2.734,14.9444294728078,2.20852620444273e-10,1.2244327578203e-07,14.2034449712987,8.0325
"38593",38593,3,11,13,27,"VACWR171","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","B",11,30453,0,"U","U",7.182125,-2.11457142857143,14.9423076992208,2.21293316573697e-10,1.2244327578203e-07,14.2015246611895,7.182125
"2626",2626,3,1,16,28,"","I2L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","B",13,30085,0,"U","U",8.87354166666667,-0.353928571428571,14.9316035491906,2.23530884120122e-10,1.2244327578203e-07,14.1918325071019,8.87354166666667
"11638",11638,1,4,28,28,"VACWR092","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","L",16,30698,0,"U","U",9.06966666666667,-1.5465,14.9264542446491,2.24615836249597e-10,1.2244327578203e-07,14.1871674309722,9.06966666666667
"6193",6193,3,2,13,27,"VACWR012","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","B",2,30444,0,"U","U",8.76908333333333,-1.56157142857143,14.8731031096842,2.36192047472602e-10,1.23632560036081e-07,14.1387337048568,8.76908333333333
"34127",34127,2,10,17,28,"","P2L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","G",10,30198,0,"U","U",7.36833333333333,-0.735642857142857,14.8672851151775,2.37492265474812e-10,1.23632560036081e-07,14.1334409483917,7.36833333333333
"21521",21521,4,6,11,28,"","E4L_404_s","Variola virus","ss_oligo","DNA","Experimental","","","","I",6,31444,0,"U","U",9.47675,-1.74828571428571,14.8515708540988,2.41042291270862e-10,1.23632560036081e-07,14.1191344926734,9.47675
"6233",6233,3,2,23,28,"VACWR012","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","B",2,30444,0,"U","U",9.03158333333333,-1.69757142857143,14.8435788697692,2.42869365609156e-10,1.23632560036081e-07,14.1118524110523,9.03158333333333
"9786",9786,3,3,6,27,"","N4R","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","B",15,30087,0,"U","U",7.79720833333333,0.380285714285714,14.8376102111328,2.44243479313793e-10,1.23632560036081e-07,14.1064112522145,7.79720833333333
"29626",29626,1,9,16,28,"","F4L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","D",21,30140,2,"U","U",9.972,-1.30928571428571,14.7987201197313,2.53401590093693e-10,1.26461669602674e-07,14.0709020462954,9.972
"15187",15187,1,5,7,27,"","D10L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","H",5,30216,0,"U","U",9.25779166666667,-0.564,14.7340961612699,2.69436203816582e-10,1.32596291803235e-07,14.0116800031918,9.25779166666667
"23332",23332,2,7,22,28,"","C5L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","O",19,30391,0,"U","U",8.46091666666667,-0.520142857142857,14.6752596302006,2.8497433664839e-10,1.38247628240984e-07,13.9575256222699,8.46091666666667
"1729",1729,2,1,19,28,"","N1R","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","K",1,30281,0,"U","U",7.893375,0.7785,14.6362653899005,2.95795130799459e-10,1.38247628240984e-07,13.9215098750061,7.893375
"9826",9826,3,3,16,28,"","N4R","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","B",15,30087,0,"U","U",7.73279166666667,0.426928571428571,14.6359742104822,2.95877555728583e-10,1.38247628240984e-07,13.9212405617491,7.73279166666667
"1689",1689,2,1,9,27,"","N1R","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","K",1,30281,0,"U","U",7.748375,0.713857142857143,14.6296836313474,2.97664219101591e-10,1.38247628240984e-07,13.9154210152953,7.748375
"29627",29627,1,9,17,28,"","P2L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","H",9,30220,0,"U","U",7.29033333333333,-0.707071428571429,14.6200311772456,3.00428057871357e-10,1.38247628240984e-07,13.9064862728319,7.29033333333333
"4429",4429,1,2,19,28,"","N1R","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","L",2,30305,0,"U","U",7.37533333333333,0.740357142857143,14.5689433365387,3.15517575205859e-10,1.43329926182939e-07,13.8590949185532,7.37533333333333
"28700",28700,4,8,20,27,"VACWR192","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","M",20,30726,0,"U","U",9.55966666666667,-1.5475,14.5436268969956,3.23291721104561e-10,1.45002475365797e-07,13.8355463885478,9.55966666666667
"17900",17900,4,5,20,27,"VACWR023","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","M",17,30723,0,"U","U",5.80879166666667,-0.247142857142857,14.5093418960576,3.34145966690844e-10,1.47733837626887e-07,13.8035878579797,5.80879166666667
"19687",19687,2,6,7,27,"","D10L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","G",6,30194,0,"U","U",9.319,-0.671142857142857,14.4820114459207,3.43075738917393e-10,1.47733837626887e-07,13.7780559766443,9.319
"18801",18801,1,6,21,27,"VACWR158","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","D",6,30817,0,"U","U",8.62220833333333,-1.91514285714286,14.4742409571549,3.45660662987406e-10,1.47733837626887e-07,13.7707877600563,8.62220833333333
"27789",27789,3,8,9,27,"","C10L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","J",8,30265,0,"U","U",9.528625,-1.25842857142857,14.4607850987026,3.50185948998502e-10,1.47733837626887e-07,13.7581921323521,9.528625
"35027",35027,3,10,17,28,"","B13R","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","F",10,30175,0,"U","U",8.523875,-0.898285714285714,14.4509125895294,3.5354615081451e-10,1.47733837626887e-07,13.7489430743548,8.523875
"28719",28719,4,8,9,28,"","C8L_663_s","Variola virus","ss_oligo","DNA","Experimental","","","","E",8,31350,0,"U","U",9.33204166666667,-2.49642857142857,14.4484263053003,3.54397770391595e-10,1.47733837626887e-07,13.7466127717445,9.33204166666667
"6215",6215,3,2,5,28,"","B20R_776_a","Variola virus","ss_oligo","DNA","Experimental","","","","N",2,31176,0,"U","U",8.947125,-1.85814285714286,14.4192354278526,3.64561081823374e-10,1.50203404793577e-07,13.7192222639687,8.947125
"14335",14335,4,4,25,28,"VACWR042","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","E",4,30518,0,"U","U",9.589,-2.11842857142857,14.4000412854583,3.71412307526842e-10,1.51182564932406e-07,13.7011807716486,9.589
"3531",3531,4,1,21,28,"","B4R","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","M",1,30327,0,"U","U",8.11966666666667,0.168357142857143,14.3592305720085,3.86438265454333e-10,1.51182564932406e-07,13.6627384044432,8.11966666666667
"792",792,1,1,12,27,"","D1L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","P",13,30408,0,"U","U",8.48683333333333,0.261714285714286,14.3578862055677,3.86944101197517e-10,1.51182564932406e-07,13.6614701433159,8.48683333333333
"25992",25992,1,8,12,27,"","C5L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","P",20,30415,0,"U","U",8.38541666666667,-0.4595,14.3574516767921,3.87107748832716e-10,1.51182564932406e-07,13.6610601873382,8.38541666666667
"14295",14295,4,4,15,27,"VACWR042","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","E",4,30518,0,"U","U",9.344,-1.88942857142857,14.3543680157211,3.88271199414359e-10,1.51182564932406e-07,13.658150542147,9.344
"2586",2586,3,1,6,27,"","I2L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","B",13,30085,0,"U","U",8.66554166666667,-0.295071428571428,14.3239935187026,3.99931922904088e-10,1.52464796518562e-07,13.6294557497348,8.66554166666667
"11598",11598,1,4,18,27,"VACWR092","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","L",16,30698,0,"U","U",9.0015,-1.55371428571429,14.323383027303,4.00170069602525e-10,1.52464796518562e-07,13.628878377799,9.0015
"7131",7131,4,2,21,28,"","D3R","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","M",2,30328,0,"U","U",8.52541666666667,-1.4695,14.2959692119874,4.11020759380426e-10,1.54932963480071e-07,13.602925705405,8.52541666666667
"7128",7128,4,2,18,28,"","A37R","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","E",14,30156,0,"U","U",9.69391666666667,-1.36771428571429,14.2762053904175,4.190372010713e-10,1.56292054163783e-07,13.5841835924605,9.69391666666667
"16101",16101,2,5,21,27,"VACWR158","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","C",5,30813,0,"U","U",8.586625,-2.00264285714286,14.2517988379304,4.2916669663276e-10,1.58402745435298e-07,13.5610020239239,8.586625
"30533",30533,2,9,23,28,"VACWR164","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","C",9,30475,0,"U","U",7.20166666666666,-2.63257142857143,14.1939284506464,4.54239060015269e-10,1.6592837745898e-07,13.5058733735497,7.20166666666666
"22440",22440,1,7,30,28,"VACWR031","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","P",19,30797,0,"U","U",8.06245833333333,-1.25928571428571,14.1586039412684,4.7030462297333e-10,1.70043915365449e-07,13.4721094018721,8.06245833333333
"38633",38633,3,11,23,28,"VACWR171","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","B",11,30453,0,"U","U",7.25995833333333,-2.08421428571429,14.0977906579263,4.99393324739749e-10,1.78737410863672e-07,13.4137808504877,7.25995833333333
"15227",15227,1,5,17,28,"","D10L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","H",5,30216,0,"U","U",9.23145833333333,-0.429285714285714,14.0729364605838,5.1182670118895e-10,1.81355555032281e-07,13.3898683412926,9.23145833333333
"832",832,1,1,22,28,"","D1L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","P",13,30408,0,"U","U",8.92991666666667,0.262357142857143,14.0299778773852,5.34098733596668e-10,1.87373469579512e-07,13.348435947927,8.92991666666667
"43127",43127,4,12,17,28,"","D7L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","E",12,30154,0,"U","U",7.02104166666667,-0.248857142857143,13.9985248697733,5.5105745817339e-10,1.89587156149881e-07,13.3180185842198,7.02104166666667
"26039",26039,1,8,29,28,"VACWR065","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","P",8,30786,0,"U","U",8.44545833333334,-1.01714285714286,13.9984292095869,5.51109899907931e-10,1.89587156149881e-07,13.3179259680709,8.44545833333334
