"","ID","MetaColumn","MetaRow","Column","Row","CLONE_ID","SPOT_ID","Reporter.Species","Reporter.BioSequence.Database.Entry..preferredName.","Repoter.Biosequence.Type","Repoter.BioSequence.PolymerType","CompositeSequence.Identifier","GeneId","CompositeSequence.Biosequence.Type","Plate.Identifier","Plate.Row","Plate.Column","LUID","Failed","Contaminated","logFC","AveExpr","t","P.Value","adj.P.Val","B","log2FC"
"29464",29464,1,9,4,23,"IMAGE:814246","","Homo sapiens","cDNA_clone","DNA","Experimental","Proteasome (prosome, macropain) subunit, alpha type, 3","gene","DNA","P",21,501535,0,"U","U",-0.761333333333333,-0.283785714285714,-4.59923753882311,0.000352224858845755,0.00610530256524918,-0.163456775822227,-0.761333333333333
"34989",34989,3,10,9,27,"","A1L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","J",10,30267,0,"U","U",4.72345833333333,-0.520285714285714,4.5989873769513,0.00035239907363671,0.00610530256524918,-0.163956709223903,4.72345833333333
"5288",5288,2,2,8,27,"","E13L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","G",14,30202,0,"U","U",4.1665,0.320142857142857,4.5987142963422,0.000352589350239147,0.00610530256524918,-0.164502450263184,4.1665
"36556",36556,1,11,16,19,"IMAGE:1251452","","Homo sapiens","cDNA_clone","DNA","Experimental","RAB11 family interacting protein 3 (class II)","gene","DNA","H",23,10224,0,"U","U",0.831333333333333,0.421785714285714,4.5985419932476,0.000352709461548982,0.00610530256524918,-0.164846794517272,0.831333333333333
"25126",25126,4,7,16,28,"","M4R","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","A",19,30067,0,"U","U",5.10475,-0.7495,4.59542996764369,0.000354886080192772,0.00613997972630395,-0.171066538075432,5.10475
"293",293,1,1,23,10,"IMAGE:591381","","Homo sapiens","cDNA_clone","DNA","Experimental","Calpastatin","gene","DNA","L",1,531165,0,"U","U",-0.761791666666667,-0.0833571428571429,-4.59506897199246,0.000355139459601915,0.00614009454499617,-0.171788081551353,-0.761791666666667
"4346",4346,1,2,26,25,"IMAGE:686301","","Homo sapiens","cDNA_clone","DNA","Experimental","MRNA; cDNA DKFZp686B0610 (from clone DKFZp686B0610)","gene","DNA","D",14,499,0,"U","U",-0.867875,0.764928571428571,-4.59478621544511,0.000355338053449003,0.00614009454499617,-0.172353251398746,-0.867875
"547",547,1,1,7,19,"IMAGE:1307534","","Homo sapiens","cDNA_clone","DNA","Experimental","","","","H",1,12517,0,"U","U",-0.615041666666666,1.07078571428571,-4.59448781961301,0.000355547755198798,0.00614009454499617,-0.172949687993907,-0.615041666666666
"573",573,1,1,3,20,"IMAGE:1671416","","Homo sapiens","cDNA_clone","DNA","Experimental","Hs.194554","gene","DNA","L",1,22141,0,"U","U",-0.601083333333333,0.378142857142857,-4.59443360846466,0.000355585866461551,0.00614009454499617,-0.173058046572796,-0.601083333333333
"33200",33200,1,10,20,27,"VACWR099","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","P",22,30800,0,"U","U",2.50954166666667,-0.249857142857143,4.59378186418248,0.000356044381090611,0.00614501731864765,-0.174360788097101,2.50954166666667
