"","ID","log2FoldChange","gene_name"
"1","ENSG00000047056",1.195237194,"WDR37"
"2","ENSG00000060491",1.418981981,"OGFR"
"3","ENSG00000069849",-1.144211404,"ATP1B3"
"4","ENSG00000080802",1.081502602,"CNOT4"
"5","ENSG00000085465",2.752447102,"OVGP1"
"6","ENSG00000102908",1.766349359,"NFAT5"
"7","ENSG00000104722",4.8996443,"NEFM"
"8","ENSG00000105376",3.934532074,"ICAM5"
"9","ENSG00000105656",1.310338168,"ELL"
"10","ENSG00000106404",2.145900327,"CLDN15"
"11","ENSG00000110955",-2.466838036,"ATP5F1B"
"12","ENSG00000111790",1.065310977,"FGFR1OP2"
"13","ENSG00000115221",-3.699426983,"ITGB6"
"14","ENSG00000118160",4.601283629,"SLC8A2"
"15","ENSG00000118495",1.133508099,"PLAGL1"
"16","ENSG00000122641",2.070767069,"INHBA"
"17","ENSG00000123416",-1.063502499,"TUBA1B"
"18","ENSG00000140829",1.109044206,"DHX38"
"19","ENSG00000141448",4.460966833,"GATA6"
"20","ENSG00000152422",1.02173421,"XRCC4"
"21","ENSG00000163960",1.113397081,"UBXN7"
"22","ENSG00000167283",-1.615252965,"ATP5MG"
"23","ENSG00000170260",1.151547602,"ZNF212"
"24","ENSG00000172270",-1.582876471,"BSG"
"25","ENSG00000182054",-4.078690882,"IDH2"
"26","ENSG00000183741",2.767893219,"CBX6"
"27","ENSG00000196743",-3.939552955,"GM2A"
