"","x"
"1","ENSG00000186832"
"2","ENSG00000169429"
"3","ENSG00000136235"
"4","ENSG00000137975"
"5","ENSG00000163207"
"6","ENSG00000134762"
"7","ENSG00000197061"
"8","ENSG00000182585"
"9","ENSG00000272141"
"10","ENSG00000081277"
"11","ENSG00000121552"
"12","ENSG00000178372"
"13","ENSG00000197261"
"14","ENSG00000088002"
"15","ENSG00000167754"
"16","ENSG00000166535"
"17","ENSG00000186081"
"18","ENSG00000185479"
"19","ENSG00000278705"
"20","ENSG00000133710"
