Term,,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GO:0030163,protein catabolic process,5,1.373626374,0.035817022,"PDLIM2, CASP3, LPCAT1, TRAF2, DENND3",323,75,19453,4.015067079,1,1,1
GO:0090141,positive regulation of mitochondrial fission,4,1.098901099,0.00547963,"BNIP3, DDHD2, SPIRE1, MIEF2",323,22,19453,10.95018294,0.999976912,1,1
GO:0030010,establishment of cell polarity,4,1.098901099,0.023054387,"UST, CORO7, RAB11FIP2, PKD1",323,37,19453,6.510919588,1,1,1
GO:0006730,one-carbon metabolic process,4,1.098901099,0.023054387,"MTHFD1L, MTHFD2, FPGS, ALDH1L2",323,37,19453,6.510919588,1,1,1
GO:0006654,phosphatidic acid biosynthetic process,4,1.098901099,0.028277145,"GPAT4, DGKQ, LPCAT1, AGPAT2",323,40,19453,6.022600619,1,1,1
GO:0031100,animal organ regeneration,4,1.098901099,0.028277145,"ACE, FPGS, ADM, HSPG2",323,40,19453,6.022600619,1,1,1
GO:0043407,negative regulation of MAP kinase activity,4,1.098901099,0.04043626,"UCHL1, SPRY4, SPRY2, SH2B3",323,46,19453,5.237044017,1,1,1
GO:0035914,skeletal muscle cell differentiation,4,1.098901099,0.044987329,"KRAS, ANKRD52, LEMD2, SAP30",323,48,19453,5.018833849,1,1,1
GO:0006760,folic acid-containing compound metabolic process,3,0.824175824,0.00264278,"MTHFD1L, MTHFD2, FPGS",323,5,19453,36.13560372,0.994152364,1,1
GO:0016024,CDP-diacylglycerol biosynthetic process,3,0.824175824,0.018887711,"GPAT4, AGPAT2, CDS2",323,13,19453,13.89830912,1,1,1
GO:0060394,negative regulation of pathway-restricted SMAD protein phosphorylation,3,0.824175824,0.018887711,"XBP1, LRP1, SNX25",323,13,19453,13.89830912,1,1,1
GO:0033169,histone H3-K9 demethylation,3,0.824175824,0.018887711,"KDM4B, KDM3A, KDM7A",323,13,19453,13.89830912,1,1,1
GO:0032897,negative regulation of viral transcription,3,0.824175824,0.028127693,"TRIM27, MID2, TRIM11",323,16,19453,11.29237616,1,1,1
GO:0046655,folic acid metabolic process,3,0.824175824,0.028127693,"MTHFD2, FPGS, ALDH1L2",323,16,19453,11.29237616,1,1,1
GO:0002720,positive regulation of cytokine production involved in immune response,3,0.824175824,0.031535123,"SLC7A5, SPHK2, IRF5",323,17,19453,10.62811874,1,1,1
GO:0044790,negative regulation by host of viral release from host cell,3,0.824175824,0.031535123,"TRIM27, MID2, TRIM11",323,17,19453,10.62811874,1,1,1
GO:1902236,negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway,3,0.824175824,0.038804076,"CREB3, XBP1, SELENOS",323,19,19453,9.509369399,1,1,1
GO:0006650,glycerophospholipid metabolic process,3,0.824175824,0.038804076,"GPAT4, LPCAT1, AGPAT2",323,19,19453,9.509369399,1,1,1
GO:0010801,negative regulation of peptidyl-threonine phosphorylation,3,0.824175824,0.042653802,"DGKQ, DDIT4, SPRY2",323,20,19453,9.033900929,1,1,1
GO:0032012,regulation of ARF protein signal transduction,3,0.824175824,0.046639415,"IQSEC1, ARFGAP3, ARFGEF3",323,21,19453,8.60371517,1,1,1
GO:0008355,olfactory learning,2,0.549450549,0.032832278,"TPBG, ADCY3",323,2,19453,60.22600619,1,1,1
GO:0036303,lymph vessel morphogenesis,2,0.549450549,0.048843178,"PKD1, VEGFA",323,3,19453,40.15067079,1,1,1
GO:1902033,regulation of hematopoietic stem cell proliferation,2,0.549450549,0.048843178,"ACE, EIF2AK2",323,3,19453,40.15067079,1,1,1
GO:0006990,positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response,2,0.549450549,0.048843178,"CREB3, XBP1",323,3,19453,40.15067079,1,1,1
GO:0055092,sterol homeostasis,2,0.549450549,0.048843178,"XBP1, ABCD1",323,3,19453,40.15067079,1,1,1
