,,,,,RNA-Seq,,,,,,,,,,,,,,Microarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UP,,,,,,,,,,,,DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kera,,,,,,,Colon,,,,,,,,Entrenz,,,,,,,,Gene Id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Fibroblast,,,Monocyte,,,,,Fibroblast,,,,,Monocyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clade IIa,,Clade IIb,,Clade I,,,Clade IIa,,Clade IIb,,Clade I,,,,Zaire,,,Zaire,,,,Zaire,,,,,Zaire,,,,,,,,Keratinocyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UP,,,,,,,,,,,DOWN,,,
UP,Down,UP,Down,UP,Down,,UP,Down,UP,Down,UP,Down,,,UP,Down,,UP,Down,,,,UP,,Down,,,UP,,Down,,,,,1510,,"396 elements included exclusively in ""clade IIb"":",,"19 common elements in ""clade IIa"", ""clade IIb"", ""clade I"" and ""Zaire"":",,"11 common elements in ""clade IIa"", ""clade I"" and ""Zaire"":",,,,,,"402 elements included exclusively in ""clade IIb"":",,,"8 common elements in ""clade IIa"", ""clade IIb"", ""clade I"" and ""Zaire"":",,,"3 common elements in ""clade IIa"", ""clade I"" and ""Zaire"":",,,,,,,,402+5,,,,,,,,,,,,,,,,,,,,,,,
SOX8,SKAP2,MAP3K14,GGCT,FAM214B,COPZ2,,,,,,,,,,34126,14644,,11589,25699,,,4745,NELL1,11189,CELF3,,5287,PIK3C2B,,2433,FRA10C,,,,ZNF263,,TSPAN17,,SLC8A2,,PCBP2,,,,,,ATP2C2,,,,,,,,,,,,,,,,,,,,,,ATP6V0A1,,FAM160A2,,NELL1,,,,,,,RAI14,,SH3GLB1,,VLDLR
FBXL3,SLC25A5,TMEM132A,CCDC124,CREBBP,CROT,,,,,,,,,,18830,4080,,32327,42561,,,3658,IREB2,2308,FOXO1,,5288,PIK3C2G,,4597,MVD,,,,TNFRSF12A,,ATP9A,,PLAGL1,,,,,,,,NTHL1,,,,,,,,,,,,,,,,,,,,,,LSG1,,FSTL4,,IREB2,,,,,,,TRIT1,,HSD3B7,,CELF3
ZFX,COPZ2,AP2B1,TSR3,KMT2E,GDE1,,,,,,,,,,10690,3744,,25991,546,,,4747,NEFL,7696,ZNF137P,,5289,PIK3C3,,253,ALS3,,,,RHBDF1,,EIF2AK2,,INHBA,,,,,,,,OAT,,,,,,,,,,,,,,,,,,,,,,KIAA0556,,VMP1,,NEFL,,,,,,,CUL7,,APEX1,,FOXO1
MAP3K14,CROT,ZNF263,SYPL1,SOX8,TTC22,,,,,,,,,,25130,496,,39489,4597,,,4761,NEUROD2,7691,ZNF132,,28729,TRAJ26,,3414,IDDM15,,,,CRAMP1,,SLC2A3,,DHX38,,,,,,,,WDR18,,,,,,,,,,,,,,,,,,,,,,RRP12,,CTSA,,NEUROD2,,,,,,,MRPS10,,PSMA7,,ZNF137P
TMEM132A,GDE1,SPATA20,CYB561,ZFX,GGCT,,,,,,,,,,13390,11090,,17892,40735,,,825,CAPN3,483,ATP1B3,,5290,PIK3CA,,28601,TRBV6-6,,,,CDK11A,,SPHK2,,GATA6,,,,,,,,MCM10,,,,,,,,,,,,,,,,,,,,,,NNAT,,NFYC,,CAPN3,,,,,,,MSMO1,,PCSK1N,,ZNF132
AP2B1,REX1BD,TNFRSF12A,MPND,MAP3K14,ELAC2,,,,,,,,,,25132,7691,,10690,39164,,,826,CAPNS1,2558,GABRA5,,28727,TRAJ28,,2457,FRA14B,,,,CELSR3,,ZNF275,,XRCC4,,,,,,,,COL17A1,,,,,,,,,,,,,,,,,,,,,,ZFR,,UFD1,,CAPNS1,,,,,,,MRTO4,,UBL4A,,GABRA5
TAC1,TTC22,KDM7A,MGST1,TMEM132A,CCDC124,,,,,,,,,,27792,5232,,5287,3806,,,827,CAPN6,3402,IDDM3,,28728,TRAJ27,,3028,HSD17B10,,,,SS18L2,,MTHFD2,,UBXN7,,,,,,,,YBX1,,,,,,,,,,,,,,,,,,,,,,TRAF1,,PTGS2,,CAPN6,,,,,,,LAMA3,,CPPED1,,IDDM3
ZNF263,GGCT,PRSS21,NFIX,TAC1,TSR3,,,,,,,,,,17892,4300,,32331,24932,,,828,CAPS,489,ATP2A3,,5292,PIM1,,546,ATRX,,,,CRY1,,CACNB1,,ZNF212,,,,,,,,ASPM,,,,,,,,,,,,,,,,,,,,,,DCBLD2,,ANO8,,CAPS,,,,,,,TBC1D22A,,DNAJA3,,ATP2A3
TNFRSF12A,ELAC2,RHBDF1,UQCRC1,ZNF263,SYPL1,,,,,,,,,,17932,11189,,18790,5883,,,829,CAPZA1,2553,GABPB1,,28725,TRAJ30,,10172,ZNF256,,,,MMP25,,CBFB,,CBX6,,,,,,,,PABPC1,,,,,,,,,,,,,,,,,,,,,,UNKL,,MCCC1,,CAPZA1,,,,,,,ATP2B4,,SPG11,,GABPB1
MAP3K9,PNPLA4,CRAMP1,PRSS3,TNFRSF12A,CYB561,,,,,,,,,,5332,687,,42225,39449,,,5862,RAB2A,2311,FOXO1B,,28726,TRAJ29,,1255,CNA1,,,,IL32,,RASSF1,,,,,,,,,,TRIP13,,,,,,,,,,,,,,,,,,,,,,MED29,,CBFA2T2,,RAB2A,,,,,,,HAGH,,MCM4,,FOXO1B
BAIAP2L1,CCDC124,CDK11A,TSPAN9,MAP3K9,MPND,,,,,,,,,,32327,18698,,15187,10172,,,2592,GALT,2310,FOXO3B,,825,CAPN3,,9312,KCNB2,,,,ZNF207,,MNT,,,,,,,,,,ATP6AP1,,,,,,,,,,,,,,,,,,,,,,TNPO3,,ARG2,,GALT,,,,,,,DGKA,,TBCB,,FOXO3B
IFRD1,KIAA0100,CELSR3,ANLN,BAIAP2L1,MGST1,,,,,,,,,,39529,4111,,17932,41994,,,2591,GALNT3,10420,TESK2,,827,CAPN6,,6719,SRD5A1P1,,,,NISCH,,ATP2B1,,,,,,,,,,SMC1A,,,,,,,,,,,,,,,,,,,,,,AP3D1,,DOP1A,,GALNT3,,,,,,,MTFR1,,MEGF9,,ATP2B1
RHBDF1,RPUSD1,SS18L2,POLA2,IFRD1,NFIX,,,,,,,,,,25089,520,,10730,2433,,,2590,GALNT2,490,ATP2B1,,7125,TNNC2,,2239,GPC4,,,,FYN,,SPEG,,,,,,,,,,HMMR,,,,,,,,,,,,,,,,,,,,,,SPEN,,ZNF586,,GALNT2,,,,,,,HYAL2,,DDX50,,ATP4A
LUC7L,TSR3,CRY1,MDH1,RHBDF1,CD9,,,,,,,,,,7086,155,,8889,256,,,27285,TEKT2,495,ATP4A,,9787,DLGAP5,,2354,FOSB,,,,CLCN6,,PDE8A,,,,,,,,,,XRCC1,,,,,,,,,,,,,,,,,,,,,,DIP2B,,CD59,,TEKT2,,,,,,,NUP133,,SYNGR2,,ATP4B
CRAMP1,SYPL1,MMP25,IL20RA,LUC7L,PRSS3,,,,,,,,,,25092,2848,,2631,42540,,,2589,GALNT1,496,ATP4B,,2592,GALT,,5883,RAD9A,,,,APBA3,,CELSR1,,,,,,,,,,SCARB1,,,,,,,,,,,,,,,,,,,,,,PFKP,,ATRX,,GALNT1,,,,,,,VPS35,,CCDC34,,IDDM11
MYLIP,CYB561,IL32,CLCA4,CRAMP1,ANLN,,,,,,,,,,39489,31625,,34087,31811,,,2588,GALNS,3410,IDDM11,,2589,GALNT1,,6567,SLC16A2,,,,RNF216,,VPS9D1,,,,,,,,,,DHRS9,,,,,,,,,,,,,,,,,,,,,,DHX8,,KIZ,,GALNS,,,,,,,PIGB,,COQ5,,IDH3A
SYN1,MPND,PKD1,RALBP1,MYLIP,TMEM159,,,,,,,,,,25090,234,,4426,27227,,,830,CAPZA2,3419,IDH3A,,2587,GALR1,,3699,ITIH3,,,,KDM5D,,ZNF37A,,,,,,,,,,LMAN1,,,,,,,,,,,,,,,,,,,,,,MEF2A,,SNX5,,CAPZA2,,,,,,,GUCY2C,,CDK2AP1,,WNT6
CDK11A,MGST1,BAZ1B,CNTN1,CDK11A,PRICKLE3,,,,,,,,,,25129,3201,,1725,42598,,,2587,GALR1,10632,ATP5MG,,2585,GALK2,,5636,PRPSAP2,,,,CLK1,,ITCH,,,,,,,,,,SEMA3C,,,,,,,,,,,,,,,,,,,,,,CFAP20,,TOP3B,,GALR1,,,,,,,NDST1,,SAYSD1,,TRBV5-7
SPAG9,NFIX,ZNF207,CYP24A1,CYTH3,MVP,,,,,,,,,,34086,18710,,29627,36352,,,831,CAST,3418,IDH2,,10730,YME1L1,,28644,TRAV38-1,,,,GPRC5A,,TNS1,,,,,,,,,,WDR62,,,,,,,,,,,,,,,,,,,,,,RAD18,,GGA1,,CAST,,,,,,,RHOBTB1,,FIG4,,WNT8A
CELSR3,RPS20,STARD3NL,CPS1,SPAG9,POLR3B,,,,,,,,,,7126,18679,,19685,42954,,,2585,GALK2,7475,WNT6,,4430,MYO1B,,,,,,,PHLDB1,,MID2,,,,,,,,,,REXO2,,,,,,,,,,,,,,,,,,,,,,ADGRL1,,PICK1,,GALK2,,,,,,,NLE1,,CCND3,,TRBV5-8
AASS,UQCRC1,GIPR,NLRP2,CELSR3,DNASE1L1,,,,,,,,,,16090,7475,,39525,30437,,,832,CAPZB,28608,TRBV5-7,,4431,MSBP1,,,,,,,SAMD4A,,TRAF5,,,,,,,,,,FBLN1,,,,,,,,,,,,,,,,,,,,,,MPP5,,PPP6R2,,CAPZB,,,,,,,NOTCH3,,RAD50,,IFI16
SS18L2,CD9,NISCH,RNH1,AASS,HEBP1,,,,,,,,,,5292,7706,,32330,2354,,,5616,PRKY,7478,WNT8A,,4429,MRXS7,,,,,,,RB1CC1,,ULK2,,,,,,,,,,EDN1,,,,,,,,,,,,,,,,,,,,,,TUBE1,,HMOX1,,PRKY,,,,,,,MYDGF,,TXNDC15,,TEAD4
CRY1,PRSS3,SCMH1,DERA,SS18L2,CAPN1,,,,,,,,,,13430,3694,,8929,37259,,,4528,MTIF2,3431,SP110,,6189,RPS3A,,,,,,,PLEKHO1,,ZNF416,,,,,,,,,,NDC80,,,,,,,,,,,,,,,,,,,,,,MARK3,,VCPKMT,,MTIF2,,,,,,,ACTR6,,ATP6V0E1,,STK16
MMP25,TMEM159,FYN,RNASET2,CRY1,MDH1,,,,,,,,,,27832,472,,32291,28601,,,3690,ITGB3,28607,TRBV5-8,,1729,DIAPH1,,,,,,,GCLM,,BCORL1,,,,,,,,,,HAL,,,,,,,,,,,,,,,,,,,,,,FRYL,,DCAF11,,ITGB3,,,,,,,GRAMD4,,FANCL,,CR2
IL32,PRICKLE3,CLCN6,CD44,MMP25,SLC30A9,,,,,,,,,,26032,4246,,23330,42559,,,4541,MT-ND6,3428,IFI16,,1725,DHPS,,,,,,,UBR2,,DDHD2,,,,,,,,,,PIGS,,,,,,,,,,,,,,,,,,,,,,TMEM131,,ARFGAP1,,LRP8,,,,,,,EXOSC7,,TXNDC9,,GRIK4
MAPK8IP2,MVP,MRC2,MIPEP,IL32,COX15,,,,,,,,,,18790,30213,,30488,18428,,,5863,RGL2,7004,TEAD4,,23329,TBC1D30,,,,,,,NCAPH2,,SNX10,,,,,,,,,,PSMC5,,,,,,,,,,,,,,,,,,,,,,RAB7A,,RAB40AL,,PHLDA1,,,,,,,DNAJC10,,DARS,,IGHVII-22-1
BAZ1B,POLR3B,APBA3,IFNGR1,MAPK8IP2,IL20RA,,,,,,,,,,32287,3846,,23292,37877,,,7804,LRP8,8576,STK16,,8930,MBD4,,,,,,,VIM,,KLHL42,,,,,,,,,,TFAP2C,,,,,,,,,,,,,,,,,,,,,,TULP3,,TAF1C,,PRSS8,,,,,,,PPP2R5C,,SCAMP3,,ADRB3
ZNF207,ANGEL1,RNF216,GRN,MED24,SLC38A5,,,,,,,,,,19727,642,,25990,42745,,,22822,PHLDA1,1380,CR2,,6191,RPS4X,,,,,,,AGPAT4,,DOCK9,,,,,,,,,,AURKA,,,,,,,,,,,,,,,,,,,,,,RAB21,,KAT8,,TUBGCP2,,,,,,,CPOX,,CRYZ,,RNU1-2
STARD3NL,DNASE1L1,SEMA3B,ALG1,ZNF207,RALBP1,,,,,,,,,,2626,30217,,42188,39413,,,5652,PRSS8,2900,GRIK4,,25987,TSKU,,,,,,,TBPL1,,RCOR1,,,,,,,,,,TPX2,,,,,,,,,,,,,,,,,,,,,,MAGI3,,INTS9,,MT-TF,,,,,,,JMJD4,,NENF,,NFE2L2
IFFO1,HEBP1,KDM5D,ABCF2,GIPR,CNTN1,,,,,,,,,,34127,15692,,17925,36175,,,10844,TUBGCP2,28374,IGHVII-22-1,,6192,RPS4Y1,,,,,,,FAM13B,,PDCD7,,,,,,,,,,SLC15A1,,,,,,,,,,,,,,,,,,,,,,EPB41L3,,FCGRT,,ALDH1L1,,,,,,,ATP8B1,,CD3EAP,,MLLT3
NISCH,CAPN1,CLK1,TMSB10,NISCH,AGPS,,,,,,,,,,9786,8765,,26028,9312,,,4558,MT-TF,155,ADRB3,,25989,ULK3,,,,,,,ZCCHC8,,RAB11FIP3,,,,,,,,,,BIRC5,,,,,,,,,,,,,,,,,,,,,,ITPKC,,TRMT1,,SASH1,,,,,,,LYRM2,,RAB32,,H2BC10
SLC6A13,MDH1,GPRC5A,PEX3,SLC6A13,RNH1,,,,,,,,,,29626,14933,,13392,27116,,,10840,ALDH1L1,26870,RNU1-2,,25988,HINFP,,,,,,,EDC4,,TNRC6A,,,,,,,,,,KIF4A,,,,,,,,,,,,,,,,,,,,,,TRIP6,,VRK3,,TBC1D30,,,,,,,TNPO1,,STBD1,,FRA1E
FYN,SLC30A9,PHLDB1,ADSS,FYN,DERA,,,,,,,,,,15187,342,,13430,3699,,,23328,SASH1,3434,IFIT1,,23327,NEDD4L,,,,,,,TRIO,,UPRT,,,,,,,,,,NAT14,,,,,,,,,,,,,,,,,,,,,,ATXN7L3,,KRT37,,MBD4,,,,,,,ZMPSTE24,,GLE1,,HOXB
HIVEP2,COX15,SAMD4A,MRI1,HIVEP2,DEF6,,,,,,,,,,23332,10868,,13432,43082,,,23329,TBC1D30,4780,NFE2L2,,26030,PLEKHG3,,,,,,,RIPOR1,,SMIM24,,,,,,,,,,TMEM101,,,,,,,,,,,,,,,,,,,,,,GNAS,,AKAP10,,PPP1R11,,,,,,,IGSF9,,KDSR,,HPCA
CLCN6,IL20RA,SERPINB1,CDH1,CLCN6,EHD2,,,,,,,,,,1729,7436,,42189,35397,,,8930,MBD4,3694,ITGB6,,8929,PHOX2B,,,,,,,PHLPP2,,LZTR1,,,,,,,,,,CCDC80,,,,,,,,,,,,,,,,,,,,,,SPTLC1,,DPH1,,IGFBP3,,,,,,,TTC39A,,ZNF205,,NR3C1P1
APBA3,GLT8D1,RB1CC1,RAB27B,APBA3,CD44,,,,,,,,,,9826,25897,,31427,42413,,,6992,PPP1R11,4300,MLLT3,,28691,TRAV2,,,,,,,MED17,,XBP1,,,,,,,,,,PSME1,,,,,,,,,,,,,,,,,,,,,,PDPR,,IFT20,,IGFBP2,,,,,,,MAVS,,AHNAK,,USP20
AKAP8L,SLC38A5,PLEKHO1,CAPG,AKAP8L,MIPEP,,,,,,,,,,1689,495,,34987,1058,,,3486,IGFBP3,8346,H2BC10,,26032,SUSD5,,,,,,,OFD1,,SUN2,,,,,,,,,,MYL6,,,,,,,,,,,,,,,,,,,,,,SEC22C,,UBE4A,,TSKU,,,,,,,ANAPC5,,MIF4GD,,IFNA7
