ID,GSM6765206,GSM6765207,GSM6765208,GSM6765209,GSM6765210,GSM6765211,GSM6765212,GSM6765213,GSM6765214,GSM6765215,GSM6765225,GSM6765240,GSM6765254,GSM6765268,GSM6765281,GSM6765294,GSM6765307,GSM6765321,GSM6765335,GSM6765349,GSM6765363,GSM6765379,GSM6765393,GSM6765408
CDC20,16.4958672,22.216999,19.734141,26.597659,24.179829,23.890847,20.7860663,18.982744,21.772708,21.189262,22.031416,20.666256,48.401641,43.051225,42.32117,23.222112,26.429674,12.149079,11.1622852,11.8664925,11.1539115,24.503954,18.800044,36.498694
CCNB1,27.1696636,25.24659,18.747434,19.70197,24.179829,23.890847,23.7555043,19.981835,24.741713,23.308188,24.129646,24.799508,63.034695,64.576838,55.68575,37.597705,30.834619,36.447238,7.4415235,8.8998694,10.4103174,32.671939,33.4223,29.198955
CCNA2,7.762761,6.059181,5.920242,7.880788,7.737545,7.645071,8.9083141,5.994551,5.938011,7.416242,7.343805,8.266503,25.88925,18.126832,18.93316,9.952334,9.911128,5.522309,2.9766094,2.2249673,3.7179705,11.230979,6.266681,10.428198
BUB1B,0.9703451,2.019727,1.973414,1.970197,1.934386,2.866902,1.9796254,1.998184,1.979337,1.059463,2.09823,2.066626,9.004956,10.196343,8.90972,2.21163,3.303709,2.208924,0.7441524,1.4833116,0.7435941,5.104991,2.088894,1.04282
BUB1,2.9110354,2.019727,1.973414,1.970197,2.901579,1.911268,1.9796254,1.998184,1.979337,3.178389,2.09823,2.066626,7.879337,7.930489,8.90972,3.317445,2.202473,3.313385,0.7441524,1.4833116,0.7435941,3.062994,3.133341,3.128459
TXNRD1,213.4759281,188.84449,201.288243,187.168711,188.602665,190.171142,185.0949714,198.819261,186.057684,198.119599,191.988057,200.462688,56.280978,52.114641,53.45832,93.994263,90.301385,85.043556,751.5938732,697.89809,739.8761311,87.805837,88.777984,90.725324
