,group
GSM283173,Killed.F
GSM283177,Killed.F
GSM283187,Killed.F
GSM283189,Killed.F
GSM283192,Killed.F
GSM283196,Killed.F
GSM283203,Killed.F
GSM283222,Killed.F
GSM283225,Mock.F
GSM283230,Mock.F
GSM283252,Mock.F
GSM283255,Mock.F
GSM283258,Mock.F
GSM283277,Mock.F
GSM283278,Mock.F
GSM283280,Mock.F
GSM283378,Mpox.F
GSM283396,Mpox.F
GSM283397,Mpox.F
GSM283398,Mpox.F
GSM283400,Mpox.F
GSM283401,Mpox.F
GSM283403,Mpox.F
GSM283405,Mpox.F
