ID,AURKA,CDC20,CCNB1,KIF11,HSPG2,CCNA2,BUB1B,CCNB2,BUB1,RRM2,CTBP2,UBE2C,TXNRD1,condition
GSM6765206,30.0806989,16.4958672,27.1696636,1.9406903,97.0345128,7.762761,0.9703451,4.8517256,2.9110354,1.9406903,11.6441415,4.8517256,213.4759281,0
GSM6765207,31.305771,22.216999,25.24659,2.019727,126.232948,6.059181,2.019727,5.049318,2.019727,2.019727,13.128227,5.049318,188.84449,0
GSM6765208,32.561333,19.734141,18.747434,1.973414,114.45802,5.920242,1.973414,2.960121,1.973414,1.973414,12.827192,5.920242,201.288243,0
GSM6765209,31.523151,26.597659,19.70197,1.970197,122.152212,7.880788,1.970197,3.940394,1.970197,2.955295,13.791379,8.865886,187.168711,0
GSM6765210,29.015795,24.179829,24.179829,1.934386,116.063178,7.737545,1.934386,4.835966,2.901579,3.868773,12.573511,8.704738,188.602665,0
GSM6765211,30.580284,23.890847,23.890847,1.911268,117.542967,7.645071,2.866902,5.733803,1.911268,3.822536,12.42324,5.733803,190.171142,0
GSM6765212,28.7045678,20.7860663,23.7555043,0.9898127,104.9201442,8.9083141,1.9796254,4.9490634,1.9796254,3.9592507,11.8777522,4.9490634,185.0949714,0
GSM6765213,29.972753,18.982744,19.981835,2.997275,109.900094,5.994551,1.998184,3.996367,1.998184,2.997275,12.988193,6.993642,198.819261,0
GSM6765214,33.64873,21.772708,24.741713,1.979337,109.853207,5.938011,1.979337,4.948343,1.979337,3.958674,11.876022,5.938011,186.057684,0
GSM6765215,38.140671,21.189262,23.308188,3.178389,85.816511,7.416242,1.059463,5.297315,3.178389,4.237852,11.654094,9.535168,198.119599,0
GSM6765225,38.817257,22.031416,24.129646,2.09823,91.273011,7.343805,2.09823,5.245575,2.09823,4.19646,11.540266,7.343805,191.988057,0
GSM6765240,33.06601,20.666256,24.799508,3.099938,80.5984,8.266503,2.066626,7.23319,2.066626,3.099938,12.399754,4.133251,200.462688,0
GSM6765254,18.009913,48.401641,63.034695,10.130576,11.256196,25.88925,9.004956,18.009913,7.879337,10.130576,15.758674,37.145445,56.280978,0
GSM6765268,13.595124,43.051225,64.576838,11.32927,11.32927,18.126832,10.196343,20.392686,7.930489,9.063416,16.993905,33.987809,52.114641,0
GSM6765281,18.93316,42.32117,55.68575,10.02344,12.25087,18.93316,8.90972,16.70573,8.90972,10.02344,17.81944,32.29774,53.45832,0
GSM6765294,7.740704,23.222112,37.597705,3.317445,16.587223,9.952334,2.21163,11.058149,3.317445,2.21163,27.645372,72.983781,93.994263,0
GSM6765307,9.911128,26.429674,30.834619,3.303709,15.41731,9.911128,3.303709,7.708655,2.202473,2.202473,29.733383,73.782839,90.301385,0
GSM6765321,11.044618,12.149079,36.447238,2.208924,14.358003,5.522309,2.208924,9.940156,3.313385,2.208924,28.716006,68.476629,85.043556,0
GSM6765335,4.4649141,11.1622852,7.4415235,1.4883047,23.8128752,2.9766094,0.7441524,7.4415235,0.7441524,0.7441524,46.1374457,10.4181329,751.5938732,1
GSM6765349,1.4833116,11.8664925,8.8998694,0.7416558,28.9245755,2.2249673,1.4833116,3.7082789,1.4833116,0.7416558,41.5327237,10.3831809,697.89809,1
GSM6765363,2.9743764,11.1539115,10.4103174,0.7435941,26.0257936,3.7179705,0.7435941,3.7179705,0.7435941,1.4871882,42.3848638,11.8975056,739.8761311,1
GSM6765379,10.209981,24.503954,32.671939,3.062994,15.314972,11.230979,5.104991,9.188983,3.062994,3.062994,19.398964,43.902918,87.805837,0
GSM6765393,9.400022,18.800044,33.4223,2.088894,15.666703,6.266681,2.088894,10.444469,3.133341,2.088894,17.755597,39.688981,88.777984,0
GSM6765408,6.256919,36.498694,29.198955,4.171279,17.727937,10.428198,1.04282,13.556658,3.128459,3.128459,22.942036,38.584333,90.725324,0
