NAME,SYMBOL,TITLE,RANK IN GENE LIST,RANK METRIC SCORE,RUNNING ES,CORE ENRICHMENT
row_35,YRDC,yrdC N6-threonylcarbamoyltransferase domain containing [Source:HGNC Symbol;Acc:HGNC:28905],2796,2.49236989,0.3252413,Yes
row_36,TRAF1,TNF receptor associated factor 1 [Source:HGNC Symbol;Acc:HGNC:12031],2933,2.423338652,0.32820588,Yes
row_37,GADD45G,growth arrest and DNA damage inducible gamma [Source:HGNC Symbol;Acc:HGNC:4097],3032,2.384275913,0.33249703,Yes
row_38,ETV4,ETS variant transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:3493],3214,2.308572769,0.3333469,Yes
row_39,BMP2,bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069],3458,2.213397264,0.3314958,Yes
row_40,RBP4,retinol binding protein 4 [Source:HGNC Symbol;Acc:HGNC:9922],3595,2.156700373,0.33355987,Yes
row_41,MMP11,matrix metallopeptidase 11 [Source:HGNC Symbol;Acc:HGNC:7157],3691,2.116792202,0.33706278,Yes
row_42,AVL9,AVL9 cell migration associated [Source:HGNC Symbol;Acc:HGNC:28994],3693,2.115645885,0.34416956,Yes
row_43,ADAM17,ADAM metallopeptidase domain 17 [Source:HGNC Symbol;Acc:HGNC:195],3783,2.083894491,0.34779164,Yes
row_44,WDR33,WD repeat domain 33 [Source:HGNC Symbol;Acc:HGNC:25651],3817,2.069600582,0.35351473,Yes
row_45,BTBD3,BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:15854],3931,2.027527571,0.35602534,Yes
row_46,ANKH,ANKH inorganic pyrophosphate transport regulator [Source:HGNC Symbol;Acc:HGNC:15492],4029,1.994680762,0.35903907,Yes
row_47,CBX8,chromobox 8 [Source:HGNC Symbol;Acc:HGNC:15962],4124,1.958624005,0.36204615,Yes
row_48,DUSP6,dual specificity phosphatase 6 [Source:HGNC Symbol;Acc:HGNC:3072],4151,1.951518416,0.36763912,Yes
row_49,HBEGF,heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059],4164,1.947709918,0.37375656,Yes
row_50,FUCA1,alpha-L-fucosidase 1 [Source:HGNC Symbol;Acc:HGNC:4006],4218,1.927502155,0.37823215,Yes
row_51,EPHB2,EPH receptor B2 [Source:HGNC Symbol;Acc:HGNC:3393],4256,1.913794279,0.3832755,Yes
row_52,ADAM8,ADAM metallopeptidase domain 8 [Source:HGNC Symbol;Acc:HGNC:215],4260,1.912657619,0.38961998,Yes
row_53,PRELID3B,PRELI domain containing 3B [Source:HGNC Symbol;Acc:HGNC:15892],4264,1.911837578,0.3959617,Yes
row_54,EREG,epiregulin [Source:HGNC Symbol;Acc:HGNC:3443],4415,1.858688354,0.396482,Yes
row_55,IL10RA,interleukin 10 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5964],4434,1.852448821,0.4020474,Yes
row_56,DCBLD2,"discoidin, CUB and LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24627]",4535,1.819525957,0.40435445,Yes
row_57,MMD,monocyte to macrophage differentiation associated [Source:HGNC Symbol;Acc:HGNC:7153],4617,1.793316483,0.4073022,Yes
row_58,SNAP91,synaptosome associated protein 91 [Source:HGNC Symbol;Acc:HGNC:14986],4907,1.699143529,0.40194878,No
row_59,ID2,inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361],5177,1.610577226,0.39706388,No
row_60,FGF9,fibroblast growth factor 9 [Source:HGNC Symbol;Acc:HGNC:3687],5479,1.51673162,0.39063382,No
row_61,ALDH1A2,aldehyde dehydrogenase 1 family member A2 [Source:HGNC Symbol;Acc:HGNC:15472],5717,1.441461444,0.38640594,No
row_62,MAP7,microtubule associated protein 7 [Source:HGNC Symbol;Acc:HGNC:6869],5779,1.421557903,0.38886577,No
row_63,EMP1,epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333],5935,1.378026009,0.3875708,No
row_64,H2BC3,H2B clustered histone 3 [Source:HGNC Symbol;Acc:HGNC:4751],6050,1.343282223,0.38773212,No
row_65,PTGS2,prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605],6079,1.335107446,0.3911665,No
row_66,EVI5,ecotropic viral integration site 5 [Source:HGNC Symbol;Acc:HGNC:3501],6199,1.297443628,0.3909811,No
row_67,FLT4,fms related receptor tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767],6455,1.229534149,0.38534662,No
row_68,STRN,striatin [Source:HGNC Symbol;Acc:HGNC:11424],6993,1.07596302,0.3683702,No
row_69,MTMR10,myotubularin related protein 10 [Source:HGNC Symbol;Acc:HGNC:25999],7145,1.036302567,0.36607468,No
row_70,CSF2,colony stimulating factor 2 [Source:HGNC Symbol;Acc:HGNC:2434],7318,0.986907244,0.36280632,No
row_71,MAP3K1,mitogen-activated protein kinase kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6848],7328,0.985105276,0.3657879,No
row_72,TSPAN13,tetraspanin 13 [Source:HGNC Symbol;Acc:HGNC:21643],7417,0.965531528,0.3656713,No
row_73,CCND2,cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583],7427,0.963581681,0.3685802,No
row_74,ENG,endoglin [Source:HGNC Symbol;Acc:HGNC:3349],7588,0.920209229,0.36554715,No
row_75,CCSER2,coiled-coil serine rich protein 2 [Source:HGNC Symbol;Acc:HGNC:29197],7819,0.860120058,0.35962456,No
row_76,NGF,nerve growth factor [Source:HGNC Symbol;Acc:HGNC:7808],7865,0.849986613,0.3607681,No
row_77,MMP10,matrix metallopeptidase 10 [Source:HGNC Symbol;Acc:HGNC:7156],7876,0.848242342,0.36324906,No
row_78,KIF5C,kinesin family member 5C [Source:HGNC Symbol;Acc:HGNC:6325],7928,0.832262337,0.36410245,No
row_79,AKT2,AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392],7936,0.830168307,0.36663753,No
row_80,TNFAIP3,TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896],7964,0.825569034,0.36838946,No
row_81,ERO1A,endoplasmic reticulum oxidoreductase 1 alpha [Source:HGNC Symbol;Acc:HGNC:13280],7994,0.820101976,0.37004614,No
row_82,BTC,betacellulin [Source:HGNC Symbol;Acc:HGNC:1121],8091,0.798582852,0.36905867,No
row_83,IL1RL2,interleukin 1 receptor like 2 [Source:HGNC Symbol;Acc:HGNC:5999],8234,0.766054213,0.36619586,No
row_84,PRDM1,PR/SET domain 1 [Source:HGNC Symbol;Acc:HGNC:9346],8265,0.757501662,0.36760277,No
row_85,IL7R,interleukin 7 receptor [Source:HGNC Symbol;Acc:HGNC:6024],8575,0.686152458,0.35806057,No
row_86,GPRC5B,G protein-coupled receptor class C group 5 member B [Source:HGNC Symbol;Acc:HGNC:13308],8610,0.677467465,0.35904366,No
row_87,DNMBP,dynamin binding protein [Source:HGNC Symbol;Acc:HGNC:30373],8780,0.643869281,0.35473192,No
row_88,MMP9,matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176],9255,0.537596941,0.33835524,No
row_89,NR0B2,nuclear receptor subfamily 0 group B member 2 [Source:HGNC Symbol;Acc:HGNC:7961],9326,0.522088528,0.33743188,No
row_90,FBXO4,F-box protein 4 [Source:HGNC Symbol;Acc:HGNC:13583],9808,0.457963973,0.3205176,No
row_91,SPP1,secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255],9866,0.450375229,0.31985098,No
row_92,GFPT2,glutamine-fructose-6-phosphate transaminase 2 [Source:HGNC Symbol;Acc:HGNC:4242],9920,0.444287658,0.3193173,No
row_93,FCER1G,Fc epsilon receptor Ig [Source:HGNC Symbol;Acc:HGNC:3611],10136,0.409807205,0.31244957,No
row_94,TPH1,tryptophan hydroxylase 1 [Source:HGNC Symbol;Acc:HGNC:12008],10233,0.396332264,0.3101036,No
row_95,CXCR4,C-X-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:2561],10355,0.380120128,0.30674335,No
row_96,ITGA2,integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137],10382,0.378922582,0.3070252,No
row_97,ANXA10,annexin A10 [Source:HGNC Symbol;Acc:HGNC:534],10388,0.377775013,0.30810913,No
row_98,NR1H4,nuclear receptor subfamily 1 group H member 4 [Source:HGNC Symbol;Acc:HGNC:7967],10394,0.376087576,0.3091874,No
row_99,GALNT3,polypeptide N-acetylgalactosaminyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:4125],10714,0.342037678,0.29809922,No
row_100,PRKG2,protein kinase cGMP-dependent 2 [Source:HGNC Symbol;Acc:HGNC:9416],11185,0.268628925,0.2809677,No
row_101,CSF2RA,colony stimulating factor 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:2435],11272,0.257272601,0.27853587,No
row_102,RELN,reelin [Source:HGNC Symbol;Acc:HGNC:9957],11304,0.25211975,0.2781976,No
row_103,USH1C,USH1 protein network component harmonin [Source:HGNC Symbol;Acc:HGNC:12597],11343,0.247081816,0.2775736,No
row_104,TMEM100,transmembrane protein 100 [Source:HGNC Symbol;Acc:HGNC:25607],11374,0.240436912,0.2772342,No
row_105,IGF2,insulin like growth factor 2 [Source:HGNC Symbol;Acc:HGNC:5466],11583,0.202830344,0.2699361,No
row_106,ZNF277,zinc finger protein 277 [Source:HGNC Symbol;Acc:HGNC:13070],11598,0.199686542,0.27007318,No
row_107,MAP4K1,mitogen-activated protein kinase kinase kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6863],11676,0.184794694,0.267742,No
row_108,CTSS,cathepsin S [Source:HGNC Symbol;Acc:HGNC:2545],11750,0.167353749,0.26550543,No
row_109,SDCCAG8,SHH signaling and ciliogenesis regulator SDCCAG8 [Source:HGNC Symbol;Acc:HGNC:10671],11791,0.159701109,0.2645096,No
row_110,TMEM158,transmembrane protein 158 [Source:HGNC Symbol;Acc:HGNC:30293],11836,0.150788769,0.2633301,No
row_111,CLEC4A,C-type lectin domain family 4 member A [Source:HGNC Symbol;Acc:HGNC:13257],12092,0.085120387,0.2538306,No
row_112,PLAT,"plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]",12150,0.070548907,0.25188118,No
row_113,NRP1,neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004],12294,0.021380411,0.246465,No
row_114,CFHR2,complement factor H related 2 [Source:HGNC Symbol;Acc:HGNC:4890],13180,0,0.2124984,No
row_115,IKZF1,IKAROS family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:13176],13604,0,0.1962635,No
row_116,SPON1,spondin 1 [Source:HGNC Symbol;Acc:HGNC:11252],13812,0,0.18831877,No
row_117,PLVAP,plasmalemma vesicle associated protein [Source:HGNC Symbol;Acc:HGNC:13635],13829,0,0.18770468,No
row_118,DOCK2,dedicator of cytokinesis 2 [Source:HGNC Symbol;Acc:HGNC:2988],13976,0,0.18210116,No
row_119,HOXD11,homeobox D11 [Source:HGNC Symbol;Acc:HGNC:5134],15094,0,0.13923031,No
row_120,C3AR1,complement C3a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1319],15229,0,0.13408734,No
row_121,RETN,resistin [Source:HGNC Symbol;Acc:HGNC:20389],15435,0,0.12621936,No
row_122,TLR8,toll like receptor 8 [Source:HGNC Symbol;Acc:HGNC:15632],15579,0,0.12073098,No
row_123,TMEM176B,transmembrane protein 176B [Source:HGNC Symbol;Acc:HGNC:29596],16065,0,0.10211651,No
row_124,TMEM176A,transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930],16066,0,0.10211651,No
row_125,PCP4,Purkinje cell protein 4 [Source:HGNC Symbol;Acc:HGNC:8742],16073,0,0.10188623,No
row_126,IRF8,interferon regulatory factor 8 [Source:HGNC Symbol;Acc:HGNC:5358],16289,0,0.09363446,No
row_127,LAPTM5,lysosomal protein transmembrane 5 [Source:HGNC Symbol;Acc:HGNC:29612],16311,0,0.09282847,No
row_128,PIGR,polymeric immunoglobulin receptor [Source:HGNC Symbol;Acc:HGNC:8968],16523,0,0.084730215,No
row_129,F13A1,coagulation factor XIII A chain [Source:HGNC Symbol;Acc:HGNC:3531],16530,0,0.08449993,No
row_130,CD37,CD37 molecule [Source:HGNC Symbol;Acc:HGNC:1666],16580,0,0.082619295,No
row_131,PPBP,pro-platelet basic protein [Source:HGNC Symbol;Acc:HGNC:9240],16724,0,0.07713091,No
row_132,SPARCL1,SPARC like 1 [Source:HGNC Symbol;Acc:HGNC:11220],16865,0,0.07175765,No
row_133,GYPC,glycophorin C (Gerbich blood group) [Source:HGNC Symbol;Acc:HGNC:4704],17033,0,0.06534813,No
row_134,SNAP25,synaptosome associated protein 25 [Source:HGNC Symbol;Acc:HGNC:11132],17643,0,0.041974504,No
row_135,SCG3,secretogranin III [Source:HGNC Symbol;Acc:HGNC:13707],18143,0,0.02282271,No
row_136,ADAMDEC1,ADAM like decysin 1 [Source:HGNC Symbol;Acc:HGNC:16299],18398,0,0.0130741,No
row_137,PRRX1,paired related homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9142],18947,0,-0.007958331,No
row_138,TNFRSF1B,TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917],19189,0,-0.017207995,No
row_139,PECAM1,platelet and endothelial cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:8823],19654,0,-0.035016477,No
row_140,PLEK2,pleckstrin 2 [Source:HGNC Symbol;Acc:HGNC:19238],20062,-0.038600117,-0.050506916,No
row_141,CMKLR1,chemerin chemokine-like receptor 1 [Source:HGNC Symbol;Acc:HGNC:2121],20215,-0.063343644,-0.0561268,No
row_142,ADGRL4,adhesion G protein-coupled receptor L4 [Source:HGNC Symbol;Acc:HGNC:20822],20288,-0.074481279,-0.058638636,No
row_143,ETV1,ETS variant transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3490],20597,-0.122904249,-0.070044704,No
row_144,ST6GAL1,"ST6 beta-galactoside alpha-2,6-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10860]",20600,-0.123565659,-0.069704145,No
row_145,MYCN,"MYCN proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7559]",20627,-0.128712982,-0.070267335,No
row_146,GABRA3,gamma-aminobutyric acid type A receptor subunit alpha3 [Source:HGNC Symbol;Acc:HGNC:4077],20733,-0.146814734,-0.07380143,No
row_147,ITGBL1,integrin subunit beta like 1 [Source:HGNC Symbol;Acc:HGNC:6164],20994,-0.193069056,-0.08312827,No
row_148,ADGRA2,adhesion G protein-coupled receptor A2 [Source:HGNC Symbol;Acc:HGNC:17849],21166,-0.225866929,-0.08892849,No
row_149,ATG10,autophagy related 10 [Source:HGNC Symbol;Acc:HGNC:20315],21356,-0.2649616,-0.095287524,No
row_150,CFH,complement factor H [Source:HGNC Symbol;Acc:HGNC:4883],21428,-0.281869829,-0.09706057,No
row_151,TRIB2,tribbles pseudokinase 2 [Source:HGNC Symbol;Acc:HGNC:30809],21603,-0.318738252,-0.10266228,No
row_152,ITGB2,integrin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6155],21647,-0.329171062,-0.10320093,No
row_153,PEG3,paternally expressed 3 [Source:HGNC Symbol;Acc:HGNC:8826],21669,-0.33440575,-0.10287752,No
row_154,RABGAP1L,RAB GTPase activating protein 1 like [Source:HGNC Symbol;Acc:HGNC:24663],21738,-0.350757271,-0.10430278,No
row_155,ALDH1A3,aldehyde dehydrogenase 1 family member A3 [Source:HGNC Symbol;Acc:HGNC:409],21854,-0.380832165,-0.10743033,No
row_156,PTCD2,pentatricopeptide repeat domain 2 [Source:HGNC Symbol;Acc:HGNC:25734],21971,-0.412207037,-0.11049031,No
row_157,SERPINA3,serpin family A member 3 [Source:HGNC Symbol;Acc:HGNC:16],22020,-0.424350828,-0.1108994,No
row_158,TNNT2,"troponin T2, cardiac type [Source:HGNC Symbol;Acc:HGNC:11949]",22038,-0.42738077,-0.11010848,No
row_159,GNG11,G protein subunit gamma 11 [Source:HGNC Symbol;Acc:HGNC:4403],22186,-0.470356971,-0.11416186,No
row_160,PCSK1N,proprotein convertase subtilisin/kexin type 1 inhibitor [Source:HGNC Symbol;Acc:HGNC:17301],22318,-0.511705279,-0.1174615,No
row_161,GUCY1A1,guanylate cyclase 1 soluble subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:4685],22369,-0.52528441,-0.11760648,No
row_162,PSMB8,proteasome 20S subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:9545],22381,-0.530672669,-0.116236426,No
row_163,NIN,ninein [Source:HGNC Symbol;Acc:HGNC:14906],22419,-0.543720663,-0.11582019,No
row_164,HSD11B1,hydroxysteroid 11-beta dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:5208],22481,-0.564482391,-0.11625497,No
row_165,PTPRR,protein tyrosine phosphatase receptor type R [Source:HGNC Symbol;Acc:HGNC:9680],22581,-0.604211748,-0.11801402,No
row_166,LY96,lymphocyte antigen 96 [Source:HGNC Symbol;Acc:HGNC:17156],22648,-0.629201651,-0.11842212,No
row_167,CFB,complement factor B [Source:HGNC Symbol;Acc:HGNC:1037],22688,-0.646268427,-0.11773632,No
row_168,TSPAN7,tetraspanin 7 [Source:HGNC Symbol;Acc:HGNC:11854],22760,-0.677517831,-0.118173145,No
row_169,AMMECR1,AMMECR nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:467],22865,-0.728153288,-0.11970551,No
row_170,CXCL10,C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637],22883,-0.734008551,-0.11787901,No
row_171,CBR4,carbonyl reductase 4 [Source:HGNC Symbol;Acc:HGNC:25891],23064,-0.820930362,-0.122014955,No
row_172,MAFB,MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408],23282,-0.917602897,-0.12724447,No
row_173,APOD,apolipoprotein D [Source:HGNC Symbol;Acc:HGNC:612],23388,-0.965771496,-0.12801272,No
row_174,BPGM,bisphosphoglycerate mutase [Source:HGNC Symbol;Acc:HGNC:1093],23486,-1.021359086,-0.12828617,No
row_175,IGFBP3,insulin like growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:5472],23692,-1.136902094,-0.13231449,No
row_176,RGS16,regulator of G protein signaling 16 [Source:HGNC Symbol;Acc:HGNC:9997],23880,-1.254607916,-0.13525443,No
row_177,SCG5,secretogranin V [Source:HGNC Symbol;Acc:HGNC:10816],24037,-1.350107074,-0.13668205,No
row_178,F2RL1,F2R like trypsin receptor 1 [Source:HGNC Symbol;Acc:HGNC:3538],24216,-1.467703581,-0.13855688,No
row_179,TSPAN1,tetraspanin 1 [Source:HGNC Symbol;Acc:HGNC:20657],24619,-1.779202819,-0.14797689,No
row_180,GLRX,glutaredoxin [Source:HGNC Symbol;Acc:HGNC:4330],24739,-1.903073788,-0.14611691,No
row_181,ARG1,arginase 1 [Source:HGNC Symbol;Acc:HGNC:663],24747,-1.908880353,-0.13993871,No
row_182,CPE,carboxypeptidase E [Source:HGNC Symbol;Acc:HGNC:2303],24782,-1.953131914,-0.13464734,No
row_183,CDADC1,cytidine and dCMP deaminase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20299],24984,-2.12571454,-0.13518263,No
row_184,LCP1,lymphocyte cytosolic protein 1 [Source:HGNC Symbol;Acc:HGNC:6528],25160,-2.32383132,-0.13405092,No
row_185,WNT7A,Wnt family member 7A [Source:HGNC Symbol;Acc:HGNC:12786],25190,-2.35432744,-0.12721269,No
row_186,SOX9,SRY-box transcription factor 9 [Source:HGNC Symbol;Acc:HGNC:11204],25373,-2.580389023,-0.12548317,No
row_187,SLPI,secretory leukocyte peptidase inhibitor [Source:HGNC Symbol;Acc:HGNC:11092],25521,-2.799619436,-0.12166994,No
row_188,JUP,junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207],25580,-2.866947651,-0.114213474,No
row_189,KLF4,KLF transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:6348],25590,-2.883923769,-0.10481903,No
row_190,CA2,carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373],25609,-2.91542387,-0.09566363,No
row_191,CROT,carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366],25855,-3.384530783,-0.09363625,No
row_192,GPNMB,glycoprotein nmb [Source:HGNC Symbol;Acc:HGNC:4462],25860,-3.396173477,-0.082319885,No
row_193,VWA5A,von Willebrand factor A domain containing 5A [Source:HGNC Symbol;Acc:HGNC:6658],25946,-3.599396944,-0.073425986,No
row_194,MALL,"mal, T cell differentiation protein like [Source:HGNC Symbol;Acc:HGNC:6818]",26021,-3.771605015,-0.06352831,No
row_195,CIDEA,cell death inducing DFFA like effector a [Source:HGNC Symbol;Acc:HGNC:1976],26041,-3.831144333,-0.051318623,No
row_196,MPZL2,myelin protein zero like 2 [Source:HGNC Symbol;Acc:HGNC:3496],26153,-4.218408585,-0.04133203,No
row_197,IL1B,interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992],26181,-4.355766296,-0.027657583,No
row_198,PDCD1LG2,programmed cell death 1 ligand 2 [Source:HGNC Symbol;Acc:HGNC:18731],26183,-4.362368584,-0.012962953,No
row_199,IL33,interleukin 33 [Source:HGNC Symbol;Acc:HGNC:16028],26220,-4.633733273,0.001304845,No
