ID,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000000003,6.797568815,-2.089568413,0.819848633,0.001657485,0.006392761
ENSG00000001497,21.98107858,-1.415802056,0.421584668,0.000262193,0.001239555
ENSG00000001617,43.28520678,-2.366226065,0.32663902,7.16E-14,1.14E-12
ENSG00000002549,19.75618011,-1.530846138,0.453065028,0.000211648,0.001023743
ENSG00000003756,329.4520657,1.806959148,0.205935612,5.51E-19,1.19E-17
ENSG00000004059,164.9476585,-0.810227679,0.16735726,8.76E-07,6.62E-06
ENSG00000004142,120.1023774,-0.91457161,0.19722323,2.15E-06,1.53E-05
ENSG00000004478,463.2118476,0.452880641,0.114239579,6.59E-05,0.000358983
ENSG00000004700,535.5616253,1.859822495,0.17691244,2.38E-26,7.33E-25
ENSG00000004777,8.918150201,2.070243917,1.048369376,0.009597684,0.028890958
ENSG00000004779,81.62333391,-0.76803775,0.258732569,0.002053171,0.007680972
ENSG00000004897,43.14300473,0.829206786,0.307351928,0.004555236,0.01540364
ENSG00000004961,110.9153676,1.030859052,0.203905698,2.40E-07,1.99E-06
ENSG00000005001,72.74185816,2.28849818,0.360485554,4.95E-11,6.12E-10
ENSG00000005007,106.896141,0.489220223,0.211436739,0.017859112,0.048543577
ENSG00000005022,392.1436011,-2.327406658,0.13547163,6.32E-67,5.29E-65
ENSG00000005238,151.9240852,1.398552697,0.198364172,7.23E-13,1.05E-11
ENSG00000005339,84.68687422,0.894679581,0.282736409,0.000978403,0.003997029
ENSG00000005448,5.226631629,-1.716777413,0.974302225,0.013761039,0.039171274
ENSG00000005469,7.102626766,-3.101115285,0.953254998,0.000109879,0.000569195
ENSG00000005483,59.79104463,0.960888283,0.296966314,0.000710955,0.003020685
ENSG00000005513,16.86399667,6.61820232,2.359800032,4.16E-07,3.32E-06
ENSG00000005812,43.26739689,1.296949942,0.324957376,2.72E-05,0.000160357
ENSG00000005884,120.572893,0.556495945,0.185904406,0.002306716,0.008511412
ENSG00000005889,34.3641527,1.383835499,0.415606759,0.000329946,0.001525155
ENSG00000006015,5.344933594,-2.753861257,1.057953317,0.000963347,0.003948377
ENSG00000006062,20.86414495,2.097126044,0.510692639,8.47E-06,5.49E-05
ENSG00000006118,22.62825471,1.209061027,0.46585516,0.00400092,0.013782436
ENSG00000006125,137.8987972,1.315935501,0.18377303,3.44E-13,5.17E-12
ENSG00000006194,41.3740981,1.122447519,0.346619725,0.000592239,0.002573332
ENSG00000006282,10.34076424,1.254828896,0.609584546,0.014658251,0.041316148
ENSG00000006327,979.1847969,2.078593206,0.096870807,8.77E-103,1.25E-100
ENSG00000006432,44.59727576,0.940724745,0.327872071,0.002345228,0.008643725
ENSG00000006453,99.60169049,0.60502326,0.22259414,0.005237603,0.017341392
ENSG00000006459,45.51260326,1.214700946,0.309248049,3.85E-05,0.000219453
ENSG00000006555,11.59634169,-1.283781801,0.581023641,0.009294821,0.028178498
ENSG00000006625,132.8929823,-2.303495345,0.220775027,2.98E-26,9.10E-25
ENSG00000006652,132.6351286,0.839120051,0.235036899,0.000242849,0.001157622
ENSG00000007038,9.116702856,1.674723449,0.760603982,0.006612794,0.021182221
ENSG00000007080,63.07262608,-1.985303733,0.298469909,6.07E-12,8.15E-11
ENSG00000007168,160.2306345,0.494975305,0.160440766,0.001762193,0.006751322
ENSG00000007384,134.3624607,2.216592351,0.251051722,2.44E-19,5.36E-18
ENSG00000007392,42.93395841,0.99287246,0.342633454,0.002090678,0.007797663
ENSG00000007520,58.84021362,-2.050079956,0.296293227,9.06E-13,1.30E-11
ENSG00000007545,43.61382829,1.481705046,0.360715268,1.39E-05,8.65E-05
ENSG00000008018,203.3224109,-0.510750315,0.147317726,0.000453079,0.002029373
ENSG00000008128,35.18690005,1.306553902,0.416134146,0.000686293,0.002932151
ENSG00000008130,39.46135663,0.815382039,0.319105023,0.007044315,0.022368049
ENSG00000008282,83.76778133,-1.326558368,0.232335658,4.44E-09,4.64E-08
ENSG00000008283,19.02364481,-1.391398765,0.461447085,0.000853774,0.003546421
ENSG00000008294,162.4402346,0.802489838,0.186687375,1.20E-05,7.50E-05
ENSG00000008300,32.02874936,2.551288551,0.875246035,0.001097904,0.004435328
ENSG00000008324,58.06771425,1.052405116,0.324958143,0.00062413,0.00269674
ENSG00000008382,4.347047846,-2.28647759,1.189144185,0.005803721,0.018906318
ENSG00000008394,20.32494671,-2.488765181,0.497499921,8.08E-08,7.18E-07
ENSG00000008405,233.9471329,3.791839725,0.394950821,4.20E-22,1.07E-20
ENSG00000008441,9.502398208,-1.648358512,0.667636235,0.003084988,0.010995051
ENSG00000008516,117.5621633,7.463535132,1.246086197,3.89E-11,4.85E-10
ENSG00000008517,63.7434192,4.749194664,0.965634023,1.10E-06,8.22E-06
ENSG00000008710,19.70287924,3.12838686,0.561540373,3.73E-09,3.93E-08
ENSG00000008988,398.5364739,-0.513779873,0.11356961,5.19E-06,3.47E-05
ENSG00000009307,360.5515498,-0.65893783,0.109323121,1.30E-09,1.42E-08
ENSG00000009954,84.6432539,1.587581306,0.239726421,1.15E-11,1.51E-10
ENSG00000010244,181.5356232,1.398735515,0.194477222,2.57E-13,3.92E-12
ENSG00000010256,93.22232476,-1.036426023,0.210205182,4.43E-07,3.52E-06
ENSG00000010270,23.45485714,1.356270914,0.454159395,0.001012966,0.004126014
ENSG00000010278,200.6570767,-0.637004549,0.141976666,5.60E-06,3.73E-05
ENSG00000010310,17.07346136,1.326510818,0.534425409,0.004773252,0.016066066
ENSG00000010322,67.79737592,1.368762394,0.27707195,3.08E-07,2.51E-06
ENSG00000010438,74.5894168,-2.727130884,0.285332848,1.65E-22,4.30E-21
ENSG00000010803,17.0213057,1.252215628,0.52624746,0.006750106,0.021538651
ENSG00000010810,47.0121226,1.483411766,0.33059346,2.57E-06,1.80E-05
ENSG00000011007,62.95168543,-0.600720668,0.25238166,0.013656536,0.038921975
ENSG00000011021,28.5523822,1.561740222,0.446016521,0.00014755,0.000739008
ENSG00000011028,20.60016034,1.077459937,0.437442082,0.006675275,0.021348505
ENSG00000011105,14.30596043,-1.097777887,0.537540224,0.017975477,0.048754241
ENSG00000011132,28.84362357,1.242797684,0.451701413,0.002495334,0.009126851
ENSG00000011198,26.50490529,-0.969778886,0.388308311,0.006752305,0.021539947
ENSG00000011275,79.4411786,2.626696516,0.280612194,1.50E-21,3.75E-20
ENSG00000011422,25.8800712,0.998532441,0.393301867,0.00596322,0.019367483
ENSG00000011426,24.89414103,-1.975354323,0.43031419,9.17E-07,6.92E-06
ENSG00000012061,161.2498301,0.918783899,0.17767857,1.46E-07,1.25E-06
ENSG00000012171,4.267162469,2.310049529,1.323740923,0.012676321,0.036558668
ENSG00000012660,130.4377527,0.558258883,0.199741627,0.00428115,0.014638224
ENSG00000012817,56.24001897,1.458639954,0.342510713,7.54E-06,4.93E-05
ENSG00000013275,249.7943641,-0.434100308,0.158780929,0.005626317,0.018451323
ENSG00000013441,612.9791552,1.458543561,0.139733994,7.06E-26,2.10E-24
ENSG00000013561,30.94873026,0.835764118,0.350437361,0.010922492,0.032269404
ENSG00000013588,31.17330865,2.561468439,0.493741194,4.42E-08,4.05E-07
ENSG00000014123,48.06603794,-0.818883391,0.28341561,0.002515292,0.009186278
ENSG00000014138,3.039529235,-2.339050645,1.502683476,0.011138511,0.032816281
ENSG00000014216,121.0309843,-0.544384966,0.182296909,0.00235071,0.008655231
ENSG00000014641,46.59508244,-1.969709713,0.310882278,4.98E-11,6.16E-10
ENSG00000016402,5.488494966,-7.50354834,2.874284457,2.36E-06,1.67E-05
ENSG00000016602,11.22330074,-3.643051457,0.906830116,1.10E-05,6.95E-05
ENSG00000017483,31.4286294,-0.765248956,0.339647132,0.01626574,0.045034139
ENSG00000017797,38.32104103,-1.392133121,0.313351362,3.16E-06,2.19E-05
ENSG00000018189,27.26478726,0.906501555,0.371256089,0.008695806,0.026680125
ENSG00000018236,14.44623571,-2.398131221,0.575714005,4.51E-06,3.05E-05
ENSG00000019144,9.720683067,1.964934245,0.850856387,0.004589064,0.015499043
ENSG00000019186,5.419994244,-2.11789452,1.244389645,0.012641903,0.036475459
ENSG00000020577,20.34582307,1.193451715,0.515985135,0.008770333,0.026859873
ENSG00000021355,149.9549649,3.593924825,0.224478163,1.71E-58,1.21E-56
ENSG00000021826,3.566873995,-2.512807916,1.273376405,0.004920244,0.01649244
ENSG00000022556,14.10573058,-1.118909519,0.521344848,0.013614915,0.038843462
ENSG00000022840,174.2109333,0.431588643,0.177347927,0.013436859,0.038438775
ENSG00000023191,110.1985225,-1.453550535,0.19056216,8.34E-15,1.42E-13
ENSG00000023287,76.94954009,1.018528031,0.24356148,1.62E-05,9.97E-05
ENSG00000023330,274.8854209,0.959187909,0.151307496,1.40E-10,1.67E-09
ENSG00000023697,26.88157155,-1.358234226,0.384785997,0.000147985,0.000740728
ENSG00000023902,10.48385157,3.173005823,0.98345246,0.000270198,0.001272605
ENSG00000023909,38.40683683,3.776863766,0.469105616,1.60E-16,3.00E-15
ENSG00000024048,59.59383151,1.087482896,0.285555354,6.59E-05,0.000358983
ENSG00000024422,108.664905,-0.672592119,0.190247788,0.000308568,0.001434235
ENSG00000025156,45.56175371,0.800805803,0.348007347,0.01421963,0.040260751
ENSG00000025770,39.2871127,1.388221763,0.362090594,4.79E-05,0.000269131
ENSG00000025772,168.3399323,0.925177006,0.177454884,1.15E-07,1.00E-06
ENSG00000026025,88.69903863,3.365420775,0.331028825,6.21E-25,1.77E-23
ENSG00000026297,2.887806832,-2.750830531,1.651989317,0.008474795,0.026122889
ENSG00000026508,181.8088399,-1.009650018,0.14342607,1.09E-12,1.54E-11
ENSG00000026652,26.01423859,2.62590342,0.686663532,3.32E-05,0.000192097
ENSG00000027001,13.54432327,-2.661569076,0.609303418,1.66E-06,1.20E-05
ENSG00000027697,82.36256901,-1.169863377,0.242513715,6.49E-07,5.02E-06
ENSG00000028839,25.760921,1.126638433,0.434349096,0.004456685,0.015148339
ENSG00000030582,257.5913415,-2.341630379,0.144289487,5.57E-60,4.04E-58
ENSG00000031003,15.73132356,1.26031066,0.550951615,0.008512361,0.026186293
ENSG00000031698,281.9501207,0.646717154,0.119781234,5.41E-08,4.90E-07
ENSG00000033011,6.950704341,-2.324844823,0.841464303,0.000748001,0.003160566
ENSG00000033030,35.05270193,1.28662342,0.386011968,0.000354691,0.001625081
ENSG00000033050,48.05284081,-1.002935436,0.288841924,0.000279667,0.001314064
ENSG00000033100,72.13118553,1.501687412,0.263899582,4.38E-09,4.58E-08
ENSG00000033627,70.02894846,0.856305475,0.255028286,0.000511111,0.002258512
ENSG00000034510,4009.443208,-1.64933118,0.072295835,6.99E-116,1.10E-113
ENSG00000034693,27.04191024,-2.04897655,0.438716064,5.50E-07,4.31E-06
ENSG00000035403,86.41880995,-0.868694615,0.225015363,7.18E-05,0.00038764
ENSG00000035681,26.58899661,0.822278347,0.367697023,0.016340891,0.045191242
ENSG00000035687,21.30403805,-1.17955224,0.500096106,0.007384407,0.023253419
ENSG00000036257,57.16427096,0.707803187,0.283644339,0.009215805,0.027994301
ENSG00000037042,31.7879979,1.08675978,0.422839694,0.004888887,0.016407257
ENSG00000037757,15.33215831,-1.125030553,0.488712852,0.009224256,0.028008553
ENSG00000038358,100.4246557,1.901523334,0.253735254,1.74E-14,2.89E-13
ENSG00000038382,59.52499182,1.624936367,0.295685582,1.24E-08,1.23E-07
ENSG00000039068,157.5739632,-1.451827997,0.168375426,2.31E-18,4.79E-17
ENSG00000039523,118.8834716,2.506798537,0.314596005,3.63E-16,6.69E-15
ENSG00000039650,29.76124494,1.407269704,0.402715929,0.000170233,0.000844132
ENSG00000040199,27.43996695,3.169153213,0.566995541,4.92E-09,5.10E-08
ENSG00000040487,38.85418088,0.973112217,0.368076271,0.004534173,0.015354992
ENSG00000041353,16.95260913,-3.436528392,0.592394708,7.78E-10,8.73E-09
ENSG00000042286,10.96471835,3.515573125,0.81550288,2.47E-06,1.74E-05
ENSG00000042429,21.75272872,1.304127701,0.46775077,0.002055191,0.007686078
ENSG00000042493,140.1884162,-1.369594023,0.174660368,1.70E-15,3.02E-14
ENSG00000042753,108.943611,-2.783860825,0.244846897,7.45E-31,2.71E-29
ENSG00000043039,2.147608368,-0.930789582,1.759300691,0.011751544,0.034334295
