"","ID","logFC"
"1",7128,9.693916667
"2",3491,8.093
"3",9825,7.103666667
"4",10060,1.952666667
"5",3608,1.665666667
"6",7965,-1.013166667
"7",5094,1.81925
"8",10914,1.129291667
"9",3750,1.1455
"10",6548,1.504041667
"11",27005,1.085833333
"12",10939,-1.198541667
"13",3431,-1.035166667
"14",23207,1.271875
