ID,logFC,common,gene_id,gene_name,gene_name_old
837,9.431916667,,7267,TTC3,
26900,7.019666667,,23464,GCAT,
1686,9.94375,,23466,CBX6,
29586,9.959375,,23467,NPTXR,
34129,8.629,,23468,CBX5,
4386,9.825791667,,23469,PHF3,
6231,8.228375,,11247,NXPH4,
25999,7.699708333,,6185,RPN2,
8889,8.362583333,,6188,RPS3,
16097,9.337541667,,6187,RPS2,
8017,8.710541667,,6189,RPS3A,
19697,7.535,,8126,MRST,
35934,6.112916667,,9457,FHL5,
11589,8.679916667,,7270,TTF1,
30491,8.249541667,,5094,PCBP2,
32288,8.254333333,,7272,TTK,
3491,8.093,,23471,TRAM1,
40439,8.275333333,,1729,DIAPH1,
18796,9.400583333,,1728,NQO1,
27813,9.479791667,,11258,DCTN3,
32351,9.064333333,,1727,CYB5R3,
33193,6.534541667,,1725,DHPS,
2588,9.635958333,,11259,FILIP1L,
32328,7.894375,,10807,ENTR1,
2631,8.724625,,6191,RPS4X,
7998,8.017333333,,27005,USP21,
19714,9.955708333,,8130,MCOPCT1,
14334,6.73025,,6192,RPS4Y1,
9835,8.521541667,,1730,DIAPH2,
43125,7.098666667,,3912,LAMB1,
38626,8.034916667,,9478,CABP1,
35935,6.755958333,,10828,NPM1P19,
30488,8.69875,,10827,FAM114A2,
2591,8.609958333,,9002,F2RL3,
35028,7.906083333,,9497,SLC4A7,
21493,8.797125,,7088,TLE1,
9834,5.962083333,,8178,ELL,
32311,8.641458333,,7087,ICAM5,
8060,8.110875,,7089,TLE2,
23331,9.373166667,,7086,TKT,
9795,8.493375,,7085,TKCR,
32352,8.471708333,,2625,GATA3,
16137,10.06595833,,27443,CECR2,
34089,8.67325,,2629,GBA1,
23291,9.1565,,2628,GATM,
26934,7.053166667,,2627,GATA6,
28689,7.879875,,2626,GATA4,
8898,7.902458333,,7091,TLE4,
7087,8.508833333,,7090,TLE3,
32338,6.578708333,,26127,FGFR1OP2,
1735,8.515041667,,7092,TLL1,
15196,7.282083333,,2632,GBE1,
35051,8.697708333,,2631,NIPSNAP2,
20643,9.364666667,,2630,GBA1LP,
17903,8.406958333,,5917,RARS1,
1695,8.883791667,,3750,KCND1,
30493,7.118541667,,3749,KCNC4,
28759,8.655416667,,26341,OR5H1,
3555,8.311583333,,3982,LIM2,
3537,7.472708333,,5920,PLAAT4,
29640,7.73275,,9069,CLDN12,
34140,6.990333333,,9068,ANGPTL1,
34987,8.828958333,,4850,CNOT4,
19737,7.611666667,,10539,GLRX3,
31434,6.517583333,,10533,ATG7,
5337,7.708666667,,3530,IGKV1OR22-1,
34988,7.838125,,9070,ASH2L,
29600,7.351916667,,9071,CLDN10,
38586,8.526875,,9076,CLDN1,
5287,8.476083333,,9075,CLDN2,
23339,7.704291667,,3527,IGKV3OR22-2,
33233,6.794125,,3525,IGKV1OR1-1,
38627,6.30175,,4852,NPY,
20592,8.688208333,,3529,IGKV2OR22-3,
23330,8.279583333,,4870,NPM1P1,
18841,8.022041667,,3531,IGKV1OR2-1,
8929,8.275416667,,5726,TAS2R38,
10732,8.906416667,,10730,YME1L1,
12538,8.098416667,,10732,TCFL5,
43126,8.07175,,4430,MYO1B,
785,7.824666667,,4431,MSBP1,
32294,5.071416667,,4432,MSBP2,
10757,8.588375,,4429,MRXS7,
5317,8.766041667,,10725,NFAT5,
26031,9.193375,,10726,NUDC,
19754,9.710833333,,10728,PTGES3,
10717,8.037666667,,23207,PLEKHM2,
30531,8.452,,10379,IRF9,
29629,9.065125,,23452,ANGPTL2,
7127,8.429958333,,5549,PRELP,
16145,8.4335,,2053,EPHX2,
1694,6.872041667,,10357,HMGB1P1,
39488,9.516666667,,7991,TUSC3,
39495,6.2745,,5330,PLCB2,
23290,7.885375,,5331,PLCB3,
2627,9.008541667,,5332,PLCB4,
29589,8.760958333,,10360,NPM3,
20632,8.689875,,785,CACNB4,
21561,8.810041667,,786,CACNG1,
38587,6.769291667,,788,SLC25A20,
7095,8.468541667,,789,SLC25A20P1,
10692,8.918541667,,7986,GPDS1,
40437,7.952333333,,5325,PLAGL1,
24219,9.088875,,5326,PLAGL2,
40399,7.792125,,5327,PLAT,
38625,7.091291667,,7988,ZNF212,
31427,7.240541667,,5328,PLAU,
24200,8.32625,,5329,PLAUR,
9794,5.86925,,790,CAD,
24229,7.56125,,550,AUP1,
15236,7.259791667,,7518,XRCC4,
34100,6.731625,,8862,APLN,
35011,8.360041667,,23650,TRIM29,
40397,8.152833333,,8886,DDX18,
4395,7.45425,,8887,TAX1BP1,
39526,8.537625,,6225,RPS20P3,
825,8.161666667,,6230,RPS25,
33231,7.853,,6232,RPS27,
39486,8.491375,,8891,EIF2B3,
12520,8.433541667,,8892,EIF2B2,
20607,8.856791667,,6231,RPS26,
32312,8.262833333,,9745,ZNF536,
29587,6.745208333,,6227,RPS21,
31394,6.907375,,6226,RPS20P4,
25991,8.770041667,,8888,MCM3AP,
38585,7.162291667,,6229,RPS24,
2587,9.23,,6228,RPS23,
14338,7.387375,,9993,DGCR2,
19736,6.315916667,,28867,IGKV1OR2-0,
5357,7.758,,28869,IGKV6D-41,
35933,7.914583333,,8672,EIF4G3,
17033,9.34275,,4076,CAPRIN1,
15254,10.20275,,5172,SLC26A4,
7092,7.759958333,,148,ADRA1A,
28696,7.093625,,9785,DHX38,
8032,8.09775,,9788,MTSS1,
26030,7.637375,,7125,TNNC2,
8913,8.185083333,,6036,RNASE2,
30528,8.763083333,,9789,SPCS2,
35926,7.109791667,,7127,TNFAIP2,
13432,8.890291667,,9786,KIAA0586,
16140,6.24375,,7126,TNFAIP1,
15214,9.628833333,,9787,DLGAP5,
16993,8.707291667,,10055,SAE1,
33191,7.628708333,,10297,APC2,
24189,7.801541667,,10056,FARSB,
22394,5.889875,,10059,DNM1L,
35894,6.073375,,7132,TNFRSF1A,
18800,6.342375,,5195,PEX14,
17943,8.744083333,,29919,RMC1,
827,8.773666667,,10060,ABCC9,
1685,8.400375,,9557,CHD1L,
5327,8.33775,,10063,COX17,
8953,7.975583333,,9791,PTDSS1,
25990,7.543416667,,9792,SERTAD2,
