category,ID,term,count,genes,logFC,adj_pval,zscore
BP,GO:0001666,response to hypoxia,12,"SMAD4, ACE, CASP3, BNIP3, DDIT4, SLC2A1, ADM, PLOD2, LIMD1, WTIP, HSPG2, VEGFA",0.283585806,1.75E-04,4.106318604
BP,GO:0006357,regulation of transcription from RNA polymerase II promoter,49,"ZNF251, ZNF805, ZMIZ2, LRRFIP1, TGIF1, KLF12, KLF13, ZNF284, ZNF282, ZNF160, OVOL2, MED22, CREB3, DGKQ, ZNF319, ZNF514, HOXB2, IRF5, JDP2, KDM7A, ZNF397, ZNF275, KDM3A, CTBP2, CBFB, CTBP1, MLLT6, MNT, DEAF1, ATXN7, NACC2, ZKSCAN2, ZNF587, ZNF224, ZNF664, XBP1, SMAD4, VEGFA, KLF8, ZNF37A, BHLHE40, ZNF416, ZNF778, ZNF337, PKN1, RBAK, RCOR1, ZFP28, ZNF354B",0.283585806,2.92E-04,1.699927594
BP,GO:0007420,brain development,13,"KDM4B, ACE, FKRP, SPHK2, ATP2B1, SMARCA1, HSPG2, EPOR, PPP3CC, PITPNM1, DDIT4, FPGS, PAFAH1B2",0.921426285,0.001568659,2.965674547
BP,GO:0008285,negative regulation of cell proliferation,18,"SMAD4, KLF13, TES, CTBP2, CTBP1, TPBG, EIF2AK2, ADM, CGRRF1, HSPG2, CDC73, MNT, RASSF3, NACC2, FTH1, SPRY2, SPEG, SH2B3",0.921426285,0.001896915,2.346467774
BP,GO:0045892,"negative regulation of transcription, DNA-templated",20,"ZNF397, L3MBTL1, SMAD4, CTBP2, ZNF282, CTBP1, LIMD1, WTIP, DEAF1, NACC2, BHLHE40, SCMH1, HSBP1L1, TRIB3, BCOR, RBAK, ZNF224, EID2B, RCOR1, TRIM11",1,0.004728564,2.038105116
BP,GO:0006469,negative regulation of protein kinase activity,6,"DBNDD2, DVL1, TRIB3, PKN1, TRIM27, SNCA",1,0.005360877,5.31405937
BP,GO:0006355,"regulation of transcription, DNA-templated",29,"L3MBTL1, ZNF251, CHD7, LIMD1, MLLT6, SCMH1, DVL1, ZKSCAN2, LRRFIP1, ZNF224, ZNF664, PDE8A, TGIF1, SMAD4, ZNF284, ZNF282, ZNF160, SMARCA1, WTIP, SAP30, PTP4A3, ZNF37A, BHLHE40, ZNF778, ZNF514, ZNF337, RBAK, ZFP28, ZNF354B",1,0.005678323,1.722440019
BP,GO:0006468,protein phosphorylation,16,"CDKL2, PLK3, SRMS, CTBP1, CDC42BPG, TNK1, HUS1, EIF2AK2, CDC42BPB, RSKR, NRBP2, TRIB3, PKN1, CAMK1, MAP3K11, PDK1",1,0.007397841,2.170306529
BP,GO:0032092,positive regulation of protein binding,6,"ACE, RALB, LRP1, CAPRIN2, TRIB3, PKD1",1,0.00764778,4.883189691
BP,GO:0031623,receptor internalization,5,"ITCH, RALB, LRP1, ADM, SNCA",1,0.009996076,5.904510411
