category,ID,term,count,genes,logFC,adj_pval,zscore
BP,GO:0008283,cell proliferation,8,"UCHL1, SMAD4, SPHK2, TXNRD1, FPGS, TACC1, PDK1, OVOL2",1,0.029016426,2.706786795
BP,GO:0002720,positive regulation of cytokine production involved in immune response,3,"SLC7A5, SPHK2, IRF5",1,0.031535123,10.62811874
BP,GO:0044790,negative regulation by host of viral release from host cell,3,"TRIM27, MID2, TRIM11",1,0.031535123,10.62811874
BP,GO:1990830,cellular response to leukemia inhibitory factor,6,"PTP4A3, KDM3A, CTBP2, SPRY4, SPRY2, SNX10",1,0.032642831,3.377159226
BP,GO:0008355,olfactory learning,2,"TPBG, ADCY3",1,0.032832278,60.22600619
BP,GO:0032091,negative regulation of protein binding,5,"ACE, RALB, CTSZ, DVL1, CAMK1",1,0.035817022,4.015067079
BP,GO:0030163,protein catabolic process,5,"PDLIM2, CASP3, LPCAT1, TRAF2, DENND3",1,0.035817022,4.015067079
BP,GO:1902236,negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway,3,"CREB3, XBP1, SELENOS",1,0.038804076,9.509369399
BP,GO:0006650,glycerophospholipid metabolic process,3,"GPAT4, LPCAT1, AGPAT2",1,0.038804076,9.509369399
BP,GO:0043407,negative regulation of MAP kinase activity,4,"UCHL1, SPRY4, SPRY2, SH2B3",1,0.04043626,5.237044017
BP,GO:0010801,negative regulation of peptidyl-threonine phosphorylation,3,"DGKQ, DDIT4, SPRY2",1,0.042653802,9.033900929
BP,GO:0035914,skeletal muscle cell differentiation,4,"KRAS, ANKRD52, LEMD2, SAP30",1,0.044987329,5.018833849
BP,GO:0032012,regulation of ARF protein signal transduction,3,"IQSEC1, ARFGAP3, ARFGEF3",1,0.046639415,8.60371517
BP,GO:0036303,lymph vessel morphogenesis,2,"PKD1, VEGFA",1,0.048843178,40.15067079
BP,GO:1902033,regulation of hematopoietic stem cell proliferation,2,"ACE, EIF2AK2",1,0.048843178,40.15067079
BP,GO:0006990,positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response,2,"CREB3, XBP1",1,0.048843178,40.15067079
BP,GO:0055092,sterol homeostasis,2,"XBP1, ABCD1",1,0.048843178,40.15067079
MF,GO:0031122,cytoplasmic microtubule organization,4,"CCDC88A, PLK3, KATNAL1, DVL1",1,0.052267766,4.723608329
MF,GO:0030968,endoplasmic reticulum unfolded protein response,4,"CREB3, XBP1, SELENOS, EIF2AK2",1,0.054813277,4.632769707
MF,GO:0030308,negative regulation of cell growth,6,"SMAD4, SPHK2, CAPRIN2, OSGIN2, CGRRF1, SIPA1",1,0.058538745,2.867905057
MF,GO:0046580,negative regulation of Ras protein signal transduction,3,"SPRY4, SPRY2, LZTR1",1,0.059357075,7.528250774
MF,GO:0007162,negative regulation of cell adhesion,4,"CLDN7, PLXNB3, HSPG2, SIPA1",1,0.060078498,4.461185644
MF,GO:0010508,positive regulation of autophagy,5,"XBP1, BNIP3, ULK2, TRIM27, MID2",1,0.060336116,3.383483494
MF,GO:0030218,erythrocyte differentiation,4,"MFHAS1, CASP3, FLVCR1, RCOR1",1,0.062796831,4.380073178
MF,GO:0045786,negative regulation of cell cycle,4,"CREB3, TP53I13, CASP3, SIPA1",1,0.062796831,4.380073178
MF,GO:0042908,xenobiotic transport,3,"ABCC3, SLC7A5, SLC2A1",1,0.063832443,7.227120743
MF,GO:1900086,positive regulation of peptidyl-tyrosine autophosphorylation,2,"ACE, VEGFA",1,0.064589835,30.1130031
MF,GO:0010749,regulation of nitric oxide mediated signal transduction,2,"CBS, VEGFA",1,0.064589835,30.1130031
MF,GO:0002208,somatic diversification of immunoglobulins involved in immune response,2,"SHLD3, SHLD2",1,0.064589835,30.1130031
MF,GO:1903078,positive regulation of protein localization to plasma membrane,4,"LRP1, ARHGEF16, PTPN9, RAB11FIP2",1,0.065571352,4.301857585
MF,GO:0010608,posttranscriptional regulation of gene expression,3,"ACE, ZC3H7B, TDRD7",1,0.068417498,6.949154561
MF,GO:0001782,B cell homeostasis,3,"DOCK11, CASP3, PKN1",1,0.068417498,6.949154561
MF,GO:0001701,in utero embryonic development,8,"SMAD4, WNT7B, CHD7, FLVCR1, SEC24D, PKD1, DBN1, VEGFA",1,0.069851718,2.220313592
MF,GO:0007265,Ras protein signal transduction,5,"SHTN1, RASSF1, RALB, RASGEF1A, KRAS",1,0.070794689,3.203510968
MF,GO:0045742,positive regulation of epidermal growth factor receptor signaling pathway,3,"CCDC88A, RALB, SPRY2",1,0.073107411,6.691778466
MF,GO:0090200,positive regulation of release of cytochrome c from mitochondria,3,"MOAP1, BIK, BNIP3",1,0.073107411,6.691778466
MF,GO:0007507,heart development,8,"PDLIM2, CASP3, DVL1, ADM, BCOR, PKD1, EPOR, PDLIM7",1,0.075347165,2.180126921
MF,GO:0051384,response to glucocorticoid,4,"PDCD7, CASP3, WNT7B, ADM",1,0.077216057,4.015067079
MF,GO:0034599,cellular response to oxidative stress,5,"XBP1, SELENOS, GSR, PYCR2, SNCA",1,0.077486384,3.104433309
MF,GO:0042060,wound healing,5,"SMAD4, SDC4, CASP3, EPPK1, CELSR1",1,0.07978504,3.072755418
MF,GO:0098708,glucose import across plasma membrane,2,"SLC2A1, SLC2A3",1,0.080076599,24.09040248
MF,GO:0050808,synapse organization,4,"WNT7B, DVL1, PPFIA4, SNCA",1,0.080259902,3.949246308
MF,GO:0005975,carbohydrate metabolic process,7,"MAN2A2, SLC2A3, MAN1A1, SPATA20, FUT2, RENBP, CHST3",1,0.080889556,2.32918256
MF,GO:0046330,positive regulation of JNK cascade,5,"MFHAS1, WNT7B, TRAF5, TRAF2, MAP3K11",1,0.082117326,3.041717484
MF,GO:0007049,cell cycle,11,"KLHL9, RASSF1, RALB, KATNAL1, CEP164, KCTD11, CAMK1, CGRRF1, RAB11FIP3, CDC73, KLHL42",1,0.084163738,1.810071224
MF,GO:0048010,vascular endothelial growth factor receptor signaling pathway,3,"XBP1, VAV2, VEGFA",1,0.087759889,6.022600619
MF,GO:0009410,response to xenobiotic stimulus,9,"TGIF1, ACE, TP53I13, PARP4, CASP3, FPGS, HSPG2, AGPAT2, SNCA",1,0.090312668,1.956801645
MF,GO:0016477,cell migration,9,"LAMA5, CCDC88A, SDC4, RASGEF1A, SDC3, CORO7, CDC42BPB, LIMD1, VAV2",1,0.091963894,1.94976279
MF,GO:0048812,neuron projection morphogenesis,4,"SHTN1, WNT7B, DBN1, ATP9A",1,0.092940797,3.706215766
MF,GO:0003008,system process,2,"ADCY4, ADCY3",1,0.095307746,20.0753354
MF,GO:0051127,positive regulation of actin nucleation,2,"TRIM27, WHAMM",1,0.095307746,20.0753354
MF,GO:0045907,positive regulation of vasoconstriction,3,"HRH1, FAAH, ACE",1,0.097969585,5.64618808
MF,GO:0051607,defense response to virus,8,"ITCH, BNIP3, IFNE, DDIT4, EIF2AK2, IRF5, MICA, TRIM56",1,0.098127523,2.041559532
