,ID,GSM6765206,GSM6765207,GSM6765208,GSM6765209,GSM6765210,GSM6765211,GSM6765212,GSM6765213,GSM6765214,GSM6765215,GSM6765225,GSM6765240,,,
,,,,,,,,,,,,,,,,
1,ENSG00000047056,16.4958672,16.157817,16.7740202,18.7168711,16.442284,19.1126776,18.8064409,16.98456,17.8140336,18.010873,18.884071,17.566318,ENSG00000047056,2.583005195,WDR37
2,ENSG00000060491,28.1400087,35.345225,31.5746263,29.5529544,29.982988,32.4915519,35.6332565,33.96912,32.6590615,30.72443,29.375222,32.032698,ENSG00000060491,1.376410241,OGFR
3,ENSG00000069849,170.7807425,155.518991,167.7402023,164.5114461,171.193188,168.1915627,149.4617149,166.8483246,150.4296167,184.346578,176.251331,176.696493,ENSG00000069849,-1.440193368,ATP1B3
4,ENSG00000080802,12.6144867,11.108499,10.8537778,11.8211818,10.639125,11.4676065,12.8675649,10.9900094,11.8760224,10.594631,11.540266,12.399754,ENSG00000080802,1.777948655,CNOT4
5,ENSG00000085465,21.3475928,19.187408,18.7474344,19.7019696,18.37667,19.1126776,18.8064409,22.9791106,19.7933706,23.308188,23.080531,24.799508,ENSG00000085465,5.327093421,OVGP1
6,ENSG00000102908,20.3772477,14.13809,16.7740202,17.7317726,19.343863,20.0683115,18.8064409,18.9827435,15.8346965,20.129799,18.884071,21.699569,ENSG00000102908,3.337139058,NFAT5
7,ENSG00000104722,8.7331061,9.088772,7.8936566,9.8509848,8.704738,6.6894372,6.9286888,6.9936423,6.9276797,6.356779,8.392921,7.23319,ENSG00000104722,10.53287478,NEFM
8,ENSG00000105376,1.9406903,1.009864,0.9867071,0.9850985,1.934386,0.9556339,0.9898127,1.9981835,0.9896685,0,1.049115,1.033313,ENSG00000105376,3.432103271,ICAM5
9,ENSG00000105656,20.3772477,21.207135,20.7208485,23.6423635,21.278249,20.0683115,20.7860663,18.9827435,20.7830392,20.129799,22.031416,17.566318,ENSG00000105656,2.596006446,ELL
10,ENSG00000106404,35.9027697,43.424134,36.5081617,39.4039392,34.818954,32.4915519,34.6434438,36.9663953,32.6590615,37.081208,36.719027,32.032698,ENSG00000106404,4.292611331,CLDN15
11,ENSG00000110955,981.9892691,1026.021398,988.6804867,950.6200329,900.456826,891.606409,926.4646696,994.0963051,939.1954357,922.792355,891.747804,820.450383,ENSG00000110955,-1.5243839,ATP5F1B
12,ENSG00000111790,13.5848318,9.088772,11.8404849,11.8211818,12.573511,13.3788743,12.8675649,12.9881929,10.8863538,13.77302,14.687611,14.46638,ENSG00000111790,1.580783837,FGFR1OP2
13,ENSG00000115221,16.4958672,16.157817,14.8006061,14.7764772,13.540704,14.3345082,15.8370029,12.9881929,13.8553594,12.713557,10.491151,14.46638,ENSG00000115221,-1.94465238,ITGB6
14,ENSG00000118160,0.9703451,2.019727,0.9867071,0.9850985,1.934386,0.9556339,0.9898127,0.9990918,0.9896685,1.059463,2.09823,2.066626,ENSG00000118160,6.832609434,SLC8A2
15,ENSG00000118495,14.5551769,17.167681,13.813899,14.7764772,13.540704,15.2901421,14.8471902,14.9863765,15.8346965,18.010873,17.834956,16.533005,ENSG00000118495,1.341955133,PLAGL1
16,ENSG00000122641,1.9406903,2.019727,1.9734141,1.970197,1.934386,0.9556339,1.9796254,0.9990918,1.9793371,1.059463,2.09823,2.066626,ENSG00000122641,1.730946746,INHBA
17,ENSG00000123416,112.5600348,130.272402,119.3915558,133.9733932,121.866337,131.8774753,114.818271,121.8891952,119.7498922,127.135571,118.550002,121.930913,ENSG00000123416,-1.437092184,TUBA1B
