GSEA_Iib_Exclusively,,,
,,,
Top_10_Hub_Genes_UP_396,"KRAS, CASP3, CTBP1, SLC2A1, GRAT, SMAD4, TXNRD1, HSPG2, MTHFD2, CTBP2",,
,,,
HALLMARK_PATHWAY_UP_396,Genes_Present,ES,FDR
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HCCS,-0.5761,0
HALLMARK_E2F_TARGETS,"MTHFD2, HUS1",-0.4659,0.0055
HALLMARK_INTERFERON_ALPHA_RESPONSE,"EIF2AK2, HELZ2, TDRD7",-0.4753,0.0073
HALLMARK_BILE_ACID_METABOLISM,ABCD1,-0.4588,0.0055
HALLMARK_KRAS_SIGNALING_DN,"SPHK2, DLK2, SYNPO",-0.3949,0.03
HALLMARK_ADIPOGENESIS,"ACADS, GPAT4",-0.389,0.025
HALLMARK_TNFA_SIGNALING_VIA_NFKB,"SLC2A3, ATP2B1, SERPINE1, VEGFA, SDC4, BHLHE40, TGIF1",0.5893,0.0025
,,,
KRAS_UP,"SEMA3B,ANO1,SPRY2,ACE",,
,,,
Top_10_Hub_Genes_Down_407,"CCNA2, CDC20, RRM2, UBE2C, BUB1, CCNB2, BUB1B, KIF11, CCNB1, AURKA",,
,,,
HALLMARK_PATHWAY_DOWN_407,Genes_Present,ES,FDR
HALLMARK_OXIDATIVE_PHOSPHORYLATION,"MPC1, OAT, ATP6AP1, POLR2F, ACO2, IDH3B, COX6A1, COX7A2, ATP5PB, COX4I1, COX7B, HADHB, MRPL11, SDHD, NDUFS3",-0.5761,0
HALLMARK_E2F_TARGETS,"POLA2, TRIP13, SMC1A, HMMR, AURKA, BIRC5, KIF4A, MCM5, CDKN3, MYBL2, CDC20, STMN1, DLGAP5, DIAPH3, KIF2C, SSRP1, BUB1B, CCNB2, NOLC1, WEE1, MCM7, RRM2, NAA38, NAP1L1",-0.4659,0.0055
HALLMARK_INTERFERON_ALPHA_RESPONSE,"PSME1, PSME2, OASL, DDX60, IFI44, GBP2, B2M, ISG15",-0.4753,0.0073
HALLMARK_BILE_ACID_METABOLISM,"RBP1, ABCD3, PFKM, SLC35B2",-0.4588,0.0055
HALLMARK_KRAS_SIGNALING_DN,"EDN1, SGK1, SPRR3, CDH16, KRT4, KRT15, SERPINB2",-0.3949,0.03
HALLMARK_ADIPOGENESIS,"SCARB1, ACO2, COX6A1, ARL4A, COX7B, COQ3, HSPB8, NDUFS3",-0.389,0.025
HALLMARK_TNFA_SIGNALING_VIA_NFKB,"EDN1, MAP3K8, IL1A, SGK1, TNFSF9, TUBB2A, RHOB, PLK2, SERPINB2",0.5893,0.0025
,,,
KRAS_UP,"ARG1,PDCD1LG2,MAFB",,
