category,ID,term,count,genes,logFC,adj_pval,zscore
BP,GO:0007052,mitotic spindle organization,20,"CCNB1, PLK2, KIF4A, STMN1, BIRC5, WDR62, KIF11, NDC80, DLGAP5, AURKA",4.63E-05,2.88E-08,14.27219369
BP,GO:0051301,cell division,14,"CDCA5, NCAPG2, NCAPG, BUB1B, KIF11, SMC1A, NDC80, SKA1, AURKA, CCNA2, CDC20, ASPM, CCNB2, TPX2, CENPF, CCNB1, CDC23, BIRC5, MCM5, KIF2C",1.70E-04,2.11E-07,4.322648742
BP,GO:0000278,mitotic cell cycle,13,"CDCA5, PLK2, DCTN3, KIF11, NDC80, SKA1, AURKA, TPX2, CENPF, TUBB2A, CDC23, BIRC5, MYBL2",1.97E-04,3.68E-07,6.987814313
BP,GO:0007094,mitotic spindle assembly checkpoint,11,"CDC20, CENPF, BIRC5, BUB1B, TRIP13, NDC80",0.014966605,3.73E-05,15.52101064
BP,GO:0000281,mitotic cytokinesis,10,"KIF4A, STMN1, BIRC5, KIF20A, CEP55, RHOB, ZNF365",0.053599557,1.67E-04,8.521339174
BP,GO:0018149,peptide cross-linking,10,"FLG, SPRR3, TGM5, THBS1, TGM3",0.102418779,3.83E-04,14.27219369
BP,GO:0008544,epidermis development,10,"COL17A1, LCE2B, SPRR3, YBX1, GRHL1, TGM5, SPRR2D",0.132104737,5.99E-04,6.737803068
BP,GO:0000086,G2/M transition of mitotic cell cycle,10,"CCNA2, CCNB1, BIRC5, CALM3, FOXM1, AURKA",0.132104737,6.58E-04,8.563316214
BP,GO:0031424,keratinization,8,"LCE2B, IL1A, SPRR3, CNFN, ABCA12, TGM3, SPRR2D",0.136642813,8.08E-04,6.367594108
BP,GO:0007057,spindle assembly involved in female meiosis I,7,"CCNB2, NDC80, AURKA",0.136642813,8.51E-04,62.08404255
BP,GO:0090307,mitotic spindle assembly,7,"CDC20, TPX2, MYBL2, KIF11, SMC1A",0.212793208,0.001457488,10.09496627
BP,GO:0007080,mitotic metaphase plate congression,7,"CCNB1, CDC23, CDCA5, CHMP2A, KIF2C",0.213581514,0.001595877,9.854609929
BP,GO:0006605,protein targeting,7,"SYNGR1, VPS51, OS9, LTBP2, SORL1",0.255165963,0.002065478,9.197635934
BP,GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",6,"COX7B, COX4I1, COX7A2, COX6A1",0.372851646,0.003250263,13.24459574
BP,GO:0055085,transmembrane transport,6,"SLC44A5, PSMB6, SLC35B2, SLC44A3, SLC44A2, PSMA2, GJA9, ABCA12, GPR155, GSDME",0.380471337,0.003553593,3.284869976
BP,GO:0015871,choline transport,6,"SLC44A5, SLC44A3, SLC44A2",0.492435836,0.004905961,27.5929078
BP,GO:0007059,chromosome segregation,5,"CENPF, HJURP, BIRC5, NDC80, SKA1, DLGAP5",0.582861802,0.006346711,5.120333406
BP,GO:0009410,response to xenobiotic stimulus,5,"BCHE, HDAC5, CENPF, ABCD3, SEMA3C, ARG1, XRCC1, BLMH, ADD3, THBS1",0.582861802,0.006532698,2.988401567
BP,GO:0070863,positive regulation of protein exit from endoplasmic reticulum,5,"CD81, SORL1, TM9SF4",0.623580531,0.007377354,22.57601547
BP,GO:0061436,establishment of skin barrier,5,"FLG, STMN1, GRHL1, ABCA12",0.636247827,0.008469101,9.460425532
BP,GO:0007346,regulation of mitotic cell cycle,5,"CDC20, CDC23, GMNN, BIRC5, DLGAP5",0.636247827,0.008655809,6.177516672
BP,GO:0045616,regulation of keratinocyte differentiation,5,"GRHL1, ABCA12, AQP3",0.636247827,0.008783045,20.69468085
BP,GO:0010595,positive regulation of endothelial cell migration,5,"SCARB1, EDN1, NRP2, THBS1, RHOB",0.636247827,0.009111893,6.086670839
BP,GO:0071222,cellular response to lipopolysaccharide,4,"HADHB, IL1A, HDAC5, ARG1, CD68, GBP2, PPARD, IL1F10",0.68509123,0.010237976,3.344594885
BP,GO:0045842,positive regulation of mitotic metaphase/anaphase transition,4,"CDC20, CDC23, DLGAP5",0.709024289,0.011920085,17.73829787
BP,GO:0051310,metaphase plate congression,4,"CENPF, KIF2C, NDC80",0.709024289,0.011920085,17.73829787
BP,GO:0030174,regulation of DNA-dependent DNA replication initiation,4,"WDR18, GMNN, MCM5",0.709024289,0.011920085,17.73829787
BP,GO:0045333,cellular respiration,4,"COX7B, COX4I1, COX7A2, COX6A1",0.752061506,0.013970894,7.883687943
BP,GO:0032465,regulation of cytokinesis,4,"PLK2, CALM3, KIF20A, AURKA",0.752061506,0.013970894,7.883687943
BP,GO:0043066,negative regulation of apoptotic process,4,"MSX2, CBX4, BCL11B, CITED2, PLK2, TENT5B, THBS1, DKK1, AURKA, MIEN1, CTSH, BIRC5, CRYAB, PPARD",0.752061506,0.014048471,2.146115051
BP,GO:0031145,anaphase-promoting complex-dependent catabolic process,4,"PSMB6, CDC20, CDC23, PSMA2",0.972105059,0.018890261,7.044997737
BP,GO:0001666,response to hypoxia,3,"IL1A, CITED2, XRCC1, THBS1, CRYAB, HIF1A, TM9SF4",0.972105059,0.019884296,3.29233559
BP,GO:0006091,generation of precursor metabolites and energy,3,"COX4I1, ACO2, COX6A1, PPARD",0.972105059,0.019974761,6.89822695
BP,GO:0007064,mitotic sister chromatid cohesion,3,"CDC20, CDCA5, SMC1A",0.984762147,0.021534556,13.07032475
BP,GO:0007051,spindle organization,3,"ASPM, KIF11, AURKA",0.984762147,0.021534556,13.07032475
BP,GO:0033189,response to vitamin A,3,"ARG1, RBP1, PPARD",0.984762147,0.023740186,12.41680851
BP,GO:0051445,regulation of meiotic cell cycle,3,"CDC20, ASPM, CDC23",0.984762147,0.023740186,12.41680851
BP,GO:0008315,meiotic G2/MI transition,3,"CCNB2, NDC80",0.984762147,0.0239139,82.7787234
BP,GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,3,"CCNA2, CCNB2, CCNB1, CDKN3",0.996277916,0.027189288,6.131757289
BP,GO:0006656,phosphatidylcholine biosynthetic process,3,"SLC44A5, SLC44A3, SLC44A2",0.996277916,0.033422353,10.34734043
BP,GO:0007049,cell cycle,3,"FANCI, RGS2, CDCA5, HJURP, BIRC5, MCM5, MAP3K8, KIF11, AURKA, CDKN3",0.996277916,0.033497891,2.261713754
BP,GO:0051231,spindle elongation,3,"KIF4A, KIF11",0.996277916,0.03565644,55.1858156
BP,GO:0051000,positive regulation of nitric-oxide synthase activity,3,"SCARB1, CALM3, HIF1A",0.996277916,0.036046013,9.933446809
BP,GO:0044772,mitotic cell cycle phase transition,3,"CCNA2, CCNB2, CCNB1",0.996277916,0.036046013,9.933446809
BP,GO:0003148,outflow tract septum morphogenesis,3,"NRP2, SEMA3C, MSX2",0.996277916,0.038746356,9.551391162
BP,GO:0015031,protein transport,3,"BTF3, LMAN1, SLC15A1, CENPF, NBAS, VPS51, CHMP2A, KIF20A, COPZ1, SCAMP2, VPS35L",0.996277916,0.042978109,2.050824228
BP,GO:0009615,response to virus,3,"PSMA2, STMN1, IFI44, DDX60, OASL",0.996277916,0.043915649,3.762669246
GOTERM_BP_DIRECT,GO:0045840,positive regulation of mitotic nuclear division,3,"IL1A, EDN1, AURKA",0.996277916,0.050271035,8.27787234
GOTERM_BP_DIRECT,GO:0045766,positive regulation of angiogenesis,6,"IL1A, GAB1, CTSH, THBS1, HIF1A, RHOB",0.996277916,0.050530924,2.992002051
GOTERM_BP_DIRECT,GO:0006196,AMP catabolic process,2,"NT5E, XDH",0.996277916,0.058721191,33.11148936
GOTERM_BP_DIRECT,GO:0002248,connective tissue replacement involved in inflammatory response wound healing,2,"IL1A, HIF1A",0.996277916,0.058721191,33.11148936
GOTERM_BP_DIRECT,GO:0045931,positive regulation of mitotic cell cycle,3,"CCNB1, BIRC5, AURKA",0.996277916,0.062853392,7.304005006
GOTERM_BP_DIRECT,GO:0031669,cellular response to nutrient levels,3,"MIOS, CD68, PPARD",0.996277916,0.062853392,7.304005006
GOTERM_BP_DIRECT,GO:0048255,mRNA stabilization,3,"YBX1, PABPC1, TENT5B",0.996277916,0.066149409,7.095319149
GOTERM_BP_DIRECT,GO:0001975,response to amphetamine,3,"EDN1, RGS2, CALM3",0.996277916,0.069501831,6.89822695
GOTERM_BP_DIRECT,GO:0031536,positive regulation of exit from mitosis,2,"CDCA5, BIRC5",0.996277916,0.070046739,27.5929078
GOTERM_BP_DIRECT,GO:0010193,response to ozone,2,"IL1A, EDN1",0.996277916,0.070046739,27.5929078
GOTERM_BP_DIRECT,GO:0006102,isocitrate metabolic process,2,"IDH3B, ACO2",0.996277916,0.070046739,27.5929078
GOTERM_BP_DIRECT,GO:0007100,mitotic centrosome separation,2,"KIF11, AURKA",0.996277916,0.070046739,27.5929078
GOTERM_BP_DIRECT,GO:0071373,cellular response to luteinizing hormone stimulus,2,"CCNA2, EDN1",0.996277916,0.070046739,27.5929078
GOTERM_BP_DIRECT,GO:0006915,apoptotic process,13,"BUB1B, THBS1, RHOB, AURKA, IL1A, TPX2, MIEN1, CTSK, CTSH, BIRC5, SGK1, ZNF385A, PPARD",0.996277916,0.071739769,1.738486921
GOTERM_BP_DIRECT,GO:0006366,transcription from RNA polymerase II promoter,7,"EDN1, EHF, BCL11B, NCAPG2, POLR2F, TRIP13, POLR2K",0.996277916,0.071986708,2.404361261
GOTERM_BP_DIRECT,GO:0002244,hematopoietic progenitor cell differentiation,4,"KITLG, CITED2, FST, SSBP3",0.996277916,0.072006425,4.13893617
GOTERM_BP_DIRECT,GO:0002052,positive regulation of neuroblast proliferation,3,"ASPM, WDR62, HIF1A",0.996277916,0.072908835,6.711788384
GOTERM_BP_DIRECT,GO:0021987,cerebral cortex development,4,"ASPM, TUBB2A, WDR62, HIF1A",0.996277916,0.076303583,4.037986508
GOTERM_BP_DIRECT,GO:0000070,mitotic sister chromatid segregation,3,"NCAPG2, SMC1A, NDC80",0.996277916,0.076368638,6.535162374
GOTERM_BP_DIRECT,GO:0071456,cellular response to hypoxia,5,"CCNA2, EDN1, HIF1A, AQP3, PPARD",0.996277916,0.078616403,3.088758336
GOTERM_BP_DIRECT,GO:0046605,regulation of centrosome cycle,2,"WDR62, AURKA",0.996277916,0.081236591,23.65106383
GOTERM_BP_DIRECT,GO:0019216,regulation of lipid metabolic process,3,"BCL11B, ADIPOR1, PPARD",0.996277916,0.087047502,6.056979761
GOTERM_BP_DIRECT,GO:0071356,cellular response to tumor necrosis factor,5,"EDN1, CTSK, GBP2, THBS1, GSDME",0.996277916,0.088932475,2.956382979
GOTERM_BP_DIRECT,GO:0045184,establishment of protein localization,3,"CHMP2A, PHLDB2, CEP55",0.996277916,0.090701333,5.912765957
GOTERM_BP_DIRECT,GO:1902600,hydrogen ion transmembrane transport,5,"SLC15A1, COX7B, ATP6AP1, ATP5PB, COX4I1",0.996277916,0.090712474,2.935415724
GOTERM_BP_DIRECT,GO:0007018,microtubule-based movement,4,"KIF4A, KIF2C, KIF20A, KIF11",0.996277916,0.092197094,3.720392063
GOTERM_BP_DIRECT,GO:0006776,vitamin A metabolic process,2,"RBP1, PPARD",0.996277916,0.092292368,20.69468085
Category,ID,Term,Count,Genes,FDR,PValue,Fold Enrichment
CC,GO:0005829,cytosol,112,"NCF2, GMNN, HJURP, BUB1B, ABCA12, CDC20, RGS2, MT2A, CDC23, STMN1, COTL1, MAP3K8, RPS10, MSX2, AP1B1, LMO7, RUNDC3A, INPP4B, MYL6, DAAM1, RBP1, PSME1, PSME2, SNRPF, PHLDB2, FLG, CDCA5, C1ORF198, NCAPG, HMMR, WDR62, RPS4Y1, DDX60, MTMR4, HIF1A, SKA1, CCNB2, CCNB1, COMMD9, PDZD2, SERF2, SPRR2D, FANCI, BTF3, TFAP2C, PLK2, NDC80, TPX2, POLA2, HAL, DIAPH3, KIF4A, CHMP2A, CALM3, BLMH, ACO2, GSDME, ABCD3, CITED2, COX4I1, HSPB8, QPRT, KRT23, YBX1, KIF11, RND3, OASL, CTSH, MYBL2, DLGAP5, ZNF385A, MIOS, ARG1, GAB1, SMC1A, COPZ1, RHOB, CCNA2, IL1A, ARL4A, PSMA2, BIRC5, MCM5, KIF2C, PABPC1, SGK1, PFDN5, CRYAB, HDAC5, SPRR3, NBAS, ACSS2, DCTN3, ADD3, AURKA, PSMB6, NT5E, MIEN1, VPS51, POLR2F, TNNI2, GBP2, RPL18, FNIP2, XDH, POLR2K, CENPF, PSMC5, RAB13, EIF3H, PFKM, CDKN3",1.30E-07,3.69E-10,1.691187623
CC,GO:0000776,kinetochore,98,"PLK2, DCTN3, HJURP, BUB1B, SMC1A, NDC80, SKA1, AURKA, CDC20, CENPF, CHMP2A, BIRC5, KIF2C",8.61E-05,4.88E-07,6.818345781
CC,GO:0005819,spindle,98,"CDC20, ASPM, TPX2, CENPF, DCTN3, BIRC5, BUB1B, KIF2C, KIF20A, KIF11, HMMR, AURKA",1.79E-04,1.52E-06,6.842986163
CC,GO:0000940,condensed chromosome outer kinetochore,73,"CENPF, CCNB1, BUB1B, NDC80, SKA1",0.001069038,1.21E-05,32.67964546
