Category	ID	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04110	Cell cycle	11	4.453441296	1.98E-04	"CCNA2, CDC20, CCNB2, CCNB1, CDC23, CDCA5, BUB1B, MCM5, TRIP13, SMC1A, NDC80"	139	157	8644	4.357054484	0.041069035	0.041932046	0.041734253
KEGG_PATHWAY	hsa05016	Huntington disease	13	5.263157895	0.003525657	"COX7B, ATP5PB, NDUFB11, COX4I1, DCTN3, COX7A2, COX6A1, PSMB6, PSMC5, TUBB2A, PSMA2, POLR2F, POLR2K"	139	306	8644	2.641933512	0.527047303	0.289981333	0.288613496
KEGG_PATHWAY	hsa05020	Prion disease	12	4.858299595	0.004103509	"PSMB6, IL1A, COX7B, PSMC5, TUBB2A, NCF2, ATP5PB, PSMA2, NDUFB11, COX4I1, COX7A2, COX6A1"	139	272	8644	2.743546339	0.581774203	0.289981333	0.288613496
KEGG_PATHWAY	hsa03050	Proteasome	5	2.024291498	0.006039153	"PSMB6, PSMC5, PSMA2, PSME1, PSME2"	139	46	8644	6.759461996	0.723123025	0.320075101	0.318565313
KEGG_PATHWAY	hsa05012	Parkinson disease	11	4.453441296	0.010039055	"PSMB6, COX7B, PSMC5, TUBB2A, ATP5PB, PSMA2, NDUFB11, COX4I1, COX7A2, CALM3, COX6A1"	139	266	8644	2.57164494	0.882231528	0.425655937	0.423648126
KEGG_PATHWAY	hsa04114	Oocyte meiosis	7	2.834008097	0.01825734	"CDC20, CCNB2, CCNB1, CDC23, CALM3, SMC1A, AURKA"	139	131	8644	3.322972157	0.979885717	0.534757581	0.53223514
KEGG_PATHWAY	hsa05010	Alzheimer disease	13	5.263157895	0.019600586	"COX7B, ATP5PB, NDUFB11, COX4I1, COX7A2, COX6A1, DKK1, PSMB6, IL1A, PSMC5, TUBB2A, PSMA2, CALM3"	139	384	8644	2.105290767	0.984953166	0.534757581	0.53223514
KEGG_PATHWAY	hsa00190	Oxidative phosphorylation	7	2.834008097	0.020179531	"COX7B, ATP6AP1, ATP5PB, NDUFB11, COX4I1, COX7A2, COX6A1"	139	134	8644	3.248577258	0.986724233	0.534757581	0.53223514
KEGG_PATHWAY	hsa04115	p53 signaling pathway	5	2.024291498	0.030299433	"CCNB2, CCNB1, SESN3, THBS1, ZNF385A"	139	74	8644	4.201827727	0.998530459	0.658100657	0.654996409
KEGG_PATHWAY	hsa04814	Motor proteins	8	3.238866397	0.034737451	"MYL6, TUBB2A, KIF4A, DCTN3, TNNI2, KIF2C, KIF20A, KIF11"	139	193	8644	2.577701569	0.999444305	0.658100657	0.654996409
KEGG_PATHWAY	hsa04932	Non-alcoholic fatty liver disease	7	2.834008097	0.037563482	"IL1A, COX7B, NDUFB11, COX4I1, COX7A2, ADIPOR1, COX6A1"	139	155	8644	2.808447436	0.999701542	0.658100657	0.654996409
KEGG_PATHWAY	hsa04218	Cellular senescence	7	2.834008097	0.038572926	"CCNA2, IL1A, CCNB2, CCNB1, CALM3, MYBL2, FOXM1"	139	156	8644	2.790444567	0.999761073	0.658100657	0.654996409
KEGG_PATHWAY	hsa05022	Pathways of neurodegeneration - multiple diseases	14	5.668016194	0.040355229	"COX7B, ATP5PB, NDUFB11, COX4I1, DCTN3, COX7A2, COX6A1, DKK1, PSMB6, IL1A, PSMC5, TUBB2A, PSMA2, CALM3"	139	476	8644	1.829030893	0.999838777	0.658100657	0.654996409
KEGG_PATHWAY	hsa05415	Diabetic cardiomyopathy	8	3.238866397	0.043722625	"COX7B, NCF2, ATP5PB, NDUFB11, MPC1, COX4I1, COX7A2, COX6A1"	139	203	8644	2.450721196	0.999923479	0.662085462	0.658962417
KEGG_PATHWAY	hsa05014	Amyotrophic lateral sclerosis	11	4.453441296	0.065704462	"PSMB6, COX7B, PSMC5, TUBB2A, ATP5PB, PSMA2, NDUFB11, COX4I1, DCTN3, COX7A2, COX6A1"	139	364	8644	1.879278994	0.999999447	0.873126198	0.869007678
KEGG_PATHWAY	hsa05208	Chemical carcinogenesis - reactive oxygen species	8	3.238866397	0.065896317	"COX7B, NCF2, ATP5PB, NDUFB11, COX4I1, COX7A2, COX6A1, HIF1A"	139	223	8644	2.230925573	0.999999471	0.873126198	0.869007678
KEGG_PATHWAY	hsa04914	Progesterone-mediated oocyte maturation	5	2.024291498	0.080056279	"CCNA2, CCNB2, CCNB1, CDC23, AURKA"	139	102	8644	3.048384822	0.999999979	0.969898457	0.965323465
KEGG_PATHWAY	hsa00630	Glyoxylate and dicarboxylate metabolism	3	1.214574899	0.082349869	"MCEE, ACSS2, ACO2"	139	30	8644	6.218705036	0.999999988	0.969898457	0.965323465
