Category,ID,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_BP_DIRECT,GO:0071222,cellular response to lipopolysaccharide,8,3.238866397,0.010237976,"HADHB, IL1A, HDAC5, ARG1, CD68, GBP2, PPARD, IL1F10",235,198,19453,3.344594885,0.999999938,0.688077306,0.68509123
GOTERM_BP_DIRECT,GO:0045842,positive regulation of mitotic metaphase/anaphase transition,3,1.214574899,0.011920085,"CDC20, CDC23, DLGAP5",235,14,19453,17.73829787,0.999999996,0.712114682,0.709024289
GOTERM_BP_DIRECT,GO:0051310,metaphase plate congression,3,1.214574899,0.011920085,"CENPF, KIF2C, NDC80",235,14,19453,17.73829787,0.999999996,0.712114682,0.709024289
GOTERM_BP_DIRECT,GO:0030174,regulation of DNA-dependent DNA replication initiation,3,1.214574899,0.011920085,"WDR18, GMNN, MCM5",235,14,19453,17.73829787,0.999999996,0.712114682,0.709024289
GOTERM_BP_DIRECT,GO:0045333,cellular respiration,4,1.619433198,0.013970894,"COX7B, COX4I1, COX7A2, COX6A1",235,42,19453,7.883687943,1,0.755339482,0.752061506
GOTERM_BP_DIRECT,GO:0032465,regulation of cytokinesis,4,1.619433198,0.013970894,"PLK2, CALM3, KIF20A, AURKA",235,42,19453,7.883687943,1,0.755339482,0.752061506
GOTERM_BP_DIRECT,GO:0043066,negative regulation of apoptotic process,14,5.668016194,0.014048471,"MSX2, CBX4, BCL11B, CITED2, PLK2, TENT5B, THBS1, DKK1, AURKA, MIEN1, CTSH, BIRC5, CRYAB, PPARD",235,540,19453,2.146115051,1,0.755339482,0.752061506
GOTERM_BP_DIRECT,GO:0031145,anaphase-promoting complex-dependent catabolic process,4,1.619433198,0.018890261,"PSMB6, CDC20, CDC23, PSMA2",235,47,19453,7.044997737,1,0.97634213,0.972105059
GOTERM_BP_DIRECT,GO:0001666,response to hypoxia,7,2.834008097,0.019884296,"IL1A, CITED2, XRCC1, THBS1, CRYAB, HIF1A, TM9SF4",235,176,19453,3.29233559,1,0.97634213,0.972105059
GOTERM_BP_DIRECT,GO:0006091,generation of precursor metabolites and energy,4,1.619433198,0.019974761,"COX4I1, ACO2, COX6A1, PPARD",235,48,19453,6.89822695,1,0.97634213,0.972105059
GOTERM_BP_DIRECT,GO:0007064,mitotic sister chromatid cohesion,3,1.214574899,0.021534556,"CDC20, CDCA5, SMC1A",235,19,19453,13.07032475,1,0.989054385,0.984762147
GOTERM_BP_DIRECT,GO:0007051,spindle organization,3,1.214574899,0.021534556,"ASPM, KIF11, AURKA",235,19,19453,13.07032475,1,0.989054385,0.984762147
GOTERM_BP_DIRECT,GO:0033189,response to vitamin A,3,1.214574899,0.023740186,"ARG1, RBP1, PPARD",235,20,19453,12.41680851,1,0.989054385,0.984762147
GOTERM_BP_DIRECT,GO:0051445,regulation of meiotic cell cycle,3,1.214574899,0.023740186,"CDC20, ASPM, CDC23",235,20,19453,12.41680851,1,0.989054385,0.984762147
GOTERM_BP_DIRECT,GO:0070101,positive regulation of chemokine-mediated signaling pathway,2,0.809716599,0.0239139,"EDN1, HIF1A",235,2,19453,82.7787234,1,0.989054385,0.984762147
GOTERM_BP_DIRECT,GO:0008315,meiotic G2/MI transition,2,0.809716599,0.0239139,"CCNB2, NDC80",235,2,19453,82.7787234,1,0.989054385,0.984762147
GOTERM_BP_DIRECT,GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,4,1.619433198,0.027189288,"CCNA2, CCNB2, CCNB1, CDKN3",235,54,19453,6.131757289,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0006656,phosphatidylcholine biosynthetic process,3,1.214574899,0.033422353,"SLC44A5, SLC44A3, SLC44A2",235,24,19453,10.34734043,1,1,0.996277916
GOTERM_BP_DIRECT,GO:0007049,cell cycle,10,4.048582996,0.033497891,"FANCI, RGS2, CDCA5, HJURP, BIRC5, MCM5, MAP3K8, KIF11, AURKA, CDKN3",235,366,19453,2.261713754,1,1,0.996277916
