category,ID,term,count,genes,logFC,adj_pval,zscore
CC,GO:0005737,cytoplasm,112,"ANKRD13B, TES, SMC5, ALDH1L2, PTPDC1, NRBP2, RASSF1, RASSF3, CFL2, FTH1, FPGS, DZIP1L, TRIM27, PPFIA4, FBXO9, TNS1, CDKL2, KRT8, FRS3, MID2, MYL5, SHTN1, EML5, MOB3C, KATNAL1, DGKQ, DDIT4, ULK2, UPRT, DENND6A, NEIL1, TRIM11, CARD11, ZNF397, PXK, HELZ2, DEAF1, VASP, MOAP1, PLK3, XBP1, SMAD4, SRMS, TNK1, EIF2AK2, TDRD7, SPART, MFHAS1, CCDC88A, AGO4, BHLHE40, CAPRIN2, CDC42SE2, KIF12, ADM, LIMD1, PKD1, PRSS21, UCHL1, PPP3CC, IMPA1, AIFM2, CASP3, ENC1, DGCR8, LRRFIP1, ABCD1, PARP4, SPHK2, VAV2, ANO1, PTP4A2, MED22, CREB3, PTP4A3, NPEPL1, KIFC2, PITPNM1, GAN, IRF5, DBN1, PAFAH1B2, TRIM56, KDM3A, RNF34, TP53I13, TRIM16L, ADCY4, ADCY3, CBS, WHAMM, MICA, SNCA, CCDC57, PLEKHA2, CDC42BPG, TXNRD1, BNIP3, SPRY4, DDHD2, CDC42BPB, SPATA2L, VEGFA, ITCH, DBNDD2, SPRY2, PTPN9, KRAS, EPPK1, TACC1, PKN1, SIPA1",0.69832435,0.022305705,1.189033266
CC,GO:0030018,Z disc,7,"PDLIM2, CFL2, KRT8, SLC2A1, SYNPO, SYNC, PDLIM7",0.69832435,0.024011152,3.153451737
CC,GO:0005783,endoplasmic reticulum,29,"GOLT1A, CTSZ, SEMA3B, LPCAT1, PLOD2, SNX10, AGPAT2, PKD1, APH1B, GPAT4, STBD1, MAN1A1, C19ORF12, CLCC1, TMED5, CERS5, XBP1, SPHK2, BNIP3, TPBG, CGRRF1, LEMD2, VEGFA, CCDC88A, CREB3, SELENOS, P4HA1, CERS2, CDS2",0.756703718,0.028186671,1.51212324
CC,GO:0098944,postsynaptic recycling endosome membrane,2,"ABHD17A, RAB11FIP3",0.76344097,0.032283048,61.26706231
CC,GO:0005769,early endosome,11,"ANKRD13B, PTP4A2, PHETA2, PXK, PTP4A3, ITCH, LRP1, TRIM27, RAB17, ATP9A, C1ORF210",0.76344097,0.032812649,2.153155545
CC,GO:0005654,nucleoplasm,81,"MUS81, PDCD7, CHD7, CEP164, SMC5, CELSR1, LIMD1, ALDH1L2, DCAF4, PTPDC1, CDC73, LIMD2, UCHL1, SNAPC2, ZMIZ2, CASP3, SCMH1, ENC1, DGCR8, TRIM27, ACADS, EID2B, TGIF1, CDKL2, KLF12, PARP4, SPHK2, KRT8, HUS1, TRAF2, CGRRF1, SAP30, ANO1, CREB3, HOXB2, TRIB3, UPRT, NEIL1, BCORL1, TRIM11, KDM7A, TRIM56, L3MBTL1, KDM3A, RNF34, CBFB, CTBP1, HELZ2, MNT, MED30, DEAF1, ATXN7, TNRC18, RAB11FIP2, ZNF224, RAB11FIP3, PDLIM7, PLK3, XBP1, KDM4B, SMAD4, FKRP, TXNRD1, BNIP3, ATP2B1, SMARCA1, PLEKHA8, KLF8, ITCH, NOL4L, SHLD3, SHLD2, CAPRIN2, RPA4, PTPN9, SPIRE1, PKN1, BCOR, RBAK, RCOR1, TNRC6A",0.769950695,0.036589815,1.217525036
CC,GO:0055038,recycling endosome membrane,6,"ABHD17A, RAB17, LZTR1, RAB11FIP2, RAB11FIP3, ATP9A",0.769950695,0.037504762,3.253118353
CC,GO:0005768,endosome,11,"ACE, SLC6A9, SNX25, DGKQ, SNX10, PKN1, TRIM27, RAB17, RAB11FIP2, RAB11FIP3, ATP9A",0.791474963,0.041577469,2.067293514
CC,GO:0043231,intracellular membrane-bounded organelle,25,"ANKRD13B, EIF5A2, CEP164, CTSZ, FAM241B, SNX25, CLCC1, RAB11FIP2, RAB11FIP3, IQSEC1, SPHK2, ATP2B1, SMARCA1, CGRRF1, SPART, SLC7A5, ITCH, PITPNM1, P4HA1, ABHD17A, UPRT, DSG2, DENND6A, SEC24D, TNRC6A",0.791474963,0.043088895,1.51052915
GOTERM_CC_DIRECT,GO:0035861,site of double-strand break,5,"SHLD3, SHLD2, RPA4, HUS1, SMC5",0.956734603,0.055511892,3.481083086
