Category,ID,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
KEGG_PATHWAY,hsa05168,Herpes simplex virus 1 infection,20,5.494505495,0.002276606,"ZNF275, ZNF251, ZNF284, ZNF282, ZNF160, EIF2AK2, TRAF2, ZNF805, ZNF37A, CASP3, TRAF5, ZNF416, ZNF778, ZNF514, ZNF337, RBAK, ZNF587, ZNF224, ZFP28, ZNF354B",158,512,8644,2.137064873,0.442044169,0.582811051,0.582811051
KEGG_PATHWAY,hsa05200,Pathways in cancer,18,4.945054945,0.015895496,"LAMA5, SMAD4, RALB, CTBP2, CTBP1, TXNRD1, WNT7B, ADCY4, SLC2A1, ADCY3, TRAF2, EPOR, VEGFA, RASSF1, CASP3, TRAF5, DVL1, KRAS",158,531,8644,1.854537653,0.983459366,1,1
KEGG_PATHWAY,hsa04330,Notch signaling pathway,5,1.373626374,0.025884508,"ITCH, APH1B, CTBP2, CTBP1, DVL1",158,62,8644,4.4120049,0.998785842,1,1
KEGG_PATHWAY,hsa04916,Melanogenesis,6,1.648351648,0.036517382,"CREB3, WNT7B, DVL1, ADCY4, ADCY3, KRAS",158,101,8644,3.250031332,0.99992688,1,1
KEGG_PATHWAY,hsa00670,One carbon pool by folate,3,0.824175824,0.050295338,"MTHFD1L, MTHFD2, ALDH1L2",158,20,8644,8.206329114,0.999998169,1,1
KEGG_PATHWAY,hsa05163,Human cytomegalovirus infection,9,2.472527473,0.052368468,"CREB3, PPP3CC, CASP3, TRAF5, ADCY4, ADCY3, TRAF2, KRAS, VEGFA",158,225,8644,2.18835443,0.999998954,1,1
KEGG_PATHWAY,hsa04072,Phospholipase D signaling pathway,7,1.923076923,0.052525794,"RALB, SPHK2, DGKQ, ADCY4, ADCY3, KRAS, AGPAT2",158,148,8644,2.587581252,0.999998997,1,1
KEGG_PATHWAY,hsa00532,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,3,0.824175824,0.054942381,"UST, CSGALNACT2, CHST3",158,21,8644,7.815551537,0.999999478,1,1
KEGG_PATHWAY,hsa04390,Hippo signaling pathway,7,1.923076923,0.065894635,"RASSF1, SMAD4, WNT7B, SERPINE1, DVL1, LIMD1, WTIP",158,157,8644,2.439248569,0.999999974,1,1
KEGG_PATHWAY,hsa04976,Bile secretion,5,1.373626374,0.078316438,"ABCC3, ADCY4, SLC2A1, ADCY3, SLC4A2",158,89,8644,3.073531503,0.999999999,1,1
KEGG_PATHWAY,hsa04015,Rap1 signaling pathway,8,2.197802198,0.087792328,"VASP, RALB, ADCY4, ADCY3, KRAS, SIPA1, VAV2, VEGFA",158,210,8644,2.084147077,1,1,1
KEGG_PATHWAY,hsa05010,Alzheimer disease,12,3.296703297,0.089951698,"XBP1, APH1B, PPP3CC, LRP1, CASP3, WNT7B, DVL1, ULK2, EIF2AK2, TRAF2, KRAS, SNCA",158,384,8644,1.709651899,1,1,1
KEGG_PATHWAY,hsa04370,VEGF signaling pathway,4,1.098901099,0.091611447,"PPP3CC, SPHK2, KRAS, VEGFA",158,59,8644,3.709075306,1,1,1
KEGG_PATHWAY,hsa04392,Hippo signaling pathway - multiple species,3,0.824175824,0.09678588,"RASSF1, LIMD1, WTIP",158,29,8644,5.65953732,1,1,1
