,GSM6765254,GSM6765268,GSM6765281,GSM6765294,GSM6765307,GSM6765321,GSM6765335,GSM6765349,GSM6765363,GSM6765379,GSM6765393,GSM6765408
GSTP1,1.662488791,1.605026696,1.657366739,-0.641648275,-0.642959962,-0.649206863,-0.688490297,-0.655688566,-0.663346171,-0.32952401,-0.318470331,-0.335547751
DSP,1.573072477,1.679261731,1.656564538,-0.589032088,-0.5844542,-0.611574993,-0.720177684,-0.738809827,-0.729878126,-0.279647707,-0.262080673,-0.393243449
HSPA8,-1.532469804,-1.55236751,-1.544914483,1.04264899,1.135499108,1.000897551,0.208452941,0.058556466,0.098970781,0.276694067,0.311914032,0.496117861
EGR1,-1.149833674,-1.149963968,-1.150340196,1.114832194,1.050025162,1.125106697,-0.73507725,-0.70915051,-0.719124737,0.628601158,0.727014052,0.967911072
KRT17,1.645533208,1.626769732,1.666258715,-0.568247776,-0.557219935,-0.563747724,-0.713027666,-0.696795324,-0.697527023,-0.373990001,-0.345596742,-0.422409464
DNAJB1,-1.312130341,-1.319659463,-1.317639367,1.307280455,1.395141296,1.40716943,-0.180962662,-0.187941842,-0.163905177,0.031559462,0.096344963,0.244743246
S100A11,1.697648426,1.655128249,1.619188911,-0.573636041,-0.576033456,-0.571575894,-0.573188838,-0.563033601,-0.564771819,-0.536919612,-0.464538883,-0.548267443
KRT1,1.678484101,1.626146465,1.662404086,-0.488493661,-0.494634537,-0.514957007,-0.643999995,-0.631910377,-0.632701638,-0.515913124,-0.509062179,-0.535362134
SPRR1B,1.627897979,1.716204417,1.536172053,-0.53932468,-0.525504347,-0.540598554,-0.797691434,-0.791420853,-0.799679635,-0.254109282,-0.218253919,-0.413691745
KRT6C,1.68176776,1.665056732,1.616089214,-0.571124857,-0.573591826,-0.566049464,-0.632497467,-0.63052043,-0.630425658,-0.438300376,-0.435999106,-0.484404524
KRT6B,1.698521117,1.620760129,1.6067933,-0.576339235,-0.590798219,-0.580604826,-0.711371617,-0.712532132,-0.71071185,-0.330926486,-0.303214796,-0.409575385
KRT5,1.656648385,1.668281277,1.607101696,-0.558406766,-0.554690054,-0.558176206,-0.721607949,-0.715430755,-0.72042835,-0.378870266,-0.339780452,-0.384640561
KRT10,1.677262048,1.739612072,1.54419996,-0.534248799,-0.547825124,-0.548373968,-0.629492623,-0.635691763,-0.6439294,-0.471338183,-0.451056603,-0.499117617
KRT16,1.685057953,1.597594901,1.661964144,-0.565940938,-0.573528746,-0.583579411,-0.684170389,-0.671815212,-0.67854278,-0.380435128,-0.346404031,-0.460200363
KRT14,1.665587276,1.633404987,1.661008607,-0.562803008,-0.554339743,-0.557351597,-0.654108655,-0.648798588,-0.65127508,-0.44563562,-0.428582457,-0.457106122
IGFL1,1.649938117,1.607349802,1.692160422,-0.605029206,-0.609639355,-0.600110627,-0.64566733,-0.639868379,-0.646103034,-0.376033557,-0.359923369,-0.467073485
S100A2,1.536314281,1.687389916,1.518996329,-0.495695377,-0.487002731,-0.55172072,-0.965063328,-0.925286913,-0.919577049,-0.221476183,-0.089629321,-0.087248905
LAMB3,-1.214311864,-1.204957472,-1.197098765,0.273977619,0.241127138,0.332877287,1.178191334,1.521309028,1.437400772,-0.482839398,-0.478078916,-0.407596764
HSPA1A,-1.182849692,-1.188697636,-1.183700833,1.414218179,1.487392018,1.554565191,-0.241487444,-0.162909101,-0.167115763,-0.115468388,-0.172901711,-0.041044819
KRT6A,1.674437897,1.625769739,1.650603471,-0.559551449,-0.551762238,-0.562692355,-0.67727994,-0.674031292,-0.676720513,-0.408039752,-0.37801864,-0.462714928
