"GENE ONTOLOGY (BP,CC,MF)",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Go_Result_of_396_Exclusively_Upregulated_Genes,,,,,,,,,Go_Result_of_407_Exclusively_Downregulated_Genes,,,,,,,,,,,,,,,
category,ID,term,count,genes,logFC,adj_pval,zscore,,category,ID,term,count,genes,logFC,adj_pval,zscore,,Category,Term,Count,PValue,Genes,Fold Enrichment,FDR
CC,GO:0016020,membrane,88,"ANKRD13B, TMEM200B, DOCK9, GOLT1A, LPCAT1, SLC2A1, SNX10, HCCS, SLC2A3, VLDLR, SLC4A2, CELSR1, PEAR1, PKD1, TMEM263, PRSS21, MRC2, STBD1, FLVCR1, MAN1A1, CLCC1, ABCD1, SLFN12L, ABCC3, SLC38A1, PARP4, SPHK2, CSGALNACT2, ARFGAP3, LEMD2, FRS3, SLC7A5, CREB3, PITPNM1, CERS2, TLCD5, SMIM24, KDM3A, RGS19, LRP1, CBFB, SDC3, ADCY4, ADCY3, SLC1A4, ITPRIPL2, PCNX3, HELZ2, APH1B, MTHFD1L, GPAT4, FAM241B, SNCA, CD276, TM4SF19, SLC37A1, ACE, CMTM4, IQSEC1, PLEKHA2, TPBG, TNK1, SPRY4, DDHD2, EIF2AK2, LHFPL2, CDC42BPB, ATP2B1, TMCO3, DLK2, PLEKHA8, VEGFA, CCDC88A, ITCH, SLC6A9, P4HA1, ABHD17A, AGO4, TSPAN17, UST, SPRY2, KRAS, EPPK1, TACC1, CORO7, MAP3K11, SIPA1, CDS2",0.02165382,1.24E-04,1.46627726,,BP,GO:0000281,mitotic cytokinesis,7,"KIF4A, STMN1, BIRC5, KIF20A, CEP55, RHOB, ZNF365",0.154556,0.026999,5.672846,,GOTERM_CC_DIRECT,GO:0005819~spindle,15,5.50E-07,"DCTN3, BUB1B, KIF11, HMMR, SHCBP1, AURKA, CDC20, ASPM, TPX2, CENPF, PRC1, BIRC5, KIF2C, KIF20A, SAC3D1",5.561246612,5.76E-05
CC,GO:0000139,Golgi membrane,23,"FKRP, GALNT4, GOLT1A, FUT11, CSGALNACT2, LPCAT1, SLC2A1, ARFGAP3, FUT2, PKD1, PLEKHA8, CREB3, APH1B, MAN2A2, UST, KRAS, MAN1A1, CORO7, WHAMM, CLCC1, RAB6B, RAB11FIP3, CHST3",0.261052635,0.002244005,2.039279932,,BP,GO:0048538,thymus development,5,"CCNB2, MAFB, BCL11B, CITED2, EPHB3",0.621346,0.028998,5.74038,,GOTERM_CC_DIRECT,GO:0005876~spindle microtubule,8,5.29E-06,"PRC1, KIF4A, BIRC5, CALM3, KIF11, SKA3, SKA1, AURKA",11.40768536,4.43E-04
CC,GO:0016323,basolateral plasma membrane,12,"ABCC3, SLC7A5, SLC38A1, LRP1, SLC6A9, CLDN7, SLC2A1, EPPK1, SLC4A2, ATP2B1, RAB17, PKD1",0.266242265,0.003814359,2.816876428,,BP,GO:0031145,anaphase-promoting complex-dependent catabolic process,5,"PSMB6, CDC20, CDC23, PSMA2, UBE2C",0.619647,0.030099,5.862516,,GOTERM_CC_DIRECT,GO:0000922~spindle pole,12,2.85E-05,"CDC20, TPX2, CENPF, CCNB1, DIAPH3, RASSF10, CKAP2L, PRC1, PLK2, CALM3, WDR62, KIF11",5.017666117,0.001865431
CC,GO:0012505,endomembrane system,9,"NRBP2, RNF34, ATP8B2, DOCK9, BIK, RAB17, LZTR1, GDPD5, RAB6B",0.424387411,0.007296059,3.205834656,,BP,GO:0002052,positive regulation of neuroblast proliferation,4,"ASPM, ID4, WDR62, HIF1A",0.993695,0.033143,5.957584,,GOTERM_CC_DIRECT,GO:0005634~nucleus,145,3.12E-05,"EHF, GMNN, MT1M, CTNND1, HJURP, BUB1B, MT1X, IPO4, RGS2, MT2A, CHCHD2, ZSCAN31, SESN3, RASSF5, COTL1, CHP1, KRT4, MSX2, FST, LMO7, OVOL1, JMJD8, KRT9, OLFM2, NCL, RBP1, HAT1, MT1F, MT1H, KIF20A, SNRPF, MT1E, FLG, PSMD13, DLX5, CDCA5, NCAPG, WDR62, RPS4Y1, HIF1A, GLIS1, HSP90B1, CCNB2, CCNB1, PDZD2, NTHL1, EIF4EBP3, SERF2, SAC3D1, ZBTB7C, MFAP3L, BTF3, CDT1, TFAP2C, CBX4, BCL11B, UBE2C, PLK2, XRCC1, ISG15, MT4, EEF2, NDC80, TPX2, POLA2, MAFB, DIAPH3, NACA, ID4, CALM3, HPSE, COPS8, MCM7, CITED2, ZFAS1, HSPB8, TECR, NCAPG2, ZBTB8OS, MCM10, YBX1, KIF11, FOXM1, NAT14, EXO1, PBK, IDH3B, TIMP3, MYBL2, DLGAP5, ZNF385A, ZHX3, ARG1, COMMD1, SMC1A, TENT5B, REXO2, RHOB, CCNA2, ASPM, IL1A, MN1, ARL4A, TUBB2A, PSMA2, PELI1, BIRC5, MCM5, NAA38, KIF2C, PABPC1, SGK1, PFDN5, CRYAB, PPARD, HDAC5, ACSS2, ATF6B, NXN, TYMS, AURKA, PSMB6, PPP1R7, POLR2F, TNNI2, GBP2, FILIP1L, RPL18, BUB1, POLR2K, RRM2, ATP5PB, NAP1L1, SSRP1, GRHL1, CENPF, WEE1, PSMC5, PRC1, KRT15, CDK2AP2, TRIP13, PFKM, SSBP3, CDKN3",1.33928045,0.001865431
CC,GO:0030496,midbody,9,"KLHL9, SPART, RALB, PITPNM1, KATNAL1, SLC2A1, TACC1, PKN1, RAB11FIP3",0.482977145,0.012454998,2.917479158,,BP,GO:0001916,positive regulation of T cell mediated cytotoxicity,4,"RAET1L, HLA-A, B2M, HLA-E",0.993695,0.033143,6.123072,,GOTERM_CC_DIRECT,GO:0001533~cornified envelope,8,9.61E-05,"FLG, SPRR3, CDSN, SERPINB2, NCL, CNFN, RPTN, SPRR2D",7.414995483,0.005033359
CC,GO:0005874,microtubule,12,"SHTN1, EML5, RASSF1, RASSF3, KATNAL1, KIFC2, DVL1, KIF12, WHAMM, NINL, MID2, MAP3K11",0.696913263,0.019968861,2.22116238,,BP,GO:0008544,epidermis development,10,"COL17A1, LCE2B, SPRR3, CDSN, KRT15, YBX1, GRHL1, TGM5, KRT9, SPRR2D",0.004723,0.034731,6.407866,,GOTERM_CC_DIRECT,GO:0030496~midbody,13,1.48E-04,"DCTN3, CTNND1, SHCBP1, AURKA, HSP90B1, ASPM, CENPF, PRC1, KIF4A, CHMP2A, BIRC5, KIF20A, CEP55",3.866107271,0.006883877
CC,GO:0005737,cytoplasm,112,"ANKRD13B, TES, SMC5, ALDH1L2, PTPDC1, NRBP2, RASSF1, RASSF3, CFL2, FTH1, FPGS, DZIP1L, TRIM27, PPFIA4, FBXO9, TNS1, CDKL2, KRT8, FRS3, MID2, MYL5, SHTN1, EML5, MOB3C, KATNAL1, DGKQ, DDIT4, ULK2, UPRT, DENND6A, NEIL1, TRIM11, CARD11, ZNF397, PXK, HELZ2, DEAF1, VASP, MOAP1, PLK3, XBP1, SMAD4, SRMS, TNK1, EIF2AK2, TDRD7, SPART, MFHAS1, CCDC88A, AGO4, BHLHE40, CAPRIN2, CDC42SE2, KIF12, ADM, LIMD1, PKD1, PRSS21, UCHL1, PPP3CC, IMPA1, AIFM2, CASP3, ENC1, DGCR8, LRRFIP1, ABCD1, PARP4, SPHK2, VAV2, ANO1, PTP4A2, MED22, CREB3, PTP4A3, NPEPL1, KIFC2, PITPNM1, GAN, IRF5, DBN1, PAFAH1B2, TRIM56, KDM3A, RNF34, TP53I13, TRIM16L, ADCY4, ADCY3, CBS, WHAMM, MICA, SNCA, CCDC57, PLEKHA2, CDC42BPG, TXNRD1, BNIP3, SPRY4, DDHD2, CDC42BPB, SPATA2L, VEGFA, ITCH, DBNDD2, SPRY2, PTPN9, KRAS, EPPK1, TACC1, PKN1, SIPA1",0.69832435,0.022305705,1.189033266,,BP,GO:0000278,mitotic cell cycle,18,"CDT1, CDCA5, PLK2, DCTN3, NOLC1, KIF11, SKA3, NDC80, SKA1, AURKA, TPX2, CENPF, WEE1, TUBB2A, CDC23, PBK, BIRC5, MYBL2",6.10E-06,0.035194,6.441154,,GOTERM_CC_DIRECT,GO:0070062~extracellular exosome,64,2.00E-04,"SCARB1, SLC44A2, CD81, QPRT, CTNND1, KRT24, YBX1, STMN1, COTL1, CTSH, CHP1, GET3, B2M, TGM3, ATP6AP1, RNASET2, HLA-A, RHOB, KRT9, HLA-E, SCAMP2, TOM1L2, SCNN1G, MYL6, TUBB2A, PSMA2, SCNN1B, NCL, UFC1, GEMIN4, PSME1, PSME2, PABPC1, CDH16, CRYAB, CFD, SPRR3, PMEL, SEMA3C, RAB1B, FBLN1, GDPD3, LTBP2, THBS1, HSP90B1, DPP4, PSMB6, LMAN1, NT5E, PPP1R7, CKB, GPR155, EEF2, SORL1, VASN, NUDT9, PSMC5, NACA, KRT15, RAB13, CHMP2A, NUCB1, EIF3H, COPS8",1.588218577,0.008367406
CC,GO:0030018,Z disc,7,"PDLIM2, CFL2, KRT8, SLC2A1, SYNPO, SYNC, PDLIM7",0.69832435,0.024011152,3.153451737,,BP,GO:0032465,regulation of cytokinesis,5,"PRC1, PLK2, CALM3, KIF20A, AURKA",0.484935,0.035451,6.560434,,GOTERM_CC_DIRECT,GO:0005737~cytoplasm,132,3.52E-04,"SCARB1, FAM89B, GMNN, MT1M, CTNND1, BUB1B, MT1X, ABCA12, AQP3, IPO4, RGS2, MT2A, SESN3, RASSF5, STMN1, CHP1, TGM5, RPS10, TGM3, FST, SLC30A1, DNAAF5, LMO7, JMJD8, INPP4B, OLFM2, PSME1, MT1F, GEMIN4, PSME2, MT1H, SPATA18, MT1E, CEMIP, DLX5, CDCA5, NOLC1, NCAPG, HMMR, DDX60, MTMR4, HIF1A, C12ORF57, CCNB2, CCNB1, PDZD2, EIF4EBP3, SAC3D1, SPRR2D, MFAP3L, FANCI, BTF3, RPL41, TPRG1, PLK2, IFI44, ISG15, CNFN, MT4, EEF2, MRPL21, NDC80, IL1F10, TPX2, DIAPH3, NACA, KIF4A, ID4, CALM3, COPS8, GSDME, CITED2, ZFAS1, HSPB8, QPRT, ZBTB8OS, YBX1, KIF11, SIPA1L2, OASL, ROBO1, MMP28, GET3, DLGAP5, CEP55, ZNF365, EDN1, SERPINB2, MIOS, ARG1, GAB1, COMMD1, TENT5B, REXO2, CCNA2, ASPM, ARL4A, TUBB2A, PSMA2, BIRC5, NAA38, KIF2C, PABPC1, SGK1, PFDN5, CRYAB, HDAC5, KRT80, OAT, ACSS2, TUFT1, TYMS, PHYHIP, AURKA, PSMB6, PPP1R7, GBP2, FILIP1L, RPL18, FNIP2, KLK13, NAP1L1, SHCBP1, CENPF, WEE1, PSMC5, KITLG, NLRP10, PRC1, CDK2AP2, PFKM, CDKN3",1.302492109,0.013398493
CC,GO:0005783,endoplasmic reticulum,29,"GOLT1A, CTSZ, SEMA3B, LPCAT1, PLOD2, SNX10, AGPAT2, PKD1, APH1B, GPAT4, STBD1, MAN1A1, C19ORF12, CLCC1, TMED5, CERS5, XBP1, SPHK2, BNIP3, TPBG, CGRRF1, LEMD2, VEGFA, CCDC88A, CREB3, SELENOS, P4HA1, CERS2, CDS2",0.756703718,0.028186671,1.51212324,,BP,GO:0007080,mitotic metaphase plate congression,5,"CCNB1, CDC23, CDCA5, CHMP2A, KIF2C",0.484935,0.037808,6.560434,,GOTERM_CC_DIRECT,"GO:0000775~chromosome, centromeric region",7,9.17E-04,"CENPF, CDCA5, HJURP, BIRC5, KIF2C, SMC1A, NDC80",6.179162903,0.032025394
CC,GO:0005769,early endosome,11,"ANKRD13B, PTP4A2, PHETA2, PXK, PTP4A3, ITCH, LRP1, TRIM27, RAB17, ATP9A, C1ORF210",0.76344097,0.032812649,2.153155545,,BP,GO:0000086,G2/M transition of mitotic cell cycle,7,"CCNA2, WEE1, CCNB1, BIRC5, CALM3, FOXM1, AURKA",0.074289,0.040128,6.650923,,GOTERM_CC_DIRECT,GO:0005654~nucleoplasm,96,0.001344838,"EHF, MCM7, CITED2, COX4I1, HSPB8, NCAPG2, GMNN, HJURP, ZBTB8OS, MCM10, YBX1, FOXM1, AQP3, IPO4, OASL, CDC20, CDC23, EXO1, CTSK, MYBL2, GET3, RPS10, ZNF385A, ZHX3, MIOS, C17ORF49, LMO7, COMMD1, NAV2, SMC1A, CCNA2, MYCL, SCNN1G, ARL4A, OLFM2, LTB4R2, SAPCD2, PSMA2, NCL, RBP1, HAT1, GEMIN4, PSME1, BIRC5, PSME2, MCM5, NAA38, KIF20A, SNRPF, SGK1, CRYAB, PPARD, HDAC5, OAT, ATF6B, PSMD13, CDCA5, NOLC1, RPS4Y1, HIF1A, AURKA, PSMB6, NT5E, CCNB1, COMMD9, NTHL1, POLR2F, GBP2, BUB1, POLR2K, MFAP3L, FANCI, CDT1, TFAP2C, CBX4, UBE2C, WDR18, XRCC1, ISG15, SSRP1, GRHL1, NDC80, TPX2, CENPF, WEE1, PSMC5, POLA2, TBL3, NLRP10, PRC1, KIF4A, ID4, CALM3, GPR107, HPSE, COPS8",1.344107943,0.043345148
CC,GO:0005654,nucleoplasm,81,"MUS81, PDCD7, CHD7, CEP164, SMC5, CELSR1, LIMD1, ALDH1L2, DCAF4, PTPDC1, CDC73, LIMD2, UCHL1, SNAPC2, ZMIZ2, CASP3, SCMH1, ENC1, DGCR8, TRIM27, ACADS, EID2B, TGIF1, CDKL2, KLF12, PARP4, SPHK2, KRT8, HUS1, TRAF2, CGRRF1, SAP30, ANO1, CREB3, HOXB2, TRIB3, UPRT, NEIL1, BCORL1, TRIM11, KDM7A, TRIM56, L3MBTL1, KDM3A, RNF34, CBFB, CTBP1, HELZ2, MNT, MED30, DEAF1, ATXN7, TNRC18, RAB11FIP2, ZNF224, RAB11FIP3, PDLIM7, PLK3, XBP1, KDM4B, SMAD4, FKRP, TXNRD1, BNIP3, ATP2B1, SMARCA1, PLEKHA8, KLF8, ITCH, NOL4L, SHLD3, SHLD2, CAPRIN2, RPA4, PTPN9, SPIRE1, PKN1, BCOR, RBAK, RCOR1, TNRC6A",0.769950695,0.036589815,1.217525036,,BP,GO:0090307,mitotic spindle assembly,5,"CDC20, TPX2, MYBL2, KIF11, SMC1A",0.47794,0.046467,6.720445,,GOTERM_MF_DIRECT,GO:0005515~protein binding,293,4.41E-09,"SLC35B2, MT1M, MT1X, ABCA12, AQP3, CDC20, SCAMP4, MT2A, CDC23, RASSF5, GJA5, STMN1, B2M, RPS10, EPHB3, WDR83OS, KRT4, C17ORF49, AP1B1, HLA-A, OVOL1, JMJD8, DKK1, HLA-E, SCAMP2, LCE2B, DHX40, INPP4B, MYL6, CLDN4, DAAM1, RBP1, PSME1, MT1F, PSME2, MT1H, KIF20A, SPATA18, MT1E, FLG, SMIM5, MAOA, CDCA5, NOLC1, NCAPG, WDR62, LYPD5, MTMR4, SKA3, HIF1A, SKA1, MRPL11, C12ORF57, SYNGR1, COMMD9, NTHL1, BTF3, CDT1, FIS1, RPL41, BCL11B, TPRG1, PLK2, TMEM50B, IFI44, XRCC1, CGN, CNFN, VASN, IL1F10, TPX2, POLA2, TBL3, TCN1, ID4, RAET1L, CALM3, GSDME, SLC44A5, PIGS, NRP2, COX7B, SLC44A3, CITED2, NCAPG2, TECR, QPRT, KRT24, CLTB, ZBTB8OS, KRT23, KIF11, SPPL3, ROBO1, MCEE, GLIPR1, CTSK, MMP28, PBK, TIMP3, CTSH, DLGAP5, CEP55, ZNF365, EDN1, ZHX3, MIOS, ARG1, KIAA1143, GAB1, COMMD1, PDCD1LG2, RHOB, HADHB, BACE2, MN1, IL1A, MRPS9, TUBB2A, PSMA2, UFC1, PELI1, KIF2C, PABPC1, SGK1, CRELD2, ERGIC3, CRYAB, PPARD, SPRR3, NBAS, OAT, STX19, TMEM160, TM9SF4, PSMB6, LMAN1, NT5E, OS9, RASSF10, PPP1R7, CKB, LY6G6C, EMC7, RPL18, XDH, ATP5PB, WDR18, KLK13, GRHL1, NUDT9, CENPF, PSMC5, KITLG, KRT15, NUCB1, TRIP13, CD68, CDKN3, SCARB1, NDUFA11, NCF2, CD81, GMNN, CTNND1, HJURP, BUB1B, COX6A1, C1ORF74, IPO4, RGS2, CHCHD2, SESN3, MPC1, COTL1, CHP1, MAP3K8, TGM5, PPFIA3, MSX2, FST, SLC30A1, SDHD, RUNDC3A, BSCL2, SCNN1G, TOM1L2, OLFM2, NCL, SCNN1B, HAT1, GEMIN4, SNRPF, PHLDB2, COL17A1, PMEL, CEMIP, NDUFB11, USP54, FBLN1, COX7A2, LTBP2, HMMR, DDX60, ADIPOR1, GLIS1, HSP90B1, PSORS1C2, DPP4, CCNB2, CCNB1, EIF4EBP3, SAC3D1, MFAP3L, MPDU1, FANCI, TFAP2C, CBX4, UBE2C, ISG15, EEF2, NDC80, COQ3, MAFB, TMEM237, KIF4A, CHMP2A, HPSE, COPS8, ABCD3, MCM7, HSPB8, COX4I1, MCM10, YBX1, FOXM1, RND3, OASL, TMEM101, EXO1, MYBL2, GET3, ATP6AP1, NAV2, SMC1A, TENT5B, CCNA2, ARL4A, SAPCD2, NDUFS3, BIRC5, MCM5, NAA38, CDH16, PFDN5, HDAC5, KRT80, ACSS2, ATF6B, TUFT1, RAB1B, DCTN3, ATP2C2, THBS2, THBS1, AURKA, MIEN1, VPS51, TMEM205, VPS52, TNNI2, GBP2, BUB1, FNIP2, POLR2K, SEC11C, SEMA4A, MGME1, SLC35A4, RRM2, PRAF2, NAP1L1, SSRP1, SHCBP1, SORL1, WEE1, PRC1, RAB13, CDK2AP2, EIF3H, PFKM, SSBP3, VPS35L",1.202782257,2.36E-06
CC,GO:0055038,recycling endosome membrane,6,"ABHD17A, RAB17, LZTR1, RAB11FIP2, RAB11FIP3, ATP9A",0.769950695,0.037504762,3.253118353,,CC,GO:0005634,nucleus,147,"EHF, GMNN, MT1M, CTNND1, HJURP, TESK2, BUB1B, MT1X, IPO4, RGS2, MT2A, CHCHD2, ZSCAN31, SESN3, RASSF5, COTL1, CHP1, KRT4, MSX2, FST, LMO7, OVOL1, JMJD8, KRT9, OLFM2, NCL, RBP1, HAT1, MT1F, MT1H, KIF20A, SNRPF, MT1E, FLG, CEMIP, PSMD13, DLX5, CDCA5, NCAPG, WDR62, RPS4Y1, HIF1A, GLIS1, HSP90B1, CCNB2, CCNB1, PDZD2, NTHL1, SERF2, SAC3D1, ZBTB7C, MFAP3L, BTF3, CDT1, TFAP2C, CBX4, BCL11B, UBE2C, PLK2, XRCC1, ISG15, MT4, EEF2, NDC80, TPX2, POLA2, MAFB, DIAPH3, NACA, ID4, CALM3, BLMH, HPSE, COPS8, MCM7, CITED2, ZFAS1, HSPB8, TECR, NCAPG2, ZBTB8OS, MCM10, YBX1, KIF11, FOXM1, NAT14, EXO1, PBK, IDH3B, TIMP3, MYBL2, DLGAP5, ZNF385A, ZHX3, ARG1, COMMD1, SMC1A, TENT5B, REXO2, RHOB, CCNA2, ASPM, IL1A, MN1, ARL4A, TUBB2A, PSMA2, PELI1, BIRC5, MCM5, NAA38, KIF2C, PABPC1, SGK1, PFDN5, CRYAB, PPARD, HDAC5, ATF6B, NXN, TYMS, AURKA, PSMB6, PPP1R7, POLR2F, TNNI2, CKB, GBP2, FILIP1L, RPL18, BUB1, POLR2K, RRM2, ATP5PB, NAP1L1, SSRP1, GRHL1, CENPF, WEE1, PSMC5, PRC1, KRT15, CDK2AP2, TRIP13, PFKM, SSBP3, CDKN3",0.002526227,3.96E-05,1.330371263,,,,,,,,
CC,GO:0005768,endosome,11,"ACE, SLC6A9, SNX25, DGKQ, SNX10, PKN1, TRIM27, RAB17, RAB11FIP2, RAB11FIP3, ATP9A",0.791474963,0.041577469,2.067293514,,CC,GO:0005737,cytoplasm,142,"SCARB1, FAM89B, GMNN, MT1M, CTNND1, TESK2, BUB1B, MT1X, ABCA12, IFIT1, AQP3, IPO4, RGS2, MT2A, CDC23, SESN3, LAMP1, RASSF5, STMN1, CHP1, TGM5, RPS10, TGM3, FST, SLC30A1, DNAAF5, LMO7, JMJD8, INPP4B, OLFM2, NCL, PSME1, MT1F, GEMIN4, PSME2, MT1H, SPATA18, MT1E, CEMIP, DLX5, CDCA5, NOLC1, NCAPG, HMMR, DDX60, MTMR4, HIF1A, C12ORF57, CCNB2, CCNB1, PDZD2, EIF4EBP3, SAC3D1, SPRR2D, MFAP3L, FANCI, BTF3, RPL41, TPRG1, PLK2, IFI44, ISG15, CNFN, MT4, EEF2, MRPL21, NDC80, IL1F10, TPX2, DIAPH3, NACA, KIF4A, ID4, CALM3, BLMH, COPS8, GSDME, CITED2, ZFAS1, HSPB8, QPRT, ZBTB8OS, YBX1, KIF11, SIPA1L2, OASL, ROBO1, MMP28, GET3, DLGAP5, ZNF385A, CEP55, ZNF365, EDN1, SERPINB2, MIOS, ARG1, GAB1, COMMD1, TENT5B, REXO2, CCNA2, ASPM, ARL4A, MRPS9, TUBB2A, PSMA2, BIRC5, NAA38, KIF2C, PABPC1, SGK1, PFDN5, CRYAB, HDAC5, SPRR3, KRT80, OAT, ACSS2, TUFT1, TYMS, PHYHIP, PSMB6, LMAN1, PPP1R7, GBP2, FILIP1L, RPL18, FNIP2, KLK13, NAP1L1, SHCBP1, CENPF, WEE1, PSMC5, KITLG, NLRP10, PRC1, CDK2AP2, NUCB1, PFKM, CDKN3",0.001502993,2.50E-09,1.358384213,,,,,,,,
CC,GO:0043231,intracellular membrane-bounded organelle,25,"ANKRD13B, EIF5A2, CEP164, CTSZ, FAM241B, SNX25, CLCC1, RAB11FIP2, RAB11FIP3, IQSEC1, SPHK2, ATP2B1, SMARCA1, CGRRF1, SPART, SLC7A5, ITCH, PITPNM1, P4HA1, ABHD17A, UPRT, DSG2, DENND6A, SEC24D, TNRC6A",0.791474963,0.043088895,1.51052915,,CC,GO:0005654,nucleoplasm,101,"EHF, GMNN, HJURP, TESK2, AQP3, IPO4, CDC20, CDC23, RPS10, C17ORF49, LMO7, MYCL, SCNN1G, OLFM2, LTB4R2, NCL, RBP1, HAT1, PSME1, GEMIN4, PSME2, KIF20A, SNRPF, PSMD13, CDCA5, NOLC1, RPS4Y1, HIF1A, CCNB1, COMMD9, NTHL1, MFAP3L, FANCI, CDT1, TFAP2C, CBX4, UBE2C, XRCC1, ISG15, NDC80, TPX2, POLA2, TBL3, KIF4A, ID4, CALM3, GPR107, HPSE, COPS8, MCM7, CITED2, COX4I1, HSPB8, NCAPG2, ZBTB8OS, MCM10, YBX1, FOXM1, OASL, EXO1, CTSK, MYBL2, GET3, ZNF385A, ZHX3, MIOS, COMMD1, NAV2, SMC1A, CCNA2, ARL4A, SAPCD2, PSMA2, BIRC5, MCM5, NAA38, SGK1, CRYAB, PPARD, HDAC5, OAT, ACSS2, ATF6B, AURKA, PSMB6, NT5E, MIEN1, POLR2F, GBP2, BUB1, POLR2K, ATP5PB, WDR18, SSRP1, GRHL1, CENPF, WEE1, PSMC5, CYP24A1, NLRP10, PRC1",0.017804773,2.64E-07,1.36795734,,,,,,,,
MF,GO:0005515,protein binding,251,"FAAH, TES, TLNRD1, SERPINE1, SMC5, DCAF4, PTPDC1, IL27RA, RASSF1, RASSF3, ZMIZ2, FTH1, DZIP1L, TRIM27, SYNPO, PDK1, FBXO9, TNS1, KRT8, HUS1, FRS3, HSPG2, OVOL2, SHTN1, KATNAL1, MTHFD2, HSBP1L1, DDIT4, CLDN7, ULK2, HOXB2, UPRT, TRIB3, NEIL1, TRIM11, KCTD15, ZNF397, L3MBTL1, ZNF275, SDC4, CTBP2, CTBP1, EIF5A2, FUT11, SDC3, HELZ2, APH1B, RAB11FIP2, RAB11FIP3, PCK2, PPP1R26, VASP, PLK3, XBP1, PHETA2, SRMS, IQSEC1, EIF2AK2, PYCR2, SMARCA1, SPART, AGO4, CYSTM1, CORO7, RBAK, RCOR1, CDS2, CDC42SE2, ZNF251, CTSZ, SNX10, HCCS, VLDLR, PEAR1, LIMD1, LARP1B, PRSS21, WDR44, LIMD2, MRC2, UCHL1, PPP3CC, IMPA1, AIFM2, STBD1, ENC1, FLVCR1, NINL, TMED5, PARP4, SPHK2, RENBP, VAV2, MED22, ANO1, SLC7A5, INF2, PITPNM1, GAN, KXD1, SYNC, JDP2, DBN1, PAFAH1B2, TP53I13, ADCY4, MIEF2, CRIP2, GDPD5, MNT, ANKRD52, ZNF224, ZNF587, MICA, TM4SF19, BIK, PLEKHA2, WNT7B, LHFPL2, WTIP, VEGFA, KLHL9, ITCH, NOL4L, RPA4, ZNF337, TACC1, CAMK1, PKN1, SIPA1, GOLT1A, ALDH1L2, DOCK11, CFL2, SCMH1, CLCC1, PPFIA4, SLC38A1, CSGALNACT2, CGRRF1, LEMD2, SAP30, KLHL42, CACNB1, KCTD9, MOB3C, SELENOS, LYG1, DGKQ, ZNF319, CARD11, CBFB, LTBP3, FUT2, RSKR, MED30, ATXN7, DEAF1, NACC2, DVL1, RAB6B, ZNF664, CD276, MOAP1, SMAD4, ATP8B2, TNK1, TDRD7, MFHAS1, BMP1, P4HA1, NOXA1, BHLHE40, CAPRIN2, PLXNB3, SPIRE1, ZNF778, LZTR1, MAP3K11, MUS81, DOCK9, CHD7, CEP164, SLC2A1, SLC2A3, PKD1, CDC73, ZC3H7B, UBE2Q2, CASP3, SPEG, DGCR8, LRRFIP1, ABCD1, EID2B, TGIF1, SUN2, KLF12, VPS9D1, KLF13, SH2D3A, TNFRSF18, ARHGEF16, TRAF2, ARFGAP3, CREB3, PTP4A2, PTP4A3, TRAF5, IRF5, DSG2, CUEDC1, CERS2, TRIM56, KDM3A, RGS19, RALB, RNF34, LRP1, FAM169A, MLLT6, ERICH5, PDLIM2, CBS, FAM241B, SH2B3, PDLIM7, ATP9A, SNCA, FKRP, GALNT4, CMTM4, CCDC57, TXNRD1, BNIP3, CDC42BPG, SPRY4, ATP2B1, EPOR, SPATA2L, DBNDD2, ABHD17A, SHLD3, SHLD2, SPRY2, PTPN9, KRAS, BCOR, RAB17, SEC24D, TNRC6A",0.018554871,4.91E-05,1.150254214,,CC,GO:0016020,membrane,93,"SLC44A5, PIGS, SLC35B2, SLC44A3, NRP2, ABCD3, MCM7, SLC44A2, CD81, NCF2, COX4I1, NCAPG2, KIF11, ABCA12, NAT14, SPPL3, AQP3, NKPD1, IPO4, OASL, AADACL2, TMEM101, GLIPR1, LAMP1, STMN1, B2M, RPS10, CEP55, SLC15A1, ATP6AP1, HLA-A, KRT9, HLA-E, SCAMP2, ADGRF2, TOM1L2, BACE2, MYL6, DAAM1, LTB4R2, NCL, GEMIN4, PSME2, MCM5, KIF2C, PABPC1, ERGIC3, NBAS, SMIM5, PSMD13, NCAPG, HMMR, MTMR4, ADIPOR1, RPS4Y1, ADD3, TM9SF4, HSP90B1, DPP4, LMAN1, CCNB2, NT5E, CCNB1, VPS51, TMEM205, VPS52, EIF4EBP3, EMC7, FILIP1L, RPL18, BUB1, MPDU1, FANCI, FIS1, ATP5PB, PRAF2, NAP1L1, EEF2, ASPRV1, SORL1, NDC80, KITLG, PSMC5, TMEM237, KIF4A, CHMP2A, NUCB1, EIF3H, GPR107, HPSE, CD68, PFKM, GSDME",0.017804773,5.54E-07,1.396286935,,,,,,,,
