"GENE ONTOLOGY (BP,CC,MF)",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Go_Result_of_396_Exclusively_Upregulated_Genes,,,,,,,,,Go_Result_of_407_Exclusively_Downregulated_Genes,,,,,,,,,,,,,,,
category,ID,term,count,genes,logFC,adj_pval,zscore,,category,ID,term,count,genes,logFC,adj_pval,zscore,,Category,Term,Count,PValue,Genes,Fold Enrichment,FDR
BP,GO:0035556,intracellular signal transduction,16,"SMAD4, CDC42BPG, ADCY4, ADCY3, CDC42BPB, KCTD9, NRBP2, RASSF1, RASSF3, DGKQ, DDIT4, DVL1, PKN1, SH2B3, SIPA1, TNS1",1,0.010458548,2.085749132,,BP,GO:0010595,positive regulation of endothelial cell migration,5,"SCARB1, EDN1, NRP2, THBS1, RHOB",0.993695,0.006863,4.052033,,GOTERM_BP_DIRECT,GO:0007094~mitotic spindle assembly checkpoint,7,1.35E-05,"CDC20, CENPF, BIRC5, BUB1B, TRIP13, BUB1, NDC80",12.91111111,0.002326503
BP,GO:0001843,neural tube closure,6,"VASP, SDC4, MTHFD1L, DEAF1, ADM, CELSR1",1,0.011083778,4.461185644,,BP,GO:0030216,keratinocyte differentiation,5,"FLG, SPRR3, CDSN, MAFB, TGM3",0.993695,0.006863,4.112511,,GOTERM_BP_DIRECT,GO:0008544~epidermis development,10,1.67E-05,"COL17A1, LCE2B, SPRR3, CDSN, KRT15, YBX1, GRHL1, TGM5, KRT9, SPRR2D",6.74796748,0.002627978
BP,GO:0007565,female pregnancy,6,"SLC38A1, ACE, SPHK2, SLC2A1, ADM, UPRT",1,0.01409995,4.201814385,,BP,GO:0007346,regulation of mitotic cell cycle,5,"CDC20, CDC23, GMNN, BIRC5, DLGAP5",0.993695,0.007747,4.112511,,GOTERM_BP_DIRECT,GO:0071276~cellular response to cadmium ion,7,2.88E-05,"MT2A, MT1M, MT1F, MT1H, MT1X, MT4, MT1E",11.39215686,0.004196045
BP,GO:0030036,actin cytoskeleton organization,10,"VASP, INF2, PDLIM2, IQSEC1, CDC42BPG, SPIRE1, KRAS, CDC42BPB, ARFGEF3, PDLIM7",1,0.015507495,2.595948543,,BP,GO:0042776,mitochondrial ATP synthesis coupled proton transport,5,"NDUFA11, ATP5PB, NDUFB11, NDUFS3, SDHD",0.993695,0.010194,4.23905,,GOTERM_BP_DIRECT,GO:0031424~keratinization,9,6.05E-05,"LCE2B, IL1A, SPRR3, KRT80, KRT4, CNFN, ABCA12, TGM3, SPRR2D",6.64,0.008188612
BP,GO:0007264,small GTPase mediated signal transduction,7,"DOCK11, CCDC88A, RGS19, RASGEF1A, DOCK9, SH2D3A, VAV2",1,0.016621062,3.427496287,,BP,GO:0030855,epithelial cell differentiation,8,"EHF, DHRS9, KRT4, DLX5, KRT15, KRT24, KRT23, KRT9",0.214172,0.010282,4.364962,,GOTERM_BP_DIRECT,GO:0051315~attachment of mitotic spindle microtubules to kinetochore,5,1.21E-04,"CDT1, KIF2C, SKA3, NDC80, SKA1",18.44444444,0.015264779
BP,GO:0033138,positive regulation of peptidyl-serine phosphorylation,6,"SH2D3A, CAPRIN2, SPRY2, CAMK1, VEGFA, SNCA",1,0.019182591,3.885548787,,BP,GO:0045109,intermediate filament organization,6,"KRT80, KRT4, KRT15, KRT24, KRT23, KRT9",0.529099,0.010966,4.86244,,GOTERM_BP_DIRECT,GO:0000086~G2/M transition of mitotic cell cycle,7,2.67E-04,"CCNA2, WEE1, CCNB1, BIRC5, CALM3, FOXM1, AURKA",7.746666667,0.03161669
BP,GO:0016567,protein ubiquitination,16,"RNF34, DCAF4, MID2, KLHL9, KCTD9, ITCH, MED30, GAN, TSPAN17, ENC1, TRIM47, KCTD11, TRIM27, LZTR1, TRIM11, FBXO9",1,0.019569212,1.931094387,,BP,GO:0007059,chromosome segregation,9,"CDT1, CENPF, HJURP, BIRC5, SKA3, BUB1, NDC80, SKA1, DLGAP5",0.050164,0.0125,5.113081,,GOTERM_BP_DIRECT,GO:0061436~establishment of skin barrier,6,3.84E-04,"FLG, CLDN4, STMN1, GRHL1, ABCA12, TMPRSS11F",9.485714286,0.042815239
BP,GO:0030097,hemopoiesis,5,"L3MBTL1, ZNF160, CRIP2, SH2B3, EPOR",1,0.027485549,4.364203347,,BP,GO:0045333,cellular respiration,4,"COX7B, COX4I1, COX7A2, COX6A1",0.993695,0.014965,5.248347,,GOTERM_CC_DIRECT,GO:0000940~condensed chromosome outer kinetochore,7,1.37E-08,"CENPF, CCNB1, BUB1B, SKA3, BUB1, NDC80, SKA1",35.38975117,4.05E-06
BP,GO:0008283,cell proliferation,8,"UCHL1, SMAD4, SPHK2, TXNRD1, FPGS, TACC1, PDK1, OVOL2",1,0.029016426,2.706786795,,BP,GO:0031424,keratinization,9,"LCE2B, IL1A, SPRR3, KRT80, KRT4, CNFN, ABCA12, TGM3, SPRR2D",0.035785,0.015034,5.450207,,GOTERM_CC_DIRECT,GO:0005829~cytosol,149,1.93E-08,"NCF2, GMNN, CTNND1, HJURP, BUB1B, ABCA12, CDC20, RGS2, MT2A, CDC23, STMN1, COTL1, MAP3K8, RPL39, B2M, RPS10, PPFIA3, RPTN, EPHB3, KRT4, MSX2, C17ORF49, AP1B1, LMO7, KRT9, INPP4B, MYL6, DAAM1, RBP1, PSME1, GEMIN4, PSME2, SNRPF, PHLDB2, FLG, MAOA, PSMD13, CDCA5, C1ORF198, NCAPG, HMMR, WDR62, RPS4Y1, DDX60, MTMR4, SKA3, HIF1A, SKA1, HSP90B1, CCNB2, CCNB1, COMMD9, PDZD2, SERF2, SPRR2D, FANCI, BTF3, FIS1, RPL41, TFAP2C, UBE2C, PLK2, ISG15, EEF2, NDC80, TPX2, POLA2, HAL, DIAPH3, KIF4A, CHMP2A, CALM3, ACO2, COPS8, GSDME, ABCD3, MCM7, CITED2, COX4I1, HSPB8, QPRT, KRT24, CLTB, KRT23, YBX1, KIF11, RND3, OASL, CTSH, MYBL2, DLGAP5, ZNF385A, MIOS, ARG1, CKAP2L, GAB1, COMMD1, SMC1A, COPZ1, RHOB, CCNA2, IL1A, ARL4A, SAPCD2, PSMA2, PELI1, BIRC5, KIF2C, PABPC1, SGK1, PFDN5, CRYAB, HDAC5, SPRR3, KRT80, NBAS, ACSS2, ATF6B, NXN, RAB1B, DCTN3, ADD3, TYMS, AURKA, PSMB6, NT5E, MIEN1, RASSF10, VPS51, VPS52, POLR2F, TNNI2, CKB, GBP2, RPL18, FNIP2, XDH, BUB1, POLR2K, RRM2, CENPF, PSMC5, NLRP10, PRC1, KRT15, RAB13, EIF3H, PFKM, CDKN3",1.496524734,4.05E-06
CC,GO:0005829,cytosol,129,"TES, GOLT1A, DOCK11, RASSF3, FTH1, FPGS, TRIM27, SYNPO, PDE8A, PPFIA4, FBXO9, KRT8, HUS1, KLHL42, MYL5, DGKQ, DDIT4, HSBP1L1, ULK2, UPRT, TRIB3, DENND6A, NEIL1, TRIM11, CARD11, ZNF397, PXK, EIF5A2, HELZ2, HRH1, ATXN7, DVL1, TNRC18, RHPN2, RAB6B, RAB11FIP3, PCK2, VASP, MOAP1, XBP1, PHETA2, SMAD4, SRMS, ATP8B2, GFPT1, EIF2AK2, SPART, CCDC88A, AGO4, NOXA1, CAPRIN2, SPIRE1, CORO7, MAP3K11, USP35, DOCK9, CEP164, SLC2A1, HCCS, LIMD1, LARP1B, CDC73, LIMD2, WDR44, UCHL1, PPP3CC, IMPA1, RASGEF1A, AIFM2, SNAPC2, UBE2Q2, CASP3, DGCR8, MAN1A1, C19ORF12, LRRFIP1, NINL, ABCD1, KLF12, VPS9D1, PARP4, SPHK2, ARHGEF16, TRAF2, ARFGAP3, RENBP, VAV2, PTP4A2, SLC7A5, CREB3, PITPNM1, GAN, TRAF5, IRF5, SYNC, PAFAH1B2, TRIM56, RNF34, TRIM16L, DENND3, MTHFD1L, CBS, TRIM47, WHAMM, ANKRD52, SH2B3, PDLIM7, SNCA, KDM4B, FKRP, CDC42BPG, TXNRD1, GSR, SPRY4, DDHD2, CDC42BPB, PLEKHA8, KLF8, KLHL9, ITCH, NOL4L, SPRY2, KRAS, TACC1, CAMK1, PKN1, SEC24D, SIPA1, TNRC6A",0.002971355,8.51E-06,1.404558564,,BP,GO:0050919,negative chemotaxis,4,"DPP4, SEMA4A, NRP2, SEMA3C",0.993695,0.017173,5.510765,,GOTERM_CC_DIRECT,GO:0000776~kinetochore,16,1.46E-07,"CDT1, PLK2, DCTN3, HJURP, BUB1B, SMC1A, SKA3, NDC80, SKA1, AURKA, CDC20, CENPF, CHMP2A, BIRC5, KIF2C, BUB1",5.703842679,2.04E-05
