Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,BP,FDR
GOTERM_BP_DIRECT,GO:0051891~positive regulation of cardioblast differentiation,2,1.052631579,0.04980857,"GATA6, GATA4",166,6,19462,39.08032129,1,1,,1
GOTERM_BP_DIRECT,GO:0060430~lung saccule development,2,1.052631579,0.057866834,"PTGES3, GATA6",166,7,19462,33.49741824,1,1,,1
GOTERM_BP_DIRECT,GO:0030513~positive regulation of BMP signaling pathway,3,1.578947368,0.058005554,"GATA6, GATA4, CCN1",166,46,19462,7.646149817,1,1,,1
GOTERM_BP_DIRECT,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,17,8.947368421,0.058860484,"NFAT5, GMEB1, FOXH1, GATA6, WAS, FOXK2, GATA4, ASH2L, HINFP, TNFRSF1A, NEUROD2, MLLT10, PLAGL1, PCBP2, E2F2, CCN1, ZNF212",166,1232,19462,1.61777304,1,1,,1
GOTERM_BP_DIRECT,GO:0010757~negative regulation of plasminogen activation,2,1.052631579,0.065857169,"PLAU, PLAT",166,8,19462,29.31024096,1,1,,1
GOTERM_BP_DIRECT,GO:0009408~response to heat,3,1.578947368,0.067180119,"EIF2B3, EIF2B2, IGFBP7",166,50,19462,7.034457831,1,1,,1
GOTERM_BP_DIRECT,GO:0003162~atrioventricular node development,2,1.052631579,0.073780145,"GATA6, GATA4",166,9,19462,26.05354752,1,1,,1
GOTERM_BP_DIRECT,GO:0039694~viral RNA genome replication,2,1.052631579,0.073780145,"PCBP2, PIK3C2G",166,9,19462,26.05354752,1,1,,1
GOTERM_BP_DIRECT,GO:0043434~response to peptide hormone,3,1.578947368,0.07679753,"NUDC, EIF2B3, EIF2B2",166,54,19462,6.513386881,1,1,,1
GOTERM_BP_DIRECT,GO:0006487~protein N-linked glycosylation,3,1.578947368,0.079266397,"RPN2, FUT9, TUSC3",166,55,19462,6.394961665,1,1,,1
GOTERM_BP_DIRECT,GO:0009617~response to bacterium,4,2.105263158,0.080590058,"CUBN, TRAV7, TRAV4, TRAV1-2",166,119,19462,3.940872735,1,1,,1
GOTERM_BP_DIRECT,GO:0060575~intestinal epithelial cell differentiation,2,1.052631579,0.081636325,"GATA6, GATA4",166,10,19462,23.44819277,1,1,,1
GOTERM_BP_DIRECT,GO:0014909~smooth muscle cell migration,2,1.052631579,0.081636325,"PLAU, PLAT",166,10,19462,23.44819277,1,1,,1
GOTERM_BP_DIRECT,GO:0036302~atrioventricular canal development,2,1.052631579,0.08942627,"GATA6, GATA4",166,11,19462,21.31653888,1,1,,1
GOTERM_BP_DIRECT,"GO:0006353~DNA-templated transcription, termination",2,1.052631579,0.08942627,"POLR2A, TTF1",166,11,19462,21.31653888,1,1,,1
GOTERM_BP_DIRECT,GO:0031639~plasminogen activation,2,1.052631579,0.08942627,"PLAU, PLAT",166,11,19462,21.31653888,1,1,,1
GOTERM_BP_DIRECT,GO:0006935~chemotaxis,4,2.105263158,0.090238478,"PLAU, PLAUR, PIK3C2G, CCN1",166,125,19462,3.751710843,1,1,,1
GOTERM_BP_DIRECT,GO:0010507~negative regulation of autophagy,3,1.578947368,0.099854493,"HERC1, FOXK2, GATA4",166,63,19462,5.582903041,1,1,,1
GOTERM_BP_DIRECT,GO:0043627~response to estrogen,3,1.578947368,0.099854493,"GATA6, GBA1, ASH2L",166,63,19462,5.582903041,1,1,,1
