GO,FDR,Color
cytoplasmic translation,7.57E-05,1
translation,0.001512097,1
ribosomal small subunit biogenesis,0.011415533,1
phosphatidylinositol-mediated signaling,0.011415533,1
cytosolic small ribosomal subunit,1.03E-09,2
small ribosomal subunit,4.81E-07,2
cytosolic ribosome,8.15E-05,2
ribosome,1.50E-04,2
structural constituent of ribosome,0.001573189,3
insulin-like growth factor binding,0.005763016,3
1-phosphatidylinositol-3-kinase activity,0.006826952,3
phosphatidylinositol kinase activity,0.023021358,3
Coronavirus disease - COVID-19,1.48E-04,4
Ribosome,8.89E-04,4
Inositol phosphate metabolism,0.068244203,4
