Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,,FDR
GOTERM_BP_DIRECT,GO:0032922~circadian regulation of gene expression,16,1.28102482,6.90E-06,"NGFR, EGR1, KMT2A, HNRNPU, CSNK1D, SIRT6, CSNK1E, SIRT1, CIART, RELB, PER2, RBM4, PER3, CRY1, OGT, ATF4",1087,71,19462,4.0347772,0.028250376,0.002605182,,0.002586367
GOTERM_BP_DIRECT,GO:0016567~protein ubiquitination,53,4.243394716,1.05E-05,"UBE2D3, SH3RF1, MED17, RNF114, MED10, TRIM3, WSB1, MSL2, FBXO11, SIRT1, RNF169, TRIM17, KCTD13, CBLL1, RNF166, TRIM52, UHRF2, KLHL15, MGRN1, KLHL10, NEDD4L, UBR2, DTX3, RCHY1, CBL, SOCS2, SOCS3, VCPIP1, SOCS1, UBB, HECTD4, UBC, E4F1, FEM1C, FYN, SOCS4, TRIM44, UBE2B, SMURF2, SIAH1, KLHL21, MIB1, RNF223, ZC3HC1, CNOT4, RNF103, NEURL2, TRIML2, UVSSA, KBTBD2, RLIM, MDM4, ASB1",1087,498,19462,1.905480247,0.042827368,0.00343602,,0.003411206
GOTERM_BP_DIRECT,GO:0034097~response to cytokine,13,1.040832666,1.16E-05,"OXTR, LIFR, FOS, RELA, NFKB1, RELB, NFKB2, FOSL1, REL, RARA, IL6ST, SKIL, IL6R",1087,49,19462,4.75012673,0.046965871,0.00343602,,0.003411206
GOTERM_BP_DIRECT,GO:0051085~chaperone mediated protein folding requiring cofactor,11,0.880704564,1.08E-05,"GAK, HSPA8, DNAJB1, HSPH1, HSPA1L, DNAJB5, DNAJB4, HSPA6, HSPA13, HSPA1B, HSPA1A",1087,34,19462,5.792575356,0.04372743,0.00343602,,0.003411206
GOTERM_BP_DIRECT,GO:0051726~regulation of cell cycle,34,2.722177742,1.72E-05,"PPP1R15A, INO80D, HSP90AB1, UHRF2, JADE1, TBRG1, RNF112, PLAGL1, GPER1, EP400, MBIP, EPC1, E4F1, CCNL2, CCNL1, JUNB, SKIL, NFRKB, RBM38, HSPA8, GADD45B, NANOS3, CSNK2A2, INO80, PUM1, YY1AP1, GADD45G, UHMK1, PER2, IRF1, DDIT3, TRIM36, MDM4, SRSF5",1087,268,19462,2.271444068,0.068776795,0.004750378,,0.004716071
GOTERM_BP_DIRECT,"GO:0045892~negative regulation of transcription, DNA-templated",59,4.723779023,2.25E-05,"ZMYND15, PRDM8, CREBZF, KDM5C, ZC3H4, SCX, CHD3, IKZF4, NIPBL, LBH, SIX4, UIMC1, EPC1, SOX8, ZGPAT, SFMBT1, ZNF281, DNMT3A, SIRT1, CDYL2, HIC2, SFPQ, ZNF91, ZEB1, IRF1, DDIT3, RARA, CRY1, SPINDOC, GATA6, HDAC9, RELA, STRN3, CIART, DEDD2, GLIS2, RELB, HMBOX1, SBNO2, ATXN1, RASD1, BTAF1, NFIL3, BAHD1, ZNF746, HSPA8, TGFB1, UBE2I, SMURF2, PARP14, PHC3, PER2, REST, ZNF219, BCL3, RLIM, TAF7, MDM4, ZNF256",1087,592,19462,1.784383625,0.089077865,0.005488048,,0.005448413
GOTERM_BP_DIRECT,GO:0010468~regulation of gene expression,34,2.722177742,2.16E-05,"SETD2, BMI1, AFF4, SLC8A2, POFUT2, NIPBL, HNRNPDL, ZNF507, NFKBIZ, ZC3H12A, POGZ, ADNP2, IGF2BP2, STX3, PHLDA2, TRIM44, KDM6B, BRD2, KDM4C, DNMT3A, REST, TRIML2, TRIM17, FUBP1, ZUP1, CDK3, NF1, UCA1, GNRH1, APBA3, ZNF335, NFKBID, STK40, CGGBP1",1087,271,19462,2.24629893,0.085744275,0.005488048,,0.005448413
GOTERM_BP_DIRECT,GO:0035556~intracellular signal transduction,48,3.84307446,5.38E-05,"BRSK1, DGKD, CXCL8, PKN3, NPR2, CXCL1, NLK, ADCY7, RELA, ADCY6, DEDD2, CRKL, SOCS2, GRIP1, SOCS3, MAPK8, SOCS1, MDK, AKT3, TLK2, DVL3, FYN, SOCS4, MAP3K3, PRPF38B, WSB1, DMPK, SPHK1, PRKCD, PLA2G4C, BRAF, NFATC1, GMIP, CDC42BPA, DGKZ, ARHGAP45, FER, LATS2, MC1R, NEURL2, RASA2, RAPGEF2, TNIK, ARHGEF2, SQSTM1, ARHGEF5, ASB1, DGKH",1087,462,19462,1.860189489,0.200348351,0.011767004,,0.011682023
GOTERM_BP_DIRECT,GO:0008380~RNA splicing,28,2.241793435,5.37E-05,"RBM25, DDX5, RBM48, DDX47, AKAP17A, PNN, RBM4, ARVCF, PPP4R2, RBM5, RBM10, RBM38, HSPA8, RBM39, PRPF38B, SCAF1, PTBP2, JMJD6, THOC6, SFPQ, DDX39B, RRAGC, PRPF3, ACIN1, CLASRP, ZNF830, RBM24, SUGP2",1087,212,19462,2.364722015,0.199807725,0.011767004,,0.011682023
GOTERM_BP_DIRECT,GO:0042026~protein refolding,9,0.720576461,5.80E-05,"DNAJA1, HSPA8, HSPA1L, DNAJA4, HSPA6, HSPA13, HSPA1B, HSPD1, HSPA1A",1087,26,19462,6.197650556,0.214193673,0.012051896,,0.011964858
GOTERM_BP_DIRECT,GO:0042981~regulation of apoptotic process,30,2.401921537,1.18E-04,"USP36, RBM25, PPP1R13B, BCL10, ETS1, CLU, DEDD2, CASP9, BCL2L12, PEA15, EP400, ABL2, EPC1, CCNL2, CCNL1, RBM5, RBM10, EGR1, STYK1, OSGIN1, TNFRSF10B, SCAF1, FBXO11, SIRT1, TRAF4, TRAF3, BCL3, RARA, PPIF, BCAR1",1087,246,19462,2.183454125,0.386916126,0.023296415,,0.023128169
GOTERM_BP_DIRECT,GO:0006974~cellular response to DNA damage stimulus,34,2.722177742,1.42E-04,"PPP1R15A, BRSK1, NFAT5, ATF2, SMG1, SPINDOC, PHF1, CGAS, CHD2, CBL, ZBTB40, CASP9, VCPIP1, NIPBL, ZC3H12A, TLK2, PMAIP1, APBB1, IKBKG, IER3, BRD4, UBE2B, PRKCD, SIRT7, SIRT1, SETX, SFPQ, RNF169, DDIT3, CDK3, BCL3, WAC, NABP1, RBM24",1087,298,19462,2.042775202,0.446171587,0.026857197,,0.026663236
GOTERM_BP_DIRECT,GO:0006468~protein phosphorylation,45,3.602882306,1.74E-04,"BRSK1, SMG1, DYRK3, CCNT2, PKN3, PIK3CD, NLK, IKBKB, STK10, MAPK8, RB1CC1, PHKG2, AKT3, TLK2, PTK2B, ABL2, PIM3, FYN, BRD2, CDK11A, TGFB1, DMPK, CHUK, TAF13, PRKCD, STYK1, DYRK1A, BRAF, CSNK1D, CSNK1E, CDC42BPA, CLK3, FER, LATS2, PEAK1, ADM2, CDK3, AAK1, RARA, TAF4B, TAF7, ULK1, TNIK, TAF4, FGFR1",1087,445,19462,1.8105496,0.514987061,0.031457248,,0.031230065
GOTERM_BP_DIRECT,GO:0006915~apoptotic process,57,4.563650921,2.67E-04,"CSRNP1, MTCH1, PPP1R13B, CGB7, UBE2D3, JADE1, PTPRH, CASP9, ZC3H12A, PEA15, PIM3, IKBKG, PHLDA2, RBM5, IER3, TNFRSF12A, MAP1S, CSNK2A2, PRKCD, AXIN1, EMP3, MFSD10, THOC6, NISCH, TRAF4, ESPL1, RRAGC, TRAF3, IRF1, SQSTM1, PPP1R15A, KMT2A, NAIF1, BCL10, DEDD2, BCL2L12, RNF216, PLAGL1, PTK2B, PMAIP1, APBB1, SMNDC1, RELT, CDK11A, GADD45B, UBE2B, SIAH1, HIP1R, TNFRSF10B, SCAF1, NFKB1, GADD45G, TNFRSF10D, NFKBIA, NR4A1, RYBP, OGT",1087,620,19462,1.646042674,0.669899304,0.044328387,,0.04400825
GOTERM_BP_DIRECT,"GO:0000381~regulation of alternative mRNA splicing, via spliceosome",13,1.040832666,2.57E-04,"DDX17, RBM25, DDX5, RBM15, CELF1, HNRNPU, RBM4, REST, RBM7, SRSF6, RBM24, RBM5, RBM10",1087,66,19462,3.526609239,0.656677635,0.044328387,,0.04400825
