,category,ID,term,count,genes,logFC,adj_pval,zscore
272,BP,GO:0033138,positive regulation of peptidyl-serine phosphorylation,6,CAPRIN2,1.313527779,0.019182591,2.449489743
273,BP,GO:0033138,positive regulation of peptidyl-serine phosphorylation,6,SPRY2,1.94607256,0.019182591,2.449489743
274,BP,GO:0033138,positive regulation of peptidyl-serine phosphorylation,6,CAMK1,2.477262972,0.019182591,2.449489743
275,BP,GO:0033138,positive regulation of peptidyl-serine phosphorylation,6,VEGFA,1.775883712,0.019182591,2.449489743
276,BP,GO:0033138,positive regulation of peptidyl-serine phosphorylation,6,SNCA,1.721141724,0.019182591,2.449489743
277,BP,GO:0016567,protein ubiquitination,16,RNF34,1.211244319,0.019569212,4
278,BP,GO:0016567,protein ubiquitination,16,DCAF4,1.57726861,0.019569212,4
279,BP,GO:0016567,protein ubiquitination,16,MID2,1.066639271,0.019569212,4
280,BP,GO:0016567,protein ubiquitination,16,KLHL9,1.031125532,0.019569212,4
281,BP,GO:0016567,protein ubiquitination,16,KCTD9,1.323884066,0.019569212,4
282,BP,GO:0016567,protein ubiquitination,16,ITCH,1.074303954,0.019569212,4
283,BP,GO:0016567,protein ubiquitination,16,MED30,1.714866217,0.019569212,4
284,BP,GO:0016567,protein ubiquitination,16,GAN,1.497592462,0.019569212,4
285,BP,GO:0016567,protein ubiquitination,16,TSPAN17,1.492443133,0.019569212,4
286,BP,GO:0016567,protein ubiquitination,16,ENC1,1.381408849,0.019569212,4
287,BP,GO:0016567,protein ubiquitination,16,TRIM47,2.363855207,0.019569212,4
288,BP,GO:0016567,protein ubiquitination,16,KCTD11,1.521469424,0.019569212,4
289,BP,GO:0016567,protein ubiquitination,16,TRIM27,1.360869388,0.019569212,4
290,BP,GO:0016567,protein ubiquitination,16,LZTR1,1.487543375,0.019569212,4
291,BP,GO:0016567,protein ubiquitination,16,TRIM11,1.196391419,0.019569212,4
292,BP,GO:0016567,protein ubiquitination,16,FBXO9,1.255067746,0.019569212,4
293,BP,GO:0030010,establishment of cell polarity,4,UST,1.374228065,0.023054387,2
294,BP,GO:0030010,establishment of cell polarity,4,CORO7,1.187762011,0.023054387,2
295,BP,GO:0030010,establishment of cell polarity,4,RAB11FIP2,1.145348483,0.023054387,2
296,BP,GO:0030010,establishment of cell polarity,4,PKD1,3.12838686,0.023054387,2
297,BP,GO:0006730,one-carbon metabolic process,4,MTHFD1L,1.025794583,0.023054387,2
298,BP,GO:0006730,one-carbon metabolic process,4,MTHFD2,1.008049755,0.023054387,2
299,BP,GO:0006730,one-carbon metabolic process,4,FPGS,1.356079376,0.023054387,2
300,BP,GO:0006730,one-carbon metabolic process,4,ALDH1L2,2.061335122,0.023054387,2
301,BP,GO:0030097,hemopoiesis,5,L3MBTL1,1.863367877,0.027485549,2.236067977
302,BP,GO:0030097,hemopoiesis,5,ZNF160,1.338489131,0.027485549,2.236067977
303,BP,GO:0030097,hemopoiesis,5,CRIP2,1.874098956,0.027485549,2.236067977
304,BP,GO:0030097,hemopoiesis,5,SH2B3,2.082011917,0.027485549,2.236067977
305,BP,GO:0030097,hemopoiesis,5,EPOR,2.436571655,0.027485549,2.236067977
306,BP,GO:0032897,negative regulation of viral transcription,3,TRIM27,1.360869388,0.028127693,1.732050808
307,BP,GO:0032897,negative regulation of viral transcription,3,MID2,1.066639271,0.028127693,1.732050808
308,BP,GO:0032897,negative regulation of viral transcription,3,TRIM11,1.196391419,0.028127693,1.732050808
