,category,ID,term,count,genes,logFC,adj_pval,zscore
75,BP,GO:0008285,negative regulation of cell proliferation,18,SMAD4,1.111311315,0.001896915,4.242640687
76,BP,GO:0008285,negative regulation of cell proliferation,18,KLF13,1.238143053,0.001896915,4.242640687
77,BP,GO:0008285,negative regulation of cell proliferation,18,TES,1.185075415,0.001896915,4.242640687
78,BP,GO:0008285,negative regulation of cell proliferation,18,CTBP2,1.25571814,0.001896915,4.242640687
79,BP,GO:0008285,negative regulation of cell proliferation,18,CTBP1,1.142562066,0.001896915,4.242640687
80,BP,GO:0008285,negative regulation of cell proliferation,18,TPBG,1.415348831,0.001896915,4.242640687
81,BP,GO:0008285,negative regulation of cell proliferation,18,EIF2AK2,1.121911985,0.001896915,4.242640687
82,BP,GO:0008285,negative regulation of cell proliferation,18,ADM,1.353968202,0.001896915,4.242640687
83,BP,GO:0008285,negative regulation of cell proliferation,18,CGRRF1,1.453796583,0.001896915,4.242640687
84,BP,GO:0008285,negative regulation of cell proliferation,18,HSPG2,1.023314262,0.001896915,4.242640687
85,BP,GO:0008285,negative regulation of cell proliferation,18,CDC73,1.027492233,0.001896915,4.242640687
86,BP,GO:0008285,negative regulation of cell proliferation,18,MNT,1.110262551,0.001896915,4.242640687
87,BP,GO:0008285,negative regulation of cell proliferation,18,RASSF3,1.185213773,0.001896915,4.242640687
88,BP,GO:0008285,negative regulation of cell proliferation,18,NACC2,1.680651854,0.001896915,4.242640687
89,BP,GO:0008285,negative regulation of cell proliferation,18,FTH1,1.363955007,0.001896915,4.242640687
90,BP,GO:0008285,negative regulation of cell proliferation,18,SPRY2,1.94607256,0.001896915,4.242640687
91,BP,GO:0008285,negative regulation of cell proliferation,18,SPEG,2.082986642,0.001896915,4.242640687
92,BP,GO:0008285,negative regulation of cell proliferation,18,SH2B3,2.082011917,0.001896915,4.242640687
93,BP,GO:0006760,folic acid-containing compound metabolic process,3,MTHFD1L,1.025794583,0.00264278,1.732050808
94,BP,GO:0006760,folic acid-containing compound metabolic process,3,MTHFD2,1.008049755,0.00264278,1.732050808
95,BP,GO:0006760,folic acid-containing compound metabolic process,3,FPGS,1.356079376,0.00264278,1.732050808
96,BP,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,30,CTBP2,1.25571814,0.003111972,5.477225575
97,BP,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,30,CBFB,1.165740464,0.003111972,5.477225575
98,BP,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,30,CTBP1,1.142562066,0.003111972,5.477225575
99,BP,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,30,CDC73,1.027492233,0.003111972,5.477225575
100,BP,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,30,MNT,1.110262551,0.003111972,5.477225575
101,BP,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,30,DEAF1,1.220831697,0.003111972,5.477225575
102,BP,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,30,NACC2,1.680651854,0.003111972,5.477225575
103,BP,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,30,TRIM27,1.360869388,0.003111972,5.477225575
104,BP,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,30,ANKRD52,1.500601266,0.003111972,5.477225575
105,BP,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,30,LRRFIP1,1.964244425,0.003111972,5.477225575
106,BP,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,30,ZNF224,1.473187991,0.003111972,5.477225575
107,BP,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,30,SNCA,1.721141724,0.003111972,5.477225575
108,BP,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,30,TGIF1,1.132479571,0.003111972,5.477225575
109,BP,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,30,PLK3,1.176796238,0.003111972,5.477225575
110,BP,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,30,XBP1,1.502808348,0.003111972,5.477225575
111,BP,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,30,KLF12,2.767188072,0.003111972,5.477225575
112,BP,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,30,SMAD4,1.111311315,0.003111972,5.477225575
113,BP,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,30,ZNF282,1.113319467,0.003111972,5.477225575
114,BP,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,30,SAP30,1.566837245,0.003111972,5.477225575
115,BP,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,30,VEGFA,1.775883712,0.003111972,5.477225575
116,BP,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,30,OVOL2,1.997308805,0.003111972,5.477225575
117,BP,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,30,KLF8,1.351097239,0.003111972,5.477225575
118,BP,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,30,BHLHE40,1.130222959,0.003111972,5.477225575
119,BP,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,30,ZNF778,1.771428092,0.003111972,5.477225575
120,BP,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,30,TRIB3,1.61216085,0.003111972,5.477225575
121,BP,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,30,ZNF337,1.048689011,0.003111972,5.477225575
122,BP,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,30,BCOR,1.147086185,0.003111972,5.477225575
123,BP,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,30,BCORL1,1.267301586,0.003111972,5.477225575
124,BP,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,30,JDP2,3.126936093,0.003111972,5.477225575
125,BP,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,30,ZNF354B,1.247448134,0.003111972,5.477225575
126,BP,GO:0045892,"negative regulation of transcription, DNA-templated",20,ZNF397,1.114297321,0.004728564,4.472135955
127,BP,GO:0045892,"negative regulation of transcription, DNA-templated",20,L3MBTL1,1.863367877,0.004728564,4.472135955
128,BP,GO:0045892,"negative regulation of transcription, DNA-templated",20,SMAD4,1.111311315,0.004728564,4.472135955
129,BP,GO:0045892,"negative regulation of transcription, DNA-templated",20,CTBP2,1.25571814,0.004728564,4.472135955
130,BP,GO:0045892,"negative regulation of transcription, DNA-templated",20,ZNF282,1.113319467,0.004728564,4.472135955
131,BP,GO:0045892,"negative regulation of transcription, DNA-templated",20,CTBP1,1.142562066,0.004728564,4.472135955
132,BP,GO:0045892,"negative regulation of transcription, DNA-templated",20,LIMD1,1.60682939,0.004728564,4.472135955
133,BP,GO:0045892,"negative regulation of transcription, DNA-templated",20,WTIP,2.0124801,0.004728564,4.472135955
134,BP,GO:0045892,"negative regulation of transcription, DNA-templated",20,DEAF1,1.220831697,0.004728564,4.472135955
