,P.Value,adj.P.Val,log2FC
COPZ1,0.061589327,0.138843275,-0.54875
C12ORF57,NA,NA,NA
COX6A1,0.002134199,0.019168533,-0.45025
PPARD,0.017985107,0.064457148,-0.406125
GMNN,NA,NA,NA
COX7A2,0.663344169,0.740655138,-0.07
KIF20A,0.000521813,0.009200957,-0.79325
RBP1,0.594138355,0.681675273,-0.0035
BCHE,0.033489202,0.094118403,-0.638
C3ORF14,NA,NA,NA
IL1A,NA,NA,NA
NCL,0.139474583,0.238724409,0.973875
PPP1R7,0.834769198,0.876169908,0.038125
RND3,0.000918833,0.012115285,-0.5915
ATP5PB,0.000678864,0.010336089,-0.589
NCF2,0.388672848,0.49910596,-0.15575
RGS2,0.450215887,0.556330803,0.132875
MYCL,NA,NA,NA
SIPA1L2,NA,NA,NA
CDC20,0.028584075,0.085476784,0.02075
ABCD3,0.000220163,0.006318553,-0.51775
STMN1,0.015452299,0.05891916,-0.55875
CENPF,0.336067629,0.44826696,-0.22925
NRP2,0.506098779,0.605695079,-0.183125
SGK1,0.004894298,0.030308687,-0.654875
ARG1,0.673071356,0.748646179,0.123625
C1ORF198,NA,NA,NA
LTBP2,0.019974636,0.068646014,0.433625
MSX2,NA,NA,NA
ARL4A,0.800444894,0.850003924,-0.09525
PFDN5,0.02710415,0.082750396,-0.503875
HJURP,NA,NA,NA
MCEE,NA,NA,NA
RPS10,NA,NA,NA
MT2A,NA,NA,NA
TNFSF9,0.000522941,0.009202038,-0.754
TGM3,0.034279019,0.095549395,-0.449625
MGME1,NA,NA,NA
ERGIC3,NA,NA,NA
DLGAP5,0.000444481,0.008465366,2.61275
BCL11B,NA,NA,NA
HAT1,0.972685518,0.979499685,-0.017375
CD68,0.049302826,0.1204636,-0.23525
MPDU1,0.0758756,0.159451202,-0.63425
SLC44A2,NA,NA,NA
RPS4Y1,0.003584422,0.02532895,3.02975
FAM155B,NA,NA,NA
TNNI2,NA,NA,NA
CHMP2A,0.533061867,0.629210455,-0.275625
TMEM160,NA,NA,NA
ACSS2,NA,NA,NA
COX4I1,0.007936706,0.039923998,-0.264
COX7B,0.090764675,0.179309914,-0.5695
GJA9,NA,NA,NA
COQ3,NA,NA,NA
PDZD2,0.060355812,0.137192959,-0.545375
CCNB1,NA,NA,NA
EMC7,NA,NA,NA
GRHL1,0.22311501,0.333853089,0.205
FST,0.138271442,0.237190848,-0.290375
TCN1,0.083528026,0.170031149,-0.39075
OASL,0.098389865,0.189064552,-0.417875
NT5E,0.370439601,0.481652711,0.091875
EHF,NA,NA,NA
OS9,0.008495249,0.041605419,-0.3525
MRPS9,NA,NA,NA
LMO7,0.140065122,0.239366412,-0.491375
GALNT5,0.009383758,0.044078042,-0.469
IL1F10,NA,NA,NA
DCTN3,0.089962708,0.178436874,0.52425
TUBB2A,0.253587169,0.365324393,-0.0805
DDX60,NA,NA,NA
SORL1,NA,NA,NA
THBS1,NA,NA,NA
IFI44,0.155752676,0.257726297,-0.21925
SLC44A5,NA,NA,NA
HADHB,0.000821121,0.011448929,-0.64525
KIF11,0.087346962,0.175099969,-0.436375
CEP55,NA,NA,NA
ZNF365,0.004121148,0.02735213,-0.374375
B4GALNT3,NA,NA,NA
GLIPR1,0.031944903,0.091513288,-0.43825
SNRPF,0.095310755,0.185090862,-0.31525
C12ORF10,NA,NA,NA
DIAPH3,NA,NA,NA
SERF2,0.019722058,0.068088057,-0.5145
SCAMP2,0.086430832,0.173926519,-0.389625
FANCI,NA,NA,NA
CBX4,0.654370256,0.732876522,-0.087625
MIEN1,NA,NA,NA
TMEM50B,0.017291624,0.063060778,-0.636875
PSMB6,0.811591807,0.858504832,-0.00325
KIF2C,0.942093819,0.957308193,-0.1075
SLC44A3,NA,NA,NA
UFC1,NA,NA,NA
TUFT1,NA,NA,NA
CGN,NA,NA,NA
CTSK,NA,NA,NA
RAB13,0.105426435,0.197734116,-0.337125
FLG,0.064361623,0.142942125,-0.428625
RHOB,0.024012011,0.076824999,-0.310375
DQX1,NA,NA,NA
FAHD2B,NA,NA,NA
ABCA12,0.328273836,0.44066675,-0.31825
PHLDB2,NA,NA,NA
CCNA2,NA,NA,NA
PLK2,NA,NA,NA
BTF3,0.23045298,0.341341386,-0.09325
CDCA5,NA,NA,NA
NCAPG2,NA,NA,NA
NDUFB11,NA,NA,NA
POLR2K,0.347247663,0.459450058,-0.537875
EIF3H,0.173199349,0.278018196,-0.3395
GPR107,NA,NA,NA
ADD3,0.64555984,0.725506481,0.01125
SYT8,NA,NA,NA
SSRP1,0.008376716,0.04131193,-0.395
SESN3,NA,NA,NA
VPS51,0.152751217,0.254248156,-0.166625
BTBD11,NA,NA,NA
