,WDR37,NFAT5,ICAM5,ELL,PLAGL1,DHX38,GATA6,ZNF212,CBX6,ATP5MG,GM2A,group
GSM593955,1.679583333,2.917625,2.880625,2.117041667,3.22625,3.56325,4.347958333,3.557833333,1.330583333,-2.502,-0.761916667,1
GSM593956,-1.3651875,-3.8158125,-3.966,-0.3105,-4.036666667,-2.60525,-4.808291667,-2.303791667,0.044229167,-0.300625,-0.769645833,0
GSM593966,-0.259770833,0.157083333,-0.252583333,-0.446125,0.167583333,-1.185166667,-0.261145833,-1.360458333,-0.393854167,-0.253604167,-0.358583333,0
GSM593972,-0.948666667,-2.9603125,-3.9605,0.756125,-3.096166667,-2.1288125,-3.746375,-2.3123125,-0.242583333,-0.784979167,-0.525541667,0
GSM593984,-0.375833333,-2.978375,-3.677625,-1.184708333,-2.693708333,-2.042666667,-3.687458333,-1.3248125,0.124583333,-0.660458333,0.796625,0
GSM593985,-0.521416667,-2.917,-3.018104167,-0.802125,-2.921458333,-2.52925,-3.601979167,-1.988791667,0.254604167,0.386458333,-0.362291667,0
GSM6765254,12.38181513,22.51239114,1.125619557,21.38677158,9.004956455,42.77354316,0,20.26115202,4.502478227,159.8379771,360.1982582,0
GSM6765268,11.32926974,21.52561251,0,21.52561251,9.063415796,45.31707898,0,16.99390462,4.531707898,147.2805067,381.7963904,0
GSM6765281,13.36458061,20.04687091,0,20.04687091,8.909720406,44.54860203,0,18.93315586,5.568575254,139.2143813,373.094542,0
GSM6765294,77.40704052,176.9303783,9.952333782,180.2478229,30.96281621,363.8130905,1.105814865,117.2163757,60.81981755,45.33840945,34.2802608,1
GSM6765307,74.88407499,181.7040055,5.506181985,148.6669136,29.73338272,350.1931742,2.202472794,105.7186941,67.17542021,40.74574669,47.35316507,1
GSM6765321,78.41678523,195.4897322,8.835694111,142.4755675,28.71600586,367.7857674,6.626770583,93.87924993,54.11862643,47.49185585,48.59631761,1
GSM6765335,30.51024634,80.36845376,5.953218797,49.11405508,25.30117989,99.71641485,6.697371147,40.92837923,37.20761748,46.88159803,27.53363694,1
GSM6765349,31.1495428,76.39054545,15.5747714,57.84915092,20.02470609,101.606842,5.191590467,52.65756045,36.34113327,48.20762577,20.02470609,1
GSM6765363,29.00016996,68.41065735,12.64109973,55.76955762,20.82063485,89.9748863,8.92312922,37.92329918,37.17970508,46.8464284,23.79501125,1
GSM6765379,70.44886912,217.472596,7.146986722,133.7507515,22.46195827,256.2705239,5.104990516,64.3228805,16.33596965,60.23888809,76.57485774,1
GSM6765393,80.42240887,212.0227143,8.355574948,115.9336024,30.28895918,246.489461,4.177787474,74.15572766,15.66670303,65.80015271,57.44457776,1
GSM6765408,83.42558572,232.5488202,10.42819821,143.9091354,23.98485589,271.1331536,6.256918929,69.86892804,18.77075679,61.52636946,67.78328839,1
