Term,Fold Enrichment,PValue,Count
GO:0005829,1.404558564,8.51E-06,129
GO:0005634,1.205253685,0.01107964,120
GO:0005737,1.189033266,0.022305705,112
GO:0016020,1.46627726,1.24E-04,88
GO:0005654,1.217525036,0.036589815,81
GO:0005783,1.51212324,0.028186671,29
GO:0043231,1.51052915,0.043088895,25
GO:0000139,2.039279932,0.002244005,23
GO:0016323,2.816876428,0.003814359,12
GO:0005874,2.22116238,0.019968861,12
GO:0005769,2.153155545,0.032812649,11
GO:0005768,2.067293514,0.041577469,11
GO:0012505,3.205834656,0.007296059,9
GO:0030496,2.917479158,0.012454998,9
GO:0030018,3.153451737,0.024011152,7
GO:0005856,0.072479625,1.649920888,15
GO:0005813,0.089554032,1.595496414,15
GO:0098978,0.089339581,1.725832741,12
GO:0005925,0.097878439,1.694020156,12
GO:0015629,0.071293617,2.065181876,9
GO:0005802,0.090426911,2.257207559,7
GO:0055037,0.080802269,2.607109035,6
GO:0035861,0.055511892,3.481083086,5
GO:0032154,0.060309918,4.45578635,4
GO:0017053,0.080158505,3.952713698,4
GO:0016327,0.057605564,7.658382789,3
GO:0001891,0.075651042,6.564328105,3
GO:0098802,0.093764919,20.4223541,2
GO:0098591,0.093764919,20.4223541,2
