,WDR37,OGFR,ATP1B3,CNOT4,OVGP1,NFAT5,NEFM,ICAM5,ELL,CLDN15,ATP5F1B,FGFR1OP2,ITGB6,SLC8A2,PLAGL1,INHBA,TUBA1B,DHX38,GATA6,XRCC4,UBXN7,ATP5MG,ZNF212,BSG,IDH2,CBX6,GM2A
ATP5F1B,-0.619758589,-0.95141608,0.945618688,-0.723579716,-0.531070191,-0.616568367,-0.35219243,-0.850111451,-0.610510006,-0.557481529,1,-0.790832687,0.98989614,-0.605738194,-0.859452107,-0.906936028,0.935229597,-0.570706283,-0.791316294,-0.620832023,-0.607137211,0.985037637,-0.647627923,0.980591858,0.991716804,-0.715479596,0.994907945
FGFR1OP2,0.90564774,0.824150439,-0.906397246,0.895645861,0.840051293,0.909588623,0.782697257,0.659259322,0.833269645,0.851810268,-0.790832687,1,-0.830219858,0.829116936,0.88818262,0.685127136,-0.911402785,0.790411437,0.6335443,0.715098948,0.863831318,-0.802487148,0.75496287,-0.864578308,-0.822939823,0.484512728,-0.828359311
ITGB6,-0.684780811,-0.945550744,0.960934733,-0.787779114,-0.60192669,-0.667649091,-0.390619623,-0.83378167,-0.69141628,-0.638671928,0.98989614,-0.830219858,1,-0.691524767,-0.903144972,-0.907943673,0.955311634,-0.653031396,-0.739594766,-0.6988624,-0.681332228,0.9856606,-0.727314974,0.990182397,0.98930999,-0.761902399,0.991898775
SLC8A2,0.957462848,0.619195968,-0.798264883,0.964016436,0.943261323,0.909757151,0.705253695,0.417422672,0.992260894,0.973824051,-0.605738194,0.829116936,-0.691524767,1,0.875751137,0.645469425,-0.828813298,0.981066691,0.206563448,0.949639464,0.98242425,-0.684908813,0.963366309,-0.724519182,-0.661991071,0.654921371,-0.658355946
PLAGL1,0.863897095,0.814282451,-0.944341442,0.940501992,0.802000837,0.820800784,0.556650067,0.608262683,0.849331416,0.827873689,-0.859452107,0.88818262,-0.903144972,0.875751137,1,0.821114067,-0.942982315,0.845793352,0.489407349,0.856337255,0.862621601,-0.8920392,0.890283974,-0.903556302,-0.882123379,0.755663634,-0.887289975
INHBA,0.626618764,0.791543759,-0.883215574,0.752559983,0.587170077,0.608635835,0.276409438,0.672787526,0.649548227,0.615155422,-0.906936028,0.685127136,-0.907943673,0.645469425,0.821114067,1,-0.881235834,0.680169037,0.672776872,0.746306118,0.658562491,-0.91892436,0.716746268,-0.913041335,-0.918796791,0.832060307,-0.888999219
TUBA1B,-0.852224056,-0.927371295,0.993307307,-0.904883028,-0.788915065,-0.846158841,-0.611820313,-0.761914449,-0.838528683,-0.803382669,0.935229597,-0.911402785,0.955311634,-0.828813298,-0.942982315,-0.881235834,1,-0.80021405,-0.654819289,-0.797957687,-0.842483389,0.958328726,-0.827171426,0.97567516,0.955904879,-0.703451861,0.956599929
DHX38,0.947375197,0.561144738,-0.774128816,0.962318071,0.952304706,0.896037987,0.673239436,0.368528271,0.976835433,0.979853672,-0.570706283,0.790411437,-0.653031396,0.981066691,0.845793352,0.680169037,-0.80021405,1,0.189235975,0.96350365,0.981937179,-0.655920232,0.964187046,-0.691698101,-0.632808835,0.681031763,-0.616258412
GATA6,0.316597091,0.75478496,-0.660732794,0.357875612,0.22635165,0.375859447,0.270503706,0.727085522,0.228918711,0.238794667,-0.791316294,0.6335443,-0.739594766,0.206563448,0.489407349,0.672776872,-0.654819289,0.189235975,1,0.182196044,0.266386178,-0.722039833,0.168455923,-0.747752473,-0.774430585,0.300075883,-0.756412137
XRCC4,0.860503402,0.558537429,-0.772895199,0.916084635,0.847417461,0.796365066,0.502048284,0.398890343,0.934820615,0.89860784,-0.620832023,0.715098948,-0.6988624,0.949639464,0.856337255,0.746306118,-0.797957687,0.96350365,0.182196044,1,0.914606997,-0.700129819,0.969929085,-0.717713671,-0.669255459,0.786635486,-0.655541374
UBXN7,0.988020691,0.632026073,-0.816468217,0.977202811,0.985229418,0.959146307,0.787042373,0.41632286,0.986476906,0.992897789,-0.607137211,0.863831318,-0.681332228,0.98242425,0.862621601,0.658562491,-0.842483389,0.981937179,0.266386178,0.914606997,1,-0.683393598,0.933890456,-0.731276216,-0.668404574,0.596626699,-0.658794529
ATP5MG,-0.681324396,-0.935482169,0.960817908,-0.784352434,-0.610476589,-0.667659089,-0.387822297,-0.807509641,-0.690983758,-0.63477299,0.985037637,-0.802487148,0.9856606,-0.684908813,-0.8920392,-0.91892436,0.958328726,-0.655920232,-0.722039833,-0.700129819,-0.683393598,1,-0.728263904,0.980107636,0.984416941,-0.773567186,0.985463624
ZNF212,0.892718598,0.63314771,-0.81431982,0.952651091,0.881665425,0.817643195,0.541916972,0.47104313,0.95220647,0.92406876,-0.647627923,0.75496287,-0.727314974,0.963366309,0.890283974,0.716746268,-0.827171426,0.964187046,0.168455923,0.969929085,0.933890456,-0.728263904,1,-0.738969937,-0.696728447,0.796358319,-0.692672082
BSG,-0.737588122,-0.945123214,0.978293772,-0.819888846,-0.66669669,-0.737042401,-0.483555235,-0.813088312,-0.734832423,-0.685775096,0.980591858,-0.864578308,0.990182397,-0.724519182,-0.903556302,-0.913041335,0.97567516,-0.691698101,-0.747752473,-0.717713671,-0.731276216,0.980107636,-0.738969937,1,0.989754973,-0.722818486,0.987851884
IDH2,-0.674803474,-0.946287743,0.964868017,-0.775245142,-0.600414204,-0.668709122,-0.402797506,-0.82669343,-0.668950248,-0.622271567,0.991716804,-0.822939823,0.98930999,-0.661991071,-0.882123379,-0.918796791,0.955904879,-0.632808835,-0.774430585,-0.669255459,-0.668404574,0.984416941,-0.696728447,0.989754973,1,-0.739503328,0.993298345
CBX6,0.510995828,0.587055548,-0.710433164,0.69678626,0.506413141,0.408965777,0.009064303,0.502053197,0.632100363,0.576018598,-0.715479596,0.484512728,-0.761902399,0.654921371,0.755663634,0.832060307,-0.703451861,0.681031763,0.300075883,0.786635486,0.596626699,-0.773567186,0.796358319,-0.722818486,-0.739503328,1,-0.710320766
GM2A,-0.674272915,-0.962938951,0.967256358,-0.767531656,-0.587514594,-0.669617516,-0.415634982,-0.852467766,-0.664718037,-0.610199189,0.994907945,-0.828359311,0.991898775,-0.658355946,-0.887289975,-0.888999219,0.956599929,-0.616258412,-0.756412137,-0.655541374,-0.658794529,0.985463624,-0.692672082,0.987851884,0.993298345,-0.710320766,1
