,group
GSM283161,0
GSM283162,0
GSM283163,0
GSM283164,0
GSM283165,0
GSM283166,0
GSM283167,0
GSM283168,0
GSM283169,0
GSM283170,0
GSM283171,1
GSM283172,1
GSM283173,0
GSM283175,1
GSM283177,0
GSM283186,1
GSM283187,0
GSM283188,1
GSM283189,0
GSM283190,1
GSM283192,0
GSM283194,1
GSM283196,0
GSM283199,0
GSM283203,0
GSM283221,0
GSM283222,0
GSM283223,0
GSM283225,0
GSM283227,0
GSM283230,0
GSM283235,0
GSM283252,0
GSM283253,0
GSM283255,0
GSM283257,0
GSM283258,0
GSM283277,0
GSM283278,0
GSM283280,0
GSM283319,0
GSM283320,0
GSM283321,0
GSM283322,0
GSM283323,0
GSM283324,0
GSM283325,0
GSM283326,0
GSM283327,0
GSM283328,0
GSM283329,0
GSM283330,0
GSM283331,0
GSM283332,0
GSM283333,0
GSM283334,0
GSM283335,0
GSM283336,0
GSM283337,0
GSM283338,0
GSM283339,0
GSM283340,0
GSM283341,0
GSM283342,0
GSM283343,0
GSM283344,0
GSM283345,0
GSM283346,0
GSM283347,0
GSM283348,0
GSM283349,0
GSM283350,0
GSM283351,0
GSM283352,0
GSM283353,0
GSM283354,0
GSM283355,0
GSM283356,0
GSM283357,1
GSM283358,0
GSM283359,0
GSM283360,1
GSM283363,0
GSM283364,0
GSM283365,0
GSM283366,0
GSM283367,1
GSM283368,0
GSM283369,0
GSM283370,0
GSM283371,1
GSM283372,0
GSM283373,0
GSM283374,0
GSM283375,1
GSM283376,0
GSM283377,1
GSM283378,1
GSM283379,1
GSM283380,1
GSM283381,0
GSM283382,1
GSM283383,0
GSM283384,0
GSM283396,1
GSM283397,1
GSM283398,1
GSM283399,0
GSM283400,1
GSM283401,1
GSM283402,0
GSM283403,1
GSM283404,0
GSM283405,1
GSM283406,0
GSM283407,0
GSM283408,0
GSM283409,0
GSM283410,0
GSM283411,0
GSM283412,0
GSM283413,0
GSM283414,0
GSM283416,0
