ID,GSM6765206,GSM6765207,GSM6765208,GSM6765209,GSM6765210,GSM6765211,GSM6765212,GSM6765213,GSM6765214,GSM6765215,GSM6765225,GSM6765240,GSM6765254,GSM6765268,GSM6765281,GSM6765294,GSM6765307,GSM6765321,GSM6765335,GSM6765349,GSM6765363,GSM6765379,GSM6765393,GSM6765408
4,1.9406903,2.019727,1.973414,1.970197,1.934386,1.911268,0.9898127,2.997275,1.979337,3.178389,2.09823,3.099938,10.130576,11.32927,10.02344,3.317445,3.303709,2.208924,1.4883047,0.7416558,0.7435941,3.062994,2.088894,4.171279
6,7.762761,6.059181,5.920242,7.880788,7.737545,7.645071,8.9083141,5.994551,5.938011,7.416242,7.343805,8.266503,25.88925,18.126832,18.93316,9.952334,9.911128,5.522309,2.9766094,2.2249673,3.7179705,11.230979,6.266681,10.428198
9,2.9110354,2.019727,1.973414,1.970197,2.901579,1.911268,1.9796254,1.998184,1.979337,3.178389,2.09823,2.066626,7.879337,7.930489,8.90972,3.317445,2.202473,3.313385,0.7441524,1.4833116,0.7435941,3.062994,3.133341,3.128459
