category,ID,term,count,genes,logFC,adj_pval,zscore
KEGG,hsa05168,Herpes simplex virus 1 infection,20,"ZNF275, ZNF251, ZNF284, ZNF282, ZNF160, EIF2AK2, TRAF2, ZNF805, ZNF37A, CASP3, TRAF5, ZNF416, ZNF778, ZNF514, ZNF337, RBAK, ZNF587, ZNF224, ZFP28, ZNF354B",0.582811051,0.002276606,2.137064873
KEGG,hsa05200,Pathways in cancer,18,"LAMA5, SMAD4, RALB, CTBP2, CTBP1, TXNRD1, WNT7B, ADCY4, SLC2A1, ADCY3, TRAF2, EPOR, VEGFA, RASSF1, CASP3, TRAF5, DVL1, KRAS",1,0.015895496,1.854537653
KEGG,hsa04330,Notch signaling pathway,5,"ITCH, APH1B, CTBP2, CTBP1, DVL1",1,0.025884508,4.4120049
KEGG,hsa04916,Melanogenesis,6,"CREB3, WNT7B, DVL1, ADCY4, ADCY3, KRAS",1,0.036517382,3.250031332
