HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_E2F_TARGETS,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_ADIPOGENESIS,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_MYC_TARGETS_V1,HALLMARK_PEROXISOME,HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_P53_PATHWAY,HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_COAGULATION,HALLMARK_G2M_CHECKPOINT,HALLMARK_DNA_REPAIR,HALLMARK_APICAL_SURFACE,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_COMPLEMENT,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_MYC_TARGETS_V2,HALLMARK_SPERMATOGENESIS,HALLMARK_ANGIOGENESIS,HALLMARK_GLYCOLYSIS,HALLMARK_NOTCH_SIGNALING,HALLMARK_APICAL_JUNCTION,HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_PROTEIN_SECRETION,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_MTORC1_SIGNALING,HALLMARK_APOPTOSIS,HALLMARK_MYOGENESIS,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_MITOTIC_SPINDLE,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_HEME_METABOLISM,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_HYPOXIA,HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_DN,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TNFA_SIGNALING_VIA_NFKB
AIFM1,BRCA1,CD74,ABCD2,ASB7,ADCY6,ACOT2,ACP2,CBX3,ACOT8,BST2,ANXA9,APAF1,GCG,ARF4,BIRC5,ARL6IP1,CD160,ANXA5,APOC1,ALDH3B1,GNL3,ALOX15,JAG1,ALDOA,FZD1,ADAM15,BCL10,GCLC,ARCN1,ANKH,ALDOA,BCL10,AEBP1,APLNR,ARAP3,BMP1,APLP1,ALDH1A2,CD38,AHSP,DLL1,ARPC3,ETS2,CALR,ANGPTL4,ARRB2,ANXA4,CDKN1C,BCL6
ALAS1,BRCA2,CMPK2,ABCD3,ATP4A,ADIG,ACOT8,ACSM1,CCNA2,ACOX1,BTG1,AREG,APP,GCK,BMP1,BRCA2,BCAM,CROCC,ATF3,ATOX1,AMFR,GRWD1,ARL4A,JAG2,ALDOB,FZD5,ADAM23,BCL3,GCLM,ARF1,APPBP2,ARPC5L,BCL2L1,AGL,AQP9,ARF6,CADM1,ARL4A,ALDH1A3,CD44,ALAD,DVL2,ATF1,GLI1,CCL2,ANKZF1,ASNS,APBB2,CTNNB1,BHLHE40
ALDH6A1,BRMS1L,CMTR1,ABCG4,ATP6V1B1,ADIPOQ,ACOX1,ADH1C,CCT2,ACSL1,C1R,ARL3,ATF3,HNF1A,C1QA,BUB1,BCAP31,CRYBG1,ATF5,BRPF3,ANXA9,HK2,ART3,KCNJ8,ALG1,FZD7,ADAM9,BRCA1,GLRX,ARFGAP3,ARID5B,ASNS,BCL2L10,AGRN,ATP2A2,ARFGEF1,CALD1,BATF,AMMECR1,CD9,ALAS2,FRAT1,CAB39,HEY1,CEBPB,ANXA2,ATF3,ARHGEF9,ENG,BIRC2
ATP1B1,BUB1B,CNP,ABCG8,BARD1,ADIPOR2,ACSL1,ADH5,CCT3,ACSL4,C1S,ASCL1,BAIAP2,IAPP,C1R,BUB3,BOLA2,CX3CL1,ATXN2,C1QA,AQP3,HSPD1,AURKA,LPL,ANG,HES1,ADAMTS5,C2,GLRX2,ARFGEF1,AZGP1,ATP2A2,BCL2L11,AK1,ATP2B1,ARFIP2,CALU,BATF3,ANGPTL4,CNTFR,ALDH1L1,FZD1,CAB39L,HEY2,CEBPG,ATF3,ATP6V1C1,ATP2B1,FKBP1A,BIRC3
ATP5F1A,CBX5,CSF1,ACSL1,BMPR1B,AGPAT3,ACSL4,ADH7,CCT4,ACSL5,CASP1,ASS1,BAK1,INS,C1S,CASP8AP2,BRF2,DCBLD2,AVPR1A,C1QC,AR,HSPE1,BRAF,LRPAP1,ANGPTL4,HEYL,ADRA1B,CAPG,GPX3,ARFGEF2,B2M,ATP5MC1,BCL2L2,AKT2,ATP2C1,ARHGAP10,CAP2,BCL2,ANKH,CRLF2,ALDH6A1,FZD8,CALR,L1CAM,CHAC1,ATP7A,ATP6V1F,ATP2B4,FNTA,BMP2
ATP5F1B,CCNB2,CXCL10,ACSL5,BRDT,AIFM1,ACSL5,AHCY,CCT5,ALB,CASP3,ATP2B4,BAX,INSM1,C2,CBX1,CANT1,EFNA5,CBS,C1R,AREG,IMP4,BUB1,LUM,ANKZF1,JAG1,AKT2,CARTPT,GPX4,ARFIP1,B4GALT1,ATP6V1D,BGN,ANKRD2,AXL,ARHGAP27,CAPG,BCL2L1,ANO1,CSF1,ANK1,GNAI1,CAMK4,LDB1,CKS1B,B3GALT6,BAK1,ATP2C1,FURIN,BTG1
ATP5F1C,CCNE1,CXCL11,AGXT,BTG2,AK2,ACSM3,AKR1C2,CCT7,ALDH1A1,CASP4,BAG1,BLCAP,ISL1,C3,CCNA2,CCNO,EPHB4,CD9,C1S,ARL3,IPO4,CAMK4,MSX1,ARPP19,KAT2A,AKT3,CCL11,GSR,ATP1A1,BMPR1B,AURKA,BID,APLNR,BDKRB1,ARHGAP29,CCN1,BHLHE40,ANXA10,CSF2,AQP3,HDAC11,CDK1,MYH9,CNOT2,B4GALNT2,BCL2L11,ATRN,HDAC1,BTG2
ATP5F1D,CCP110,DDX60,AKR1D1,C5,ALDH2,ACSS1,AKR1C3,CDC20,ALDH9A1,CASP7,BATF,BMP2,LMO2,C8A,CCNB2,CDA,FLOT2,CHKA,C2,ASB13,LAS1L,CCNA1,NRP1,ARTN,LFNG,ALOX15B,CCL13,HHEX,ATP6V1B1,CAMKK2,BCAT1,BIK,APOD,BEST1,ARHGAP4,CCN2,BMP2,APOD,CSF2RA,ARHGEF12,HDAC2,CDK2,NF1,CNOT4,BCAN,BID,ATRX,HIPK2,BTG3
ATP5F1E,CDC20,DHX58,ALDH1A1,CACNA1F,ALDOA,ADH1C,ALAS1,CDC45,ATXN1,CASP8,BCL2,BTG1,MAFB,C8B,CCND1,CETN2,GAS1,CLU,C3,B4GALT1,MAP3K6,CCNB2,OLR1,AURKA,MAML2,AMH,CCL19,HMOX2,ATP6V1H,CCND1,BHLHE40,BIRC3,APP,BST2,ARHGAP5,CD44,BMPR2,ARG1,CSF2RB,ARL2BP,HDAC5,CDK4,NKX6-1,CNOT6,BCL2,BMP2,ATXN1,ID1,CCL2
ATP5MC1,CDC25A,EIF2AK2,ALDH8A1,CACNG1,ANGPT1,ADH7,ALDH2,CDK2,BCL10,CCL2,BLVRB,BTG2,NEUROD1,C8G,CCNF,CLP1,GATA3,CPEB2,C4BPB,BAG1,MCM4,CCT6B,PDGFA,B3GALT6,NOTCH1,AMIGO1,CCL2,IPCEF1,ATP7A,CCND3,BTG2,BMF,ATP2A1,BTG2,ARHGDIA,CD59,CA2,ATG10,CSF3R,ASNS,HEY1,CDKN1A,NRCAM,CXXC1,BGN,BSG,BCKDHB,ID2,CCL20
