HALLMARK_PATHWAY,Genes_Present
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HCCS
HALLMARK_E2F_TARGETS,"MTHFD2, HUS1"
HALLMARK_INTERFERON_ALPHA_RESPONSE,"EIF2AK2, HELZ2, TDRD7"
HALLMARK_BILE_ACID_METABOLISM,ABCD1
HALLMARK_KRAS_SIGNALING_DN,"SPHK2, DLK2, SYNPO"
HALLMARK_ADIPOGENESIS,"ACADS, GPAT4"
HALLMARK_FATTY_ACID_METABOLISM,"HCCS, ACADS"
HALLMARK_XENOBIOTIC_METABOLISM,"GSR, SERPINE1, ABCC3, MAN1A1"
HALLMARK_MYC_TARGETS_V1,
HALLMARK_PEROXISOME,"ABCD1, CTBP1"
HALLMARK_INTERFERON_GAMMA_RESPONSE,"EIF2AK2, MTHFD2, IRF5, HELZ2, CASP3, TDRD7"
HALLMARK_ESTROGEN_RESPONSE_LATE,"SEMA3B, SNX10, XBP1, SLC7A5, SLC1A4, OVOL2, TPBG"
HALLMARK_P53_PATHWAY,"CGRRF1, TRIB3, DDIT4, PLK3"
HALLMARK_PANCREAS_BETA_CELLS,
HALLMARK_COAGULATION,"SERPINE1, LRP1, BMP1, CRIP2"
HALLMARK_G2M_CHECKPOINT,"SLC7A5, SLC38A1, HUS1, SAP30"
HALLMARK_DNA_REPAIR,"DGCR8, AGO4"
HALLMARK_APICAL_SURFACE,
HALLMARK_CHOLESTEROL_HOMEOSTASIS,"SEMA3B, TRIB3, CBS"
HALLMARK_COMPLEMENT,"DOCK9, SERPINE1, SH2B3, LRP1, CASP3"
HALLMARK_ESTROGEN_RESPONSE_EARLY,"SEMA3B, CELSR1, XBP1, SLC7A5, SLC1A4, SLC2A1, RAB17, OVOL2, KDM4B, BHLHE40, TPBG, SLC37A1, KRT8, CLDN7"
HALLMARK_MYC_TARGETS_V2,TFB2M
HALLMARK_SPERMATOGENESIS,ACE
HALLMARK_ANGIOGENESIS,"VEGFA, VAV2"
HALLMARK_GLYCOLYSIS,"BIK, VEGFA, P4HA1, PPFIA4, TPBG, VLDLR, PLOD2, SDC3, SAP30, DDIT4, GFPT1"
HALLMARK_NOTCH_SIGNALING,SAP30
HALLMARK_APICAL_JUNCTION,"PKD1, SPEG, CD276, VASP, VAV2, SDC3, BMP1, CLDN7"
HALLMARK_ALLOGRAFT_REJECTION,"IL27RA, TRAF2"
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,"GSR, SELENOS, TXNRD1"
HALLMARK_PROTEIN_SECRETION,"SEC24D, BNIP3, ARFGAP3"
HALLMARK_ANDROGEN_RESPONSE,"GSR, SEC24D, KRT8"
HALLMARK_MTORC1_SIGNALING,"SLC2A3, MTHFD2, XBP1, TRIB3, SLC7A5, GSR, SLC1A4, SLC2A1, P4HA1, BHLHE40, TES, VLDLR, PDK1, PLOD2, DDIT4, TXNRD1"
HALLMARK_APOPTOSIS,"BIK, GSR, CASP3"
HALLMARK_MYOGENESIS,"SPEG, BHLHE40, PPFIA4, PTP4A3, PDLIM7"
HALLMARK_INFLAMMATORY_RESPONSE,"EIF2AK2, ATP2B1, SERPINE1, SELENOS, TPBG, ADM, HRH1"
HALLMARK_MITOTIC_SPINDLE,"SUN2, CCDC88A, SYNPO, MAP3K11"
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,"SERPINE1, VEGFA, LRP1, SDC4, PLOD2, BMP1"
HALLMARK_IL2_STAT5_SIGNALING,"SLC2A3, XBP1, CTSZ, P4HA1, BHLHE40, CDC42SE2, CASP3, TNFRSF18, SPRY4"
HALLMARK_KRAS_SIGNALING_UP,"SEMA3B, ANO1, SPRY2, ACE"
HALLMARK_IL6_JAK_STAT3_SIGNALING,
HALLMARK_HEME_METABOLISM,"KDM7A, TNS1, FBXO9, SLC2A1, SNCA, MFHAS1, EPOR, SLC6A9"
HALLMARK_WNT_BETA_CATENIN_SIGNALING,
HALLMARK_PI3K_AKT_MTOR_SIGNALING,"TRIB3, SLC2A1, TRAF2, RALB, PDK1"
HALLMARK_HEDGEHOG_SIGNALING,"CELSR1, VEGFA, VLDLR"
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,"MTHFD2, XBP1, SLC7A5, VEGFA, SLC1A4, DDIT4"
HALLMARK_HYPOXIA,"SLC2A3, SERPINE1, VEGFA, KDM3A, SLC2A1, STBD1, CHST3, P4HA1, SDC4, BHLHE40, TES, PPFIA4, TPBG, VLDLR, ADM, PDK1, SDC3, SAP30, DDIT4"
HALLMARK_UV_RESPONSE_UP,CASP3
HALLMARK_UV_RESPONSE_DN,"ATP2B1, SERPINE1, BHLHE40, VLDLR, VAV2"
HALLMARK_TGF_BETA_SIGNALING,"SERPINE1, TGIF1"
HALLMARK_TNFA_SIGNALING_VIA_NFKB,"SLC2A3, ATP2B1, SERPINE1, VEGFA, SDC4, BHLHE40, TGIF1"
