HGNC,Ensembl_ID,GSM5584042,GSM5584043,GSM5584044,GSM5584045,GSM5584046,GSM5584047,GSM5584048,GSM5584049,GSM5584050,GSM5584051,GSM5584052
TSPAN6,ENSG00000000003,2855,3,90,324,0,6,1180,373,1558,2123,1519
TNMD,ENSG00000000005,0,0,0,0,0,0,0,0,0,0,0
DPM1,ENSG00000000419,478,678,700,1074,984,1039,1196,540,13,399,695
SCYL3,ENSG00000000457,2,201,332,371,3,0,1011,470,14,35,149
C1orf112,ENSG00000000460,1,0,2,0,0,152,406,0,1,129,0
FGR,ENSG00000000938,53,570,20,46,28,19,23,754,11,25,477
CFH,ENSG00000000971,1650,1331,933,1574,7,4818,1799,1410,4358,11396,2291
FUCA2,ENSG00000001036,109,1018,471,989,286,1523,1269,1288,4627,725,872
GCLC,ENSG00000001084,34,1,414,579,234,572,58,21,15,573,198
NFYA,ENSG00000001167,1,742,74,2,0,0,11,0,0,0,0
STPG1,ENSG00000001460,484,180,161,380,901,19,1943,0,354,761,576
NIPAL3,ENSG00000001461,878,2408,1194,1339,141,713,3858,1790,3,3217,1151
LAS1L,ENSG00000001497,1069,1404,946,8337,8,2261,3553,1706,2000,1584,2445
ENPP4,ENSG00000001561,1,12,81,1,0,185,413,0,58,231,1
SEMA3F,ENSG00000001617,26,2,268,231,618,57,1008,99,0,1268,13
CFTR,ENSG00000001626,0,357,355,0,0,154,61,0,343,106,0
ANKIB1,ENSG00000001629,2,93,234,3158,1093,1,688,584,0,108,564
CYP51A1,ENSG00000001630,157,131,85,209,372,676,204,107,3,385,165
KRIT1,ENSG00000001631,96,466,386,1605,1167,1,589,429,636,486,37
RAD52,ENSG00000002016,118,1,15,39,630,432,48,133,130,151,196
MYH16,ENSG00000002079,0,0,0,0,0,0,0,0,0,0,0
BAD,ENSG00000002330,1383,549,305,1201,2016,2223,1189,511,700,3315,684
LAP3,ENSG00000002549,290,1794,3336,2584,5961,6374,2404,1679,2899,5145,1964
CD99,ENSG00000002586,5679,6771,4475,7710,9249,10268,11974,6014,10025,14779,6618
HS3ST1,ENSG00000002587,0,8,172,4,15,0,153,0,0,388,0
AOC1,ENSG00000002726,0,630,160,0,0,0,93,1,3,0,1
WNT16,ENSG00000002745,166,138,8,542,1284,1187,890,151,6,348,99
HECW1,ENSG00000002746,0,38,0,1,0,0,91,71,48,0,0
MAD1L1,ENSG00000002822,52,5,1179,15,3948,2843,2932,1936,2963,1,1115
LASP1,ENSG00000002834,135,506,412,7,418,763,1513,988,407,1271,2
SNX11,ENSG00000002919,800,1,3,3,69,70,1241,338,2282,769,28
TMEM176A,ENSG00000002933,2028,12,481,1,118,5,654,191,2,5,13
M6PR,ENSG00000003056,1080,1559,1159,952,699,4392,3606,820,3239,2618,1857
KLHL13,ENSG00000003096,0,0,0,0,0,0,0,550,0,1,541
CYP26B1,ENSG00000003137,36,0,14,21,93,23,73,16,0,6,49
ICA1,ENSG00000003147,11,218,41,752,848,1500,360,415,25,1867,265
DBNDD1,ENSG00000003249,0,0,0,0,0,0,0,2,1435,0,0
ALS2,ENSG00000003393,11,47,84,451,1187,16,195,0,0,725,302
CASP10,ENSG00000003400,227,1,0,66,397,7,2,90,10,357,21
CFLAR,ENSG00000003402,848,1712,809,5095,452,3059,7782,1318,2095,6388,1034
TFPI,ENSG00000003436,646,597,444,288,151,1,1015,131,68,1145,255
NDUFAF7,ENSG00000003509,1,327,139,2,2,6,710,5,0,0,480
RBM5,ENSG00000003756,2144,1119,929,3523,3027,5,3579,754,1740,6358,2046
MTMR7,ENSG00000003987,0,4,0,12,0,0,214,0,0,38,104
SLC7A2,ENSG00000003989,540,629,3,0,0,109,1,0,0,117,453
ARF5,ENSG00000004059,1846,1342,777,3548,3672,3491,3580,1823,2864,4950,2245
SARM1,ENSG00000004139,1,0,1,0,1,781,0,51,0,0,0
POLDIP2,ENSG00000004142,5165,3079,2928,4532,12162,5934,10807,1455,3837,5502,1780
PLXND1,ENSG00000004399,355,161,0,1099,2,0,109,776,562,104,73
AK2,ENSG00000004455,1731,2794,1831,4381,1824,5071,3918,2528,2144,4200,1974
CD38,ENSG00000004468,3,2,1,2,0,1024,0,0,1,0,0
FKBP4,ENSG00000004478,272,621,546,277,1017,1138,907,493,368,327,445
KDM1A,ENSG00000004487,1488,1138,8,838,39,1,66,147,784,31,399
RBM6,ENSG00000004534,211,345,29,1850,241,722,1233,64,83,412,127
CAMKK1,ENSG00000004660,0,100,25,0,1736,314,1,10,1,35,93
RECQL,ENSG00000004700,8,1,418,3,980,1316,345,3,898,399,322
VPS50,ENSG00000004766,1266,14,856,13,7,1,107,6,0,1558,168
HSPB6,ENSG00000004776,0,1,1,0,1,64,8,0,13,0,18
ARHGAP33,ENSG00000004777,0,0,0,27,0,0,0,0,0,6,0
NDUFAB1,ENSG00000004779,3734,1471,1134,5914,2734,6632,3906,1166,2251,2599,924
PDK4,ENSG00000004799,5,178,49,325,3847,494,190,46,397,2209,873
SLC22A16,ENSG00000004809,130,0,0,0,0,0,0,1,0,0,0
ZMYND10,ENSG00000004838,0,0,0,0,0,0,0,0,0,0,0
ABCB5,ENSG00000004846,0,0,0,0,0,0,0,52,0,0,0
ARX,ENSG00000004848,0,0,0,0,0,0,0,0,0,0,0
