gene_name,gene_id.x,colon_mock_1,colon_mock_2,colon_mock_3,colon_west_Africa_1,colon_west_Africa_2,colon_west_Africa_3,colon_2022_1,colon_2022_2,colon_2022_3,colon_Congo_1,colon_Congo_2,colon_Congo_3,gene_id.y,skin_mock_1,skin_mock_2,skin_mock_3,skin_west_Africa_1,skin_west_Africa_2,skin_west_Africa_3,skin_2022_1,skin_2022_2,skin_2022_3,skin_Congo_1,skin_Congo_2,skin_Congo_3
1-Dec,ENSG00000173077,0.337883601,0.303640601,0.237735568,0.272538919,0.429074337,0.20351987,0.283399935,0.344198521,0.195289584,0,0.156167632,0.191774025,ENSG00000173077,0,0,0,0,0,0,0,0.543112076,0,0.224055953,0,0
1-Mar,ENSG00000186205,21.86841772,19.62443278,22.11859765,19.8235699,18.76169473,18.05830961,18.21278742,21.57540607,20.62250289,15.44657059,17.63171327,19.57201765,ENSG00000186205,0.098006458,0.171308502,0.106251212,0.315728397,0,0,0,0,0,0,0,0.173278098
1-Mar,ENSG00000186205,21.86841772,19.62443278,22.11859765,19.8235699,18.76169473,18.05830961,18.21278742,21.57540607,20.62250289,15.44657059,17.63171327,19.57201765,ENSG00000145416,0,0,0,0,0.130929995,0,0,0,0,0,0,0
1-Mar,ENSG00000145416,1.078075973,0.871935994,0.879902202,1.321765374,1.232132187,1.038984464,0.645883165,0.988402337,1.046816637,0.648913768,0.797247676,0.152972035,ENSG00000186205,0.098006458,0.171308502,0.106251212,0.315728397,0,0,0,0,0,0,0,0.173278098
1-Mar,ENSG00000145416,1.078075973,0.871935994,0.879902202,1.321765374,1.232132187,1.038984464,0.645883165,0.988402337,1.046816637,0.648913768,0.797247676,0.152972035,ENSG00000145416,0,0,0,0,0.130929995,0,0,0,0,0,0,0
10-Mar,ENSG00000173838,0.057086533,0,0.257063663,0,0,0.137541376,0.054721532,0.077537946,0,0,0,0.06480169,ENSG00000173838,0,0,0,0,0.554642878,0,0,0.244694804,0,0.908519567,0,0
11-Mar,ENSG00000183654,0,1.43435269,0.336908157,0.965574753,1.140121606,0.721048022,1.577799321,0.406485556,1.10702247,0.540409993,0.553284366,0.169858453,ENSG00000183654,0,0,0,0,0,0,0,0,0,0,0,0
2-Mar,ENSG00000099785,72.75132511,94.91623415,83.47028807,83.09485341,80.4756413,83.21377372,89.54082348,94.1666164,86.38303402,71.86501821,71.70250785,63.16059332,ENSG00000099785,26.98282303,25.69387885,27.39715794,6.486964754,4.309995647,7.144505844,10.32327482,15.21171309,9.008090737,6.051330693,7.198605638,7.120353611
2-Mar,ENSG00000099785,72.75132511,94.91623415,83.47028807,83.09485341,80.4756413,83.21377372,89.54082348,94.1666164,86.38303402,71.86501821,71.70250785,63.16059332,ENSG00000117791,0.114548428,0.500556803,0,0,0,0.677372393,0.978752278,1.390718255,0.452149065,0,0,0
2-Mar,ENSG00000117791,12.97800891,16.71660184,12.78389373,15.21369544,15.24457169,14.85256197,12.64769061,12.77987772,15.40208419,11.97794368,12.07668293,12.76770461,ENSG00000099785,26.98282303,25.69387885,27.39715794,6.486964754,4.309995647,7.144505844,10.32327482,15.21171309,9.008090737,6.051330693,7.198605638,7.120353611
