Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Cell_line	Cell_type	Center Name	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Genotype	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	create_date	version	Sample Name	source_name	SRA Study	Time	Treatment
SRR22450513	RNA-Seq	76	1093707032	PRJNA906618	SAMN31932726	473936624	Normal Human Epidermal Keratinocytes	keratinocytes	"CENTER FOR IPS CELL RESEARCH AND APPLICATION, KYOTO UNIVERSITY"	missing	public	"run.zq,fastq,sra"	"s3,gs,ncbi"	"ncbi.public,s3.us-east-1,gs.US"	SRX18419302	wild type	uncalculated	uncalculated	missing	NextSeq 550	GSM6765268	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2023-06-06T00:00:00Z	2022-11-29T17:40:00Z	1	GSM6765268	Normal Human Epidermal Keratinocytes	SRP410502	3 dpi	mock
SRR22450514	RNA-Seq	76	977560412	PRJNA906618	SAMN31932727	424812549	Normal Human Epidermal Keratinocytes	keratinocytes	"CENTER FOR IPS CELL RESEARCH AND APPLICATION, KYOTO UNIVERSITY"	missing	public	"sra,run.zq,fastq"	"ncbi,s3,gs"	"ncbi.public,s3.us-east-1,gs.US"	SRX18419301	wild type	uncalculated	uncalculated	missing	NextSeq 550	GSM6765254	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2023-06-06T00:00:00Z	2022-11-29T17:39:00Z	1	GSM6765254	Normal Human Epidermal Keratinocytes	SRP410502	3 dpi	mock
SRR22450515	RNA-Seq	76	1091741064	PRJNA906618	SAMN31932728	474934096	iPS cell-derived colon organoids	colon organoids	"CENTER FOR IPS CELL RESEARCH AND APPLICATION, KYOTO UNIVERSITY"	missing	public	"sra,fastq,run.zq"	"gs,ncbi,s3"	"ncbi.public,s3.us-east-1,gs.US"	SRX18419300	wild type	uncalculated	uncalculated	missing	NextSeq 550	GSM6765240	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2023-06-06T00:00:00Z	2022-11-29T17:39:00Z	1	GSM6765240	iPS cell-derived colon organoids	SRP410502	3 dpi	MPXV clade I infected
SRR22450516	RNA-Seq	76	1666085680	PRJNA906618	SAMN31932729	719856687	iPS cell-derived colon organoids	colon organoids	"CENTER FOR IPS CELL RESEARCH AND APPLICATION, KYOTO UNIVERSITY"	missing	public	"fastq,run.zq,sra"	"gs,s3,ncbi"	"gs.US,ncbi.public,s3.us-east-1"	SRX18419299	wild type	uncalculated	uncalculated	missing	NextSeq 550	GSM6765225	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2023-06-06T00:00:00Z	2022-11-29T17:42:00Z	1	GSM6765225	iPS cell-derived colon organoids	SRP410502	3 dpi	MPXV clade I infected
SRR22450517	RNA-Seq	76	1008103292	PRJNA906618	SAMN31932730	439814318	iPS cell-derived colon organoids	colon organoids	"CENTER FOR IPS CELL RESEARCH AND APPLICATION, KYOTO UNIVERSITY"	missing	public	"sra,fastq,run.zq"	"s3,gs,ncbi"	"gs.US,ncbi.public,s3.us-east-1"	SRX18419298	wild type	uncalculated	uncalculated	missing	NextSeq 550	GSM6765215	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2023-06-06T00:00:00Z	2022-11-29T17:38:00Z	1	GSM6765215	iPS cell-derived colon organoids	SRP410502	3 dpi	MPXV clade I infected
SRR22450518	RNA-Seq	76	1273321936	PRJNA906618	SAMN31932731	555104221	iPS cell-derived colon organoids	colon organoids	"CENTER FOR IPS CELL RESEARCH AND APPLICATION, KYOTO UNIVERSITY"	missing	public	"sra,run.zq,fastq"	"gs,ncbi,s3"	"ncbi.public,s3.us-east-1,gs.US"	SRX18419297	wild type	uncalculated	uncalculated	missing	NextSeq 550	GSM6765214	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2023-06-06T00:00:00Z	2022-11-29T17:41:00Z	1	GSM6765214	iPS cell-derived colon organoids	SRP410502	3 dpi	MPXV clade IIb infected
SRR22450519	RNA-Seq	76	855962236	PRJNA906618	SAMN31932732	375169353	iPS cell-derived colon organoids	colon organoids	"CENTER FOR IPS CELL RESEARCH AND APPLICATION, KYOTO UNIVERSITY"	missing	public	"sra,run.zq,fastq"	"ncbi,s3,gs"	"s3.us-east-1,gs.US,ncbi.public"	SRX18419296	wild type	uncalculated	uncalculated	missing	NextSeq 550	GSM6765213	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2023-06-06T00:00:00Z	2022-11-29T17:39:00Z	1	GSM6765213	iPS cell-derived colon organoids	SRP410502	3 dpi	MPXV clade IIb infected
SRR22450520	RNA-Seq	76	1217539152	PRJNA906618	SAMN31932733	532975371	iPS cell-derived colon organoids	colon organoids	"CENTER FOR IPS CELL RESEARCH AND APPLICATION, KYOTO UNIVERSITY"	missing	public	"sra,fastq,run.zq"	"ncbi,s3,gs"	"gs.US,ncbi.public,s3.us-east-1"	SRX18419295	wild type	uncalculated	uncalculated	missing	NextSeq 550	GSM6765212	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2023-06-06T00:00:00Z	2022-11-29T17:40:00Z	1	GSM6765212	iPS cell-derived colon organoids	SRP410502	3 dpi	MPXV clade IIb infected
SRR22450521	RNA-Seq	76	1060952856	PRJNA906618	SAMN31932734	461897862	iPS cell-derived colon organoids	colon organoids	"CENTER FOR IPS CELL RESEARCH AND APPLICATION, KYOTO UNIVERSITY"	missing	public	"sra,fastq,run.zq"	"s3,ncbi,gs"	"ncbi.public,s3.us-east-1,gs.US"	SRX18419294	wild type	uncalculated	uncalculated	missing	NextSeq 550	GSM6765211	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2023-06-06T00:00:00Z	2022-11-29T17:40:00Z	1	GSM6765211	iPS cell-derived colon organoids	SRP410502	3 dpi	MPXV clade IIa infected
SRR22450522	RNA-Seq	76	983449196	PRJNA906618	SAMN31932735	426916628	iPS cell-derived colon organoids	colon organoids	"CENTER FOR IPS CELL RESEARCH AND APPLICATION, KYOTO UNIVERSITY"	missing	public	"run.zq,sra,fastq"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX18419293	wild type	uncalculated	uncalculated	missing	NextSeq 550	GSM6765210	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2023-06-06T00:00:00Z	2022-11-29T17:38:00Z	1	GSM6765210	iPS cell-derived colon organoids	SRP410502	3 dpi	MPXV clade IIa infected
SRR22450523	RNA-Seq	76	941385628	PRJNA906618	SAMN31932736	414459445	iPS cell-derived colon organoids	colon organoids	"CENTER FOR IPS CELL RESEARCH AND APPLICATION, KYOTO UNIVERSITY"	missing	public	"fastq,sra,run.zq"	"s3,ncbi,gs"	"s3.us-east-1,gs.US,ncbi.public"	SRX18419292	wild type	uncalculated	uncalculated	missing	NextSeq 550	GSM6765209	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2023-06-06T00:00:00Z	2022-11-29T17:38:00Z	1	GSM6765209	iPS cell-derived colon organoids	SRP410502	3 dpi	MPXV clade IIa infected
SRR22450524	RNA-Seq	76	1036158464	PRJNA906618	SAMN31932737	450072943	iPS cell-derived colon organoids	colon organoids	"CENTER FOR IPS CELL RESEARCH AND APPLICATION, KYOTO UNIVERSITY"	missing	public	"fastq,sra,run.zq"	"gs,ncbi,s3"	"gs.US,s3.us-east-1,ncbi.public"	SRX18419291	wild type	uncalculated	uncalculated	missing	NextSeq 550	GSM6765208	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2023-06-06T00:00:00Z	2022-11-29T17:40:00Z	1	GSM6765208	iPS cell-derived colon organoids	SRP410502	3 dpi	mock
SRR22450525	RNA-Seq	76	941923404	PRJNA906618	SAMN31932738	417211921	iPS cell-derived colon organoids	colon organoids	"CENTER FOR IPS CELL RESEARCH AND APPLICATION, KYOTO UNIVERSITY"	missing	public	"fastq,run.zq,sra"	"ncbi,gs,s3"	"s3.us-east-1,ncbi.public,gs.US"	SRX18419290	wild type	uncalculated	uncalculated	missing	NextSeq 550	GSM6765207	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2023-06-06T00:00:00Z	2022-11-29T17:39:00Z	1	GSM6765207	iPS cell-derived colon organoids	SRP410502	3 dpi	mock
SRR22450526	RNA-Seq	76	1180425008	PRJNA906618	SAMN31932739	511544907	iPS cell-derived colon organoids	colon organoids	"CENTER FOR IPS CELL RESEARCH AND APPLICATION, KYOTO UNIVERSITY"	missing	public	"fastq,sra,run.zq"	"ncbi,s3,gs"	"s3.us-east-1,ncbi.public,gs.US"	SRX18419289	wild type	uncalculated	uncalculated	missing	NextSeq 550	GSM6765206	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2023-06-06T00:00:00Z	2022-11-29T17:39:00Z	1	GSM6765206	iPS cell-derived colon organoids	SRP410502	3 dpi	mock
